"Geolocation","Fertilizer Grade","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual"
"..REGION III (CENTRAL LUZON)","Complete (14-14-14)",327.86,333.86,334.00,333.00,333.29,336.86,335.29,336.86,337.68,339.71,337.00,337.14,335.21
"..REGION III (CENTRAL LUZON)","Urea (45-0-0)",378.57,382.43,382.43,378.57,380.29,380.71,379.86,378.14,377.71,377.86,374.71,375.57,378.90
"....Aurora","Ammophos (16-20-0)",350.00,345.00,345.00,345.00,348.00,348.00,347.00,347.00,345.70,345.00,349.00,345.00,346.64
"....Aurora","Ammosul (21-0-0)",260.00,245.00,245.00,245.00,246.00,247.00,249.00,249.00,250.00,250.00,244.00,248.00,248.17
"....Aurora","Complete (14-14-14)",350.00,345.00,345.00,345.00,348.00,349.00,352.00,353.00,355.00,355.00,357.00,350.00,350.33
"....Aurora","Urea (45-0-0)",395.00,385.00,385.00,393.00,395.00,395.00,395.00,391.00,390.00,390.00,390.00,385.00,390.75
"....Bataan","Ammophos (16-20-0)",340.00,348.00,354.00,355.00,355.00,355.00,355.00,351.00,350.00,350.00,350.00,350.00,351.08
"....Bataan","Ammosul (21-0-0)",288.00,310.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,302.00,280.00,318.33
"....Bataan","Complete (14-14-14)",330.00,356.00,363.00,360.00,360.00,360.00,360.00,358.00,360.00,360.00,360.00,360.00,357.25
"....Bataan","Urea (45-0-0)",370.00,378.00,384.00,385.00,385.00,385.00,385.00,373.00,370.00,370.00,370.00,370.00,377.08
"....Bulacan","Ammophos (16-20-0)",323.00,330.00,330.00,338.00,330.00,321.00,324.00,323.00,325.00,329.00,333.00,331.00,328.08
"....Bulacan","Ammosul (21-0-0)",222.00,225.00,225.00,225.00,330.00,225.00,322.00,225.00,238.00,225.00,225.00,225.00,242.67
"....Bulacan","Complete (14-14-14)",325.00,335.00,335.00,331.00,315.00,333.00,324.00,326.00,328.75,335.00,329.00,335.00,329.31
