"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Peanut",-6.9,13.2,-14.6,18.5,17.9,3.6,2.5,-9.7,16.5,12.8,13.6,5.6,2.1,9.8,1.6,-5.3,2.4,17.6,-3.3,27.6,0.8,6.0
"Current Prices","..Coconut",-5.7,5.2,0.3,21.5,9.6,20.0,30.6,8.7,6.9,-5.5,35.6,21.0,10.5,18.7,-18.7,-7.4,9.8,10.3,2.1,1.0,13.8,15.5
"Current Prices","..Garlic",8.3,0.4,-22.5,-19.3,111.8,16.5,-35.3,-18.7,20.6,-18.2,11.2,-25.7,13.0,126.9,-46.5,-27.4,38.4,-9.5,-18.8,28.1,0.8,1.7
"Current Prices","..Stringbeans",-1.3,8.9,329.7,23.0,-8.2,39.2,0.1,13.5,32.5,-13.3,2.9,-2.2,4.9,3.5,25.8,0.3,-4.1,41.4,-22.5,4.5,8.6,3.1
"Current Prices","..Ampalaya",15.1,-9.2,59.7,6.3,14.4,12.3,9.6,35.6,-1.5,-25.7,33.5,-6.2,-0.8,-8.2,31.5,-8.0,-4.5,32.9,-10.9,6.1,4.8,11.6
"Current Prices","..Sweet Potato",18.0,-3.8,3.1,32.5,8.5,28.9,6.5,1.5,9.2,-0.3,8.6,-5.5,15.1,-0.5,-4.0,11.6,19.1,22.1,1.2,19.0,-7.0,-3.5
"Current Prices","..Watermelon",15.2,22.5,13.4,5.8,19.6,-14.0,-6.0,-14.2,-3.6,-21.5,20.4,3.8,-12.4,25.9,9.0,-9.6,-0.5,6.2,35.8,1.5,0.7,5.6
"Current Prices","..Squash",10.7,-31.0,223.7,2.6,30.9,24.4,-6.1,14.9,0.6,-9.5,6.0,-5.9,-0.6,-6.4,6.5,-5.2,5.6,32.6,-7.5,0.4,32.1,8.6
"Current Prices","..Cassava",5.8,11.8,-1.3,9.2,6.1,5.2,21.3,16.7,-1.1,-0.1,1.8,10.0,5.3,12.8,-1.0,-4.2,-5.1,27.5,8.9,47.6,-6.2,-7.2
"Current Prices","..Gourd",2.1,-18.1,662.6,9.4,11.4,4.2,5.7,4.2,1.6,-21.2,20.2,-1.6,3.2,-11.2,29.0,-23.3,-3.0,41.6,1.6,3.3,-9.1,7.5
"Current Prices","..Pepper, Finger",8.1,2.3,9.7,37.1,10.9,8.3,-0.4,26.9,42.5,-27.2,28.3,-10.8,35.5,-11.2,16.9,50.3,-23.9,29.1,-13.7,38.6,-13.9,12.9
"Current Prices","..Calamansi",-3.8,9.1,-0.3,10.3,16.2,13.2,5.6,18.1,7.1,-1.1,19.5,-6.4,5.6,-0.6,-11.8,12.2,-1.7,22.3,-9.9,-4.5,21.3,16.4
"Current Prices","..Okra",-3.3,-1.4,81.5,-24.2,26.3,-0.8,-10.8,25.9,0.0,-4.5,14.4,-0.4,-9.4,11.3,23.7,-12.0,-5.5,59.7,-24.1,21.3,3.7,-2.0
"Current Prices","..Other Crops",-22.0,9.6,-5.8,-4.9,11.8,9.4,7.1,17.2,-6.0,10.6,-0.7,-3.4,5.3,-0.7,31.4,10.2,-14.7,14.5,8.8,13.4,7.9,5.2
"Current Prices","LIVESTOCK",13.3,-0.7,-4.2,25.4,4.4,-2.8,2.2,10.3,2.0,7.8,2.5,6.0,7.4,4.2,-0.9,-0.5,11.6,9.8,-2.5,2.7,-2.2,8.8
"Current Prices","..Hog",13.2,0.4,-3.8,38.7,1.8,-5.9,1.1,10.8,4.0,9.0,0.7,7.3,8.1,6.0,-3.5,0.5,17.7,10.1,-5.7,9.5,-14.3,4.2
"Current Prices","..Cattle",12.9,-1.9,-5.0,7.3,5.6,-0.2,2.1,9.9,-2.1,4.4,6.6,5.3,5.0,1.4,2.6,-1.2,0.8,4.9,8.6,-5.1,23.2,9.9
"Current Prices","..Carabao",54.3,-3.8,-6.8,-0.3,13.4,10.3,6.0,8.3,3.2,8.8,5.7,6.9,9.2,-4.5,5.1,-1.8,-0.3,2.4,-9.0,-9.3,41.4,54.4
"Current Prices","..Goat",-3.4,-2.0,-2.6,9.7,14.6,4.0,6.6,9.9,-1.8,6.4,3.7,-1.0,7.0,4.9,5.6,-4.2,3.9,21.9,2.6,-17.4,16.0,2.6
"Current Prices","POULTRY",8.3,9.7,-8.6,13.6,17.5,18.6,11.9,23.3,11.0,-7.0,-0.5,16.4,4.6,-10.6,33.8,-23.0,3.2,11.8,-4.3,3.0,9.1,27.8
"Current Prices","..Chicken",7.6,11.3,-10.8,12.0,18.1,18.9,7.6,26.5,11.1,-10.5,-0.3,22.1,8.3,-12.0,40.8,-26.7,-1.9,12.2,-4.3,-1.4,15.0,33.6
"Current Prices","..Duck",-4.2,2.6,7.4,-13.6,20.2,-0.6,9.2,-0.4,-3.9,8.1,-0.8,3.9,4.9,-0.4,21.8,-3.1,11.9,-8.9,-5.6,4.1,6.7,-28.3
"Current Prices","..Chicken Eggs",21.9,5.0,1.8,28.9,16.4,22.1,33.2,16.2,12.8,5.4,-0.6,-1.6,-11.7,-5.0,2.4,-1.4,28.0,13.9,-4.2,20.4,-8.7,10.0
"Current Prices","..Duck Eggs",-10.7,-5.6,-8.6,15.8,3.8,6.3,9.8,-3.4,1.2,3.8,-10.0,2.4,4.9,-1.6,6.6,-12.6,6.7,-10.0,-7.9,-6.7,-5.0,32.5
"Current Prices","FISHERIES",3.4,11.1,11.7,29.3,19.0,25.3,7.4,21.5,-6.2,-0.6,16.6,10.9,0.7,20.5,-7.1,-1.5,4.5,3.8,14.1,6.3,16.7,2.0
"Current Prices","..Milkfish (Bangus)",.,.,14.4,39.7,25.4,26.4,11.1,19.7,-9.5,4.3,24.1,21.4,0.2,21.1,-7.9,3.2,4.0,0.6,14.4,4.6,24.3,0.1
"Current Prices","..Tilapia",.,.,18.2,30.3,27.0,26.9,3.6,9.2,-3.6,34.0,22.1,-9.5,4.8,26.3,-3.3,-10.3,15.6,28.6,8.0,4.9,-8.0,2.1
"Current Prices","..Tiger prawn (Sugpo)",.,.,-6.6,-2.2,-3.2,141.6,4.4,25.9,48.9,-35.3,32.1,69.6,13.9,82.4,-6.6,1.6,-2.2,-0.9,-19.5,-11.5,-12.8,-12.7
"Current Prices","..Squid (Pusit)",.,.,27.6,49.1,37.7,13.0,-2.7,5.8,-32.6,44.6,38.3,32.4,-8.1,-6.6,3.7,-11.7,0.8,2.2,-9.1,62.7,-22.9,29.0
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,25.8,9.9,-15.0,32.3,33.0,58.3,-12.1,31.6,-20.6,-33.5,7.2,3.7,-21.6,-42.7,3.0,1.8,22.1,-11.7,25.1,59.5
"Current Prices","..Roundscad (Galunggong)",.,.,41.1,-6.6,15.5,48.6,-9.0,323.8,-24.0,-60.3,69.4,2.8,0.2,1.0,2.9,-10.9,5.1,-13.5,66.5,3.8,-18.5,46.6
"Current Prices","..Grouper (Lapu-lapu)",.,.,55.0,26.5,81.6,-7.3,-15.4,-16.3,4.3,13.8,-29.5,-5.8,129.7,30.0,31.0,-25.8,12.0,107.2,-8.6,26.7,-16.8,248.9
"Current Prices","..Cavalla (Talakitok)",.,.,55.0,19.9,264.8,-16.4,31.5,-4.1,-42.7,-37.7,19.3,38.2,65.6,31.4,-4.3,-3.7,-3.1,109.0,27.5,40.1,23.2,-60.0
"Current Prices","..Skipjack (Gulyasan)",.,.,42.7,33.1,16.2,37.3,7.3,40.0,20.1,12.1,-4.5,-49.4,21.3,5.8,-30.8,-16.4,17.0,-26.7,31.1,17.4,9.1,43.3
"Current Prices","..Siganid (Samaral)",.,.,22.3,27.9,-12.6,-13.6,-11.2,-52.1,-32.4,24.8,3.2,47.8,8.5,1.9,24.6,-7.9,13.1,25.9,-5.4,25.6,2.6,-15.6
"Current Prices","..Threadfin bream (Bisugo)",.,.,-8.2,10.8,-37.5,61.4,-14.2,-8.2,-11.5,-36.2,60.0,29.3,-36.3,5.9,-2.9,-20.0,10.6,154.3,-3.6,10.7,-4.9,-50.6
"Current Prices","..Flying fish (Bolador)",.,.,13.3,19.6,-30.0,22.3,-25.8,-48.7,94.1,27.6,27.4,69.4,0.7,-14.1,32.4,2.4,3.9,59.8,-3.6,-17.0,-21.0,-65.1
"Current Prices","..Slipmouth (Sapsap)",.,.,3.0,39.1,2.0,-11.1,66.2,-23.8,-47.4,-49.9,91.8,-43.8,56.5,23.5,-34.8,-0.9,-7.3,262.7,-20.1,23.4,96.6,-46.3
"Current Prices","..Bigeye tuna (Tambakol/ Bariles)",.,.,25.8,9.9,-15.0,-6.5,128.4,43.9,-70.7,83.6,8.4,-84.3,-13.5,14.6,252.4,4.8,21.2,222.9,-40.4,57.5,29.6,-64.0
"Current Prices","..Blue crab (Alimasag)",.,.,20.4,24.6,145.4,-27.4,31.7,-22.6,-42.7,25.2,69.1,-44.7,10.0,13.6,-1.5,37.0,21.5,133.6,47.1,19.0,32.3,-25.2
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,-34.0,17.5,-15.3,50.2,-10.1,6.7,-11.6,10.9,17.4,29.6,-26.6,-22.4,-31.0,-27.1,8.6,40.7,50.5,5.6,39.9,11.6
"Current Prices","..Endeavor prawn (Suahe)",.,.,36.7,260.5,14.8,22.0,13.2,-30.2,-38.7,-6.4,-7.1,-2.8,14.5,42.3,-18.5,13.8,14.4,-28.1,-8.0,-8.0,-11.3,-67.3
"Current Prices","..Spanish mackerel (Tanigue)",.,.,2.9,21.8,10.0,47.7,-19.1,-43.3,69.3,-26.1,27.6,-57.2,30.0,31.1,-9.0,-31.8,-18.7,15.9,23.7,14.9,146.6,-30.4
"Current Prices","..Anchovies (Dilis)",.,.,-8.6,3.9,-23.5,-32.6,3.6,-30.6,20.7,-48.3,-6.6,-33.6,45.8,57.8,-18.5,11.3,-11.5,7.7,-16.9,53.8,20.6,63.8
"Current Prices","..Frigate tuna (Tulingan)",.,.,10.7,20.6,-32.1,-4.6,-8.7,-33.3,663.8,-33.0,-39.6,-81.1,-5.2,16.6,22.7,97.3,98.5,-35.8,431.7,-21.7,-17.7,17.8
"Current Prices","..Other Fisheries",.,.,5.2,13.8,25.0,24.1,-3.3,24.4,1.0,-18.7,0.7,-2.8,-7.5,8.2,-1.6,-15.2,3.1,-6.6,34.5,16.8,0.6,7.1
"Current Prices","AGRICULTURE",4.2,3.6,2.1,17.3,13.2,10.2,5.6,18.3,-6.5,2.8,6.3,10.0,3.9,11.0,-4.4,-1.5,6.7,8.5,-4.5,5.3,6.5,7.5
"Constant 2018 Prices","CROPS",3.4,1.5,5.2,2.6,5.0,6.0,3.6,-3.1,-16.0,7.2,1.0,4.6,1.0,3.2,-0.9,-2.7,2.2,-6.1,5.3,1.3,-0.3,1.0
"Constant 2018 Prices","..Palay",1.6,-0.4,6.7,1.0,5.0,15.5,2.8,3.0,-20.1,15.3,2.9,8.4,0.7,2.6,-1.1,1.6,3.7,-8.1,7.6,2.8,0.0,3.3
"Constant 2018 Prices","..Corn",5.3,-0.3,8.0,13.8,34.1,6.7,4.8,8.4,-3.5,2.1,8.2,12.1,2.9,6.5,3.0,3.5,9.5,0.8,2.5,-2.0,1.4,2.5
"Constant 2018 Prices","..Mango",5.6,4.1,3.1,3.1,2.3,-4.2,5.3,-14.0,-23.2,-1.0,-4.9,-4.2,-1.7,4.1,-4.3,-19.3,-7.3,-13.6,6.5,-0.2,-3.2,-3.7
"Constant 2018 Prices","..Eggplant",7.1,5.6,2.0,5.9,2.1,11.3,11.9,-16.0,-4.1,5.1,2.3,1.1,2.6,1.6,3.2,6.4,3.3,3.5,6.4,-3.8,2.4,2.7
"Constant 2018 Prices","..Tobacco",-4.9,3.4,5.3,-9.3,-11.6,-2.9,-17.0,-5.7,3.2,12.3,10.4,7.8,14.1,8.0,-1.7,-3.0,-6.8,-2.8,-0.7,5.6,-1.8,-10.6
"Constant 2018 Prices","..Tomato",0.7,1.1,5.5,9.8,-4.7,-1.9,12.1,1.5,6.2,6.1,-1.5,2.6,2.3,0.7,0.0,-5.1,5.3,-0.3,1.7,0.2,2.3,-16.4
"Constant 2018 Prices","..Onion",2.9,1.6,0.4,7.8,3.0,3.1,4.9,-6.9,-7.5,5.8,-3.5,-0.5,-1.6,-0.1,0.8,-3.9,4.7,-4.9,1.3,4.4,-3.9,0.1
"Constant 2018 Prices","..Banana",2.3,-0.8,0.6,6.2,6.1,12.3,10.6,-0.6,-6.2,-4.7,-1.1,4.4,2.2,0.9,-1.6,-3.8,2.0,-0.4,-1.1,4.5,1.9,4.8
"Constant 2018 Prices","..Mongo",-2.4,-4.2,-3.7,4.7,-0.6,4.9,1.5,-3.6,-0.4,-1.3,-0.6,1.4,2.2,5.5,-1.9,4.2,2.0,0.5,4.0,-1.2,-3.5,-1.7
"Constant 2018 Prices","..Peanut",1.7,-1.0,-1.7,6.7,6.4,3.8,5.9,-9.5,0.2,2.4,-4.6,1.7,-2.8,2.9,-1.7,-3.1,7.7,-0.5,-0.8,0.8,1.7,4.8
"Constant 2018 Prices","..Coconut",2.7,1.6,6.0,6.1,13.9,18.3,9.4,4.6,5.2,-1.7,2.9,2.2,3.0,1.2,-3.7,1.8,8.6,-2.6,0.3,3.3,0.7,6.5
"Constant 2018 Prices","..Garlic",20.3,4.5,-5.3,-4.3,-3.0,-4.8,-11.8,-0.4,-9.2,-12.5,-7.7,-6.8,1.7,5.0,21.0,-38.2,13.7,-2.3,-3.2,-4.1,-1.2,-1.5
"Constant 2018 Prices","..Stringbeans",2.7,3.1,357.1,5.7,4.5,3.4,7.1,4.5,-0.7,6.6,1.9,2.8,2.3,1.6,-0.9,1.4,1.7,-1.4,2.9,0.9,-1.7,-0.2
"Constant 2018 Prices","..Ampalaya",4.0,3.3,58.4,4.4,9.0,0.3,10.7,8.3,-5.2,0.6,-2.9,-0.1,2.4,1.0,0.5,-3.7,4.2,-0.2,3.0,2.1,-1.2,4.1
"Constant 2018 Prices","..Sweet Potato",-1.2,-3.0,4.7,5.9,5.6,0.1,0.6,-6.4,-1.0,2.3,-1.7,-1.8,-0.1,1.2,-3.8,4.4,3.9,-0.3,-1.3,0.2,-0.5,-2.2
"Constant 2018 Prices","..Watermelon",7.3,4.1,11.3,3.2,0.5,-9.1,-9.0,-15.5,-13.3,-6.7,10.4,-3.0,0.1,3.5,9.0,-0.9,-2.3,12.4,0.4,-2.7,0.5,-0.1
"Constant 2018 Prices","..Squash",5.7,2.4,142.3,3.2,3.5,-0.9,-2.3,-9.1,-5.9,-4.2,-2.7,3.2,0.7,0.3,-3.0,-0.1,5.0,-1.7,0.0,-0.5,-2.9,-0.7
"Constant 2018 Prices","..Cassava",4.1,-2.4,-5.5,2.6,-3.6,20.5,2.8,-0.3,4.3,2.5,-1.0,-1.0,-1.6,1.4,-1.6,2.2,4.0,2.8,-0.4,1.1,-0.7,-8.2
"Constant 2018 Prices","..Gourd",1.9,-13.7,285.9,0.0,0.9,-2.7,2.3,-6.7,-4.1,1.9,-2.4,3.7,1.3,2.0,-1.1,-2.9,1.8,-3.4,2.3,0.4,0.7,1.7
"Constant 2018 Prices","..Pepper, Finger",8.1,2.7,3.0,13.5,6.7,2.9,3.6,7.7,1.0,2.6,2.6,3.1,1.5,3.3,2.1,3.1,3.9,-0.4,4.0,0.2,-2.6,-1.3
"Constant 2018 Prices","..Calamansi",4.3,2.1,2.4,5.1,10.5,18.9,7.5,0.9,-3.5,0.0,0.8,0.9,2.0,-0.8,0.7,-0.4,1.2,-3.0,0.4,2.8,1.4,2.5
"Constant 2018 Prices","..Okra",4.9,3.1,-2.4,2.9,27.4,1.9,-0.4,2.2,-2.4,0.7,3.2,-0.2,4.6,2.4,1.5,3.0,5.4,0.6,4.5,0.7,0.7,1.7
"Constant 2018 Prices","..Other Crops",7.9,0.7,-7.4,6.4,19.2,3.2,4.0,2.3,-3.9,-1.2,-1.3,0.6,1.6,0.9,0.5,0.9,0.7,-0.9,-0.7,-0.8,-1.5,-0.2
"Constant 2018 Prices","LIVESTOCK",0.2,0.1,-2.2,-1.9,-2.8,-1.5,0.5,-1.6,0.0,2.2,1.3,4.9,2.0,-1.6,2.2,1.9,1.8,4.0,-0.2,-6.2,-24.8,-7.3
"Constant 2018 Prices","..Hog",3.9,2.7,-0.1,-2.4,-3.6,-2.1,0.8,-3.2,2.3,1.6,2.8,7.6,1.6,-1.6,1.4,4.6,4.1,5.1,-0.1,-2.5,-37.5,-8.0
"Constant 2018 Prices","..Cattle",-6.2,-5.2,-6.3,-2.2,-5.7,-2.4,-0.2,-0.1,-3.7,1.3,-1.8,0.6,3.1,-0.4,2.3,-2.0,-1.4,-0.3,3.5,-11.0,-0.1,-6.9
"Constant 2018 Prices","..Carabao",0.8,-2.0,-4.1,-2.9,1.7,4.8,0.1,-1.7,-0.1,6.7,-1.3,1.5,5.4,-5.0,5.0,-3.5,-4.7,-2.5,-10.3,-12.9,13.3,3.1
"Constant 2018 Prices","..Goat",-4.0,-0.1,-4.3,2.6,6.7,0.1,0.4,4.6,-5.0,4.3,0.5,0.2,0.8,-1.0,5.1,-2.8,-2.3,8.6,-1.0,-18.4,5.1,-11.3
"Constant 2018 Prices","POULTRY",6.6,1.8,-1.2,3.3,14.1,13.1,6.7,5.2,1.6,0.7,0.1,5.8,-0.9,-2.1,2.3,-4.3,1.9,8.9,0.0,1.9,-8.3,10.5
"Constant 2018 Prices","..Chicken",6.3,1.9,-1.5,1.3,14.6,13.3,4.3,5.3,1.8,1.1,0.6,8.0,2.3,-1.0,0.4,-4.9,-0.9,8.8,-0.8,0.4,-9.8,13.6
"Constant 2018 Prices","..Duck",-3.4,7.4,-3.1,2.5,1.0,-4.6,3.4,-9.5,-8.3,-1.7,0.1,0.2,0.6,-3.7,15.1,-4.6,-1.1,-18.6,-17.3,-2.9,-11.6,-10.4
"Constant 2018 Prices","..Chicken Eggs",15.2,2.5,3.1,14.4,17.1,18.5,19.0,8.8,3.7,0.8,-1.9,-1.4,-14.6,-7.8,10.2,0.0,15.5,14.3,5.3,8.4,-3.1,2.5
"Constant 2018 Prices","..Duck Eggs",-3.4,-8.9,-8.1,2.5,4.1,0.0,0.8,-10.1,-11.8,-12.1,2.8,-0.3,-1.6,-3.0,5.7,-14.9,2.5,-11.5,-11.6,-11.3,-8.3,-1.0
"Constant 2018 Prices","FISHERIES",5.6,14.5,8.5,13.6,18.7,21.8,14.7,1.1,-7.5,-0.5,10.1,-1.5,7.6,13.8,-7.7,-3.0,1.7,-4.1,8.3,5.7,5.6,2.7
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,9.8,21.6,25.2,24.0,18.0,-8.1,-11.3,4.2,20.9,2.6,11.1,12.9,-8.2,3.5,0.4,-5.9,10.3,7.8,9.6,3.9
"Constant 2018 Prices","..Tilapia",.,.,21.0,18.9,16.6,27.9,-2.7,4.5,-7.1,43.6,6.1,0.7,4.3,26.7,0.0,-10.9,19.0,13.1,4.1,-1.1,-10.8,-1.2
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,-8.4,-5.2,-4.9,132.9,9.4,16.7,49.9,4.1,10.8,43.8,12.2,58.9,-13.1,-15.2,-5.5,-4.6,-19.5,-10.0,-15.7,8.9
"Constant 2018 Prices","..Squid (Pusit)",.,.,14.8,3.5,53.8,31.4,0.8,-12.1,-17.6,34.4,48.1,34.3,-7.4,-6.8,7.0,-14.2,1.9,-14.5,-15.4,16.4,-13.5,28.8
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,22.0,0.6,-15.0,21.7,37.2,51.1,-16.1,16.1,-22.3,-36.1,5.7,3.3,-22.5,-43.5,-1.0,-10.4,7.2,-11.1,16.0,45.2
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,34.2,-10.4,7.8,47.2,-14.8,287.8,-23.7,-61.0,57.8,-1.0,-3.4,0.2,1.4,-12.6,2.3,-21.3,61.6,0.2,-24.3,46.9
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,47.0,14.8,77.9,-13.1,-15.9,-19.5,16.3,-4.9,-7.4,24.1,127.7,28.9,14.0,-16.5,14.7,70.4,-17.2,2.7,-23.8,66.2
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,35.1,16.4,238.2,-18.2,21.2,-7.5,-36.9,-39.6,14.8,84.4,60.1,30.0,-2.2,-6.7,0.8,67.8,8.4,12.8,12.8,-58.5
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,75.1,7.2,2.9,38.9,9.5,25.0,13.2,0.0,-6.1,-49.8,14.9,5.9,-28.3,-14.8,14.2,-26.2,7.3,11.0,-2.7,31.6
"Constant 2018 Prices","..Siganid (Samaral)",.,.,-14.0,2.2,-7.9,-2.6,-9.4,-52.5,-49.8,25.9,11.0,68.9,11.7,4.6,12.2,-6.4,12.8,23.0,-14.2,6.2,-2.1,-27.0
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,7.1,-1.8,-37.8,51.9,-12.1,-16.5,-8.1,-34.6,55.6,25.8,-32.6,6.3,-10.2,-20.3,8.4,133.6,-10.7,-3.6,-11.2,-50.8
"Constant 2018 Prices","..Flying fish (Bolador)",.,.,6.3,0.5,-16.5,-0.3,-7.2,-54.9,63.0,41.0,19.5,71.4,-2.5,-7.8,30.5,4.3,4.9,29.6,-20.3,-23.8,-31.0,-69.6
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,0.1,3.6,14.2,-15.6,59.7,-30.3,-39.5,-50.7,91.9,-50.9,50.4,21.6,-35.8,-3.8,-10.6,263.9,-29.1,15.9,70.6,-46.5
"Constant 2018 Prices","..Bigeye tuna (Tambakol/ Bariles)",.,.,22.0,0.6,-15.0,-11.1,103.7,49.8,-58.9,65.6,-3.3,-81.4,-42.1,15.0,208.4,21.8,18.8,174.2,-47.8,49.6,9.6,-66.5
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,19.2,9.0,142.3,-34.5,24.3,-17.5,-47.1,20.4,59.6,-43.9,16.2,8.6,-1.4,20.0,18.2,167.7,12.5,6.7,23.7,-33.7
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,-33.9,7.3,-11.7,45.7,-14.3,2.0,-11.4,3.0,30.3,12.4,-26.4,-16.8,-32.3,-30.4,1.5,32.1,33.5,1.9,31.5,-1.8
"Constant 2018 Prices","..Endeavor prawn (Suahe)",.,.,23.2,249.5,30.8,10.8,3.5,-27.9,-45.1,-22.3,-16.9,-7.5,17.8,78.9,-27.8,3.5,15.7,-27.1,-23.7,-11.9,4.4,-66.6
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,13.4,-6.9,46.1,45.3,-25.9,-48.1,75.7,-25.4,17.3,-59.4,35.3,24.1,-13.4,-34.1,-13.3,8.2,14.7,-5.7,117.0,-16.5
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,-4.9,5.8,-35.8,-34.1,9.3,-38.7,5.4,-44.3,-14.5,-38.1,49.7,68.8,-32.4,-2.3,-3.1,10.7,-19.0,19.9,6.0,22.4
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,28.3,0.4,-41.0,-8.6,-7.7,-40.3,591.6,-27.5,-38.2,-82.8,-5.4,13.6,22.3,131.1,71.1,-47.0,364.9,-24.2,-25.2,13.3
"Constant 2018 Prices","..Other Fisheries",.,.,1.6,1.3,25.0,12.1,14.4,12.7,1.1,-13.5,-15.1,-10.3,-8.0,0.9,-0.5,-18.1,2.2,-20.8,17.5,6.2,-0.8,-6.4
"Constant 2018 Prices","AGRICULTURE",3.2,2.3,3.8,2.9,5.7,7.1,4.7,-1.7,-11.5,4.8,2.2,3.9,1.9,3.6,-1.3,-2.3,2.1,-3.2,4.4,1.0,-3.4,1.3
