"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Eggplant",-39.3,-4.2,-9.4,52.4,-3.3,12.3,2.3,24.3,-2.6,-35.0,84.9,-7.1,-3.3,7.7,16.6,-0.9,7.1,10.3,-11.7,-1.9,73.3,2.2
"Current Prices","..Mongo",23.9,14.5,-18.0,1.7,28.8,-42.6,117.7,58.5,-31.8,70.4,221.7,-42.7,25.3,-8.8,12.7,-5.6,-5.7,4.6,-13.0,13.8,-21.1,3.3
"Current Prices","..Stringbeans",-29.3,24.8,403.4,21.5,-2.6,1.2,-20.4,14.3,-3.3,-1.7,-12.7,4.3,2.1,2.4,13.2,-3.8,3.1,16.8,-12.6,10.6,7.3,1.2
"Current Prices","..Squash",-11.8,22.7,166.5,-14.0,12.1,-17.8,-8.3,19.2,20.4,-28.8,16.7,-16.8,-12.8,-0.9,22.1,-3.3,-8.4,24.2,-19.0,-15.3,76.2,-18.0
"Current Prices","..Onion, Bermuda",98.4,-26.7,-10.4,76.6,-0.5,2.1,197.1,-25.1,-25.1,-23.3,263.0,-38.5,115.7,-1.2,-16.2,103.3,-15.7,64.2,-64.0,139.6,63.0,130.5
"Current Prices","..Tomato",-0.2,-56.0,81.6,9.6,22.7,71.1,14.8,0.5,1.4,-10.1,1.2,-21.7,15.6,-38.1,70.3,-9.3,11.2,50.5,-23.1,23.7,11.4,15.4
"Current Prices","..Ginger",29.6,132.5,5.0,-31.6,-25.5,-29.3,100.4,150.9,-13.7,14.6,-42.3,-40.1,68.8,203.7,-16.8,-43.0,40.4,-34.3,46.9,32.7,47.8,-67.8
"Current Prices","..Ampalaya",-0.5,-19.1,50.1,15.0,-11.0,28.3,15.0,19.0,-13.8,-26.0,42.2,-11.9,10.6,-11.3,26.6,-8.1,-7.9,27.4,-15.8,-8.5,13.5,84.4
"Current Prices","..Pechay",-8.0,-10.8,11.7,41.8,21.5,14.0,-10.8,13.7,3.8,-8.5,-7.7,-7.8,13.7,19.9,10.5,29.3,-0.2,27.1,-16.4,-1.7,20.2,-8.8
"Current Prices","..Calamansi",-22.0,22.1,59.7,-20.7,12.3,16.1,15.7,34.3,25.2,-22.7,21.1,2.8,-5.0,-4.3,6.6,-16.4,-13.2,18.4,-26.4,-4.8,51.8,-0.6
"Current Prices","..Peanut",-20.4,8.7,-1.1,-0.1,18.7,5.7,22.2,5.5,9.3,-25.5,38.1,9.5,19.1,-12.8,16.8,-15.8,0.6,-1.8,5.2,2.5,-11.2,5.7
"Current Prices","..Garlic",-17.8,39.5,-25.2,-11.2,25.2,28.1,-9.1,9.0,-27.4,-1.5,91.2,129.9,7.5,-2.5,25.0,13.6,4.4,49.7,5.7,-27.6,-1.5,7.1
"Current Prices","..Mandarin",-15.4,-28.4,7.9,3.2,2.8,169.3,14.8,-2.7,-3.8,-12.5,0.8,0.0,-18.8,-0.9,3.4,-18.4,-28.9,48.0,20.8,5.2,10.1,7.4
"Current Prices","..Other Crops",18.1,20.7,-33.9,14.7,-8.0,10.4,1.2,18.3,0.7,-4.0,7.4,16.8,12.9,9.0,15.4,14.9,7.3,16.4,-9.3,-7.2,10.0,4.7
"Current Prices","LIVESTOCK",6.9,-2.9,5.1,30.4,-1.1,-8.8,-10.6,11.0,4.1,-3.6,-7.1,4.1,18.1,3.6,-3.8,-3.0,16.0,4.3,-3.8,-2.4,2.5,-4.0
"Current Prices","..Hog",11.8,-0.4,6.9,35.8,-2.3,-9.6,-13.7,11.5,4.0,-6.9,-9.7,4.9,23.6,2.9,-3.7,-7.8,20.7,5.3,-6.2,-2.4,-2.0,-19.7
"Current Prices","..Cattle",-10.2,-10.7,-3.0,11.8,1.8,-7.9,-5.1,11.1,2.4,7.6,6.1,8.4,8.0,4.6,-3.2,13.7,3.4,-1.4,6.1,-0.9,24.7,33.1
"Current Prices","..Carabao",-4.0,-11.5,1.4,8.4,8.9,-4.4,9.7,8.6,7.6,11.3,-5.5,-5.8,-2.2,8.5,-5.5,10.1,4.3,2.9,1.6,-5.5,6.1,41.1
"Current Prices","..Goat",18.4,-4.8,2.5,17.4,1.2,-2.6,-1.1,4.9,0.9,-7.0,1.1,3.6,-0.5,4.2,-2.1,12.7,3.1,9.0,-2.1,-1.0,1.3,14.1
"Current Prices","POULTRY",9.1,-7.1,12.6,5.1,3.4,-1.2,-10.2,0.9,1.6,7.3,17.4,5.9,9.8,11.6,-1.0,5.4,0.2,4.7,-2.9,0.0,19.7,-2.0
"Current Prices","..Chicken",5.3,-6.7,16.9,-1.6,9.0,-5.8,-17.8,1.9,11.0,12.3,24.5,5.7,10.3,11.1,-1.4,5.4,-2.1,4.2,-6.4,-3.6,33.2,-3.4
"Current Prices","..Duck",10.3,-5.2,8.0,4.5,-8.6,10.2,0.9,-12.6,-21.7,-25.0,12.0,0.5,-3.5,-5.0,-0.7,9.0,7.2,12.4,7.8,-1.5,-7.0,19.5
"Current Prices","..Chicken Eggs",16.2,-7.7,-4.5,39.8,-7.0,13.7,5.2,10.5,-7.7,6.8,-3.1,6.3,15.3,22.2,-0.3,7.6,6.8,7.8,8.8,12.8,-8.5,-3.5
"Current Prices","..Duck Eggs",39.4,-12.6,8.9,20.1,-8.0,2.0,13.1,-7.9,-18.6,-5.1,-3.1,14.6,-1.4,0.7,4.6,-5.8,6.9,-8.5,-6.8,-6.3,-10.4,20.6
"Current Prices","FISHERIES",24.0,41.3,3.0,16.4,7.7,17.6,13.4,6.6,0.8,3.1,7.6,-1.2,5.9,2.0,2.5,-4.0,1.4,-3.3,-0.7,3.0,4.1,20.2
"Current Prices","..Tilapia",.,.,-2.9,28.4,39.4,23.7,16.9,15.8,5.6,-12.4,19.5,14.1,-1.4,-2.4,-10.8,-6.7,9.1,-1.2,1.1,4.9,1.8,3.3
"Current Prices","..Frigate tuna (Tulingan)",.,.,-23.8,33.5,0.6,51.1,12.0,-26.3,0.2,-13.1,5.8,-19.7,10.9,22.9,22.6,-0.5,8.6,-2.5,-1.8,-4.9,8.0,13.2
"Current Prices","..Hairtail (Espada)",.,.,190.6,15.9,134.1,5.9,31.3,-3.3,4.6,40.5,3.3,-19.8,19.9,20.1,30.0,6.7,-14.6,-6.0,-5.9,-11.8,6.5,-0.4
"Current Prices","..Anchovies (Dilis)",.,.,-8.3,7.9,0.0,13.7,23.5,-0.6,-25.1,19.2,-3.5,-4.3,14.6,12.8,20.5,-8.9,-14.5,5.6,4.7,-2.3,13.0,15.7
"Current Prices","..Roundscad (Galunggong)",.,.,-45.2,7.4,-25.4,-7.6,10.1,-16.0,-15.7,17.5,3.6,-13.8,19.9,0.0,12.2,6.9,-9.6,-9.2,-1.5,-6.2,11.9,13.9
"Current Prices","..Carp (Carpa)",.,.,8.3,9.9,15.4,13.4,15.7,9.3,5.8,-1.1,4.6,21.2,-4.0,-8.5,-14.8,5.7,9.8,-5.0,9.9,0.3,12.2,11.8
"Current Prices","..Spanish mackerel (Tanigue)",.,.,118.3,8.4,26.4,18.1,12.1,-29.6,33.9,27.2,-7.4,-3.2,10.6,2.3,-2.6,-2.4,3.2,-7.2,-10.3,-1.7,6.6,-13.3
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,136.3,20.9,76.2,150.5,-5.9,-36.0,12.6,-26.5,-6.0,-13.0,-8.6,15.2,2.3,-1.9,6.4,-1.6,-6.5,-3.7,4.9,5.8
"Current Prices","..Squid (Pusit)",.,.,49.7,36.7,-1.1,30.1,11.0,25.1,-3.1,5.2,-0.6,-7.9,14.2,6.0,18.2,-0.5,-12.7,-12.0,-4.0,-2.0,2.2,2.5
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,12.9,11.7,8.3,-6.1,17.7,-11.8,2.6,-2.8,-6.0,-13.5,-22.6,6.9,6.9,9.2,-12.3,-7.6,-5.5,-8.9,9.5,13.1
"Current Prices","..Slipmouth (Sapsap)",.,.,-30.9,20.3,-31.4,-0.5,2.7,0.0,-13.5,3.5,5.4,-19.2,18.0,6.7,18.4,-1.3,-8.5,-9.9,-10.3,-8.8,-6.6,20.9
"Current Prices","..Threadfin bream (Bisugo)",.,.,774.5,4.6,34.1,-24.3,-36.2,6.8,268.6,62.0,5.6,-7.9,17.1,17.5,-0.3,-5.5,5.9,-5.1,-11.2,-9.4,5.9,-15.0
"Current Prices","..Cavalla (Talakitok)",.,.,-16.9,9.5,9.6,-4.6,-1.6,17.9,-17.4,40.7,-6.4,2.0,9.7,-6.7,3.4,-4.0,-1.0,5.8,3.5,-3.2,17.3,49.9
"Current Prices","..Catfish (Hito/Kanduli)",.,.,-13.3,33.1,-0.9,38.3,-25.6,4.3,5.4,-1.3,3.3,37.5,14.4,-14.4,-21.2,-15.9,6.6,-7.6,7.6,0.2,8.6,0.8
"Current Prices","..Skipjack (Gulyasan)",.,.,-27.4,4.3,18.4,23.9,33.3,13.2,58.9,12.9,-4.1,-7.6,0.7,15.3,14.2,-0.3,-14.1,-14.0,-14.2,-7.9,-1.8,69.8
"Current Prices","..Mudcrab (Alimango)",.,.,-24.0,-6.1,119.1,73.6,39.2,15.4,-9.1,0.5,14.9,3.5,-1.9,3.2,-8.1,-15.2,0.2,10.5,6.5,-8.6,-2.2,11.7
"Current Prices","..Siganid (Samaral)",.,.,113.0,-11.7,139.0,173.3,21.1,-7.3,157.7,-4.5,5.8,5.9,2.9,15.4,9.5,-10.8,13.5,12.0,-0.7,11.7,-2.1,13.9
"Current Prices","..Freshwater clams (Tulya)",.,.,99.7,195.6,-18.9,22.5,39.1,5.6,2.9,24.3,19.1,-9.6,-1.5,15.0,-12.4,15.8,-20.9,4.8,3.0,16.6,6.0,12.1
"Current Prices","..Oyster (Talaba)",.,.,28.4,23.6,55.7,44.2,-3.9,-6.4,15.2,47.5,-14.8,-12.5,16.1,3.1,36.9,7.6,13.8,10.3,21.5,3.2,15.4,8.2
"Current Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,1271.1,28273.5,83.9,9.2,55.2,-0.7,4.8,-3.1,7.5,56.4,9.2,68.0
"Current Prices","..Other Fisheries",.,.,31.8,12.3,-3.1,6.8,15.3,21.1,-2.8,10.4,6.9,-13.2,3.4,-1.2,-4.1,-7.1,2.5,-4.1,-2.8,-6.7,-0.8,20.3
"Current Prices","AGRICULTURE",1.6,0.7,0.5,27.3,-3.0,13.2,8.2,18.9,1.9,-9.6,20.4,14.1,3.6,16.9,-11.5,-0.9,10.3,4.5,-4.9,1.8,10.5,7.4
"Constant 2018 Prices","CROPS",-1.0,-1.8,-2.2,14.8,-10.1,15.3,7.0,4.0,1.4,-15.1,17.3,13.1,-0.3,5.5,-1.1,-5.3,8.7,-8.7,8.8,0.3,5.9,1.7
"Constant 2018 Prices","..Palay",1.4,-5.7,-2.4,13.6,-2.3,5.7,3.7,2.7,-0.2,-16.0,22.9,13.1,-0.1,3.8,-1.0,-6.3,13.9,-10.4,11.1,0.0,10.0,0.6
"Constant 2018 Prices","..Corn",-4.7,-8.2,-1.0,45.4,-35.8,58.5,5.1,15.3,8.2,-20.9,26.8,17.1,-8.6,8.3,-3.0,-6.8,9.5,-11.5,14.9,-0.3,1.6,3.6
"Constant 2018 Prices","..Banana",-2.3,2.1,-14.5,-8.7,27.4,30.4,10.2,-2.3,10.9,-12.2,-26.9,14.9,16.8,4.2,2.1,-7.7,-13.2,12.7,-17.4,14.3,0.4,1.8
"Constant 2018 Prices","..Mango",-17.9,28.3,36.4,-39.9,-1.4,13.1,76.4,-26.5,-42.7,55.1,-21.0,-24.8,37.3,11.9,-6.6,21.3,-20.1,-2.3,-5.0,11.1,-6.1,0.3
"Constant 2018 Prices","..Cassava",14.9,22.4,11.8,6.1,10.9,-2.6,-2.2,1.3,24.9,7.1,69.7,-4.5,16.1,74.8,76.7,30.2,4.0,-8.0,-6.8,-14.8,-19.8,-3.0
"Constant 2018 Prices","..Tobacco",-0.2,-0.7,-2.2,24.5,5.2,-61.7,82.8,-10.2,46.0,13.7,16.9,5.6,-0.5,23.9,-27.2,5.0,-22.2,11.6,14.3,-0.5,-7.6,4.4
"Constant 2018 Prices","..Pineapple",2.9,7.3,11.1,3.9,-7.2,13.9,19.4,7.6,5.7,-9.8,-9.1,6.1,10.2,8.3,3.8,-0.9,0.5,10.8,-7.0,9.8,2.8,8.7
"Constant 2018 Prices","..Coconut",12.5,10.3,-0.3,16.2,16.3,14.2,5.0,-2.0,-7.6,-6.4,-11.2,10.8,8.0,3.9,3.7,0.1,-4.4,0.1,-1.7,8.4,5.0,1.8
"Constant 2018 Prices","..Sugarcane",35.8,4.3,56.5,34.6,-33.2,10.9,5.8,1.1,-23.2,-10.2,-2.9,42.8,95.2,15.8,2.6,-3.7,-18.6,-12.8,-12.2,-8.9,10.2,5.1
"Constant 2018 Prices","..Eggplant",-19.1,6.2,-22.7,13.1,-0.3,-9.8,22.6,3.8,2.9,-8.2,5.8,2.9,3.0,-3.7,5.7,-11.9,10.4,-7.5,-1.8,-0.9,-1.8,-0.3
"Constant 2018 Prices","..Mongo",20.3,7.5,-17.3,-0.1,10.7,-52.0,116.0,45.8,-25.5,7.0,153.9,-9.9,-6.4,-15.2,15.2,0.4,-5.6,-6.0,-6.6,-2.3,-20.8,16.2
"Constant 2018 Prices","..Stringbeans",4.1,10.7,351.1,-3.2,-3.9,-3.1,-4.7,0.5,-3.5,-9.5,-4.9,-2.7,2.1,-8.8,0.4,-7.1,-0.4,-6.2,-1.9,2.8,-3.6,-0.9
"Constant 2018 Prices","..Squash",7.2,-9.2,162.0,-2.1,-7.9,-17.0,5.9,0.9,0.5,-7.2,-14.9,-3.9,-6.8,-2.0,-3.3,1.6,-7.3,-4.7,-7.6,-3.2,-3.4,-5.9
"Constant 2018 Prices","..Onion, Bermuda",-6.4,54.4,-30.2,29.8,-18.1,-32.3,467.3,-60.1,2.9,61.3,53.1,-43.4,167.9,5.0,-8.1,12.7,10.7,2.3,0.3,-1.0,0.5,5.0
"Constant 2018 Prices","..Tomato",-9.8,-4.3,-10.7,3.4,1.8,72.7,7.9,-8.5,-6.7,-8.0,-2.7,-7.9,-0.3,4.6,4.9,3.1,1.7,1.5,-1.1,5.2,-1.9,-4.4
"Constant 2018 Prices","..Ginger",3.6,-5.0,-10.2,-5.1,-7.1,10.3,10.7,-9.5,-2.0,-4.0,-1.6,-2.4,4.2,1.4,-5.0,-2.2,5.4,0.5,-1.4,1.6,8.5,-2.6
"Constant 2018 Prices","..Ampalaya",13.0,16.1,35.4,-4.9,-8.0,5.8,14.7,6.9,-2.9,-15.1,2.5,0.9,3.4,-4.7,-5.1,-8.3,0.7,-10.0,-2.3,2.2,0.5,-1.7
"Constant 2018 Prices","..Pechay",5.8,3.1,-4.3,4.7,8.5,10.1,1.4,2.2,-5.0,-8.7,0.6,3.2,-0.1,2.5,0.5,3.2,11.2,-3.5,-4.1,0.5,-2.5,-2.9
"Constant 2018 Prices","..Calamansi",1.4,6.8,-6.6,-13.9,9.6,19.8,39.7,-0.6,-10.0,-5.0,-3.6,-0.8,2.2,-6.5,5.6,-4.6,-4.1,-19.3,-6.1,-4.6,0.3,6.1
"Constant 2018 Prices","..Peanut",-12.2,-2.1,-2.4,1.5,2.0,4.2,13.8,-0.4,9.3,-23.5,28.9,-10.6,1.7,-8.3,6.7,-17.4,-2.1,1.3,-2.3,-6.5,-2.2,16.0
"Constant 2018 Prices","..Garlic",-6.8,21.1,-12.5,1.5,-15.8,-2.0,44.2,-1.3,-1.4,-13.7,5.9,132.2,34.0,1.4,3.8,-0.6,-14.9,1.7,1.3,-2.4,-4.5,14.2
"Constant 2018 Prices","..Mandarin",-6.2,12.5,-1.3,-15.8,9.8,226.9,3.8,-8.5,-4.0,-13.5,-6.4,-4.0,-6.9,-9.7,4.5,-8.2,-1.3,-7.4,0.7,-2.4,-3.3,3.8
"Constant 2018 Prices","..Other Crops",-5.2,33.7,-27.4,-7.9,-11.5,4.3,5.9,-1.0,-5.8,-10.0,-4.5,21.2,10.1,6.7,2.2,-3.6,1.9,-0.6,-2.4,-4.6,3.6,2.7
"Constant 2018 Prices","LIVESTOCK",4.3,4.9,4.7,-1.0,-2.3,-4.3,-12.4,-8.1,-2.8,0.1,-0.4,2.0,-0.6,-1.6,0.8,4.4,0.5,-2.1,0.4,-5.1,-32.8,-12.3
"Constant 2018 Prices","..Hog",6.6,6.6,5.9,-2.0,-3.0,-3.3,-15.8,-10.0,-1.8,-2.2,0.2,3.5,0.4,-2.4,2.6,3.6,2.1,-1.5,1.0,-4.9,-42.4,-19.2
"Constant 2018 Prices","..Cattle",-9.4,-1.8,-0.3,2.0,-0.6,-10.0,-4.9,-0.7,-5.5,6.8,3.4,4.1,1.6,1.4,-3.0,7.1,-5.1,-4.5,2.3,-4.9,0.8,2.9
"Constant 2018 Prices","..Carabao",5.9,2.2,1.9,1.3,0.2,-6.0,3.9,-4.0,-5.4,10.1,-6.6,-9.0,-8.9,0.2,-5.9,7.8,-3.0,-4.6,-6.2,-6.0,-4.2,-1.8
"Constant 2018 Prices","..Goat",4.2,-4.2,2.4,9.3,-1.0,-4.6,-2.3,-6.5,-6.7,-7.6,-3.2,0.6,-3.5,-1.7,-4.9,-0.4,-4.2,1.3,-3.6,-7.2,-4.6,-1.9
"Constant 2018 Prices","POULTRY",6.9,7.7,9.4,4.0,-4.2,-9.2,-11.2,-7.4,-6.1,5.0,12.3,9.3,7.3,4.9,2.3,1.8,-1.2,0.6,-2.8,-3.6,8.5,-9.1
"Constant 2018 Prices","..Chicken",7.2,10.7,12.3,4.3,-4.2,-16.0,-16.0,-5.5,3.0,11.9,19.2,10.2,7.3,3.9,2.8,2.2,-3.1,-1.5,-4.4,-3.0,10.7,-13.5
"Constant 2018 Prices","..Duck",7.0,6.0,4.6,-1.4,-2.7,5.9,-2.7,-15.3,-27.7,-27.1,-11.7,-0.6,-4.5,-5.5,1.0,1.0,6.0,4.5,2.6,-3.4,-9.7,9.5
"Constant 2018 Prices","..Chicken Eggs",5.9,-0.6,2.4,6.0,-4.6,6.9,-5.5,-1.0,-13.4,4.7,-3.6,8.4,15.3,15.4,1.1,3.0,5.5,10.4,3.2,-4.0,7.5,3.1
"Constant 2018 Prices","..Duck Eggs",7.0,2.2,5.1,6.2,-5.8,0.0,0.1,-18.4,-22.6,-13.2,2.2,8.9,-2.3,-2.6,-0.1,-9.7,0.2,-7.3,-9.3,-12.9,-9.1,-9.2
"Constant 2018 Prices","FISHERIES",10.2,11.9,0.7,-1.2,10.8,17.5,8.5,4.2,3.6,-1.9,4.5,-5.1,4.6,-2.8,-4.6,-5.1,-4.4,-7.1,-4.1,0.7,2.3,8.6
"Constant 2018 Prices","..Tilapia",.,.,-2.6,7.3,37.1,29.4,15.7,11.4,3.9,-13.6,15.5,6.9,-2.3,-5.3,-15.1,-5.5,4.0,-3.0,0.8,1.3,4.6,3.5
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,-14.6,4.7,10.9,57.6,3.6,-27.8,-7.0,-11.9,2.8,-21.6,8.6,24.1,16.5,-0.6,4.8,-5.2,-2.3,-7.0,2.3,-0.9
"Constant 2018 Prices","..Hairtail (Espada)",.,.,224.9,9.7,99.9,6.7,26.5,-3.4,16.3,33.5,2.1,-27.5,13.6,18.4,14.3,6.3,-15.8,-7.8,-11.1,-12.7,2.7,-10.9
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,4.3,4.3,7.8,-0.1,17.7,-8.2,17.6,1.0,-10.3,-10.7,16.0,10.7,1.6,-12.6,-17.4,-2.4,-3.0,-4.0,5.4,-7.6
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,-45.8,-6.9,-28.4,-7.1,7.0,-19.7,-19.6,17.9,-0.2,-15.6,18.5,-0.3,1.4,6.0,-14.4,-11.7,-5.8,-7.3,4.6,0.2
"Constant 2018 Prices","..Carp (Carpa)",.,.,8.7,-2.2,16.9,5.4,17.9,9.1,7.3,-1.6,-0.2,16.2,-7.9,-8.6,-12.2,5.1,-1.0,-3.3,6.5,1.2,10.5,2.9
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,110.2,3.1,28.3,17.5,8.4,-26.3,22.5,28.5,-9.1,-4.8,8.2,1.8,-6.1,-3.4,-3.0,-9.9,-13.0,-2.5,-2.4,-19.2
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,128.5,0.8,83.2,148.5,-12.5,-42.2,7.4,-29.5,-9.3,-13.7,-8.8,14.4,-4.2,-2.0,1.8,-4.8,-10.1,-4.9,1.3,-10.2
"Constant 2018 Prices","..Squid (Pusit)",.,.,47.4,19.3,-2.9,31.5,5.3,25.1,-2.1,0.1,-1.5,-7.9,11.8,3.9,6.7,-1.2,-14.4,-15.5,-7.6,-4.2,-0.2,-15.8
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,20.1,-0.7,6.7,-4.4,14.7,-13.4,-11.3,-2.2,-10.4,-16.5,-23.3,8.5,-1.5,5.6,-13.5,-9.6,-9.3,-8.2,1.5,-4.4
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,-11.6,8.2,-24.2,-8.5,-1.5,-14.9,1.9,0.0,-1.6,-22.1,12.6,7.2,5.1,1.4,-16.2,-12.7,-16.1,-10.3,-10.9,-3.5
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,682.6,1.3,-1.4,-22.1,-28.0,19.6,170.1,70.0,3.1,-9.2,19.3,14.3,-1.0,-7.3,2.9,-8.8,-13.2,-11.7,1.6,-27.8
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,-4.9,1.4,0.7,-5.4,-0.4,15.6,-12.8,37.1,-9.6,-3.4,4.5,-7.0,-8.4,-4.6,-3.5,1.0,-2.9,-5.7,11.4,21.6
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,-14.7,20.7,-1.6,5.5,-4.1,4.6,-5.3,-3.3,1.8,33.4,6.7,-16.7,-17.0,-20.8,3.2,-8.1,9.0,-2.4,4.6,2.1
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,-16.9,1.0,22.3,31.1,29.7,10.9,55.7,12.9,-6.7,-8.6,-1.5,16.6,2.4,-2.5,-19.3,-15.8,-16.4,-10.1,-6.1,31.1
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,-21.9,-11.1,95.5,66.4,58.7,1.3,-5.0,-4.9,11.6,4.1,-3.7,-0.1,-11.0,-18.5,-5.3,3.8,-2.1,-7.7,-9.2,-2.9
"Constant 2018 Prices","..Siganid (Samaral)",.,.,98.3,-10.9,73.6,126.6,35.8,-9.4,320.9,-11.8,-0.6,-1.6,-6.1,-1.3,1.6,-16.4,-2.4,-1.6,2.0,3.2,-1.6,19.6
"Constant 2018 Prices","..Freshwater clams (Tulya)",.,.,178.8,128.2,-22.3,4.5,42.5,-2.0,12.9,13.9,5.2,-15.8,7.0,3.4,15.4,7.2,-28.8,-4.9,-0.6,2.2,1.4,0.7
"Constant 2018 Prices","..Oyster (Talaba)",.,.,19.6,-3.3,34.7,37.3,-1.5,-7.4,-0.4,34.3,-13.2,-11.3,9.0,-2.3,7.4,2.2,6.9,2.4,3.8,-0.2,7.2,-16.8
"Constant 2018 Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,1373.6,26299.4,82.2,5.5,43.3,-2.4,-8.5,-8.9,8.2,53.2,7.1,53.0
"Constant 2018 Prices","..Other Fisheries",.,.,13.1,-7.1,6.0,8.1,6.3,19.3,2.2,-0.2,5.0,-14.5,1.8,-10.2,-12.2,-9.0,-3.8,-9.7,-9.5,-9.6,-3.2,1.6
"Constant 2018 Prices","AGRICULTURE",0.8,0.5,0.1,10.3,-7.5,10.0,2.9,1.8,0.6,-11.7,14.0,10.6,0.4,4.3,-0.9,-3.9,6.5,-7.4,6.6,-0.5,2.3,0.4
