"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Cavalla (Talakitok)",.,.,-45.6,14.4,139.7,14.1,25.0,-18.0,-15.9,177.8,-3.3,-22.9,-35.1,5.7,24.8,-9.4,-4.5,7.1,19.5,47.6,12.5,30.0
"Current Prices","..Indian mackerel (Alumahan)",.,.,-6.8,11.6,124.9,65.1,30.8,-5.6,-10.0,-11.2,37.1,-13.1,-56.7,-34.4,42.3,-32.6,68.8,-32.2,-5.3,39.4,27.1,111.0
"Current Prices","..Seaweed",.,.,47.6,39.6,114.0,4.2,0.1,60.6,18.3,-8.1,-29.8,0.5,119.2,58.9,48.0,-5.8,-50.3,27.6,159.6,-27.1,-90.9,435.3
"Current Prices","..Bali sardinella (Tamban)",.,.,43.3,36.3,-5.9,-33.8,33.4,5.9,-54.8,30.2,-2.7,-6.2,108.9,-42.5,-21.6,-11.9,29.1,-62.5,-62.9,125.2,-18.0,-2.9
"Current Prices","..Other Fisheries",.,.,-16.6,9.9,18.3,10.8,-14.6,17.4,2.2,6.0,-5.5,-8.1,19.3,-17.6,11.8,22.6,-10.8,-4.2,19.4,-11.1,6.8,171.6
"Current Prices","AGRICULTURE",.,.,11.9,24.7,10.4,6.0,13.1,15.8,6.0,9.6,14.7,-6.4,-3.7,12.6,2.3,5.2,5.0,1.3,7.0,16.6,-12.2,6.8
"Constant 2018 Prices","CROPS",.,.,3.1,6.6,9.1,7.2,5.7,5.7,2.5,-0.1,0.7,0.5,-14.0,6.2,0.1,-2.7,1.7,3.0,-3.9,-0.6,0.0,-0.4
"Constant 2018 Prices","..Palay",.,.,4.4,4.6,-2.1,1.3,-10.3,-1.9,1.2,-5.0,3.4,7.7,-6.0,7.3,-2.3,-5.4,3.8,12.6,-7.7,3.6,3.8,1.1
"Constant 2018 Prices","..Corn",.,.,17.8,15.6,18.4,17.2,3.0,-19.1,-21.4,-10.1,-5.5,3.9,14.3,23.5,-20.0,-2.2,17.2,7.0,-10.9,7.0,1.9,2.8
"Constant 2018 Prices","..Banana, Cavendish",.,.,2.0,10.0,18.0,12.0,9.3,12.6,4.8,1.7,1.2,-2.0,-17.6,6.1,2.6,1.2,0.8,1.1,-3.3,-3.5,-1.5,-1.3
"Constant 2018 Prices","..Banana, Others*",.,.,6.7,1.0,9.8,4.8,3.6,11.1,6.0,0.6,1.8,-1.2,-12.5,7.5,2.4,-0.7,1.5,1.6,-4.3,1.3,2.5,-0.7
"Constant 2018 Prices","..Coconut",.,.,-1.7,1.6,0.0,0.2,3.3,3.5,0.8,-2.1,-0.3,3.5,-16.3,2.5,-3.7,-15.6,-0.4,2.4,0.0,1.6,1.0,1.5
"Constant 2018 Prices","..Durian",.,.,52.3,3.5,29.9,6.2,81.0,-28.2,16.4,29.9,-8.6,33.3,3.3,-10.4,7.9,-20.5,-3.7,13.9,2.1,0.7,-5.6,2.4
"Constant 2018 Prices","..Mango",.,.,7.7,6.0,4.8,-1.2,13.6,-3.9,1.2,-8.5,-12.3,7.0,1.2,66.8,1.2,-2.9,-0.8,1.9,-15.3,6.7,-3.6,-3.6
"Constant 2018 Prices","..Coffee",.,.,-2.0,-7.8,-2.7,-3.1,-15.2,-1.6,-1.8,-4.0,-9.8,-7.4,-34.6,-4.8,-1.0,-2.1,-5.2,-0.1,-1.1,1.0,0.3,-1.6
"Constant 2018 Prices","..Sugarcane",.,.,-2.5,11.9,-39.6,39.6,23.0,-6.8,-8.7,-51.1,108.4,-15.3,-3.3,-23.4,-37.8,29.5,48.9,-2.5,-35.0,7.8,9.7,-17.4
"Constant 2018 Prices","..Cacao",.,.,-4.0,-0.6,3.3,-7.3,-3.4,-0.2,1.2,-0.1,3.2,4.0,2.2,13.6,12.7,3.1,13.4,12.3,3.7,8.3,8.0,2.5
"Constant 2018 Prices","..Abaca",.,.,14.5,32.5,-15.5,-13.6,7.3,7.2,-0.3,0.3,-9.9,-4.2,-17.8,11.8,2.1,-2.5,4.3,1.8,4.8,-1.5,4.6,1.6
"Constant 2018 Prices","..Potato",.,.,0.4,1.2,4.7,-0.4,4.0,0.3,0.2,-3.1,0.5,-0.9,0.0,1.3,1.7,0.5,2.0,8.8,1.4,6.4,1.8,-2.6
"Constant 2018 Prices","..Pomelo",.,.,7.6,2.4,3.3,-0.4,-8.1,0.6,1.0,2.0,-3.1,2.2,-2.0,0.1,0.2,-4.3,-1.5,-0.8,0.1,0.9,1.0,0.7
"Constant 2018 Prices","..Pineapple",.,.,3.2,6.1,5.6,1.6,15.7,-0.7,0.6,1.8,10.8,11.3,-0.3,0.1,-4.3,-2.2,-1.2,2.8,0.6,2.7,0.9,-1.7
"Constant 2018 Prices","..Sweet Potato",.,.,5.4,1.1,-0.4,-2.8,0.2,1.0,1.0,0.4,-4.5,-3.1,1.0,3.5,-0.6,-3.4,2.3,-0.3,-2.8,2.1,-2.1,-1.0
"Constant 2018 Prices","..Rubber",.,.,13.0,1.3,1.8,1.0,2.1,-1.2,-2.1,-0.3,2.0,-0.2,-48.7,31.6,5.1,-3.3,1.4,2.5,2.6,2.9,3.4,-0.8
"Constant 2018 Prices","..Stringbeans",.,.,350.6,0.7,1.3,-1.3,-3.9,1.8,-0.8,-0.3,-5.3,-1.3,4.0,-0.1,0.9,-3.1,0.0,-1.4,0.0,4.6,0.5,-2.0
"Constant 2018 Prices","..Eggplant",.,.,-0.7,-2.9,-1.0,3.3,-4.3,-2.4,1.3,2.2,-3.0,2.8,3.8,2.5,-0.6,-7.0,-0.1,2.8,0.3,3.3,1.2,0.3
"Constant 2018 Prices","..Cassava",.,.,0.8,4.4,6.1,9.8,-8.2,-1.0,-3.6,-1.3,-1.9,-0.4,10.5,12.5,3.6,24.9,-5.6,-0.2,-5.2,-3.4,-3.0,1.2
"Constant 2018 Prices","..Calamansi",.,.,4.1,1.7,3.1,0.7,2.0,-1.3,-1.6,0.3,-7.7,-4.9,-7.9,1.8,1.3,0.6,-1.6,-0.9,-1.0,0.3,0.7,-1.8
"Constant 2018 Prices","..Papaya",.,.,2.6,-2.5,0.0,-5.3,36.5,16.2,-19.4,-14.9,-17.5,-6.4,-8.9,0.7,0.5,-1.2,0.7,0.3,-0.3,2.0,1.8,2.7
"Constant 2018 Prices","..Mangosteen",.,.,4.8,-15.5,44.5,-44.0,53.4,-10.1,10.1,72.8,-31.6,-24.1,-16.9,48.0,3.1,-25.3,-36.3,66.0,0.7,0.5,-24.2,-1.9
"Constant 2018 Prices","..Other Crops",.,.,-4.7,15.8,9.6,0.1,3.8,-3.0,-0.9,2.9,-4.9,-3.6,-14.0,0.0,0.1,-2.6,0.7,0.4,-0.6,3.4,0.2,0.5
"Constant 2018 Prices","LIVESTOCK",.,.,3.8,-1.7,0.4,-2.3,1.7,0.4,-0.2,-0.3,2.9,0.7,-0.8,2.1,5.0,3.6,1.6,1.4,0.7,-5.2,-6.7,1.8
"Constant 2018 Prices","..Hog",.,.,4.8,-1.9,1.4,-2.0,1.8,0.2,0.2,-1.8,3.4,1.9,-0.6,1.8,5.2,4.1,1.6,2.1,0.7,-3.7,-9.2,1.7
"Constant 2018 Prices","..Cattle",.,.,-1.9,-8.3,0.8,3.4,-9.5,-0.2,-2.3,12.1,2.5,-2.4,3.6,5.0,2.4,0.7,3.7,-1.4,2.5,-11.6,0.8,4.5
"Constant 2018 Prices","..Carabao",.,.,0.5,10.2,-5.7,-2.6,17.3,6.0,0.9,6.3,0.5,-3.7,-3.9,2.1,8.0,1.8,0.0,-1.9,0.9,-21.9,11.1,-0.2
"Constant 2018 Prices","..Goat",.,.,2.1,0.9,-6.8,-12.4,2.2,-0.3,-3.9,-1.8,-1.8,-8.3,-7.8,2.7,1.7,2.8,-0.5,-1.9,-3.3,1.1,12.4,0.0
"Constant 2018 Prices","POULTRY",.,.,2.0,1.6,0.9,-1.3,-34.2,8.0,7.2,-2.1,3.0,2.2,3.5,1.8,6.3,-0.7,0.8,4.3,9.8,-7.1,-3.9,7.7
"Constant 2018 Prices","..Chicken",.,.,1.7,2.0,-0.6,-1.3,-42.3,12.9,8.5,-1.3,3.2,2.5,4.9,1.5,7.5,-2.1,-0.3,6.4,6.2,-8.3,-5.6,9.2
"Constant 2018 Prices","..Duck",.,.,-0.4,-4.2,-4.5,-11.2,-28.6,-3.6,-19.1,-7.5,-10.6,-5.8,-11.8,-6.5,5.1,3.4,0.2,-2.6,-5.9,1.3,10.5,3.6
"Constant 2018 Prices","..Chicken Eggs",.,.,4.4,1.8,7.6,3.1,-5.3,-1.2,10.1,-3.7,3.7,2.6,2.1,3.2,3.1,2.7,3.6,-1.1,21.2,-4.8,-1.1,4.5
"Constant 2018 Prices","..Duck Eggs",.,.,-2.7,-2.4,7.5,-17.7,-21.9,-2.1,-26.2,-3.4,2.1,-8.3,-20.3,-7.1,5.0,13.8,4.7,9.3,-0.9,1.1,5.4,6.4
"Constant 2018 Prices","FISHERIES",.,.,2.6,-2.5,0.5,6.4,17.2,-0.8,-7.6,8.7,-6.2,2.3,5.2,-26.6,3.2,-0.5,1.5,-11.3,-1.8,-0.9,12.2,63.2
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,-0.6,31.8,-31.3,7.3,51.4,29.4,23.1,1.2,-5.2,21.6,5.2,-34.7,13.8,-12.0,-20.2,1.9,-7.2,23.4,21.8,25.0
