"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Bali sardinella (Tamban)",.,.,22.5,66.7,-18.7,26.3,16.3,52.8,-5.3,8.6,17.0,16.4,-1.0,-5.0,-15.9,-12.3,-6.8,8.4,34.7,193.7,-13.4,18.8
"Current Prices","..Skipjack (Gulyasan)",.,.,-13.6,26.8,-11.5,4.0,8.5,-0.1,-9.4,7.8,-6.1,33.3,13.6,-17.1,-18.0,-2.3,9.2,7.7,-13.8,-44.6,-22.1,142.1
"Current Prices","..Other Fisheries",.,.,8.6,-18.0,9.7,23.6,17.5,7.9,-1.7,19.4,4.7,-7.8,2.5,-0.7,1.6,-3.8,13.8,0.5,4.8,10.9,-25.2,84.6
"Current Prices","AGRICULTURE",7.5,14.9,7.6,23.3,9.9,0.1,11.4,16.2,3.8,11.3,8.2,-0.9,8.3,13.4,-7.4,2.9,8.9,10.0,-12.7,0.7,10.9,12.4
"Constant 2018 Prices","CROPS",0.6,2.4,8.5,8.4,2.0,-3.1,1.5,6.3,3.2,1.4,1.0,6.0,4.5,-0.9,-1.1,1.0,1.8,2.9,-6.6,3.1,0.1,2.6
"Constant 2018 Prices","..Palay",3.7,8.5,0.6,23.9,4.1,-9.5,11.6,0.6,4.8,3.4,-0.9,9.6,6.0,1.2,0.5,0.9,4.7,1.2,-11.7,8.6,4.0,-1.3
"Constant 2018 Prices","..Corn",0.1,17.7,-10.3,22.5,45.3,20.4,37.6,3.5,-2.7,-11.5,23.2,7.2,12.0,10.7,-14.6,6.3,10.7,-2.5,-11.3,13.6,3.8,-1.5
"Constant 2018 Prices","..Coconut",-3.7,-7.1,19.5,-3.9,-1.0,2.9,-21.3,20.9,8.4,1.0,-5.3,3.2,1.2,-10.4,-1.7,-2.2,-0.4,10.3,5.0,-7.7,-3.4,13.5
"Constant 2018 Prices","..Abaca",-6.3,-10.7,12.8,8.4,-9.2,2.0,-15.7,7.1,2.6,7.6,11.8,1.9,4.3,20.2,2.1,1.5,-12.7,10.0,0.4,-2.9,-40.1,43.8
"Constant 2018 Prices","..Pineapple",30.7,11.6,11.1,3.2,10.9,6.9,4.1,-4.5,-1.4,2.0,3.5,4.8,2.7,-1.2,5.8,5.7,-7.6,18.6,8.0,0.5,12.2,-2.9
"Constant 2018 Prices","..Sweet Potato",-6.7,-0.3,-4.2,-14.8,-0.1,-0.2,5.3,4.4,0.1,-1.2,-2.7,-0.2,3.2,-7.3,2.8,-1.3,-2.1,-2.0,-1.5,8.5,2.0,-0.4
"Constant 2018 Prices","..Banana",-5.5,9.7,7.4,-7.1,-1.3,-6.5,-13.0,21.9,8.7,6.0,1.3,3.1,2.4,-10.6,2.6,0.5,-4.6,7.8,-1.1,-17.7,-8.8,9.6
"Constant 2018 Prices","..Cassava",-8.4,2.4,2.3,-14.0,-10.8,-10.1,-1.0,3.9,2.0,-0.4,-4.0,1.1,2.3,-4.2,-0.4,-2.6,-8.6,-9.8,-4.4,-3.3,-10.9,-2.3
"Constant 2018 Prices","..Pechay",-3.2,13.4,8.0,-1.1,7.5,-6.3,4.4,0.4,-0.5,1.5,-3.7,0.1,3.9,-8.6,5.3,0.6,3.1,0.1,-4.1,1.9,5.2,-4.5
"Constant 2018 Prices","..Gabi leaves with stem",12.6,10.8,2.5,7.9,2.9,10.4,9.7,8.2,5.7,5.5,5.3,7.1,7.9,0.3,2.0,8.5,4.8,6.9,3.5,-16.5,6.1,4.6
"Constant 2018 Prices","..Pili nut",-19.0,35.8,10.9,5.0,10.9,-6.7,2.5,10.4,5.6,10.4,7.9,14.1,4.8,-12.7,1.2,0.4,2.5,3.7,-6.8,-13.0,-8.9,-2.7
"Constant 2018 Prices","..Stringbeans",0.8,4.3,361.9,-17.0,2.0,-3.7,14.2,6.7,-1.8,3.2,-0.3,4.1,4.4,-9.4,1.2,1.8,0.8,-1.2,-8.1,-10.5,3.3,-3.6
"Constant 2018 Prices","..Eggplant",-5.5,5.8,4.0,3.1,-2.4,1.1,26.1,1.0,-3.8,4.8,-3.1,5.3,7.9,-9.7,-5.2,-1.6,3.8,-0.9,2.8,0.3,3.2,2.9
"Constant 2018 Prices","..Ampalaya",4.9,7.0,63.3,-3.4,6.3,-9.2,79.1,1.5,1.2,-0.8,-2.7,4.4,5.3,-11.3,-1.9,3.8,3.6,3.5,4.8,-6.8,8.2,-6.3
"Constant 2018 Prices","..Papaya",4.3,15.1,16.3,-3.8,-0.2,-3.3,-3.5,12.9,2.9,1.3,-1.6,0.6,0.2,-5.8,1.3,-0.8,-4.0,0.5,-4.1,-30.0,-14.2,-4.1
"Constant 2018 Prices","..Squash",7.2,3.9,136.2,-14.4,4.1,-0.9,3.1,0.5,-1.8,0.6,-5.5,4.5,4.7,-1.0,-2.8,0.5,-4.6,0.3,-16.2,-5.0,3.4,2.0
"Constant 2018 Prices","..Gabi",-1.9,2.5,4.4,-1.9,4.2,-4.5,1.0,3.2,-2.5,-2.4,-3.6,-3.5,-6.8,-9.8,2.5,-6.0,-4.3,3.1,-0.8,-5.6,2.9,-1.5
"Constant 2018 Prices","..Watermelon",61.0,237.8,33.1,-9.8,46.3,2.7,7.3,-49.4,-9.1,26.8,9.3,4.7,1.5,0.0,3.2,2.8,-1.2,14.6,-1.4,-19.1,64.1,0.8
"Constant 2018 Prices","..Tomato",-10.7,6.3,-3.1,-9.7,-1.3,-4.9,19.2,-4.1,1.0,0.5,-3.6,-0.2,1.6,-3.2,8.7,6.2,-4.4,-0.4,-0.4,1.9,4.9,-5.2
"Constant 2018 Prices","..Calamansi",0.1,7.2,-1.4,1.7,-0.6,-0.8,-2.0,11.7,-8.1,-0.9,-2.2,-2.7,-3.0,-12.6,-1.1,5.5,-1.0,3.3,3.8,17.4,14.7,22.0
"Constant 2018 Prices","..Mango",-27.4,3.9,38.4,-32.7,24.7,-11.9,-3.8,-11.4,-2.0,7.5,-7.7,5.4,4.0,3.9,5.8,12.1,-0.4,24.9,-10.3,-12.6,-2.9,-3.6
"Constant 2018 Prices","..Pepper, Finger",-12.7,7.7,4.0,1.5,26.6,-10.7,78.7,3.6,4.4,-1.3,-3.3,4.1,3.5,-1.8,1.9,-4.1,11.1,-4.3,-6.5,-4.8,12.6,-1.4
"Constant 2018 Prices","..Other Crops",20.6,-9.6,21.0,11.3,-18.1,2.7,-14.2,25.4,-18.8,-6.7,28.3,-6.0,-6.2,-1.4,-6.0,7.9,-5.5,-6.5,-15.5,7.1,-11.7,-1.7
"Constant 2018 Prices","LIVESTOCK",-0.2,6.0,2.5,-1.2,5.2,5.5,-0.2,-9.3,9.1,8.8,0.0,-4.2,1.2,5.8,2.4,-0.9,3.8,2.1,2.2,-9.4,-13.6,1.0
"Constant 2018 Prices","..Hog",1.4,8.1,4.0,-1.5,6.4,7.7,0.0,-11.0,10.8,9.9,0.6,-4.8,0.9,6.2,1.9,-1.7,4.2,2.7,2.4,-10.0,-17.2,1.3
"Constant 2018 Prices","..Cattle",-6.3,-1.9,-1.1,-3.4,-1.9,-3.7,-2.7,-3.9,7.8,5.6,-0.6,1.7,6.7,5.2,5.2,3.1,3.4,-1.6,2.4,-5.6,2.1,0.1
"Constant 2018 Prices","..Carabao",-2.3,0.4,-6.1,2.0,3.4,-1.7,-2.1,-2.0,-3.2,0.6,-5.1,-8.9,-3.5,1.1,2.7,0.4,1.5,1.6,0.2,-8.9,4.4,-1.1
"Constant 2018 Prices","..Goat",-6.5,4.8,4.2,12.7,9.4,-4.4,11.8,9.6,-1.3,9.7,-4.7,1.8,1.4,6.5,6.0,4.4,-3.4,-0.9,-3.3,-3.5,-3.1,2.8
"Constant 2018 Prices","POULTRY",4.4,3.7,7.2,11.3,-0.4,-6.3,-19.8,-8.3,11.2,4.2,4.0,3.3,16.4,-0.4,0.2,2.9,2.2,6.7,14.0,-11.3,6.4,8.7
"Constant 2018 Prices","..Chicken",15.4,2.7,4.0,9.1,-2.8,-12.9,-9.0,-6.0,8.4,8.8,5.8,2.1,25.2,5.7,9.9,5.5,4.1,7.3,16.3,-15.7,9.5,13.1
"Constant 2018 Prices","..Duck",7.0,2.4,-3.5,7.6,-8.2,-9.6,-8.1,-9.8,6.2,-2.5,-2.0,0.4,-6.9,-1.1,-4.7,-6.8,8.8,2.8,-8.1,1.7,-29.7,-3.3
"Constant 2018 Prices","..Chicken Eggs",-7.5,6.0,13.3,14.9,3.3,0.7,-32.3,-10.9,15.7,0.4,2.8,5.2,7.6,-10.5,-18.0,-3.3,-4.4,5.0,10.4,0.1,1.6,-0.2
"Constant 2018 Prices","..Duck Eggs",-3.9,-6.2,-1.1,4.2,-2.3,6.4,7.2,-11.0,7.7,-13.6,-8.5,3.4,-6.9,6.1,4.9,9.1,10.3,11.2,-0.3,5.7,1.3,-23.6
"Constant 2018 Prices","FISHERIES",32.6,4.9,8.9,-1.5,7.8,3.7,12.1,3.8,1.3,8.1,-1.4,1.4,4.4,-0.8,-9.1,-5.0,0.5,-2.4,-7.2,-4.1,-14.0,-3.4
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,14.3,15.6,3.6,-9.7,12.7,4.4,1.3,9.1,0.5,1.9,11.0,-2.3,-7.7,-9.8,-11.6,-16.2,-30.3,-23.6,-4.5,-22.2
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,13.3,4.8,1.5,3.1,20.2,-1.3,5.1,-0.4,-3.0,9.8,17.2,3.1,-8.5,2.1,-8.4,-0.8,-11.5,-8.9,-11.0,-18.4
"Constant 2018 Prices","..Tilapia",.,.,10.9,3.5,34.5,12.1,20.4,10.2,-6.5,-2.2,1.2,4.5,1.4,0.7,-7.4,-13.7,17.3,1.5,-1.8,-5.1,31.7,-70.3
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,8.0,10.4,-5.0,-8.0,57.7,-11.1,-12.9,26.3,-8.3,-15.2,18.2,4.0,9.1,3.5,4.5,2.0,-10.4,2.9,-30.0,16.6
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,12.2,-17.7,-3.2,5.6,11.0,45.7,30.4,14.5,10.5,16.6,7.6,1.3,-1.8,44.2,2.1,10.1,44.3,-48.3,-60.6,-58.2
"Constant 2018 Prices","..Fimbriated sardines (Tunsoy)",.,.,39.2,10.3,102.9,-1.9,9.3,28.8,12.2,-14.3,-10.6,-1.5,-3.6,-3.2,-7.0,-6.6,12.2,57.5,-16.2,-65.2,-58.9,-5.5
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,-1.3,18.3,65.3,30.6,10.4,-6.7,1.0,17.0,2.3,-2.8,32.1,4.9,11.9,3.0,1.6,-1.6,4.2,-10.2,-6.3,-10.7
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,9.7,-0.1,6.1,-2.2,-3.3,-12.0,-22.7,-8.8,5.3,-7.7,0.0,-4.5,-5.7,-8.1,-4.8,-10.3,6.1,-16.1,-11.5,5.0
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,9.0,4.7,8.4,-5.7,1.6,18.9,14.9,19.5,0.2,9.3,5.0,1.6,-13.2,-14.1,-14.0,-17.8,-18.8,-17.7,-24.0,87.0
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,5.3,2.5,-12.8,4.8,4.9,-9.3,41.0,27.3,-1.5,-15.7,-6.3,-1.5,-6.4,5.4,12.7,7.3,-15.0,-20.8,-5.5,-5.4
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,-5.9,5.8,4.0,7.3,-3.8,4.7,0.2,17.5,-15.9,-10.9,-0.6,12.0,-16.6,-18.3,0.9,8.1,-53.2,-35.0,83.1,-48.7
"Constant 2018 Prices","..Squid (Pusit)",.,.,6.1,10.4,-5.5,-0.7,50.3,-8.1,-11.6,13.6,-5.0,-4.7,8.6,5.1,-15.0,-7.0,9.9,-0.4,3.3,6.1,2.4,18.7
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,23.6,16.9,25.9,70.5,24.1,-12.5,-1.7,9.9,2.6,-3.4,7.5,-1.0,6.9,47.9,10.7,-0.6,8.2,-14.4,-31.4,26.7
"Constant 2018 Prices","..Seaweed",.,.,5.7,-24.0,143.7,22.0,1.9,-1.5,4.0,7.9,3.5,4.5,-0.7,-2.0,-7.5,-38.2,8.1,42.2,-1.8,-24.6,12.8,-64.9
"Constant 2018 Prices","..Crevalle (Salay-salay)",.,.,5.0,5.2,19.7,6.3,15.2,5.6,-2.4,-0.1,-0.9,19.1,-6.1,2.1,-23.2,11.5,-2.0,-23.2,-22.7,-12.0,-14.9,-30.3
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,7.9,-4.2,13.9,1.2,20.2,11.0,49.6,13.8,10.9,6.2,5.0,3.4,-10.2,-16.4,2.2,-6.1,8.0,-24.0,29.8,-47.6
"Constant 2018 Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,-3.8,6.4,37.1,-21.5,55.5,-4.4,113.4,104.6,4.5,-17.1,-4.2,2.9,-12.6,13.8,3.7,-23.0,-34.1,-15.0,11.0,-39.9
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,-9.0,20.8,14.6,-13.5,-8.6,65.7,-18.4,-8.3,-15.0,34.5,6.0,-9.9,-35.8,-13.0,0.2,9.2,-11.4,12.9,-19.6,-14.0
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,42.3,29.5,19.1,17.7,34.7,13.2,7.9,12.2,6.8,7.1,-15.2,-11.7,-15.1,-17.5,-2.4,-3.3,35.1,397.3,-18.6,-19.7
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,-23.0,15.7,-10.0,-0.5,7.8,-6.4,-4.5,9.6,-10.9,32.0,11.6,-18.4,-33.1,-2.7,-0.1,-10.7,-8.7,-47.8,-28.4,106.1
"Constant 2018 Prices","..Other Fisheries",.,.,13.6,-21.5,-3.9,13.1,11.3,6.1,4.0,6.8,-1.1,0.3,0.8,-2.3,-9.5,-8.6,3.2,-7.9,-7.6,7.8,-25.1,58.8
"Constant 2018 Prices","AGRICULTURE",5.8,3.8,7.1,4.5,3.6,-0.2,1.8,1.6,4.3,4.6,0.4,2.6,4.5,0.4,-2.2,-0.5,2.0,1.9,-3.5,-2.1,-4.8,1.8
