"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Duck",.,.,12.9,-11.5,5.5,-2.1,-17.4,-11.7,-0.3,-23.4,-26.8,-17.2,3.3,17.4,9.1,3.3,7.5,-0.6,22.5,3.1,31.5,5.0
"Current Prices","..Chicken Eggs",.,.,8.8,2.5,2.2,17.8,10.8,22.4,15.3,14.4,5.6,-7.9,-7.3,9.5,14.2,11.6,15.2,-2.0,22.5,-4.6,5.0,17.0
"Current Prices","..Duck Eggs",.,.,2.7,17.8,0.3,-10.3,19.2,3.2,-1.8,-9.7,-10.0,-2.4,24.9,9.5,12.6,-3.0,16.5,41.9,7.6,9.5,-7.6,-2.4
"Current Prices","FISHERIES",.,.,-4.5,4.3,9.0,13.0,16.7,18.3,7.6,2.8,-7.8,-8.1,1.8,2.1,-1.7,-11.8,-3.6,9.9,5.9,2.2,8.6,32.1
"Current Prices","..Bali sardinella (Tamban)",.,.,-39.3,31.5,35.1,30.3,-14.1,60.4,49.4,10.0,-13.7,-7.5,-11.7,23.4,11.1,-32.9,-0.1,13.9,0.9,28.9,14.4,11.9
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,6.9,3.8,-10.6,21.2,17.3,32.1,42.9,16.0,8.8,-0.1,16.4,1.5,0.1,15.3,-4.6,2.2,-8.2,-7.9,17.2,40.6
"Current Prices","..Seaweed",.,.,16.0,84.2,20.8,9.1,1.6,100.2,-23.5,21.5,-8.3,-19.3,8.7,-1.6,-32.7,-29.4,46.5,68.5,9.8,-12.5,5.2,40.0
"Current Prices","..Frigate tuna (Tulingan)",.,.,1.0,12.9,-2.4,29.3,22.3,13.3,-16.5,12.0,-2.0,-11.0,-3.9,6.6,8.3,-20.6,-5.9,12.1,6.7,-4.7,8.0,35.6
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,1.3,-4.4,42.4,-37.3,52.4,45.6,22.9,-6.6,-34.9,-9.9,6.5,12.4,3.9,-11.9,-26.1,36.0,15.4,3.2,3.4,16.3
"Current Prices","..Skipjack (Gulyasan)",.,.,8.5,-21.8,-14.8,-4.1,41.2,-32.7,32.7,-14.9,-2.8,-18.1,-4.6,1.3,-18.7,-10.5,-16.7,23.9,6.4,12.3,-8.1,54.7
"Current Prices","..Indian mackerel (Alumahan)",.,.,-9.2,38.4,8.0,23.6,26.6,39.6,3.9,13.2,-15.3,24.5,25.5,-9.6,-8.0,-18.7,-22.9,41.9,7.7,-13.9,1.1,23.5
"Current Prices","..Eastern little tuna (Bonito)",.,.,12.9,42.7,696.7,111.9,-23.6,54.0,-12.7,-62.2,18.1,7.1,16.4,5.9,-5.0,-8.8,12.0,-1.9,-7.5,-7.3,-0.6,22.8
"Current Prices","..Milkfish (Bangus)",.,.,7.3,4.3,22.3,-11.0,12.1,12.4,30.0,-2.6,6.4,8.3,2.2,-13.8,0.0,-15.7,-3.7,-15.0,-7.7,-3.2,41.7,-22.1
"Current Prices","..Grouper (Lapu-lapu)",.,.,132.4,15.2,56.8,-7.6,2.0,9.3,38.7,10.3,6.2,27.6,13.4,-5.5,1.4,5.8,-15.0,9.3,29.2,-6.6,17.4,4.4
"Current Prices","..Cavalla (Talakitok)",.,.,3.1,27.4,-20.0,20.5,33.4,22.3,-11.3,26.2,-20.1,18.8,8.2,-3.1,13.5,0.2,-0.2,-7.6,17.1,25.9,13.9,33.3
"Current Prices","..Threadfin bream (Bisugo)",.,.,9.1,12.5,-35.1,14.5,5.0,11.9,65.2,-28.8,25.4,-24.0,-5.9,22.9,14.6,22.4,-16.6,4.0,-0.6,19.8,11.8,11.1
"Current Prices","..Goatfish (Saramulyete)",.,.,56.0,12.9,-23.9,18.3,-15.4,21.8,67.6,-32.6,17.6,-22.3,-5.8,-6.8,12.6,39.0,-3.4,31.5,21.0,11.7,2.6,20.0
"Current Prices","..Anchovies (Dilis)",.,.,24.5,4.1,-21.7,64.5,-24.2,27.5,-7.5,9.5,5.9,-20.7,17.3,35.9,-29.9,-5.4,-17.0,41.8,13.6,-2.7,8.0,162.0
"Current Prices","..Fimbriated sardines (Tunsoy)",.,.,-18.6,32.1,-27.2,32.3,17.6,146.1,11.4,-57.8,2.7,-18.3,22.0,-26.5,-22.1,0.8,-5.0,2.1,19.9,-2.4,8.7,41.6
"Current Prices","..Crevalle (Salay-salay)",.,.,67.2,50.9,140.0,-4.6,-19.4,28.2,103.7,-14.1,-9.3,-5.8,-4.6,-15.7,126.3,10.1,-57.5,27.8,7.7,35.2,0.5,-13.9
"Current Prices","..Roundscad (Galunggong)",.,.,-12.0,8.8,0.7,67.5,96.6,-15.8,-43.1,7.0,-14.2,-4.4,1.8,1.5,-16.9,12.6,30.8,-0.1,12.6,-14.1,0.4,42.8
"Current Prices","..Squid (Pusit)",.,.,20.1,11.5,-27.1,13.6,-13.8,-12.8,-4.7,25.8,-3.4,34.6,1.9,-15.5,14.0,51.6,-2.9,-5.6,2.8,6.2,0.6,-4.6
"Current Prices","..Tiger prawn (Sugpo)",.,.,7.8,0.2,1.1,-10.8,-19.4,-6.4,16.9,23.1,-8.6,-18.4,-11.3,-1.9,2.5,-49.4,-32.3,-19.1,-30.1,-16.1,-6.4,46.7
"Current Prices","..Mudcrab (Alimango)",.,.,10.9,-12.5,7.3,-24.6,11.2,1.3,175.2,-1.5,-12.5,43.0,1.4,-17.7,5.6,228.3,-7.4,37.3,31.6,-28.7,13.3,37.1
"Current Prices","..Other Fisheries",.,.,-25.3,-10.5,18.0,9.5,53.9,12.2,-1.6,15.0,-9.2,-13.1,6.3,-9.0,-9.0,4.3,1.0,-4.5,22.8,3.6,4.7,66.4
"Current Prices","AGRICULTURE",.,.,6.2,14.5,14.3,6.6,14.1,13.5,2.6,14.2,9.3,-8.2,0.3,1.9,-3.7,-2.7,8.6,3.3,-5.4,0.2,14.4,19.9
"Constant 2018 Prices","CROPS",.,.,3.2,3.7,11.9,-2.1,6.3,-3.6,1.2,3.6,0.4,3.3,4.0,3.5,1.2,-6.6,4.5,3.0,-4.1,-2.8,2.3,-0.6
"Constant 2018 Prices","..Palay",.,.,3.8,4.4,2.9,-8.6,7.7,-0.4,2.6,-2.3,12.6,-0.5,3.3,2.8,0.8,-12.2,20.6,4.0,-7.0,-4.7,3.4,-2.3
"Constant 2018 Prices","..Corn",.,.,30.5,13.2,11.8,-8.4,7.5,-17.2,-2.5,10.2,2.4,5.6,-1.7,7.5,-1.4,17.6,-9.5,10.4,-28.7,-8.5,15.8,-7.6
"Constant 2018 Prices","..Coconut",.,.,0.9,1.9,27.4,5.2,2.5,-2.9,1.7,-1.8,-9.1,11.1,0.8,-4.9,1.4,-9.1,11.1,4.2,-1.4,-0.1,3.1,2.5
"Constant 2018 Prices","..Rubber",.,.,-0.9,-1.9,1.9,4.4,14.9,-0.8,-5.1,3.8,10.4,0.0,3.4,-1.9,-7.7,-7.0,-5.3,1.1,2.8,2.4,-0.2,-1.7
"Constant 2018 Prices","..Mango",.,.,7.0,13.4,14.2,3.5,10.5,-10.9,8.8,28.0,5.9,3.1,14.3,18.5,6.1,-1.1,-24.8,-9.4,-1.6,-4.2,-2.2,-0.4
"Constant 2018 Prices","..Banana",.,.,-1.7,6.5,35.6,-2.0,4.0,2.6,2.9,1.0,-9.6,0.9,7.8,5.8,2.8,-7.5,0.7,-1.2,-2.6,1.4,4.5,3.3
"Constant 2018 Prices","..Cassava",.,.,10.9,-0.8,3.2,2.6,5.3,5.4,-0.6,1.1,-1.3,-1.0,74.1,47.6,5.4,3.3,7.5,-4.0,-3.2,4.4,2.4,1.1
"Constant 2018 Prices","..Sweet Potato",.,.,4.1,2.0,3.4,1.3,-0.5,-5.4,-3.4,-11.0,2.0,-4.5,136.4,8.4,4.9,4.8,0.5,4.7,2.9,3.3,1.4,9.0
"Constant 2018 Prices","..Calamansi",.,.,2.7,0.0,78.6,6.6,-3.0,9.7,-3.5,0.8,7.3,2.8,10.2,46.4,-2.3,0.3,8.4,-9.4,-5.0,5.8,-2.1,3.9
"Constant 2018 Prices","..Ampalaya",.,.,46.7,8.0,3.4,-4.4,-5.6,1.6,1.4,-0.4,-1.4,1.5,33.1,46.3,-0.9,-1.3,-1.9,3.0,0.8,0.8,1.6,1.7
"Constant 2018 Prices","..Tomato",.,.,-3.2,19.6,5.3,9.7,0.5,2.5,0.0,-1.8,0.2,2.3,66.4,91.3,2.3,0.5,-0.9,2.2,-0.5,-0.4,4.0,0.8
"Constant 2018 Prices","..Eggplant",.,.,0.1,-3.3,2.9,2.3,-1.3,0.4,1.6,1.7,0.4,1.7,76.6,37.6,2.1,-1.1,1.0,2.5,-0.6,0.0,2.3,1.4
"Constant 2018 Prices","..Oil Palm (fresh fruit bunch)",.,.,..,..,..,..,..,..,..,..,..,..,..,..,38.4,10405.0,572.5,1.7,0.3,0.7,41.9,17.5
"Constant 2018 Prices","..Squash",.,.,133.6,-9.1,-2.9,-3.9,-3.7,-4.2,-0.9,-3.7,-2.8,-1.0,12.1,10.1,-2.6,-2.5,-4.1,0.2,-0.6,2.8,-0.2,3.7
"Constant 2018 Prices","..Mangosteen",.,.,-2.9,18.7,-23.3,-47.0,10.2,-75.0,443.7,521.0,-97.5,1087.4,-91.4,492.7,569.2,-44.2,-96.5,3885.8,367.2,-42.4,-85.5,-74.7
"Constant 2018 Prices","..Lanzones",.,.,-70.0,10.0,105.0,-63.3,249.4,-96.1,69.4,6236.6,-99.7,34.9,76.9,2106.6,218.8,-18.0,-93.7,564.7,237.1,-33.8,-82.0,-32.5
"Constant 2018 Prices","..Papaya",.,.,-3.4,1.9,9.0,-0.3,-3.4,0.4,-1.5,-2.2,-2.6,-0.3,-4.7,7.0,9.5,-4.6,3.3,-0.9,-2.5,1.5,4.8,4.1
"Constant 2018 Prices","..Kangkong",.,.,73.7,9.4,6.0,5.2,-1.8,1.6,-0.2,-7.9,-3.7,-1.4,-2.7,2.0,-0.4,-18.0,-16.2,-6.7,-3.0,2.3,0.2,3.9
"Constant 2018 Prices","..Stringbeans",.,.,351.8,-48.5,3.0,4.9,-7.9,1.9,0.5,-7.3,0.2,0.7,26.7,24.0,-2.1,0.1,-2.0,2.7,0.9,2.9,2.3,3.0
"Constant 2018 Prices","..Abaca",.,.,11.4,-8.0,30.8,-23.7,95.3,-19.9,11.9,16.6,173.1,7.1,-12.7,15.1,-0.3,-11.8,1.7,0.4,16.4,7.2,3.5,4.3
"Constant 2018 Prices","..Coffee",.,.,-2.1,0.7,1.1,-0.3,-2.2,-1.8,-3.9,-4.8,-14.9,-2.9,-3.2,0.9,3.9,-22.8,-33.9,-1.0,-3.3,4.9,-11.3,-19.0
"Constant 2018 Prices","..Cacao",.,.,-13.4,-2.9,-4.1,-0.2,-5.8,-4.5,-2.1,-8.2,-7.6,2.5,-10.2,23.9,2.1,-2.8,13.6,7.4,39.8,51.6,56.6,19.3
"Constant 2018 Prices","..Other Crops",.,.,-12.2,-3.3,-2.3,-2.3,-5.4,-7.1,-0.8,10.1,-11.1,2.3,-4.5,8.1,1.7,-6.6,-5.6,-1.3,10.5,-4.0,-4.6,0.5
"Constant 2018 Prices","LIVESTOCK",.,.,2.8,-0.2,-2.8,-1.1,-2.0,-0.5,-0.3,2.7,-3.6,-5.7,-2.4,-2.6,1.2,-1.9,2.3,0.2,-0.5,-1.0,1.8,10.5
"Constant 2018 Prices","..Hog",.,.,3.0,-1.4,-2.3,0.5,-2.7,-0.4,1.8,3.8,-4.9,-6.1,-2.1,-2.5,1.4,-1.6,2.7,-0.1,0.1,1.0,2.6,13.2
"Constant 2018 Prices","..Cattle",.,.,2.0,1.3,-5.0,2.4,0.8,0.0,-11.3,-0.6,-1.9,-5.0,-3.7,-3.5,-1.0,-7.4,0.2,1.3,-3.0,-10.7,-1.1,-1.0
"Constant 2018 Prices","..Carabao",.,.,4.0,11.9,-6.5,-24.7,0.5,-2.7,-0.4,2.0,10.9,-3.0,-2.5,-0.9,2.1,3.1,5.1,2.9,-1.6,-5.9,2.8,-0.1
"Constant 2018 Prices","..Goat",.,.,-1.0,-1.0,1.3,-4.4,0.5,-1.7,-0.3,-6.6,-0.3,-4.7,-5.3,-4.3,2.3,-0.2,-3.2,-0.7,-3.1,-6.7,-9.7,-4.3
"Constant 2018 Prices","POULTRY",.,.,7.2,0.3,4.4,-3.9,-2.8,3.4,-4.8,-1.2,5.7,-9.7,2.4,2.4,8.4,7.1,8.0,7.8,10.7,0.7,7.4,-5.9
"Constant 2018 Prices","..Chicken",.,.,9.4,-1.5,5.5,-5.5,-4.8,2.0,-6.8,0.6,10.8,-10.0,5.1,-0.8,5.0,8.5,5.9,7.0,6.5,-1.7,10.7,-8.5
"Constant 2018 Prices","..Duck",.,.,2.3,2.9,-11.0,-6.4,-22.1,-19.7,-3.9,-30.0,-28.6,-19.7,-1.6,15.0,3.6,0.1,-3.9,-8.9,10.1,-1.0,16.5,16.5
"Constant 2018 Prices","..Chicken Eggs",.,.,1.6,5.4,4.1,2.7,3.7,11.0,0.7,-1.5,-2.4,-9.0,-6.0,11.1,17.3,5.0,12.9,8.3,19.7,4.3,3.8,-1.5
"Constant 2018 Prices","..Duck Eggs",.,.,5.5,3.6,1.1,-11.5,7.6,-6.5,-11.6,-15.7,-14.1,-2.1,18.9,1.5,8.2,-1.9,11.7,26.1,11.4,11.0,-16.8,-3.6
"Constant 2018 Prices","FISHERIES",.,.,8.6,-2.9,2.9,-5.4,14.5,-4.7,8.4,3.4,-18.1,-8.4,-0.3,-2.0,-0.5,-3.6,-8.9,-1.6,5.2,1.7,-1.5,-2.8
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,-8.8,24.7,44.6,-22.8,-12.1,28.2,76.0,0.4,-40.6,8.1,-5.4,19.4,12.4,-11.8,-11.5,6.1,1.7,28.9,-1.4,-8.8
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,4.7,-2.7,-21.4,15.9,2.4,7.5,42.4,24.5,-2.5,-1.0,10.8,2.1,1.8,13.1,-4.2,-7.4,-3.7,-8.3,2.6,1.0
"Constant 2018 Prices","..Seaweed",.,.,-4.1,52.6,14.1,19.6,-4.5,10.2,1.3,14.7,-1.4,-3.2,-11.2,-5.8,-1.0,-5.4,-5.5,7.7,0.5,2.6,-3.6,-12.5
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,4.2,-8.6,-8.7,2.0,14.6,-6.6,-15.3,22.1,-17.1,-11.9,-6.9,-4.4,7.6,-16.3,-5.4,0.8,2.7,-8.7,-6.3,5.1
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,20.8,-11.1,24.5,-35.7,5.8,11.4,48.6,-2.9,-41.3,-7.5,2.9,9.9,3.6,-7.6,-25.0,11.3,0.6,1.2,-7.2,-0.9
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,28.6,-14.8,-21.5,-27.5,41.0,-48.5,20.8,-7.2,-21.2,-19.3,-4.3,-0.8,-19.4,-7.9,-15.5,17.2,9.4,1.2,-15.7,11.0
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,-9.8,18.1,-2.7,10.7,28.8,25.1,-3.0,19.4,-30.7,15.8,26.5,-18.7,-3.3,-11.7,-23.9,29.5,12.8,-22.9,0.0,-13.6
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,77.3,5.5,835.4,43.3,-21.6,16.9,-16.8,-58.9,-6.0,6.4,17.4,1.9,-5.0,-5.3,9.6,-10.8,-9.1,-11.1,-3.7,-9.1
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,4.4,0.1,14.0,-9.6,6.2,-8.1,16.4,4.6,-4.7,6.0,-0.6,-14.7,-6.5,-6.7,-6.3,-19.2,-6.5,-3.4,26.7,-27.9
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,118.9,1.1,39.9,-13.4,-4.4,6.2,30.4,18.6,-7.5,16.4,10.8,-6.9,2.0,-1.3,-17.7,-1.1,15.4,-6.6,7.5,-8.9
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,0.6,4.9,-24.1,1.3,22.7,15.1,-14.2,31.7,-26.6,9.4,5.9,-5.6,9.6,-9.5,-1.2,-16.2,9.3,31.0,0.8,11.5
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,10.6,-0.7,-44.1,8.7,-7.6,-1.0,64.9,-23.4,13.5,-21.6,-10.0,17.8,12.0,8.1,-20.0,-7.3,-1.3,7.7,11.1,-9.0
"Constant 2018 Prices","..Goatfish (Saramulyete)",.,.,50.7,7.5,-25.2,-16.6,-24.0,4.2,67.5,-27.5,13.2,-27.2,-15.2,-11.6,6.2,49.4,-11.7,10.5,4.1,6.0,-3.4,1.2
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,28.7,-0.9,-20.6,16.8,-30.7,20.0,4.9,16.5,-15.6,-28.0,20.1,29.7,-23.0,2.7,-24.7,35.4,-1.7,-1.0,-0.2,41.3
"Constant 2018 Prices","..Fimbriated sardines (Tunsoy)",.,.,-4.1,12.3,-13.7,-15.1,13.8,145.3,10.8,-53.8,-22.8,-10.2,27.3,-26.7,-18.3,17.4,-1.1,2.5,8.2,-8.3,-6.4,-26.2
"Constant 2018 Prices","..Crevalle (Salay-salay)",.,.,59.4,53.7,92.0,-12.6,-35.4,24.8,91.8,-12.7,-23.4,-11.9,-5.4,-16.4,91.6,16.2,-52.4,12.4,8.0,31.5,-7.0,-37.0
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,36.2,3.8,-10.0,11.7,97.7,-34.1,-44.9,14.5,-26.3,-15.2,-1.4,-2.0,-15.7,6.0,24.7,-5.3,30.2,-23.7,-6.0,-4.4
"Constant 2018 Prices","..Squid (Pusit)",.,.,-3.2,2.3,-26.2,2.5,-22.1,-17.1,4.4,29.1,-23.4,28.7,1.0,-21.3,8.8,30.4,-10.5,-7.6,10.6,4.0,-3.5,-16.5
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,2.9,-2.2,-0.4,-9.9,-11.6,-5.1,24.2,9.1,-8.5,-26.1,-17.1,-2.7,-2.3,-39.0,-36.2,-23.7,-20.1,-4.2,-12.6,8.3
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,2.4,-13.6,2.4,-17.6,-3.7,6.9,89.6,10.3,-0.7,13.7,-2.4,-14.9,0.7,154.2,-20.7,39.6,12.5,-0.3,-2.0,12.4
"Constant 2018 Prices","..Other Fisheries",.,.,-6.0,-20.8,-1.0,-6.6,23.1,11.2,-11.3,11.6,-6.4,-19.8,5.9,-13.6,-11.2,6.6,-2.6,-14.7,17.0,5.4,0.8,11.4
"Constant 2018 Prices","AGRICULTURE",.,.,5.2,0.5,5.8,-3.1,7.0,-3.1,3.0,3.1,-6.5,-2.5,1.7,1.0,1.1,-4.4,0.7,1.8,-0.3,-1.1,1.7,0.1
