"Geolocation","Fertilizer Grade","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"....Quirino","Complete (14-14-14)",1050.00,1050.00,1035.00,1000.00,1010.00,1015.00,1000.00,985.00,950.00,974.00,1000.00,1035.00,1008.67
"....Quirino","Urea (45-0-0)",960.00,957.50,950.00,948.00,945.00,935.00,854.00,850.00,850.00,954.00,1000.00,1040.00,936.96
"..REGION III (CENTRAL LUZON)","Ammophos (16-20-0)",880.14,880.89,887.14,889.06,878.57,866.50,853.29,844.46,845.79,858.37,875.36,911.43,872.58
"..REGION III (CENTRAL LUZON)","Ammosul (21-0-0)",520.94,523.32,528.93,530.14,530.32,523.00,512.91,502.21,501.36,505.34,517.57,543.00,519.92
"..REGION III (CENTRAL LUZON)","Complete (14-14-14)",1041.86,1047.36,1056.96,1058.29,1055.21,1047.39,1011.03,982.46,975.46,981.71,998.11,1029.57,1023.78
"..REGION III (CENTRAL LUZON)","Urea (45-0-0)",966.43,977.86,990.36,984.94,975.02,925.82,872.43,852.14,853.64,896.64,917.81,981.14,932.85
"....Aurora","Ammophos (16-20-0)",938.00,920.00,920.00,948.00,963.75,887.50,875.00,875.00,875.00,879.00,881.25,925.00,907.29
"....Aurora","Ammosul (21-0-0)",564.00,560.00,560.00,560.00,563.75,572.50,564.00,563.75,553.75,561.00,560.00,560.00,561.90
"....Aurora","Complete (14-14-14)",1056.00,1060.00,1082.50,1112.00,1095.00,1055.00,1029.00,1006.25,1001.25,1011.00,1018.75,1082.50,1050.77
"....Aurora","Urea (45-0-0)",990.00,990.00,1012.50,1024.00,983.75,950.00,919.00,900.00,908.75,956.00,968.75,1037.50,970.02
"....Bataan","Ammophos (16-20-0)",894.00,885.00,877.50,875.40,861.25,860.50,840.00,818.75,813.00,817.00,817.50,825.00,848.74
"....Bataan","Ammosul (21-0-0)",498.00,522.50,537.50,550.00,547.25,543.50,529.40,509.00,510.00,515.00,510.50,511.00,523.64
"....Bataan","Complete (14-14-14)",1026.00,1051.50,1087.50,1083.00,1070.25,1069.25,1033.00,988.00,985.00,988.40,990.00,996.25,1030.68
"....Bataan","Urea (45-0-0)",908.00,937.50,948.75,966.60,980.13,979.50,899.00,876.25,840.00,894.50,893.44,921.00,920.39
"....Bulacan","Ammophos (16-20-0)",870.00,870.00,870.00,870.00,877.50,930.00,922.00,900.00,900.00,930.00,950.00,950.00,903.29
"....Bulacan","Ammosul (21-0-0)",584.00,565.00,565.00,564.00,572.50,597.50,616.00,620.00,620.00,626.00,630.00,630.00,599.17
"....Bulacan","Complete (14-14-14)",1040.00,1040.00,1040.00,1040.00,1051.25,1097.50,1055.20,1080.00,1080.00,1080.00,1080.00,1080.00,1063.66
"....Bulacan","Urea (45-0-0)",1000.00,1000.00,1000.00,1000.00,995.00,965.00,922.00,900.00,920.00,976.00,1000.00,1000.00,973.17
"....Nueva Ecija","Ammophos (16-20-0)",800.00,802.50,820.00,818.00,817.50,811.25,783.00,775.00,790.00,823.60,867.50,947.50,821.32
"....Nueva Ecija","Ammosul (21-0-0)",476.00,492.50,495.00,492.00,492.50,466.25,453.00,440.25,438.25,461.40,480.00,521.25,475.70
"....Nueva Ecija","Complete (14-14-14)",1008.00,1003.75,1027.50,1024.00,1010.00,960.00,910.00,903.00,899.50,927.60,973.00,1020.75,972.26
"....Nueva Ecija","Urea (45-0-0)",922.00,955.00,975.00,956.00,933.75,825.00,801.00,806.25,831.75,889.00,907.50,1019.50,901.81
"....Pampanga","Ammophos (16-20-0)",874.00,870.00,890.00,890.00,860.00,850.00,848.00,840.00,840.00,854.00,860.00,890.00,863.83
"....Pampanga","Ammosul (21-0-0)",502.00,500.00,520.00,520.00,497.50,490.00,486.00,465.00,480.00,456.00,505.00,565.00,498.88
"....Pampanga","Complete (14-14-14)",1046.00,1060.00,1062.50,1050.00,1050.00,1100.00,1076.00,950.00,950.00,956.00,975.00,1015.00,1024.21
"....Pampanga","Urea (45-0-0)",998.00,972.50,980.00,980.00,957.50,910.00,856.00,810.00,810.00,900.00,937.50,997.50,925.75
"....Tarlac","Ammophos (16-20-0)",800.00,837.50,850.00,850.00,850.00,812.50,800.00,800.00,800.00,800.00,840.00,925.00,830.42
