"Consumer Price Index for Bottom 30% Income Households by Commodity Group (2018=100): January 2012 - December 2017 (Backcasted Values)"

"Geolocation","Commodity Description","2012 Jan","2012 Feb","2012 Mar","2012 Apr","2012 May","2012 Jun","2012 Jul","2012 Aug","2012 Sep","2012 Oct","2012 Nov","2012 Dec","2013 Jan","2013 Feb","2013 Mar","2013 Apr","2013 May","2013 Jun","2013 Jul","2013 Aug","2013 Sep","2013 Oct","2013 Nov","2013 Dec","2014 Jan","2014 Feb","2014 Mar","2014 Apr","2014 May","2014 Jun","2014 Jul","2014 Aug","2014 Sep","2014 Oct","2014 Nov","2014 Dec","2015 Jan","2015 Feb","2015 Mar","2015 Apr","2015 May","2015 Jun","2015 Jul","2015 Aug","2015 Sep","2015 Oct","2015 Nov","2015 Dec","2016 Jan","2016 Feb","2016 Mar","2016 Apr","2016 May","2016 Jun","2016 Jul","2016 Aug","2016 Sep","2016 Oct","2016 Nov","2016 Dec","2017 Jan","2017 Feb","2017 Mar","2017 Apr","2017 May","2017 Jun","2017 Jul","2017 Aug","2017 Sep","2017 Oct","2017 Nov","2017 Dec"
"..Region II (Cagayan Valley)","01.1.8.1 - Cane and beet sugar (ND)",83.1508804758404,81.2380480970153,78.0869130681738,78.8668030341736,81.0552735229720,81.9568791883443,85.9142273749909,87.6644182948828,92.8250862730063,93.0350781820168,92.3534701563233,88.6180803168891,87.0960148226846,85.3507071893167,85.1270711679077,84.2005675230946,83.8878315324510,83.8375274135164,83.9531351192477,83.1115094303185,83.4326848582143,83.1582310015674,83.4667646351691,84.7611034164292,84.8720448204796,84.7254140435747,85.4069978707571,85.1530897848532,87.2604400234666,89.5162569633581,91.4014091376783,92.7310921532740,92.4942717283254,92.7651229309525,92.0887805095547,90.7585544601604,91.0113226175463,90.4204728962702,90.5724526412333,91.5368887153530,95.3570304909642,97.1862207638130,96.6528874470857,96.7677980122253,96.4805329384956,95.1102360899097,95.6333506632155,95.4142852170999,96.7029769938095,97.5889060216595,98.0256906809437,98.1669169098346,98.5426678761875,98.6912780091050,98.6019793496475,98.8128654494332,99.2600466756141,99.2621108935317,99.6398526899161,99.4068012681962,99.6006736285799,98.0823145329323,97.0111800882592,96.3714090493385,96.2006541657133,94.6604119556286,95.6480477128425,93.5256789060352,93.6851469812492,91.9406118964835,91.8657004409683,91.5809532413052
"..Region III (Central Luzon)","01.1.1.12 - Rice",79.3582702882075,79.5913144903037,79.3902365321222,79.6275240725352,79.3228928552863,79.2487259978132,79.7468411052136,80.2508790237492,80.2564206275852,80.2299462575713,80.2674110970372,80.4110540133095,79.5439900041502,79.6821230014886,80.0701868738589,79.7489766342081,79.6937951223190,80.3976597857539,81.6821849597286,82.9126961619928,86.0249385353469,86.6469237253229,86.7062065218151,88.7537849026448,89.4014823413515,89.9826805007937,90.9970586590641,93.1782141403776,94.1006276115867,94.8080926199700,96.9023738674193,97.2535858807399,98.3232234920278,98.3446592247505,98.3605090881730,97.2838573775518,97.4499354218232,96.9253595488041,96.6763752340143,96.6989228089410,96.7966363920927,96.6864003544514,96.0296392819984,95.9325457178595,96.4282694407908,96.2030271002766,96.1068704772573,95.8063401181701,95.8146081738286,95.6034543676120,95.1770579103688,95.2958422317183,95.3309073897473,95.1039120594360,94.9687945346722,94.8971039578532,95.2304122498380,95.2308022385523,94.9251029331547,94.6441841451910,94.8120690633852,95.0173437589843,94.9266094938624,94.6680974026359,94.6906585323726,95.1263426045315,95.1076926492614,95.0540793466184,95.2152981758766,95.1889502415223,95.5054716245250,95.4625719598977
"..Region III (Central Luzon)","01.1.1.16 - Corn",76.9235209533944,74.2016031930589,71.7373955891516,71.7342254161774,74.1486184618581,73.3211662508946,71.5325117470742,74.1828106893743,78.0090688563158,76.3166455525198,76.9951309556598,77.0884897878446,75.6836408507728,74.5711545054049,74.8178174738222,73.7915800393176,73.6058389734987,73.6893319065742,74.0862066502241,75.6567167949291,78.3262056799148,78.1006010412450,77.5228922577080,79.0272129748550,77.8733441337036,76.7726081509923,73.8476281574116,75.6395302899617,79.6271814108905,76.4050316332358,79.0720893061122,80.2117208096808,83.7215193064077,85.0553316225187,84.5084543416052,84.5738737684650,83.1964515412765,81.9326709099230,79.7855922509147,78.6700419830605,79.6320445389385,81.7269898031285,80.2695904980592,84.3780131716454,85.3540911828619,86.2314975683681,89.8583143214376,93.1468744672519,92.1848373534971,92.3182409547039,90.0375638800860,89.1800533105988,88.2041036676171,90.5941714857174,89.4506233454935,89.6577111969139,91.4521521166961,93.3206581693084,94.6278871931587,94.8316073152690,94.8316073152690,94.6278871931587,91.0854071395527,89.0593005612115,89.2907440402458,89.2907440402458,89.8119866416585,89.9971661921675,89.5646147527819,90.2787386422244,92.9111849884045,96.8871658058318
"..Region III (Central Luzon)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",91.6822429906542,91.7757009345795,92.1495327102804,92.8971962616823,93.0841121495327,93.1775700934579,93.9252336448598,93.9252336448598,94.2990654205608,94.7663551401869,94.8598130841122,94.9532710280374,95.6074766355140,95.7943925233645,95.8878504672897,96.4485981308411,96.5420560747664,96.2616822429907,96.5420560747664,96.6355140186916,96.7289719626168,96.6355140186916,96.9158878504673,97.1028037383178,96.8224299065421,96.9158878504673,96.9158878504673,97.1028037383178,97.1962616822430,97.1962616822430,97.1962616822430,97.5700934579439,97.4766355140187,97.4766355140187,97.2897196261682,97.1028037383178,97.8504672897196,97.7570093457944,97.6635514018692,97.6635514018692,97.6635514018692,97.7570093457944,97.8504672897196,97.7570093457944,97.7570093457944,98.0373831775701,97.9439252336449,97.6635514018692,97.0093457943925,97.1028037383178,95.8878504672897,95.7943925233645,96.2616822429907,96.5420560747664,96.7289719626168,96.7289719626168,97.0093457943925,97.2897196261682,97.2897196261682,97.4766355140187,97.3831775700935,97.5700934579439,97.5700934579439,97.5700934579439,98.1308411214953,98.1308411214953,98.5981308411215,98.5981308411215,98.6915887850467,98.6915887850467,98.7850467289720,98.7850467289720
"..Region III (Central Luzon)","01.1.6 - Fruits and nuts (ND)",76.6894457099469,73.7281700835232,72.7410782080486,74.5634016704632,77.0690964312832,75.2467729688686,77.3728170083523,77.0690964312832,77.3728170083523,78.5876993166287,76.3857251328778,74.4115413819286,75.7023538344723,75.2467729688686,74.9430523917996,76.3857251328778,77.9043280182232,76.4616552771450,76.4616552771450,78.7395596051633,77.3728170083523,76.3857251328778,79.0432801822324,80.6378132118451,83.2194381169324,82.9157175398633,83.5231586940015,85.4214123006834,87.5474563401671,90.8124525436598,89.6735003796507,93.5459377372817,97.2665148063781,98.4054669703873,97.3424449506454,96.6590736522399,96.8868640850418,95.2164009111617,95.4441913439636,97.1905846621109,97.0387243735763,96.2034927866363,97.5702353834472,98.1017463933182,99.9240698557327,95.3682611996963,92.1791951404708,90.5087319665907,92.1032649962035,90.8124525436598,88.4586180713744,91.7995444191344,90.2050113895216,92.6347760060744,94.3052391799545,95.5201214882308,96.9627942293090,98.1017463933182,99.6962794229309,99.4684889901291,95.3682611996963,86.9400151860289,88.6864085041762,88.6864085041762,89.5975702353835,89.3697798025816,90.3568716780562,95.8238420652999,96.8109339407745,97.0387243735763,96.0516324981018,95.2923310554290
"..Region III (Central Luzon)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",79.3557833089312,66.4714494875549,63.8360175695461,65.6661786237189,65.2269399707174,66.3982430453880,69.1068814055637,76.5007320644217,91.5812591508053,83.8213762811127,79.5021961932650,70.9370424597365,68.8140556368960,68.0087847730600,65.4465592972182,68.2284040995608,70.1317715959005,74.4509516837482,74.5973645680820,73.6456808199121,75.1098096632504,79.8682284040996,85.2855051244510,80.0146412884334,85.4319180087848,78.3308931185944,70.7906295754026,68.7408491947291,67.9355783308931,71.5959004392387,77.1595900439239,80.0878477306003,78.5505124450952,77.7452415812592,80.0878477306003,73.7188872620791,76.6471449487555,72.7672035139092,70.4245973645681,70.9370424597365,69.2532942898975,71.4494875549048,72.9868228404100,89.8243045387994,83.7481698389458,82.7964860907760,103.3674963396780,99.6339677891654,101.2445095168380,85.5051244509517,78.1844802342606,75.4026354319180,77.9648609077599,81.8448023426061,84.4070278184480,80.0878477306003,84.9194729136164,85.1390922401171,101.0248901903370,98.3894582723280,97.6573938506589,89.0922401171303,79.5754026354319,78.1112737920937,78.3308931185944,77.0131771595900,77.3060029282577,80.6734992679356,88.5797950219619,91.3616398243045,93.4114202049780,88.7994143484627
"..Region III (Central Luzon)","01.1.8.1 - Cane and beet sugar (ND)",75.7719934372401,75.3815665925797,75.5947180483351,76.4843665315328,77.8430118979287,80.0129028467392,85.8314956484499,88.1993566155531,88.0768795505675,87.9101110112412,87.4820040428045,85.0181511540773,82.7327309825002,83.0765817363444,82.1118736764777,81.6661251041354,82.9153267686215,83.4209010134177,83.8243888313996,83.7064650370176,83.5634825457699,82.9002088676686,83.5586762860232,84.9965518276366,84.3744775608583,84.0444461748911,84.8260374941036,84.7868624122905,86.6480053563978,90.3676858928573,91.1100596819019,90.4989052750708,91.7662271370736,90.7298055464594,90.0247514932964,89.5119504239707,89.1464240484464,88.5780592935808,87.9745983702424,89.4059347741777,92.5192490222370,93.9064607932271,94.0446041106029,94.0399648189590,94.0008925656859,94.1923160588557,94.3973543101524,95.7317080289266,96.7025019918983,96.8830112750283,97.2691765832564,97.2999460933656,98.4718358070685,98.6560225000139,98.9137135021208,98.8718520274638,98.8683611011728,98.6416277867727,98.3694058316126,98.4107602635089,98.4578005407013,98.0606132115298,97.0924299871324,96.8898252356957,96.7977410296223,95.8011100509610,95.7980160132979,95.6198700143608,95.5614978958230,95.5645290991352,94.4924571429789,93.2360413815621
"..Region IV-A (CALABARZON)","01.1.1.12 - Rice",80.2077040532791,80.4953843453481,80.7855224795745,81.4675189064282,81.2378887591028,81.0591953214926,81.3913254074173,81.3529225802949,81.3517394675638,81.5818937111145,81.8426988445749,82.0434278947272,81.8589402771471,82.0201914936557,81.8867465187921,82.1346338437352,82.3483248884054,82.3441567836758,82.6886077202647,84.3743430902305,87.1009720433790,87.8106883868540,87.9599859143329,87.9785140013358,88.2291709078148,89.1591243170034,91.9096068109320,92.8434437559345,93.4634011002366,93.8214105913993,95.5636239982063,96.4242973099526,96.7187032478829,96.8417894305783,96.0207488175071,95.6946303445361,95.7080701122996,95.8793778836649,95.3280129390697,95.0206207860027,94.5181423865535,94.5036184686586,94.2401979458607,94.2768440261228,94.1658453706495,93.9918198758796,94.3996861137030,94.3161753367950,94.2415616819386,94.0576364384612,93.8870604446953,93.8379845342549,93.8013567443580,93.7883549015940,93.9243941394107,93.9508094715758,94.7614025695730,94.7889905403549,95.0063135002040,95.1178626735217,95.4095927092757,95.6312026558714,95.6555761020569,95.6855736078989,96.0732801754824,96.2367318576868,96.3037413436986,96.5048149498306,96.5733727254254,96.6088413716943,96.6213271672857,96.7670448413394
"..Region IV-A (CALABARZON)","01.1.1.16 - Corn",79.4627508024508,79.8785355916501,79.9486866115325,81.3030809637722,81.7110309076690,80.2323363187436,81.0202536391427,79.4431286380834,80.4538250329503,81.1916648735763,81.3390535447604,80.9777803923489,81.6766147785427,79.2398567193365,80.3182053054949,80.6090971524296,81.8464860695438,79.9791083172629,80.0632591584846,78.3858843053340,79.0119470792423,82.0594724686599,83.7698746549710,84.0817245392645,79.1083501149324,79.4724889096677,78.8117772283156,83.5902320017919,82.6333077585765,82.8164552433556,84.3845797718085,87.3163600764090,85.7710598903349,87.2605614149502,86.7216461605714,87.4218571957947,89.5254579313105,83.5920947662308,82.9598557962002,83.0901418771994,82.0827400209045,82.2609037606090,79.0168390140772,81.4357005593452,81.2963760574023,82.9116571988511,88.3461384578412,90.4826725659893,95.0713090442970,91.9367955121572,92.2980959145761,91.5571915778811,92.3381001504622,94.9488764978425,95.3811336482395,91.3965043564487,91.1405485031901,92.2305441229004,100.7056255664840,98.0006636186121,96.8599936822610,96.6007677053796,97.1456324534820,97.0386403320729,97.1152289819213,97.4443973185328,98.1092702703881,94.2822795594232,97.6698864207462,96.7149021974384,100.1203115944650,100.8992813216510
"..Region IV-A (CALABARZON)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",96.4980544747082,96.4980544747082,96.7898832684825,97.2762645914397,97.3735408560311,97.3735408560311,97.3735408560311,97.4708171206226,97.5680933852140,97.5680933852140,97.7626459143969,97.8599221789883,97.3735408560311,97.8599221789883,98.1517509727627,98.7354085603113,98.9299610894942,99.6108949416342,99.8054474708171,99.6108949416342,99.7081712062257,99.6108949416342,97.7626459143969,97.6653696498055,97.7626459143969,97.7626459143969,97.9571984435798,98.3463035019455,98.6381322957198,98.6381322957198,98.7354085603113,98.4435797665370,98.5408560311284,98.7354085603113,98.4435797665370,98.5408560311284,98.4435797665370,98.8326848249027,98.9299610894942,99.0272373540856,99.1245136186770,99.1245136186770,99.0272373540856,98.8326848249027,98.9299610894942,98.8326848249027,98.4435797665370,98.0544747081712,98.2490272373541,98.1517509727627,98.1517509727627,98.2490272373541,98.3463035019455,98.3463035019455,98.4435797665370,98.4435797665370,98.5408560311284,98.5408560311284,98.4435797665370,98.5408560311284,98.5408560311284,98.6381322957198,98.7354085603113,98.7354085603113,98.7354085603113,98.7354085603113,98.5408560311284,98.5408560311284,98.6381322957198,98.7354085603113,98.7354085603113,98.8326848249027
