Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Processing,UT Total Carcass Net Food Disposable,UT Carcass Per Capita (kg/yr),UT Carcass Per Capita (gm/day),UT Total Offals Net Food Disposable,UT Offals Per Capita (kg/yr),UT Offals Per Capita (gm/day)
Beef,2010,147546.57,50062.00,197608.57,0.79,14754.66,158313.56,1.70,4.66,24539.57,0.26,0.72
Beef,2011,150192.81,48641.71,198834.52,0.00,15019.28,160060.05,1.69,4.62,23755.19,0.25,0.69
Beef,2012,148859.44,49332.81,198192.25,2.00,14885.94,160534.00,1.66,4.56,22770.30,0.24,0.65
Beef,2013,151479.89,50451.68,201931.57,49.00,15147.99,164082.92,1.67,4.58,22651.66,0.23,0.63
Beef,2014,153159.22,65691.99,218851.21,45.00,15315.92,179038.15,1.79,4.91,24452.13,0.24,0.67
Beef,2015,156428.33,64445.83,220874.17,10.00,15642.83,181167.23,1.78,4.89,24054.10,0.24,0.65
Beef,2016,158490.23,77111.60,235601.83,0.00,15849.02,195784.65,1.90,5.20,23968.16,0.23,0.64
Beef,2017,156078.92,86642.83,242721.75,0.00,15607.89,198942.23,1.91,5.23,28171.63,0.27,0.74
Beef,2018,154326.00,98751.33,253077.34,25.21,15432.60,205336.27,1.94,5.32,32283.26,0.31,0.84
Beef,2019,152751.50,103133.67,255885.16,27.14,15275.15,209850.15,1.96,5.36,30732.73,0.29,0.78
Beef,2020,134291.24,94991.77,229283.01,33.67,13429.12,188487.06,1.73,4.75,27333.16,0.25,0.69
Beef,2021,138381.51,119240.92,257622.43,30.46,13838.15,212786.82,1.93,5.29,30967.00,0.28,0.77
Beef,2022,138699.63,138976.20,277675.83,0.00,13869.96,234437.04,2.10,5.76,29368.83,0.26,0.72
Carabeef,1990,62437.23,0.00,62437.23,0.00,62.44,53211.74,0.87,2.37,9163.06,0.15,0.41
Carabeef,1991,59313.32,0.00,59313.32,0.00,59.31,50549.40,0.80,2.20,8704.61,0.14,0.38
Carabeef,1992,63650.46,0.00,63650.46,0.00,63.65,54245.70,0.84,2.31,9341.11,0.15,0.40
Carabeef,1993,63498.07,424.00,63922.07,0.00,63.50,54539.83,0.83,2.28,9318.75,0.14,0.39
Carabeef,1994,63703.21,9165.00,72868.21,0.00,63.70,63455.66,0.92,2.53,9348.85,0.14,0.37
Carabeef,1995,60930.96,16681.00,77611.96,0.00,60.93,68609.02,1.00,2.75,8942.01,0.13,0.36
Carabeef,1996,58164.56,23828.00,81992.56,0.00,58.16,73398.38,1.05,2.87,8536.02,0.12,0.33
Carabeef,1997,62210.41,30147.00,92357.41,0.00,62.21,83165.43,1.16,3.18,9129.77,0.13,0.35
Carabeef,1998,66258.02,21382.00,87640.02,0.00,66.26,77849.98,1.06,2.92,9723.79,0.13,0.36
Carabeef,1999,69720.70,28456.00,98176.70,0.00,69.72,87875.02,1.18,3.22,10231.96,0.14,0.38
Carabeef,2000,72659.99,39787.00,112446.99,0.00,72.66,101711.01,1.33,3.64,10663.32,0.14,0.38
Carabeef,2001,73435.40,47426.00,120861.40,0.00,73.44,109865.85,1.41,3.86,10922.11,0.14,0.38
Carabeef,2002,77693.00,52453.00,130146.42,0.00,77.69,118666.72,1.49,4.09,11402.00,0.14,0.39
Carabeef,2003,77678.00,53621.00,131299.18,0.00,77.68,119821.73,1.48,4.05,11399.77,0.14,0.39
Carabeef,2004,80919.00,65389.00,146307.72,0.00,80.92,134327.47,1.62,4.45,11899.34,0.14,0.39
Carabeef,2005,78257.00,64170.00,142427.24,0.00,78.26,130809.24,1.53,4.20,11539.75,0.14,0.37
Carabeef,2006,76434.00,60404.00,136838.47,0.00,76.43,125544.79,1.44,3.95,11217.24,0.13,0.35
Carabeef,2007,80272.00,62128.00,142399.67,0.00,80.27,130520.02,1.47,4.04,11799.38,0.13,0.36
Carabeef,2008,82302.00,63438.98,145740.90,0.00,82.30,133553.26,1.48,4.04,12105.33,0.13,0.37
Carabeef,2009,82587.00,45864.49,128451.84,141.00,82.59,116108.04,1.28,3.49,12120.22,0.13,0.36
Carabeef,2010,86756.00,48995.00,135750.69,0.00,86.76,122931.99,1.32,3.62,12731.95,0.14,0.37
Carabeef,2011,86459.00,39250.00,125709.13,0.00,86.46,112934.24,1.19,3.26,12688.43,0.13,0.37
Carabeef,2012,83652.00,36340.00,119992.29,0.00,83.65,107632.14,1.12,3.06,12276.51,0.13,0.35
Carabeef,2013,82920.00,27608.00,110528.26,23.00,82.92,98253.26,1.00,2.74,12169.07,0.12,0.34
Carabeef,2014,83832.00,39370.00,123202.14,0.00,83.83,110815.41,1.11,3.04,12302.90,0.12,0.34
Carabeef,2015,83251.00,42401.00,125651.82,0.00,83.25,113350.98,1.12,3.06,12217.59,0.12,0.33
Carabeef,2016,84800.00,38954.92,123754.80,0.00,84.80,111225.07,1.08,2.95,12444.92,0.12,0.33
Carabeef,2017,84638.03,41044.02,125682.04,0.00,84.64,113176.24,1.09,2.98,12421.17,0.12,0.33
Carabeef,2018,83896.36,44972.32,128868.69,0.00,83.90,116472.47,1.10,3.02,12312.32,0.12,0.32
Carabeef,2019,82441.41,32569.94,115011.35,0.00,82.44,102830.11,0.96,2.63,12098.80,0.11,0.31
Carabeef,2020,70572.28,31109.00,101681.28,28.00,70.57,91225.78,0.84,2.30,10356.93,0.10,0.26
Carabeef,2021,75809.03,43204.88,119013.91,0.00,75.81,107812.64,0.98,2.68,11125.46,0.10,0.28
Carabeef,2022,76352.13,47571.41,123923.54,0.00,76.35,112642.03,1.01,2.77,11205.16,0.10,0.28
Chevon,1990,31953.00,0.00,31953.17,0.00,0.00,24103.20,0.39,1.07,7849.97,0.13,0.35
Chevon,1991,33662.00,0.00,33662.24,0.00,0.00,25392.40,0.40,1.11,8269.84,0.13,0.36
Chevon,1992,34806.00,0.00,34805.51,0.00,0.00,26254.80,0.41,1.12,8550.71,0.13,0.36
Chevon,1993,38259.00,0.00,38258.65,0.00,0.00,28859.60,0.44,1.21,9399.05,0.14,0.39
Chevon,1994,39991.00,0.00,39991.05,0.00,0.00,30166.40,0.44,1.20,9824.65,0.14,0.39
Chevon,1995,41245.00,0.00,41245.14,0.00,0.00,31112.40,0.46,1.25,10132.74,0.15,0.41
Chevon,1996,40936.00,0.00,40935.99,0.00,0.00,30879.20,0.44,1.21,10056.79,0.14,0.39
Chevon,1997,41429.00,0.00,41428.88,0.00,0.00,31251.00,0.44,1.20,10177.88,0.14,0.39
Chevon,1998,42057.00,0.00,42056.51,0.00,0.00,31724.44,0.43,1.19,10332.07,0.14,0.39
Chevon,1999,43192.00,0.00,43192.20,0.00,0.00,32581.12,0.44,1.19,10611.08,0.14,0.39
Chevon,2000,43855.00,0.00,43855.41,0.00,0.00,33081.40,0.43,1.18,10774.01,0.14,0.39
Chevon,2001,43518.00,0.00,43517.68,0.00,0.00,32826.64,0.42,1.15,10691.04,0.14,0.38
Chevon,2002,43627.00,0.00,43626.76,0.00,0.00,32908.92,0.41,1.13,10717.84,0.13,0.37
Chevon,2003,43063.00,0.00,43062.71,0.00,0.00,32483.44,0.40,1.10,10579.27,0.13,0.36
Chevon,2004,43734.00,0.00,43733.50,0.00,0.00,32989.44,0.40,1.09,10744.06,0.13,0.36
Chevon,2005,45078.00,0.00,45078.01,0.00,0.00,34003.64,0.40,1.09,11074.37,0.13,0.36
Chevon,2006,43645.00,0.00,43644.84,0.00,0.00,32922.56,0.38,1.04,10722.28,0.12,0.34
Chevon,2007,44656.00,0.00,44656.28,0.00,0.00,33685.52,0.38,1.04,10970.76,0.12,0.34
Chevon,2008,45503.00,0.00,45502.65,0.00,0.00,34323.96,0.38,1.04,11178.69,0.12,0.34
Chevon,2009,45135.00,16.00,45151.17,0.00,0.00,34062.76,0.37,1.03,11088.41,0.12,0.33
Chevon,2010,45760.00,0.00,45760.47,0.00,0.00,34518.44,0.37,1.02,11242.03,0.12,0.33
Chevon,2011,45614.00,0.00,45614.06,0.00,0.00,34408.00,0.36,0.99,11206.06,0.12,0.32
Chevon,2012,44135.00,1.00,44136.39,0.00,0.00,33293.60,0.34,0.95,10842.79,0.11,0.31
Chevon,2013,43990.00,3.00,43993.15,0.00,0.00,33186.04,0.34,0.93,10807.11,0.11,0.30
Chevon,2014,44390.00,25.00,44415.30,0.00,0.00,33509.88,0.34,0.92,10905.42,0.11,0.30
Chevon,2015,45194.00,0.00,45194.08,0.00,0.00,34091.20,0.34,0.92,11102.88,0.11,0.30
Chevon,2016,45179.00,0.00,45178.92,0.00,0.00,34079.76,0.33,0.90,11099.16,0.11,0.29
Chevon,2017,45111.54,0.00,45111.54,0.00,0.00,34028.94,0.33,0.89,11082.61,0.11,0.29
Chevon,2018,44886.63,0.00,44886.63,0.00,0.00,33859.28,0.32,0.88,11027.35,0.10,0.29
Chevon,2019,44539.62,0.00,44539.62,0.00,0.00,33597.52,0.31,0.86,10942.10,0.10,0.28
Chevon,2020,41833.10,0.00,41833.10,0.00,0.00,31555.91,0.29,0.79,10277.19,0.09,0.26
Chevon,2021,42602.38,0.00,42602.38,0.00,0.00,32136.21,0.29,0.80,10466.18,0.09,0.26
Chevon,2022,41054.56,0.00,41054.56,0.00,0.00,30968.64,0.28,0.76,10085.92,0.09,0.25
Pork,1990,869543.00,1177.00,870720.50,383.00,10434.52,713916.59,11.61,31.81,145986.00,2.37,6.51
Pork,1991,891301.00,742.00,892042.64,308.00,10695.61,731119.87,11.63,31.86,149919.16,2.38,6.53
Pork,1992,891351.00,794.00,892145.23,8.00,10696.21,731416.37,11.38,31.18,150024.65,2.33,6.40
Pork,1993,928912.00,418.11,929329.93,22.00,11146.94,761828.34,11.64,31.90,156332.64,2.39,6.55
Pork,1994,972055.00,696.00,972751.04,0.00,11664.66,797432.49,11.62,31.84,163653.90,2.38,6.53
Pork,1995,1023007.00,2183.00,1025190.23,22.00,12276.09,839974.96,12.29,33.67,172917.18,2.53,6.93
Pork,1996,1093313.00,6073.00,1099386.15,0.00,13119.76,900923.65,12.88,35.29,185342.74,2.65,7.26
Pork,1997,1145017.00,10369.00,1155385.72,0.00,13740.20,946078.34,13.22,36.23,195567.18,2.73,7.49
Pork,1998,1186179.00,12593.00,1198772.03,0.00,14234.15,979628.03,13.39,36.69,204909.86,2.80,7.67
Pork,1999,1236853.00,31650.00,1268502.93,0.00,14842.24,1032479.27,13.81,37.84,221181.42,2.96,8.11
Pork,2000,1280081.00,32338.00,1312419.33,0.00,15360.98,1065597.38,13.93,38.16,231460.98,3.03,8.29
Pork,2001,1336222.00,22022.00,1358244.34,0.00,16034.67,1105673.27,14.19,38.87,236536.41,3.04,8.32
Pork,2002,1406425.00,25637.00,1432061.54,0.00,16877.09,1161709.89,14.61,40.03,253474.55,3.19,8.73
Pork,2003,1461512.00,29429.00,1490941.27,0.00,17538.15,1207666.97,14.89,40.81,265736.15,3.28,8.98
Pork,2004,1441540.00,34083.00,1475623.39,0.00,17298.48,1192615.81,14.43,39.53,265709.10,3.21,8.81
Pork,2005,1493722.00,31315.00,1525037.11,0.00,17924.67,1231543.63,14.45,39.58,275568.81,3.23,8.86
Pork,2006,1548413.00,35550.75,1583964.23,0.00,18580.96,1273893.38,14.65,40.13,291489.89,3.35,9.18
Pork,2007,1590467.00,52384.00,1642851.17,116.00,19085.61,1313590.37,14.83,40.63,310059.20,3.50,9.59
Pork,2008,1564934.00,83014.00,1647947.74,0.00,18779.20,1312103.10,14.51,39.74,317065.43,3.51,9.60
Pork,2009,1583160.00,87284.00,1670443.98,0.00,18997.92,1333583.65,14.65,40.14,317862.41,3.49,9.57
Pork,2010,1600717.00,151143.00,1751859.64,50.00,19208.60,1373756.07,14.75,40.41,358844.97,3.85,10.56
Pork,2011,1636295.00,141129.00,1777423.63,0.00,19635.54,1397131.99,14.73,40.37,360656.10,3.80,10.42
Pork,2012,1664351.00,118801.00,1783152.22,12.00,19972.21,1419804.52,14.71,40.31,343363.48,3.56,9.75
Pork,2013,1696865.00,152372.00,1849237.49,948.00,20362.39,1461179.85,14.88,40.77,366747.26,3.73,10.23
Pork,2014,1713841.00,203690.00,1917531.12,308.00,20566.09,1474553.75,14.76,40.45,422103.27,4.23,11.58
Pork,2015,1788077.00,203606.00,1991682.82,0.00,21456.92,1530160.30,15.07,41.28,440065.59,4.33,11.87
Pork,2016,1881959.00,224091.15,2106050.03,0.00,22583.51,1618941.54,15.68,42.96,464524.98,4.50,12.33
Pork,2017,1910086.92,272613.52,2182700.45,223.27,22921.04,1659699.61,15.93,43.65,499856.52,4.80,13.15
Pork,2018,1956256.71,316195.10,2272451.81,0.00,23475.08,1714987.75,16.22,44.43,533988.98,5.05,13.83
Pork,2019,1936765.62,286502.28,2223267.90,0.00,23241.19,1681677.65,15.67,42.94,518349.06,4.83,13.24
Pork,2020,1806893.98,179668.50,1986562.49,27.86,21682.73,1555715.43,14.30,39.19,409136.47,3.76,10.31
Pork,2021,1430362.97,494940.46,1925303.43,4.99,17164.36,1441336.34,13.08,35.83,466797.74,4.24,11.61
Pork,2022,1464912.52,639061.70,2103974.22,0.00,17578.95,1589312.49,14.24,39.03,497082.78,4.46,12.21
