Commodity,Item,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mongo,..Seeds/planting materials paid in kind,329,334,326,353,338,359,345,352,420,494,501,535,585,857,874,787,827,902,949,900,943,998,991,988,1056
Mongo,..Hired labor paid in kind,34,37,35,35,35,36,37,39,41,43,45,46,47,50,52,55,58,62,67,69,70,77,83,87,93
Mongo,..Landlord's share,217,220,215,217,208,221,213,217,259,305,310,331,362,530,541,487,512,558,587,557,583,617,613,611,653
Mongo,..Harvester's share,601,621,597,514,531,565,530,540,654,754,785,835,881,1216,1338,1208,1294,1419,1619,1559,1672,1851,1810,1839,1891
Mongo,..Irrigation fee paid in kind,2,3,3,3,3,3,3,3,4,5,5,5,5,7,7,6,6,7,7,7,7,7,7,7,8
Mongo,IMPUTED COSTS,2765,3402,3628,3434,3545,3814,3801,4028,4356,4648,4856,5070,5316,5940,6240,6525,6981,7539,8147,8520,8955,9795,10621,11334,12209
Mongo,..Operator/family labor,1462,2035,2187,2088,2089,2157,2235,2331,2467,2571,2672,2705,2750,2928,3060,3262,3439,3674,3947,4067,4131,4513,4878,5149,5450
Mongo,..Exchange labor,25,34,37,36,36,37,38,40,42,44,46,47,48,51,53,57,60,64,69,71,72,79,85,90,95
Mongo,..Depreciation,530,583,641,705,776,854,939,1033,1136,1250,1375,1513,1664,1830,2013,2214,2435,2679,2947,3242,3566,3922,4315,4746,5221
Mongo,..Interest on operating capital,382,379,401,271,310,230,247,275,295,293,266,274,273,280,246,211,226,227,242,246,250,291,360,369,394
Mongo,..Rental value of owned land,366,371,362,334,334,355,342,349,416,490,497,531,581,851,868,781,821,895,942,894,936,991,983,981,1049
Mongo,ALL  COSTS,7557,8292,8673,8462,8620,9078,9074,9553,10413,11140,11508,12046,12562,14547,15157,15305,16218,17348,18556,18896,19692,21280,22552,23554,25134
Mongo,GROSS RETURNS,17101,17681,17007,14643,15117,16074,15075,15353,18607,21461,22350,23781,25089,34634,38096,34390,36850,40399,46105,44395,47609,52719,51547,52369,53851
Mongo,RETURNS ABOVE CASH COST,13492,14006,13138,10737,11157,11994,10930,10979,13928,16570,17344,18557,19723,28687,31991,28153,30310,33538,38925,37111,40148,44785,43120,43682,44626
Mongo,RETURNS ABOVE CASH AND NON-CASH COSTS,12309,12791,11962,9615,10042,10810,9802,9828,12550,14969,15698,16805,17843,26027,29179,25610,27613,30590,35696,34019,36873,41235,39616,40149,40925
Mongo,NET RETURNS,9544,9389,8334,6181,6497,6996,6001,5800,8194,10321,10842,11735,12527,20087,22939,19085,20632,23051,27549,25499,27917,31439,28995,28815,28717
Mongo,NET PROFIT-COST RATIO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Mongo,Cost per kilogram (pesos),10,11,12,12,12,12,12,13,14,15,15,16,18,22,21,21,22,23,23,23,23,24,26,27,30
Mongo,Yield per hectare (kg),754,754,743,694,748,749,730,729,741,726,745,742,716,675,728,730,744,748,811,823,843,882,869,885,851
Mongo,Farmgate price (pesos/kg),23,23,23,21,20,21,21,21,25,30,30,32,35,51,52,47,50,54,57,54,56,60,59,59,63
Peanut,CASH COSTS,7443,9131,9582,9889,10073,10293,10733,11417,12332,12847,13428,13910,14554,14415,15158,16135,16849,17819,18938,19261,19566,21069,22476,23346,24651
Peanut,..Seeds/Planting materials,815,816,768,917,968,945,1012,1124,1302,1329,1446,1312,1816,1530,1661,1777,1850,1928,2101,2021,2025,2100,2180,2146,2157
Peanut,..Fertilizers,181,195,174,187,224,221,275,372,463,460,488,791,576,523,555,639,605,581,569,541,520,543,570,512,650
Peanut,..Pesticides,21,32,35,36,36,37,36,39,38,37,35,34,34,38,34,34,36,36,36,36,33,32,37,34,37
Peanut,..Hired labor,4619,6226,6688,6752,6755,6975,7227,7536,7975,8311,8638,8745,8891,9039,9447,10071,10619,11345,12187,12557,12755,13934,15063,15899,16829
Peanut,..Land tax,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227,229,231,234,236,238,241,243
Peanut,..Rentals,289,298,297,310,320,320,338,365,408,420,449,426,525,474,508,539,564,598,648,640,645,683,721,732,753
Peanut,..Fuel and oil,89,93,102,118,128,128,141,160,188,221,228,267,246,279,315,335,335,345,315,302,318,340,343,333,351
Peanut,..Irrigation fee,29,30,28,33,35,34,36,40,46,47,51,46,64,54,59,63,66,69,75,72,72,75,78,77,77
Peanut,..Interest payment on crop loan,97,107,114,119,126,130,143,157,173,190,209,230,253,278,306,337,371,408,449,494,543,598,657,723,795
Peanut,..Transport of inputs,47,60,64,74,86,87,90,101,120,135,136,150,143,151,164,168,169,171,171,169,177,189,191,197,216
Peanut,..Food expense,444,453,476,485,504,513,525,558,594,627,648,736,780,804,837,856,880,942,967,984,1015,1082,1101,1132,1194
Peanut,..Repairs,619,626,639,659,690,700,705,758,816,859,887,958,1009,1026,1051,1093,1129,1169,1191,1213,1228,1257,1297,1322,1350
Peanut,NON-CASH COSTS,1676,1681,1522,1682,1759,1718,1848,2161,2509,2557,2787,2532,3485,2953,3189,3431,3562,3711,4022,3867,3939,4068,4220,4153,4192
Peanut,..Seeds/planting materials paid in kind,1044,1045,983,1060,1119,1093,1170,1299,1504,1536,1671,1516,2098,1768,1919,2053,2137,2227,2426,2333,2338,2425,2517,2478,2490
Peanut,..Hired labor paid in kind,28,38,41,41,41,42,44,46,49,51,53,54,55,56,59,62,65,71,76,78,80,87,94,99,105
Peanut,..Landlord's share,391,392,369,398,420,410,439,487,564,576,627,569,787,663,720,770,802,836,911,876,878,911,945,930,935
Peanut,..Harvester's share,213,206,129,183,179,173,195,329,392,394,436,393,545,466,491,546,558,577,609,579,644,645,664,645,661
Peanut,..Irrigation fee paid in kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peanut,IMPUTED COSTS,4107,5250,5525,5297,5534,5417,5743,6159,6675,6939,7229,7310,7954,7797,8194,8588,9129,9837,10657,11026,11399,12455,13611,14375,15281
Peanut,..Operator/family labor,1940,2718,2920,2948,2949,3045,3155,3290,3481,3628,3771,3818,3882,3947,4148,4336,4572,4982,5352,5515,5601,6119,6615,6982,7390
Peanut,..Exchange labor,44,103,110,111,111,115,119,124,131,137,142,144,146,148,156,163,172,187,201,207,210,230,248,262,278
Peanut,..Depreciation,442,486,535,589,648,713,784,862,948,1043,1147,1262,1388,1527,1680,1848,2033,2236,2460,2706,2977,3274,3602,3962,4358
Peanut,..Interest on operating capital,902,1163,1226,857,990,728,811,913,992,984,921,953,970,854,776,707,755,768,831,855,863,1020,1265,1318,1394
Peanut,..Rental value of owned land,779,780,734,792,836,816,874,970,1123,1147,1248,1133,1568,1321,1434,1534,1597,1664,1813,1744,1747,1813,1881,1852,1861
Peanut,ALL  COSTS,13226,16062,16629,16868,17366,17428,18324,19737,21516,22343,23444,23752,25993,25165,26541,28154,29540,31367,33617,34154,34903,37592,40306,41874,44124
Peanut,GROSS RETURNS,31604,48031,13710,19429,19031,18347,20658,34860,41580,41786,46267,41758,57962,49525,52179,57998,59230,61294,64734,61571,68405,68555,70576,68567,70257
Peanut,RETURNS ABOVE CASH COST,24161,38900,4128,9540,8958,8054,9925,23443,29248,28939,32839,27848,43408,35110,37021,41863,42381,43475,45796,42310,48839,47487,48100,45220,45606
Peanut,RETURNS ABOVE CASH AND NON-CASH COSTS,22485,37219,2606,7858,7199,6336,8077,21282,26739,26382,30052,25316,39923,32157,33832,38432,38819,39764,41774,38443,44901,43419,43880,41067,41414
Peanut,NET RETURNS,18378,31969,-2919,2561,1665,919,2334,15123,20064,19443,22823,18006,31969,24360,25638,29844,29690,29927,31117,27417,33502,30963,30270,26692,26133
Peanut,NET PROFIT-COST RATIO,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peanut,Cost per kilogram (pesos),7,5,18,15,17,17,17,12,13,14,14,14,16,15,16,17,18,19,21,22,20,22,24,25,26
Peanut,Yield per hectare (kg),2029,3038,922,1094,1015,1002,1054,1602,1650,1624,1653,1644,1649,1672,1623,1686,1654,1643,1592,1575,1746,1687,1674,1651,1684
Peanut,Farmgate price (pesos/kg),16,16,15,18,19,18,20,22,25,26,28,25,35,30,32,34,36,37,41,39,39,41,42,42,42
