Commodity,Item,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cassava,NON-CASH COSTS,,894,835,844,753,752,953,963,927,1212,1113,1264,1365,1353,1508,1670,934,812,682,781,842,867,992,1122,1076
Cassava,..Seeds/Planting materials paid in kind,,631,585,592,526,524,672,677,647,854,779,888,959,949,1060,1174,759,649,542,623,672,690,792,897,858
Cassava,..Fertilizers paid in kind,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Cassava,..Hired labor paid in kind,,37,40,40,40,41,42,44,47,49,51,52,54,55,57,61,15,16,17,18,18,19,20,22,23
Cassava,..Harvester's share,,25,24,24,20,20,25,26,26,36,34,40,45,45,52,59,21,28,24,27,29,32,36,41,39
Cassava,..Lease rental,,137,127,128,114,114,146,147,141,186,170,194,210,208,232,257,7,6,5,6,6,6,7,8,7
Cassava,..Landlord's share,,64,59,60,53,53,68,69,66,87,79,90,97,96,107,119,132,113,94,108,117,120,137,156,149
Cassava,IMPUTED COSTS,,4003,6325,6257,6307,6405,6815,7158,7580,7960,8203,9047,9337,9514,9940,10572,13504,13624,13857,14424,14713,12397,17000,17831,18932
Cassava,..Planting materials,,,,,,,,,,,,,,,,,635,543,454,521,563,578,663,751,719
Cassava,.. Fertilizers,,,,,,,,,,,,,,,,,2211,2149,2101,2022,1941,1977,2049,1825,2253
Cassava,.. Pesticides,,,,,,,,,,,,,,,,,34,34,34,34,33,32,37,35,38
Cassava,.. Operator labor,,,,,,,,,,,,,,,,,2888,3086,3315,3416,3469,3790,3982,4203,4449
Cassava,.. Family labor,,,,,,,,,,,,,,,,,4205,4493,4826,4973,5051,5518,5797,6119,6477
Cassava,..Operator and family labor,,3090,5112,5161,5163,5331,5598,5838,6177,6438,6691,7297,7535,7727,8075,8609,9077,9536,9780,,,,,,
Cassava,..Exchange labor,,231,391,395,395,408,428,447,473,493,512,518,576,591,618,659,296,316,339,349,355,388,407,430,455
Cassava,..Depreciation,,131,144,158,174,191,210,231,254,279,307,338,372,409,450,495,394,433,476,524,576,634,697,767,843
Cassava,..Interest on operating capital,,305,450,312,370,271,318,379,425,419,391,550,482,419,386,354,637,672,709,756,757,887,1068,1108,1210
Cassava,..Rental value of owned land,,246,228,231,205,204,261,263,251,331,302,344,372,368,411,455,2109,1802,1506,1730,1868,-1507,2168,2492,2384
Cassava,.. Rentals,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,.. Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,.. Transport cost of inputs,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,.. Storage costs,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,.. Land tax,,,,,,,,,,,,,,,,,89,90,91,92,93,94,124,96,97
Cassava,.. Other costs,,,,,,,,,,,,,,,,,6,6,6,6,6,7,7,7,7
Cassava,ALL COSTS,,7721,10934,10983,11089,11300,12295,13139,14041,14958,15361,18270,18129,18233,19310,20695,32491,33240,33186,34586,35312,34153,40286,42501,44901
Cassava,GROSS RETURNS,,30686,29839,29988,25154,24743,31404,32530,31949,44228,41952,49167,54797,55329,64134,72552,82976,76401,66337,75064,80905,83024,94231,107274,102193
Cassava,RETURNS ABOVE CASH COSTS,,27862,26065,26106,21125,20600,26877,27512,26415,38442,35907,41208,47370,47963,56272,64099,64923,57597,47690,55682,61148,62135,71936,83727,77300
Cassava,RETURNS ABOVE CASH AND NON-CASH COSTS,,26968,25230,25262,20372,19848,25924,26549,25488,37230,34794,39944,46005,46610,54764,62429,63989,56785,47008,54901,60306,61268,70944,82604,76224
Cassava,NET RETURNS,,22965,18905,19005,14065,13443,19109,19391,17908,29270,26591,30897,36668,37096,44824,51857,50485,43161,33151,40478,45593,48871,53945,64773,57292
Cassava,NET PROFIT-COST RATIO,,2.97,1.73,1.73,1.27,1.19,1.55,1.48,1.28,1.96,1.73,1.69,2.02,2.03,2.32,2.51,1.55,1.30,1.00,1.17,1.29,1.43,1.34,1.52,1.28
Cassava,Cost per kilogram (pesos),,0.96,1.29,1.31,1.40,1.44,1.59,1.65,1.71,1.74,1.72,1.99,1.92,1.89,1.93,2.02,2.99,2.84,2.73,2.88,2.95,2.86,3.40,3.57,3.79
Cassava,Average yield per hectare (kg),,8054,8453,8400,7935,7830,7754,7973,8192,8588,8926,9173,9464,9656,10021,10233,10875,11718,12172,11991,11967,11962,11834,11895,11845
Cassava,Farmgate price (pesos/kg),,3.81,3.53,3.57,3.17,3.16,4.05,4.08,3.90,5.15,4.70,5.36,5.79,5.73,6.40,7.09,7.63,6.52,5.45,6.26,6.76,6.94,7.96,9.02,8.63
Sweet Potato,CASH COSTS,4661,5803,5928,6045,6364,6729,7155,7850,8597,9251,9821,11347,10974,11057,12022,12745,9520,9756,10175,10335,10562,11461,12238,12544,13339
Sweet Potato,..Seeds/Planting materials,573,664,631,623,688,825,836,887,936,1049,1106,1222,1234,1322,1501,1564,118,133,140,145,154,189,205,208,204
Sweet Potato,..Fertilizer,698,725,650,699,832,821,1026,1389,1727,1926,2190,2967,2401,2087,2394,2601,1431,1357,1324,1252,1200,1263,1340,1221,1520
Sweet Potato,..Pesticides,61,94,105,109,113,114,114,114,114,109,105,106,100,111,100,100,173,177,174,165,248,238,275,257,281
Sweet Potato,..Hired labor,1745,2577,2768,2794,2795,2887,3031,3161,3345,3486,3623,3951,4080,4184,4372,4661,4630,4726,5077,5239,5321,5813,6284,6633,7021
Sweet Potato,..Land Tax,134,135,137,137,138,139,140,141,142,143,144,145,146,147,148,149,51,52,52,53,53,54,54,55,55
Sweet Potato,..Caretaker/ Overseer's wages,,,,,,,,,,,,,,,,,25,27,29,30,30,33,35,37,40
Sweet Potato,..Rentals,632,724,703,697,756,885,900,953,1005,1114,1172,1280,1296,1380,1551,1621,286,316,336,347,362,429,465,478,480
Sweet Potato,..Fuel and oil,157,163,178,206,224,224,246,279,328,357,369,432,399,452,510,543,552,569,519,,,,,,
Sweet Potato,..Fuel,,,,,,,,,,,,,,,,,15,15,14,13,14,15,15,15,16
Sweet Potato,..Oil,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4
Sweet Potato,..Transport of Inputs,29,33,35,40,46,47,49,55,65,73,73,81,77,81,88,90,74,75,75,74,77,82,83,86,94
Sweet Potato,..Interest payment on crop loan,93,102,109,114,121,125,138,152,167,184,202,222,244,268,295,325,18,20,22,24,26,29,32,35,39
Sweet Potato,..Storage costs,,,,,,,,,,,,,,,,,3,3,3,3,3,3,4,4,4
Sweet Potato,..Electricity,,,,,,,,,,,,,,,,,20,20,19,18,19,20,20,20,21
Sweet Potato,..Water,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3
Sweet Potato,..Landowner's share,,,,,,,,,,,,,,,,,498,561,592,612,649,797,864,878,862
Sweet Potato,..Repairs,121,130,133,137,143,145,146,157,169,178,184,199,211,215,220,229,1427,1478,1505,1533,1553,1589,1639,1671,1706
Sweet Potato,..Food expenses,418,456,480,489,508,517,529,562,599,632,653,742,786,810,843,862,516,552,567,576,595,634,645,663,700
Sweet Potato,..Other costs paid in cash,,,,,,,,,,,,,,,,,228,237,241,244,251,264,270,277,290
Sweet Potato,NON-CASH COSTS,1071,1212,1156,1147,1262,1511,1531,1627,1730,1935,2045,2257,2279,2443,2772,2902,3090,3487,3695,3827,4046,4965,5381,5477,5383
Sweet Potato,..Seeds/Planting materials paid in kind,490,568,540,533,588,705,714,758,800,897,945,1044,1054,1129,1282,1336,2062,2321,2453,2544,2686,3302,3578,3635,3569
Sweet Potato,..Fertilizers paid in kind,,,,,,,,,,,,,,,,,8,8,8,7,7,7,8,7,9
Sweet Potato,..Hired labor paid in kind,40,43,46,46,46,47,49,51,54,56,58,59,61,63,66,70,26,28,30,30,31,34,37,39,41
Sweet Potato,..Harvester's share,165,165,156,159,177,218,220,236,262,294,317,353,355,384,439,470,112,138,156,162,173,210,229,241,238
Sweet Potato,..Lease rental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,10,10,12,13,14,14
Sweet Potato,..Landlord's share,376,436,414,409,451,541,548,582,614,688,725,801,809,867,985,1026,874,984,1040,1075,1139,1400,1516,1541,1513
Sweet Potato,IMPUTED COSTS,3699,5890,6248,6127,6313,6484,6857,7263,7745,8161,8494,8862,9622,9900,10353,11130,13386,15957,17095,17658,18076,20148,21868,22940,24044
Sweet Potato,..Planting materials,,,,,,,,,,,,,,,,,709,798,843,872,924,1135,1230,1250,1227
Sweet Potato,.. Fertilizers,,,,,,,,,,,,,,,,,16,17,16,15,14,14,15,14,17
Sweet Potato,.. Pesticides,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potato,.. Operator labor,,,,,,,,,,,,,,,,,4850,5834,6267,6467,6569,7176,7758,8188,8667
Sweet Potato,.. Family labor,,,,,,,,,,,,,,,,,4396,5622,6039,6233,6331,6916,7476,7891,8353
Sweet Potato,..Operator and family labor,2314,4194,4506,4549,4550,4699,4934,5145,5445,5674,5898,5971,6641,6810,7117,7650,8066,8473,8690,,,,,,
Sweet Potato,..Exchange labor,111,162,175,176,176,182,191,199,211,220,228,231,257,264,276,296,124,122,131,135,137,150,162,171,181
Sweet Potato,..Depreciation,378,416,457,504,554,609,670,737,811,892,981,1079,1187,1306,1437,1581,264,290,319,351,387,425,468,514,566
Sweet Potato,..Interest on operating capital,492,650,665,459,549,414,475,559,621,638,610,722,670,591,555,504,364,355,376,385,391,463,577,592,643
Sweet Potato,..Rental value of owned land,404,468,445,439,484,580,587,623,657,737,777,859,867,929,968,1099,910,1024,1082,1119,1185,1457,1579,1604,1575
Sweet Potato,.. Rentals,,,,,,,,,,,,,,,,,1678,1818,1944,2005,2060,2329,2520,2629,2724
Sweet Potato,.. Fuel,,,,,,,,,,,,,,,,,5,5,5,4,5,5,5,5,5
Sweet Potato,.. Transport cost of inputs,,,,,,,,,,,,,,,,,44,44,44,44,46,49,50,51,56
Sweet Potato,.. Storage costs,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Sweet Potato,.. Land tax,,,,,,,,,,,,,,,,,20,20,20,21,21,21,21,21,22
Sweet Potato,.. Other costs,,,,,,,,,,,,,,,,,5,5,5,5,5,6,6,6,6
Sweet Potato,ALL COSTS,9431,12905,13332,13319,13939,14724,15543,16740,18072,19347,20360,22466,22875,23400,25147,26777,25996,29200,30964,31820,32684,36574,39487,40960,42765
Sweet Potato,GROSS RETURNS,21420,21440,20171,20523,22843,28076,28372,30440,33817,37969,40935,45581,45864,49608,56711,60691,65143,80166,90538,93648,100412,122082,133457,140424,138172
Sweet Potato,RETURNS ABOVE CASH COSTS,16759,15637,14243,14478,16479,21347,21217,22590,25220,28718,31114,34234,34890,38551,44689,47946,55623,70410,80363,83313,89850,110621,121219,127880,124833
Sweet Potato,RETURNS ABOVE CASH AND NON-CASH COSTS,15688,14425,13087,13331,15217,19836,19686,20963,23490,26783,29069,31977,32611,36108,41917,45044,52533,66923,76668,79486,85804,105657,115837,122403,119450
Sweet Potato,NET RETURNS,11989,8535,6839,7204,8904,13352,12829,13700,15745,18622,20575,23115,22989,26208,31564,33914,39147,50966,59574,61828,67728,85508,93970,99464,95406
Sweet Potato,NET PROFIT-COST RATIO,1.27,0.66,0.51,0.54,0.64,0.91,0.83,0.82,0.87,0.96,1.01,1.03,1.00,1.12,1.26,1.27,1.51,1.75,1.92,1.94,2.07,2.34,2.38,2.43,2.23
Sweet Potato,Cost per kilogram (pesos),2.22,3.03,3.17,3.07,3.19,3.28,3.47,3.70,3.79,4.06,4.17,4.57,4.67,4.73,5.05,5.24,4.86,5.00,4.96,5.09,5.17,5.85,6.26,6.27,6.53
Sweet Potato,Average yield per hectare (kg),4254,4254,4211,4339,4376,4485,4475,4523,4763,4770,4879,4917,4900,4946,4979,5113,5344,5843,6244,6247,6323,6254,6310,6534,6548
Sweet Potato,Farmgate price (pesos/kg),5.04,5.04,4.79,4.73,5.22,6.26,6.34,6.73,7.10,7.96,8.39,9.27,9.36,10.03,11.39,11.87,12.19,13.72,14.50,14.99,15.88,19.52,21.15,21.49,21.10
