"Fruits: Average Production Costs and Returns by Commodity, Item and Year by Commodity, Item and Year"

"Commodity","Item","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Durian","RETURNS ABOVE CASH & NON-CASH COSTS",114814,153172,157054,74998,151243,54533,79168,87413,57866,45579,47464,62499,33641,37679,56708,47349,46888,68966,49455,84584,103479,120120,126472,127619,108139,114351
"Durian","NET RETURNS",106306,142397,145221,64766,135074,42651,66068,74079,45177,33532,34345,50123,19421,23738,43460,32367,33572,55197,35203,68312,84235,98772,104739,104894,85566,89368
"Durian","NET PROFIT- COST RATIO",2.31,2.51,2.41,1.31,2.03,0.84,1.18,1.24,0.77,0.55,0.54,0.76,0.27,0.35,0.63,0.45,0.46,0.71,0.44,0.76,0.87,0.97,0.97,0.92,0.76,0.73
"Durian","Cost per kilogram (pesos)",7.10,8.16,10.03,11.05,18.13,18.05,18.16,17.24,18.72,17.67,20.47,15.48,25.68,22.64,16.64,23.44,16.60,14.05,16.52,17.13,22.50,25.53,23.83,23.92,23.62,27.53
"Durian","Yield per hectare (kg)",6489,6962,6020,4488,3670,2819,3082,3455,3148,3435,3092,4267,2798,2985,4117,3103,4433,5573,4856,5257,4299,3986,4524,4754,4753,4457
"Durian","Farmgate price (pesos/kg)",23.48,28.61,34.15,25.48,54.93,33.18,39.60,38.68,33.07,27.43,31.58,27.23,32.62,30.59,27.20,33.87,24.17,23.95,23.77,30.12,42.09,50.31,46.98,45.98,41.62,47.58
"Mango","CASH COSTS",22223,19011,20503,21555,21877,23006,23517,25006,27429,29822,30042,30665,35524,35357,37171,40975,43015,43320,43257,43813,43828,44102,46213,49741,48992,55193
"Mango","..Seeds/Planting materials",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Fertilizer",3331,3212,3338,2993,3220,3833,3781,4724,6394,7951,7900,8382,11818,11574,12702,15766,16734,15705,14981,14606,13806,13412,14011,14842,13384,17219
"Mango","..Pesticides",8412,6316,6942,7753,7984,8314,8433,8452,8483,8464,8072,7679,7726,7391,7475,7319,7349,7823,7269,7220,7253,7092,6815,7876,7340,8046
"Mango","..Other material inputs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Hired labor",6566,5327,5771,6200,6102,6104,6466,6790,7080,7492,7808,8115,8850,9139,9371,9793,10441,11009,11763,12635,13040,13245,14469,15641,16509,17475
"Mango","..Wages for overseer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Land tax",681,688,695,702,709,716,723,730,737,744,751,759,767,775,783,791,799,807,815,823,831,840,848,856,865,874
"Mango","..Rentals",1123,1226,1393,1415,1184,1160,1160,1201,1340,1402,1456,1495,1614,1632,1639,1706,1773,1819,1940,2026,2264,2528,2613,2755,2870,3053
"Mango","..Water/electric bills",95,103,106,112,123,139,142,151,162,191,216,223,237,231,257,281,299,304,307,280,268,283,303,305,296,312
"Mango","..Fuel and oil",494,546,543,590,689,757,758,834,945,1111,1209,1249,1462,1350,1530,1726,1836,1867,1923,1753,1679,1771,1894,1909,1854,1953
"Mango","..Transport of inputs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Irrigation fee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Interest payment on crop loan",271,298,328,361,397,437,481,529,582,640,704,774,851,936,1030,1133,1246,1371,1508,1659,1825,2007,2208,2429,2672,2939
"Mango","..Food expense",565,584,632,660,670,701,716,732,778,829,875,904,1027,1088,1122,1168,1194,1227,1313,1347,1370,1414,1507,1534,1577,1663
"Mango","..Repairs",685,711,755,769,799,845,857,863,928,998,1051,1085,1172,1241,1262,1292,1344,1388,1438,1464,1491,1510,1545,1594,1625,1659
