Type of Valuation,Subsector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Current Prices,..Coffee,2326,1926,1937,2402,2396,2801,2973,3298,3730,3353,3339,3714,3694,3357,3471,3573,3429,3479,3280,3034,2922,2958,3368,3790
Current Prices,..Tobacco,2168,1902,2516,2328,2096,2287,1841,1944,2584,2447,2543,3007,3482,3830,4343,3733,3914,3800,4054,5639,6191,5708,4884,7334
Current Prices,..Abaca,1442,1100,1078,1374,1902,2422,2430,2267,3011,2363,2299,2707,2710,2445,2948,3316,4233,4413,4983,4532,4472,3956,4459,4000
Current Prices,..Tomato,1117,1685,1111,1867,1536,1808,2145,2140,2535,2397,2150,2736,2825,2985,2439,2890,3310,3578,3861,5475,5715,6154,7440,6831
Current Prices,..Potato,918,1086,812,938,1287,940,1456,2451,3271,4000,3226,3560,3285,3728,3345,2830,5161,3578,4231,3962,4576,4122,5066,7345
Current Prices,..Ampalaya,691,654,826,1381,1516,1556,1819,1781,2287,2248,1841,2366,2344,2425,2230,2697,2831,2798,3307,3691,3658,3813,4258,4177
Current Prices,..Cabbage,761,552,733,774,787,925,1081,1440,1350,1990,1015,2251,1655,1841,1944,2564,2607,2134,2933,2282,3640,3742,3516,3737
Current Prices,..Calamansi,1749,1242,1871,1434,1708,2043,2088,1757,1918,3394,2534,4407,2899,2440,2890,2528,2002,1922,2455,3365,2752,3374,3858,3506
Current Prices,..Mongo,703,729,762,621,647,747,832,1008,1059,1037,1473,1772,1486,1401,1606,1709,1609,1789,2046,2165,2248,2273,2347,2478
Current Prices,..Cacao,183,169,242,344,313,325,319,299,308,278,351,431,354,309,468,553,649,587,654,803,913,924,1004,1195
Current Prices,..Other Crops,32314,30246,26481,25599,29012,28937,31051,32817,33879,36124,35659,40382,39521,39885,43963,47280,47050,47052,52771,56552,64268,64778,64894,69612
Current Prices,LIVESTOCK,100198,105378,108382,112628,142678,154471,155365,163137,184063,196399,209971,212336,214093,234010,262216,264176,268391,305503,331420,303699,299865,336129,375522,380117
Current Prices,..Hog,79065,82587,85066,88954,116087,126832,127104,134461,152151,161253,171525,172576,174408,192482,218279,218608,220879,255418,277532,247484,245072,271203,302657,302251
Current Prices,..Cattle,12919,13240,13355,13462,14976,15713,15889,15675,17487,18918,20595,21460,21439,22530,23868,24822,26273,26953,28649,29677,29537,34973,37177,39786
Current Prices,..Carabao,4655,5237,5442,5602,6407,6489,6781,7243,8137,8993,10055,10080,9964,10335,10757,11113,11349,12590,13648,13992,13231,16155,19570,20890
Current Prices,..Goat,3368,4082,4270,4346,4928,5090,5221,5355,5874,6800,7313,7710,7709,8054,8675,8962,9153,9708,10654,11520,10818,12390,14431,15717
Current Prices,..Dairy,189,233,250,264,280,347,369,402,415,435,484,510,574,608,638,672,737,835,937,1026,1207,1408,1687,1472
Current Prices,POULTRY,73913,83931,89365,91011,104591,107564,112014,118789,131313,144660,150982,158295,167525,175965,191171,194980,202650,214742,231655,242657,262415,280609,333777,363465
Current Prices,..Chicken,55552,64484,68857,69590,79288,81144,83663,87969,98318,107723,112214,117872,124291,131163,144546,145663,149642,156564,170724,171302,179624,193048,234889,250686
Current Prices,..Duck,2776,2534,2498,2713,2419,2647,2581,2569,2604,2476,2492,2452,2576,2663,2807,2835,2696,2873,3125,3548,3939,4779,4648,4937
Current Prices,..Chicken Eggs,13249,14500,15465,16151,19811,20788,22858,25299,27503,31456,33393,35029,37466,38612,40149,42695,46222,50923,53356,62792,73521,77344,87092,100723
Current Prices,..Duck Eggs,2337,2412,2546,2557,3073,2985,2913,2952,2888,3005,2884,2941,3192,3528,3668,3787,4091,4382,4450,5014,5331,5439,7149,7118
Current Prices,FISHERIES,98474,106750,113258,119866,138846,146393,163374,180545,215814,215582,221051,224695,237711,244552,241944,239702,228934,243902,265349,281652,273488,302444,326568,328538
Current Prices,..Milkfish,11860,13011,12586,13255,16276,17620,20330,22475,27044,28992,28059,30957,35168,35699,36244,35712,35387,38041,41225,43353,44004,51523,46587,45859
Current Prices,..Tilapia,5424,6196,6587,7476,9141,10378,13228,15518,17693,20303,18934,19070,21135,22020,22444,22421,20770,22994,24253,25180,25505,28858,25966,29396
Current Prices,..Tiger Prawn,11797,13603,12359,12141,12866,13640,14313,14975,17960,18593,18269,18593,19011,19763,19347,20829,20967,21494,21785,23119,20598,21395,17793,18022
Current Prices,..Skipjack,3821,4063,4523,5099,5599,5746,6638,9425,13186,12586,12076,12056,14597,16659,15381,14956,14279,16200,17246,20454,18015,19426,24967,22217
Current Prices,..Roundscad,10719,11410,12708,12902,14000,12496,10626,12232,13839,12158,13478,13410,14187,16475,14229,13455,11812,11243,11608,12179,13833,14851,16935,19002
Current Prices,..Seaweed,2378,2960,3237,3672,5261,6041,6347,6299,12848,9591,11975,11391,9776,9903,10518,8315,6105,8301,10920,11845,10614,10141,16601,12714
Current Prices,..Yellowfin Tuna,3987,4219,4641,6082,8143,8639,9132,10585,12990,11905,12389,11294,14117,14688,14671,14636,10980,11670,10044,12679,10871,10268,13756,14432
Current Prices,..Mudcrab,950,876,1040,1100,1637,1756,2091,2409,3033,3799,4033,4545,5010,4961,5345,5555,6485,7493,9282,9617,9379,12529,8033,7768
Current Prices,..Frigate Tuna,4719,4992,5476,6298,7839,7179,7671,8531,8397,8875,8638,8318,8839,9086,8954,9484,8853,8463,8750,8972,8934,8323,9506,9321
Current Prices,..Big-eyed Scad,3357,3541,3919,4382,4627,4198,4417,4817,5536,6210,6931,7338,7405,7659,7652,7656,7699,7786,8674,8866,8806,10039,12647,14304
Current Prices,..Bali Sardinella,3333,3538,3880,3187,3661,4002,4468,4284,5846,7116,7624,7056,6997,6407,7052,7664,6556,6393,7136,7002,8530,9232,9813,11354
Current Prices,..Squid,2255,2383,2664,2724,3216,3470,3491,4107,4116,4214,4337,4666,4673,4948,5233,4989,5031,5309,5636,5778,5607,6161,8607,8258
Current Prices,..Blue Crab,1442,1514,1686,1764,2014,2599,2464,2763,3045,2817,2828,3014,2879,2850,3134,2871,3042,4328,5576,4555,4447,5693,4686,3892
Current Prices,..Bigeye Tuna,542,578,637,844,1136,1295,1993,2515,2557,567,1033,980,1449,1507,1393,1307,1994,4240,5477,2531,2541,2541,3221,2408
Current Prices,..Grouper,769,803,897,1036,1187,1418,1705,2066,5373,3570,2151,2184,2378,2293,2370,2463,2462,2594,4659,3466,4425,3825,4195,3957
Current Prices,..Indian Mackerel,2603,2744,3001,3435,3618,4167,4817,4508,4932,4689,5245,5178,5222,5764,5424,5325,4416,4501,4595,5288,4972,5037,5048,6362
Current Prices,..Threadfin Bream,2065,2165,2372,2146,2380,2857,3361,3594,3572,3344,3259,3582,3742,3521,3418,3516,3786,3976,4403,5479,5292,4962,5374,4637
Current Prices,..Slipmouth,1796,1904,2098,2199,2417,2403,2292,2343,2490,2513,2823,3019,2886,2755,2829,2689,2600,2684,2993,3011,2629,2774,2939,2533
Current Prices,..Cavalla,599,632,707,845,964,1124,1401,1709,2177,2049,2482,2792,2845,2815,2694,2926,2617,2609,2922,3161,3456,4272,3815,3516
Current Prices,..Fimbriated Sardines,1171,1241,1365,1347,1585,1760,2015,2314,3287,3836,2992,3152,3257,3221,3567,3016,2676,2691,2738,2438,1853,1828,2503,2006
Current Prices,..Other Fisheries,22887,24378,26876,27935,31278,33605,40577,43075,45890,47854,51494,52099,52141,51557,50045,49917,50417,50890,55425,62678,59174,68766,83576,86579
Current Prices,AGRICULTURE AND FISHERIES,551476,575437,614039,648037,769014,814488,883164,970617,1158789,1180803,1243295,1378865,1396954,1448846,1602312,1534747,1557069,1704536,1806368,1811765,1898683,1996171,2144631,2304059
