"Corn:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by Region, Area Harvested and Year by PHILIPPINES, FERTILIZER and Year"

"PHILIPPINES","FERTILIZER","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..REGION II (CAGAYAN VALLEY)","Ammosul",0.22,0.23,0.33,0.42,0.18,0.59,0.35,0.45,0.39,0.27,0.24,0.21,0.29,0.45,0.36,0.14,0.22,0.65,0.61
"..REGION II (CAGAYAN VALLEY)","Ammophos",1.26,1.92,1.05,1.40,0.90,1.18,0.99,1.15,1.14,1.38,1.52,1.84,1.72,1.29,1.54,1.98,2.42,1.62,1.18
"..REGION II (CAGAYAN VALLEY)","Complete",1.71,1.35,1.29,1.67,1.26,1.30,1.18,0.94,1.03,1.44,1.38,0.95,0.93,1.34,1.52,1.10,1.15,2.43,2.43
"..REGION II (CAGAYAN VALLEY)","Others",..,..,0.38,0.52,0.11,0.01,0.20,..,..,0.01,0.40,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"..REGION III (CENTRAL LUZON)","Area Applied",32579.00,25452.00,43099.00,36246.00,43020.00,47993.00,43411.00,42915.00,38811.00,39538.91,44151.00,43796.73,46314.42,46601.29,42444.12,46379.04,30662.09,46477.62,51232.92
"..REGION III (CENTRAL LUZON)","Average Quantity Applied",4.74,6.30,6.03,5.15,6.21,6.08,5.67,5.33,5.45,6.35,4.41,7.13,13.41,11.18,10.16,11.53,9.66,10.93,10.08
"..REGION III (CENTRAL LUZON)","Urea",1.94,2.05,2.80,2.25,2.45,2.07,2.64,2.42,2.48,3.22,2.40,3.78,7.28,6.54,5.90,6.34,6.27,5.85,5.51
"..REGION III (CENTRAL LUZON)","Ammosul",0.84,2.56,0.33,0.43,0.98,1.35,0.72,0.86,0.89,0.49,0.36,0.45,1.02,0.21,0.23,0.29,0.25,0.39,0.70
"..REGION III (CENTRAL LUZON)","Ammophos",0.03,0.06,0.15,0.17,0.39,0.17,0.35,0.26,0.21,0.10,0.12,0.17,0.47,0.23,0.06,0.35,0.22,0.53,0.47
"..REGION III (CENTRAL LUZON)","Complete",1.82,1.51,2.65,2.28,2.36,2.48,1.94,1.79,1.87,2.45,1.52,2.73,4.61,4.18,3.80,3.89,2.91,4.17,3.36
"..REGION III (CENTRAL LUZON)","Others",0.12,0.11,0.10,0.02,0.04,0.01,0.02,..,..,0.10,..,..,0.03,0.03,0.18,0.65,0.02,0.00,0.04
"..REGION IV-A (CALABARZON)","Area Applied",14039.00,525.00,22911.00,13179.00,4345.00,34409.00,40128.00,27429.00,31858.00,31454.00,33906.00,37878.03,26920.50,37351.29,96845.64,118473.57,22669.79,17166.81,19070.07
"..REGION IV-A (CALABARZON)","Average Quantity Applied",4.56,2.55,0.72,7.15,5.90,2.34,2.37,3.01,4.11,3.85,4.61,4.28,4.47,4.27,4.20,4.21,9.86,5.07,6.93
"..REGION IV-A (CALABARZON)","Urea",1.60,2.55,0.50,3.24,2.38,1.45,1.56,1.63,1.70,1.80,2.18,2.55,2.41,2.60,2.40,2.97,5.10,2.99,2.56
"..REGION IV-A (CALABARZON)","Ammosul",2.67,..,0.19,2.96,2.89,0.66,0.18,0.08,0.07,0.20,0.65,0.15,0.32,0.35,0.09,0.05,2.80,0.13,0.59
"..REGION IV-A (CALABARZON)","Ammophos",0.16,..,..,..,..,0.05,0.01,0.04,0.04,0.03,0.02,0.08,0.10,0.01,0.03,0.08,0.05,0.00,0.34
"..REGION IV-A (CALABARZON)","Complete",0.13,..,0.02,0.89,0.54,0.15,0.61,1.27,2.31,1.82,1.75,1.51,1.64,1.31,1.68,1.11,1.92,1.95,2.47
"..REGION IV-A (CALABARZON)","Others",..,..,0.01,0.06,0.09,0.03,0.02,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.97
"..MIMAROPA REGION","Area Applied",18051.00,2247.00,35.00,17777.00,9018.00,37824.00,28420.00,22343.00,26667.00,24498.10,28022.00,27356.59,29437.20,29783.67,27240.74,26244.88,25498.10,26864.09,24105.84
"..MIMAROPA REGION","Average Quantity Applied",4.50,2.70,11.80,2.64,2.53,2.74,3.97,4.13,4.91,4.58,6.50,5.88,7.31,6.67,5.73,7.66,8.93,5.50,7.32
"..MIMAROPA REGION","Urea",3.13,1.85,..,0.81,1.93,1.63,2.58,2.50,3.20,1.99,3.79,4.02,3.99,3.40,3.75,4.36,5.43,3.19,3.28
"..MIMAROPA REGION","Ammosul",1.05,..,8.00,0.01,0.03,0.35,0.02,..,..,0.01,0.03,0.07,0.06,0.40,0.05,0.04,0.00,0.04,0.80
"..MIMAROPA REGION","Ammophos",0.07,..,..,..,..,0.11,0.01,0.03,0.06,0.85,0.28,0.12,0.07,0.58,0.08,0.08,0.02,0.06,0.40
"..MIMAROPA REGION","Complete",0.25,0.85,3.80,1.81,0.57,0.65,1.37,1.60,1.66,1.73,2.40,1.68,3.19,2.29,1.86,3.18,3.48,2.22,2.83
"..MIMAROPA REGION","Others",..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"..REGION V (BICOL REGION)","Area Applied",29634.00,9135.00,5193.00,28589.00,29918.00,98352.00,96716.00,92187.00,108243.00,112816.53,109582.00,91671.78,63847.52,71056.76,93402.28,53550.49,42668.14,84047.00,77249.67
"..REGION V (BICOL REGION)","Average Quantity Applied",3.26,3.71,5.65,5.37,5.20,2.47,2.59,2.60,3.08,2.74,3.82,3.98,4.45,6.08,6.76,5.53,7.07,5.32,5.27
"..REGION V (BICOL REGION)","Urea",1.50,1.54,2.50,2.23,2.15,0.95,1.27,1.27,1.54,1.29,1.60,1.89,2.20,2.66,2.58,2.76,2.91,2.40,2.59
"..REGION V (BICOL REGION)","Ammosul",0.22,0.33,0.81,0.12,0.05,0.08,0.08,0.17,0.11,0.11,0.13,0.10,0.07,0.18,0.37,0.14,0.16,0.27,0.34
"..REGION V (BICOL REGION)","Ammophos",0.16,..,0.42,0.01,0.02,0.31,0.37,0.32,0.53,0.31,0.42,0.13,0.09,0.48,0.57,0.30,1.19,0.52,0.34
"..REGION V (BICOL REGION)","Complete",1.35,1.42,1.92,2.81,2.74,1.10,0.80,0.84,0.88,1.02,1.42,1.85,2.09,2.75,2.56,2.33,2.81,2.14,2.00
"..REGION V (BICOL REGION)","Others",0.03,0.41,..,0.20,0.25,0.02,0.06,..,0.02,0.01,0.25,..,0.00,0.00,0.68,0.00,0.00,0.00,0.00
"..REGION VI (WESTERN VISAYAS)","Area Applied",73144.00,35534.00,22753.00,16182.00,22776.00,141765.00,119668.84,111294.00,122216.00,120657.72,123946.00,97913.23,71918.12,69955.47,64137.74,88236.31,103340.64,100308.00,99580.87
"..REGION VI (WESTERN VISAYAS)","Average Quantity Applied",6.62,6.65,9.68,9.68,8.23,11.25,4.51,4.21,4.18,4.17,3.07,5.20,8.60,7.59,7.52,6.29,9.54,6.26,5.63
"..REGION VI (WESTERN VISAYAS)","Urea",1.22,1.43,1.86,1.99,2.32,1.38,1.51,1.58,1.57,1.53,0.72,1.54,2.70,2.49,2.50,2.20,3.03,2.84,2.13
"..REGION VI (WESTERN VISAYAS)","Ammosul",0.42,0.43,1.07,1.87,1.71,1.22,0.95,0.61,0.63,0.51,0.21,0.31,0.20,0.56,0.29,0.39,0.63,0.48,0.48
"..REGION VI (WESTERN VISAYAS)","Ammophos",0.99,0.71,0.85,0.13,1.64,1.10,0.74,0.58,0.57,0.90,1.22,1.25,1.87,1.44,1.56,1.24,1.75,1.13,1.25
"..REGION VI (WESTERN VISAYAS)","Complete",0.77,0.79,1.03,0.76,1.43,1.86,1.30,1.39,1.35,1.20,0.87,2.10,3.83,3.09,3.17,2.46,4.13,1.81,1.77
"..REGION VI (WESTERN VISAYAS)","Others",0.01,..,0.04,..,1.12,0.03,0.02,0.05,0.06,0.02,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"..REGION VII (CENTRAL VISAYAS)","Area Applied",165484.00,171813.00,162089.00,138054.00,161113.00,143263.00,143797.00,173425.00,212438.00,205543.10,197612.00,183078.44,100447.85,113347.56,113963.07,90701.28,85785.00,89738.00,100985.00
"..REGION VII (CENTRAL VISAYAS)","Average Quantity Applied",3.59,3.24,3.60,4.60,3.76,2.51,3.03,2.88,2.61,2.73,2.44,2.72,3.88,3.82,3.84,3.71,4.19,3.37,3.55
"..REGION VII (CENTRAL VISAYAS)","Urea",0.93,0.82,0.97,1.95,1.44,0.73,0.66,0.65,0.63,0.76,0.55,0.66,1.08,1.29,1.48,1.23,1.49,1.22,1.05
"..REGION VII (CENTRAL VISAYAS)","Ammosul",0.73,0.74,0.60,0.53,0.34,0.67,0.86,0.75,0.65,0.65,0.60,0.59,1.16,0.66,0.57,0.63,0.66,0.37,0.50
"..REGION VII (CENTRAL VISAYAS)","Ammophos",0.23,0.13,0.14,0.65,0.22,0.39,0.27,0.59,0.59,0.38,0.19,0.21,0.39,0.54,0.48,0.46,0.57,0.60,0.84
"..REGION VII (CENTRAL VISAYAS)","Complete",0.97,1.01,0.94,1.07,1.23,0.72,0.85,0.89,0.74,0.94,1.08,1.26,1.25,1.33,1.30,1.35,1.46,1.18,1.15
"..REGION VII (CENTRAL VISAYAS)","Others",0.74,0.54,0.95,0.40,0.53,..,0.39,..,..,..,0.01,..,0.00,0.01,0.01,0.03,0.01,0.01,0.00
"..REGION VIII (EASTERN VISAYAS)","Area Applied",22789.00,21113.00,8917.00,20938.00,14196.00,60810.00,33773.00,60578.00,60950.00,61473.00,61722.00,36007.67,35017.11,34642.64,45799.00,39391.02,10531.00,9406.00,9497.42
"..REGION VIII (EASTERN VISAYAS)","Average Quantity Applied",1.61,1.52,1.04,2.01,1.71,2.62,2.64,2.61,1.71,2.43,2.28,2.29,2.35,2.41,1.68,1.90,3.60,1.94,2.36
"..REGION VIII (EASTERN VISAYAS)","Urea",0.85,0.78,0.38,0.85,0.89,1.26,1.20,1.14,0.99,1.09,1.10,1.09,1.10,1.12,0.94,1.04,1.97,0.98,1.13
"..REGION VIII (EASTERN VISAYAS)","Ammosul",0.01,0.04,0.04,0.19,0.25,0.29,0.42,0.37,0.18,0.23,0.28,0.34,0.35,0.35,0.23,0.23,0.00,0.00,0.00
"..REGION VIII (EASTERN VISAYAS)","Ammophos",0.01,0.03,0.04,0.16,0.15,0.04,0.15,0.22,0.17,0.16,0.13,0.19,0.19,0.19,0.10,0.11,0.20,0.00,0.04
"..REGION VIII (EASTERN VISAYAS)","Complete",0.74,0.67,0.30,0.82,0.42,1.03,0.86,0.88,0.37,0.95,0.74,0.67,0.72,0.75,0.41,0.51,1.43,0.96,1.17
"..REGION VIII (EASTERN VISAYAS)","Others",..,..,0.28,..,..,..,..,..,..,..,0.02,..,0.00,0.00,0.00,0.00,0.00,0.00,0.03
"..REGION IX (ZAMBOANGA PENINSULA)","Area Applied",153446.00,142883.00,132641.00,133004.00,128999.00,121644.00,122322.00,117185.00,131525.00,132359.00,125949.00,223807.51,125241.17,143130.05,136391.21,138196.33,103525.14,93827.47,125524.65
"..REGION IX (ZAMBOANGA PENINSULA)","Average Quantity Applied",1.89,2.16,2.67,4.00,2.86,2.59,2.26,2.24,3.13,3.12,4.59,4.18,3.55,3.10,3.47,3.55,2.97,4.15,3.53
"..REGION IX (ZAMBOANGA PENINSULA)","Urea",0.68,0.85,0.87,1.64,1.16,0.80,0.64,0.63,0.74,0.79,1.28,1.68,1.38,1.19,1.24,0.91,0.90,1.46,1.07
"..REGION IX (ZAMBOANGA PENINSULA)","Ammosul",0.28,0.40,0.39,0.75,0.46,0.32,0.38,0.34,0.28,0.56,0.57,0.55,0.57,0.35,0.51,0.65,0.34,0.45,0.49
"..REGION IX (ZAMBOANGA PENINSULA)","Ammophos",0.60,0.58,0.93,1.02,0.58,1.01,0.70,0.68,1.28,1.02,1.32,1.44,0.89,1.01,1.13,0.98,0.68,1.28,0.96
"..REGION IX (ZAMBOANGA PENINSULA)","Complete",0.33,0.31,0.41,0.54,0.63,0.43,0.48,0.59,0.83,0.74,0.64,0.51,0.71,0.56,0.59,0.77,1.04,0.95,1.00
"..REGION IX (ZAMBOANGA PENINSULA)","Others",..,0.02,0.07,0.06,0.02,0.03,0.06,..,..,..,0.79,..,0.00,0.00,0.00,0.24,0.00,0.00,0.00
"..REGION X (NORTHERN MINDANAO)","Area Applied",348798.00,327315.00,327010.00,287768.00,353257.00,381373.00,313611.00,327538.00,364059.00,375655.28,372565.00,245332.99,185475.84,199163.11,254307.87,239948.90,191680.80,352443.00,362192.50
"..REGION X (NORTHERN MINDANAO)","Average Quantity Applied",5.45,6.01,3.90,4.88,5.64,5.59,5.17,5.29,5.59,6.07,4.89,5.88,6.15,6.46,6.95,6.61,7.02,7.78,8.44
"..REGION X (NORTHERN MINDANAO)","Urea",2.08,2.26,1.17,1.65,2.06,2.17,1.82,2.34,2.47,2.61,1.88,2.65,1.97,2.70,2.36,2.55,2.71,3.17,2.89
"..REGION X (NORTHERN MINDANAO)","Ammosul",0.58,0.65,0.53,1.04,0.69,0.67,0.87,0.48,0.52,0.48,0.39,0.83,1.41,1.21,0.96,0.95,1.16,1.31,1.17
"..REGION X (NORTHERN MINDANAO)","Ammophos",1.22,1.53,0.94,1.25,1.56,1.37,1.24,0.91,1.06,1.00,0.77,1.09,1.02,0.99,0.84,1.07,1.63,1.48,1.72
"..REGION X (NORTHERN MINDANAO)","Complete",1.28,1.09,0.97,0.86,1.19,1.37,1.20,1.56,1.54,1.98,1.57,1.31,1.74,1.55,1.28,1.42,1.51,1.82,2.09
"..REGION X (NORTHERN MINDANAO)","Others",0.28,0.49,0.29,0.09,0.13,0.01,0.04,..,0.01,..,0.27,..,0.00,0.00,1.52,0.62,0.00,0.04,0.57
"..REGION XI (DAVAO REGION)","Area Applied",124081.00,66287.00,71548.00,81590.00,89887.00,149624.00,104645.00,104828.00,149081.00,145154.94,159378.00,104408.79,75170.78,84518.14,130394.80,119747.35,59356.38,116945.70,128548.00
"..REGION XI (DAVAO REGION)","Average Quantity Applied",2.25,2.34,2.46,3.34,3.08,2.71,2.98,2.98,1.69,2.32,2.01,2.31,1.94,2.01,2.80,2.46,2.37,2.80,3.98
"..REGION XI (DAVAO REGION)","Urea",1.03,1.16,1.14,1.40,1.35,1.06,1.43,1.36,0.73,1.08,1.02,1.17,0.93,0.94,1.37,1.27,1.00,1.27,1.25
"..REGION XI (DAVAO REGION)","Ammosul",0.34,0.34,0.29,0.50,0.38,0.39,0.38,0.43,0.49,0.52,0.25,0.31,0.40,0.50,0.52,0.49,0.75,0.72,0.74
"..REGION XI (DAVAO REGION)","Ammophos",0.12,0.08,0.17,0.27,0.27,0.28,0.24,0.28,0.06,0.06,0.07,0.07,0.03,0.07,0.11,0.12,0.14,0.17,0.51
"..REGION XI (DAVAO REGION)","Complete",0.76,0.76,0.87,1.17,1.03,0.94,0.91,0.89,0.41,0.65,0.65,0.76,0.58,0.51,0.79,0.59,0.49,0.64,0.63
"..REGION XI (DAVAO REGION)","Others",..,..,..,0.01,0.04,0.04,0.02,0.01,..,..,0.02,..,0.00,0.00,0.00,0.00,0.00,0.00,0.85
"..REGION XII (SOCCSKSARGEN)","Area Applied",390437.00,331135.00,363001.00,346100.00,482566.00,428419.00,340494.00,323791.00,427050.00,422173.29,430007.00,286618.68,209179.55,188178.40,293321.54,240223.58,203675.08,355732.35,366860.20
"..REGION XII (SOCCSKSARGEN)","Average Quantity Applied",5.16,5.72,5.20,5.50,4.26,4.50,4.09,4.22,4.26,5.02,3.41,4.60,5.49,5.16,5.37,6.06,5.29,5.22,6.18
"..REGION XII (SOCCSKSARGEN)","Urea",2.59,2.86,2.32,2.86,2.20,2.19,1.98,1.84,2.46,2.41,1.68,2.35,2.80,2.51,2.65,2.90,2.53,2.55,2.91
"..REGION XII (SOCCSKSARGEN)","Ammosul",0.16,0.21,0.32,0.50,0.29,0.30,0.39,0.69,0.40,0.59,0.31,0.38,0.38,0.54,0.50,0.49,1.06,0.70,0.57
"..REGION XII (SOCCSKSARGEN)","Ammophos",0.87,0.74,1.09,0.62,0.68,0.83,0.63,0.34,0.53,0.67,0.33,0.48,0.62,0.51,0.62,0.65,0.46,0.61,0.88
"..REGION XII (SOCCSKSARGEN)","Complete",1.54,1.90,1.45,1.37,1.07,1.10,1.07,1.35,0.84,1.17,1.08,1.38,1.68,1.60,1.61,1.82,1.24,1.36,1.79
"..REGION XII (SOCCSKSARGEN)","Others",0.01,0.02,0.03,0.14,0.02,0.08,0.02,..,0.04,0.18,0.01,..,0.00,0.00,0.00,0.21,0.00,0.01,0.03
"..REGION XIII (CARAGA)","Area Applied",27908.00,31019.00,34095.00,21890.00,29776.00,45530.00,21824.00,31768.86,31554.00,33556.36,38017.00,50324.62,86343.96,84855.04,64926.91,63519.52,30260.89,38024.00,35610.00
"..REGION XIII (CARAGA)","Average Quantity Applied",3.35,3.39,2.27,2.36,3.45,2.69,2.93,3.03,3.25,3.37,3.30,4.45,5.35,5.08,10.48,5.96,4.07,3.91,5.19
"..REGION XIII (CARAGA)","Urea",1.56,1.71,0.93,1.05,1.32,0.99,1.71,1.71,1.79,1.80,1.38,2.29,2.63,2.55,3.67,3.14,2.29,2.40,2.73
"..REGION XIII (CARAGA)","Ammosul",0.47,0.28,0.24,0.24,0.62,0.10,0.46,0.69,0.84,0.67,0.80,1.24,1.03,1.07,1.42,1.30,0.29,0.34,0.54
"..REGION XIII (CARAGA)","Ammophos",0.22,0.31,0.11,0.07,0.16,0.45,0.10,0.04,0.03,0.06,0.13,0.10,0.08,0.11,0.06,0.07,0.19,0.06,0.24
"..REGION XIII (CARAGA)","Complete",0.98,1.05,0.73,0.99,1.35,1.16,0.64,0.60,0.59,0.84,0.83,0.82,1.60,1.36,1.18,1.00,1.29,1.12,1.63
"..REGION XIII (CARAGA)","Others",0.12,0.04,0.25,0.01,..,..,0.01,..,..,..,0.16,..,0.00,..,4.15,0.44,0.00,0.00,0.05
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Applied",223975.00,81688.00,32404.00,95671.00,149587.00,293350.00,236222.00,301239.00,284134.00,298505.93,275964.00,145196.62,113296.97,157582.00,..,192628.00,162089.87,137648.77,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Average Quantity Applied",4.02,1.46,4.41,3.48,4.11,2.55,2.51,2.31,2.73,2.71,2.74,2.62,2.83,3.85,..,2.88,3.65,3.37,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Urea",1.05,0.88,2.63,1.80,1.78,1.17,1.25,1.12,1.19,1.19,1.20,1.00,1.44,1.75,..,1.09,1.73,1.27,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammosul",1.16,0.18,0.25,0.10,0.19,0.14,0.18,0.26,0.36,0.35,0.35,0.32,0.25,0.75,..,0.07,0.32,0.46,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammophos",0.97,0.18,0.40,0.37,0.14,0.11,0.22,0.16,0.25,0.24,0.23,0.01,0.04,0.35,..,0.63,0.51,0.43,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Complete",0.82,0.22,1.14,1.21,2.00,1.13,0.86,0.78,0.93,0.93,0.94,1.29,1.10,1.00,..,1.09,1.09,1.21,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Others",0.02,0.01,..,..,..,..,..,..,..,..,..,..,..,0.00,..,..,..,..,..
