# Import Dependency Ratio (IDR) of Selected Agricultural Commodities
Commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pork,0.1,0.1,0.1,0.1,0.1,0.2,0.6,1.0,1.1,2.6,2.6,1.7,1.9,2.1,2.4,2.2,2.2,3.1,4.9,5.1,8.5,7.9,6.7,8.2,10.6,10.2,10.6,12.5,13.9,12.9,9.0,25.7,30.4
Chevon,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.1,,,,,,,,
Chicken (dressed),0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.5,5.6,3.1,1.9,1.9,2.1,3.0,4.1,4.9,4.9,5.1,7.0,10.2,11.0,8.7,7.7,12.2,13.0,15.5,4.0,6.4,7.1,7.1,11.0,11.9
Duck (dressed),0.9,0.1,0.1,0.7,1.7,1.9,2.4,3.9,3.1,2.8,1.8,1.1,4.3,2.9,1.3,0.4,0.6,0.1,0.6,0.6,0.7,0.5,1.4,0.4,1.5,1.0,0.9,0.6,0.7,0.5,0.3,,0.8
Chicken Egg,,0.1,0.1,0.0,,,,,,,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.1,,0.1,,,0.1,,,,,,,,,,
Duck Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milkfish,,,,,,,,,,0.2,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.2,0.1,0.0,,,0.1,,0.1,0.1,0.1,
Roundscad,,,,,,,,,,,,0.0,0.3,0.5,0.5,0.0,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.2,0.4,1.5,3.1,21.9,10.6,25.1,23.4
Tilapia,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.1,,0.0,,,,0.1,0.0,0.0,0.0,0.1,
Tuna,6.7,11.2,16.6,14.2,11.8,17.2,16.3,15.7,6.4,2.8,0.9,3.2,7.0,10.2,4.0,9.2,5.8,5.2,5.4,9.7,4.0,7.3,7.8,11.6,14.5,22.5,21.2,22.5,18.6,23.5,20.5,29.9,24.0
Shrimps and Prawns,,,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.5,5.6,7.7,4.8,3.3,3.3,3.8,3.1,2.6,3.7,3.7,4.6,4.7,5.3,4.6,5.7,8.4,,,,,0.1
Crabs,,,,0.0,0.1,,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,,0.4,0.3,,,,,
Oyster,,,,,,,,,0.0,1.0,0.4,0.0,0.1,0.0,,,,,0.1,0.1,0.0,0.1,0.2,0.0,,,,,,,,,0.0
