Type of Valuation,Geolocation,Subsector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Constant 2018 Prices,BARMM,..Tilapia,,,554,541,564,569,749,762.0,865,859,882,855,906,1133,1169,1400,1292,1318,1640,1674,1721,2731,2714
Constant 2018 Prices,BARMM,..Yellowfin tuna (Tambakol/Bariles),,,544,557,582,812,801,877.0,901,1010,1042,1056,969,1079,1080,1100,1086,1099,1084,1161,1079,1174,951
Constant 2018 Prices,BARMM,..Frigate tuna (Tulingan),,,512,525,542,561,615,648.0,698,739,829,856,897,889,940,985,910,958,997,1011,994,1014,819
Constant 2018 Prices,BARMM,..Milkfish (Bangus),,,220,196,206,216,388,454.0,504,580,669,668,652,667,674,759,817,936,955,897,1126,834,499
Constant 2018 Prices,BARMM,..Big-eyed scad (Matangbaka),,,490,552,570,579,632,635.0,705,794,850,873,859,906,938,978,753,748,836,857,842,853,973
Constant 2018 Prices,BARMM,..Roundscad (Galunggong),,,611,657,657,633,590,597.0,636,691,736,752,760,759,792,804,705,693,760,781,757,751,797
Constant 2018 Prices,BARMM,..Eastern little tuna (Bonito),,,338,355,363,387,383,384.0,437,440,477,480,498,508,504,541,522,515,553,587,608,620,494
Constant 2018 Prices,BARMM,..Indian mackerel (Alumahan),,,311,346,354,344,409,403.0,438,505,517,506,501,520,534,528,437,437,465,488,460,468,289
Constant 2018 Prices,BARMM,..Skipjack (Gulyasan),,,228,219,223,232,306,373.0,395,417,413,431,424,465,491,477,442,454,453,480,503,511,350
Constant 2018 Prices,BARMM,..Bali sardinella (Tamban),,,313,350,366,356,284,252.0,273,323,371,374,354,351,362,388,387,380,381,394,393,401,403
Constant 2018 Prices,BARMM,..Carp (Carpa),,,174,170,197,163,125,171.0,175,182,189,283,317,389,417,349,246,307,380,407,401,430,426
Constant 2018 Prices,BARMM,..Mudfish (Dalag),,,411,397,409,385,298,295.0,326,332,347,385,353,374,425,538,218,278,273,265,276,2012,1943
Constant 2018 Prices,BARMM,..Grouper (Lapu-lapu),,,141,124,132,159,159,172.0,176,147,177,179,175,230,242,253,230,254,265,279,292,314,317
Constant 2018 Prices,BARMM,..Cavalla (Talakitok),,,99,103,104,117,133,154.0,163,181,197,203,191,202,220,245,253,273,258,267,264,281,394
Constant 2018 Prices,BARMM,..Snapper (Maya-maya),,,96,89,103,85,100,108.0,155,91,96,95,101,101,98,178,203,205,229,218,160,178,143
Constant 2018 Prices,BARMM,..Bigeye tuna (Tambakol/Bariles),,,207,212,221,309,559,559.0,389,52,141,141,139,141,141,161,164,184,200,303,404,425,426
Constant 2018 Prices,BARMM,..Squid (Pusit),,,63,108,104,106,104,120.0,152,130,134,132,133,129,134,164,176,189,184,214,222,253,385
Constant 2018 Prices,BARMM,..Spanish mackerel (Tanigue),,,44,38,40,84,97,89.0,111,100,106,110,114,137,138,149,156,158,173,172,176,190,165
Constant 2018 Prices,BARMM,..Anchovies (Dilis),,,134,136,137,114,161,244.0,238,226,234,241,225,256,240,226,188,185,168,163,132,134,242
Constant 2018 Prices,BARMM,..Other Fisheries,,,2692,2722,2750,2493,2757,2719.0,2870,2992,3095,3169,2785,2912,2954,2749,2203,2213,2395,2521,2733,3920,5348
Constant 2018 Prices,BARMM,AGRICULTURE,62567.0,65913.0,64645,65162,67799,68339,71103,76944.0,76263,77344,79325,76836,76218,78506,78213,78100,75742,81050,85294,89811,91742,98314,100747
