"Poultry: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Egg Hatched","UT Processing","UT Total Net Food Disposable","UT Per Capita kg/yr","UT Per Capita gm/day"
"Duck (Dressed)","1998",38466.00,329.80,38795.80,0.00,.,.,38795.80,0.53,1.45
"Duck (Dressed)","1999",38425.50,302.21,38727.71,0.00,.,.,38727.71,0.52,1.42
"Duck (Dressed)","2000",38617.50,189.75,38807.25,0.00,.,.,38807.25,0.51,1.39
"Duck (Dressed)","2001",40140.00,118.28,40258.28,0.00,.,.,40258.28,0.52,1.42
"Duck (Dressed)","2002",40580.25,490.34,41070.59,0.00,.,.,41070.59,0.52,1.42
"Duck (Dressed)","2003",40427.25,324.16,40751.41,b/,.,.,40751.33,0.50,1.38
"Duck (Dressed)","2004",39896.25,138.93,40035.18,0.00,.,.,40035.18,0.48,1.33
"Duck (Dressed)","2005",37147.50,39.82,37187.32,0.00,.,.,37187.32,0.44,1.20
"Duck (Dressed)","2006",34490.25,70.00,34560.25,0.00,.,.,34560.25,0.40,1.09
"Duck (Dressed)","2007",31841.25,18.00,31859.25,0.00,.,.,31859.25,0.36,0.99
"Duck (Dressed)","2008",29404.50,85.00,29489.50,0.00,.,.,29489.50,0.33,0.89
"Duck (Dressed)","2009",26946.00,80.00,27026.00,0.00,.,.,27026.00,0.30,0.81
"Duck (Dressed)","2010",24733.50,99.00,24832.50,0.00,.,.,24832.50,0.27,0.73
"Duck (Dressed)","2011",24864.75,73.00,24937.75,0.00,.,.,24937.75,0.26,0.72
"Duck (Dressed)","2012",25385.25,357.00,25742.25,1.00,.,.,25741.25,0.27,0.73
"Duck (Dressed)","2013",25841.25,98.00,25939.25,0.00,.,.,25939.25,0.26,0.72
"Duck (Dressed)","2014",25959.75,384.00,26343.75,75.00,.,.,26268.75,0.26,0.72
"Duck (Dressed)","2015",25455.00,259.00,25714.00,26.00,.,.,25688.00,0.25,0.69
"Duck (Dressed)","2016",24162.00,214.00,24376.00,27.00,.,.,24349.00,0.24,0.65
"Duck (Dressed)","2017",23318.44,137.90,23456.34,b/,.,.,23456.32,0.23,0.62
"Duck (Dressed)","2018",23104.16,166.58,23270.74,0.00,.,.,23270.74,0.22,0.60
"Duck (Dressed)","2019",22578.00,147.01,22725.01,33.00,.,.,22692.01,0.21,0.58
"Duck (Dressed)","2020",22161.19,62.39,22223.58,0.00,.,.,22223.58,0.20,0.56
"Duck (Dressed)","2021",21825.35,5.00,21830.35,0.00,.,.,21830.35,0.20,0.54
"Duck (Dressed)","2022",19687.89,162.14,19850.03,0.00,.,.,19850.03,0.18,0.49
"Chicken Eggs","1990",165700.00,0.00,165700.00,0.00,9942.00,3314.00,152444.00,2.48,6.79
"Chicken Eggs","1991",170810.00,218.48,171028.48,0.00,10248.60,3416.20,157363.68,2.50,6.86
"Chicken Eggs","1992",180520.00,238.16,180758.16,b/,10831.20,3610.40,166316.45,2.59,7.09
"Chicken Eggs","1993",202100.00,10.90,202110.90,0.00,12126.00,4042.00,185942.90,2.84,7.79
"Chicken Eggs","1994",196040.00,5.91,196045.91,0.00,11762.40,3920.80,180362.71,2.63,7.20
"Chicken Eggs","1995",199910.00,8.34,199918.34,0.00,11994.60,3998.20,183925.54,2.69,7.37
"Chicken Eggs","1996",205590.00,0.00,205590.00,0.00,12335.40,4111.80,189142.80,2.70,7.41
"Chicken Eggs","1997",222870.00,0.00,222870.00,0.00,13372.20,4457.40,205040.40,2.87,7.85
"Chicken Eggs","1998",227038.00,0.00,227038.00,0.00,13622.28,4540.76,208874.96,2.86,7.82
"Chicken Eggs","1999",229873.00,11.11,229884.11,0.00,13792.38,4597.46,211494.27,2.83,7.75
"Chicken Eggs","2000",243381.00,15.72,243396.72,0.00,14602.86,4867.62,223926.24,2.93,8.02
"Chicken Eggs","2001",246700.00,25.95,246725.95,0.00,14802.00,4934.00,226989.95,2.91,7.98
"Chicken Eggs","2002",260830.00,344.00,261174.00,0.00,15649.80,5216.60,240307.60,3.02,8.28
"Chicken Eggs","2003",274813.00,372.58,275185.58,0.00,16488.78,5496.26,253200.54,3.12,8.56
"Chicken Eggs","2004",296576.00,100.98,296676.98,0.00,17794.56,5931.52,272950.90,3.30,9.05
"Chicken Eggs","2005",320322.00,504.82,320826.82,0.00,19219.32,6406.44,295201.06,3.46,9.49
"Chicken Eggs","2006",330288.00,101.00,330389.00,0.00,19817.28,6605.76,303965.96,3.49,9.58
"Chicken Eggs","2007",335104.00,251.00,335355.00,0.00,20106.24,6702.08,308546.68,3.48,9.54
"Chicken Eggs","2008",350789.00,0.00,350789.00,0.00,21047.34,7015.78,322725.88,3.57,9.77
"Chicken Eggs","2009",368464.00,345.00,368809.00,0.00,22107.84,7369.28,339331.88,3.73,10.21
"Chicken Eggs","2010",387335.00,0.00,387335.00,0.00,23240.10,7746.70,356348.20,3.83,10.48
"Chicken Eggs","2011",403433.17,0.00,403433.17,0.00,24205.99,8068.66,371158.52,3.91,10.72
"Chicken Eggs","2012",421056.61,303.00,421359.61,0.00,25263.40,8421.13,387675.08,4.02,11.01
"Chicken Eggs","2013",427686.13,15.00,427701.13,0.00,25661.17,8553.72,393486.24,4.01,10.98
"Chicken Eggs","2014",415652.41,0.00,415652.41,0.00,24939.14,8313.05,382400.22,3.83,10.49
"Chicken Eggs","2015",444550.38,0.00,444550.38,0.00,26673.02,8891.01,408986.35,4.03,11.03
"Chicken Eggs","2016",461719.47,0.00,461719.47,0.00,27703.17,9234.39,424781.91,4.11,11.27
"Chicken Eggs","2017",492405.81,0.00,492405.81,b/,29544.35,9848.12,453013.12,4.35,11.91
"Chicken Eggs","2018",533904.85,0.00,533904.85,0.00,32034.29,10678.10,491192.46,4.64,12.72
"Chicken Eggs","2019",583234.00,0.00,583234.00,0.00,34994.04,11664.68,536575.28,5.00,13.70
"Chicken Eggs","2020",605786.16,0.00,605786.16,0.00,36347.17,12115.72,557323.27,5.12,14.04
"Chicken Eggs","2021",661390.50,0.00,661390.50,b/,39683.43,13227.81,608479.06,5.52,15.13
"Chicken Eggs","2022",708499.62,0.00,708499.62,0.00,42509.98,14169.99,651819.65,5.84,16.01
"Duck Eggs","1990",30450.00,0.00,30450.00,0.00,1218.00,609.00,28623.00,0.47,1.28
"Duck Eggs","1991",33400.00,56.12,33456.12,1.45,1336.00,668.00,31450.67,0.50,1.37
"Duck Eggs","1992",36750.00,103.80,36853.80,4.95,1470.00,735.00,34643.85,0.54,1.48
"Duck Eggs","1993",39200.00,212.04,39412.04,4.91,1568.00,784.00,37055.13,0.57,1.55
"Duck Eggs","1994",41570.00,218.62,41788.62,4.81,1662.80,831.40,39289.61,0.57,1.57
"Duck Eggs","1995",47690.00,157.87,47847.87,7.96,1907.60,953.80,44978.51,0.66,1.80
"Duck Eggs","1996",54460.00,175.74,54635.74,15.47,2178.40,1089.20,51352.67,0.73,2.01
"Duck Eggs","1997",52956.00,156.49,53112.49,9.56,2118.24,1059.12,49925.57,0.70,1.91
"Duck Eggs","1998",53103.00,167.71,53270.71,15.13,2124.12,1062.06,50069.40,0.68,1.88
"Duck Eggs","1999",52649.00,171.92,52820.92,10.27,2105.96,1052.98,49651.71,0.66,1.82
"Duck Eggs","2000",53465.00,161.22,53626.22,11.07,2138.60,1069.30,50407.25,0.66,1.81
"Duck Eggs","2001",53913.00,106.32,54019.32,9.81,2156.52,1078.26,50774.73,0.65,1.79
"Duck Eggs","2002",53633.00,22.88,53655.88,6.14,2145.32,1072.66,50431.76,0.63,1.74
"Duck Eggs","2003",54044.00,5.93,54049.93,5.61,2161.76,1080.88,50801.68,0.63,1.72
"Duck Eggs","2004",56593.00,0.00,56593.00,104.93,2263.72,1131.86,53092.49,0.64,1.76
"Duck Eggs","2005",53232.00,0.00,53232.00,90.30,2129.28,1064.64,49947.78,0.59,1.61
"Duck Eggs","2006",50027.00,2.00,50029.00,73.00,2001.08,1000.54,46954.38,0.54,1.48
"Duck Eggs","2007",46990.00,0.00,46990.00,0.00,1879.60,939.80,44170.60,0.50,1.37
"Duck Eggs","2008",42559.00,0.00,42559.00,0.00,1702.36,851.18,40005.46,0.44,1.21
"Duck Eggs","2009",39617.00,0.00,39617.00,1.00,1584.68,792.34,37238.98,0.41,1.12
"Duck Eggs","2010",36676.00,0.00,36676.00,0.00,1467.04,733.52,34475.44,0.37,1.01
"Duck Eggs","2011",37678.18,0.00,37678.18,0.00,1507.13,753.56,35417.49,0.37,1.02
"Duck Eggs","2012",39746.67,0.00,39746.67,0.00,1589.87,794.93,37361.87,0.39,1.06
"Duck Eggs","2013",41071.18,0.00,41071.18,0.00,1642.85,821.42,38606.91,0.39,1.08
"Duck Eggs","2014",41509.93,0.00,41509.93,0.00,1660.40,830.20,39019.34,0.39,1.07
"Duck Eggs","2015",42403.65,0.00,42403.65,0.00,1696.15,848.07,39859.43,0.39,1.08
"Duck Eggs","2016",44159.72,0.00,44159.72,0.00,1766.39,883.19,41510.14,0.40,1.10
"Duck Eggs","2017",45432.21,0.00,45432.21,2.47,1817.29,908.64,42703.81,0.41,1.12
"Duck Eggs","2018",46611.41,0.00,46611.41,b/,1864.46,932.23,43814.20,0.41,1.14
"Duck Eggs","2019",49569.00,0.00,49569.00,b/,1982.76,991.38,46594.07,0.43,1.19
"Duck Eggs","2020",50483.83,0.00,50483.83,b/,2019.35,1009.68,47453.90,0.44,1.20
"Duck Eggs","2021",50450.00,0.00,50450.00,1.50,2018.00,1009.00,47421.50,0.43,1.18
"Duck Eggs","2022",55635.05,0.00,55635.05,b/,2225.40,1112.70,52296.40,0.47,1.28
