"Growth Rates of Value of Production in Philippine Agriculture and Fisheries"

"Type of Valuation","Subsector","2000-2001 January to December","2001-2002 January to December","2002-2003 January to December","2003-2004 January to December","2004-2005 January to December","2005-2006 January to December","2006-2007 January to December","2007-2008 January to December","2008-2009 January to December","2009-2010 January to December","2010-2011 January to December","2011-2012 January to December","2012-2013 January to December","2013-2014 January to December","2014-2015 January to December","2015-2016 January to December","2016-2017 January to December","2017-2018 January to December","2018-2019 January to December","2019-2020 January to December","2020-2021 January to December","2021-2022 January to December","2022-2023 January to December"
"Current Prices","..Mongo",3.8,4.4,-18.4,4.1,15.5,11.4,21.1,5.0,-2.0,42.0,20.3,-16.1,-5.7,14.7,6.4,-5.8,11.2,14.4,-1.2,3.8,1.1,3.2,5.6
"Current Prices","..Cacao",-7.5,43.3,42.2,-9.0,3.8,-1.6,-6.5,3.0,-9.5,26.1,22.8,-17.8,-12.7,51.4,18.1,17.4,-9.5,11.3,20.7,13.7,1.1,8.7,19.1
"Current Prices","..Other Crops",-6.4,-12.4,-3.3,13.3,-0.3,7.3,5.7,3.2,6.6,-1.3,13.2,-2.1,0.9,10.2,7.5,-0.5,0.0,12.2,-3.5,13.6,0.8,0.2,7.3
"Current Prices","LIVESTOCK",5.2,2.9,3.9,26.7,8.3,0.6,5.0,12.8,6.7,6.9,1.1,0.8,9.3,12.1,0.7,1.6,13.8,8.5,-8.4,-1.3,12.1,11.7,1.2
"Current Prices","..Hog",4.5,3.0,4.6,30.5,9.3,0.2,5.8,13.2,6.0,6.4,0.6,1.1,10.4,13.4,0.2,1.0,15.6,8.7,-10.8,-1.0,10.7,11.6,-0.1
"Current Prices","..Cattle",2.5,0.9,0.8,11.3,4.9,1.1,-1.3,11.6,8.2,8.9,4.2,-0.1,5.1,5.9,4.0,5.8,2.6,6.3,3.6,-0.5,18.4,6.3,7.0
"Current Prices","..Carabao",12.5,3.9,3.0,14.4,1.3,4.5,6.8,12.3,10.5,11.8,0.2,-1.2,3.7,4.1,3.3,2.1,10.9,8.4,2.5,-5.4,22.1,21.1,6.7
"Current Prices","..Goat",21.2,4.6,1.8,13.4,3.3,2.6,2.6,9.7,15.8,7.5,5.4,0.0,4.5,7.7,3.3,2.1,6.1,9.7,8.1,-6.1,14.5,16.5,8.9
"Current Prices","..Dairy",23.0,7.4,5.6,5.9,23.9,6.5,8.8,3.3,4.9,11.1,5.4,12.6,6.0,4.9,5.3,9.7,13.3,12.2,9.2,17.6,16.6,19.8,-12.7
"Current Prices","POULTRY",13.6,6.5,1.8,14.9,2.8,4.1,6.0,10.5,10.2,4.4,4.8,5.8,5.0,8.6,2.0,3.9,6.0,7.9,6.2,8.1,6.9,18.9,8.9
"Current Prices","..Chicken",16.1,6.8,1.1,13.9,2.3,3.1,5.1,11.8,9.6,4.2,5.0,5.4,5.5,10.2,0.8,2.7,4.6,9.0,1.9,4.9,7.5,21.7,6.7
"Current Prices","..Duck",-8.7,-1.4,8.6,-10.9,9.4,-2.5,-0.4,1.3,-4.9,0.6,-1.6,5.1,3.4,5.4,1.0,-4.9,6.6,8.8,13.5,11.0,21.3,-2.7,6.2
"Current Prices","..Chicken Eggs",9.4,6.6,4.4,22.7,4.9,10.0,10.7,8.7,14.4,6.2,4.9,7.0,3.1,4.0,6.3,8.3,10.2,4.8,19.1,17.1,5.2,12.6,15.7
"Current Prices","..Duck Eggs",3.2,5.6,0.4,20.2,-2.9,-2.4,1.3,-2.2,4.1,-4.0,2.0,8.5,10.5,4.0,3.2,8.0,7.1,1.5,12.8,6.3,2.0,31.4,-0.4
"Current Prices","FISHERIES",8.4,6.1,5.8,15.8,5.4,11.6,10.5,19.5,-0.1,2.5,1.6,5.8,2.9,-1.1,-0.9,-4.5,6.5,8.8,6.1,-2.9,10.6,8.0,0.6
"Current Prices","..Milkfish",9.7,-3.3,5.3,22.8,8.3,15.4,10.6,20.3,7.2,-3.2,10.3,13.6,1.5,1.5,-1.5,-0.9,7.5,8.4,5.2,1.5,17.1,-9.6,-1.6
"Current Prices","..Tilapia",14.2,6.3,13.5,22.3,13.5,27.5,17.3,14.0,14.8,-6.7,0.7,10.8,4.2,1.9,-0.1,-7.4,10.7,5.5,3.8,1.3,13.1,-10.0,13.2
"Current Prices","..Tiger Prawn",15.3,-9.1,-1.8,6.0,6.0,4.9,4.6,19.9,3.5,-1.7,1.8,2.2,4.0,-2.1,7.7,0.7,2.5,1.4,6.1,-10.9,3.9,-16.8,1.3
"Current Prices","..Skipjack",6.3,11.3,12.7,9.8,2.6,15.5,42.0,39.9,-4.5,-4.0,-0.2,21.1,14.1,-7.7,-2.8,-4.5,13.5,6.5,18.6,-11.9,7.8,28.5,-11.0
"Current Prices","..Roundscad",6.4,11.4,1.5,8.5,-10.7,-15.0,15.1,13.1,-12.1,10.9,-0.5,5.8,16.1,-13.6,-5.4,-12.2,-4.8,3.3,4.9,13.6,7.4,14.0,12.2
"Current Prices","..Seaweed",24.5,9.3,13.5,43.3,14.8,5.1,-0.7,104.0,-25.4,24.9,-4.9,-14.2,1.3,6.2,-20.9,-26.6,36.0,31.5,8.5,-10.4,-4.5,63.7,-23.4
"Current Prices","..Yellowfin Tuna",5.8,10.0,31.1,33.9,6.1,5.7,15.9,22.7,-8.4,4.1,-8.8,25.0,4.0,-0.1,-0.2,-25.0,6.3,-13.9,26.2,-14.3,-5.6,34.0,4.9
"Current Prices","..Mudcrab",-7.8,18.7,5.7,48.9,7.3,19.0,15.2,25.9,25.3,6.2,12.7,10.2,-1.0,7.7,3.9,16.7,15.5,23.9,3.6,-2.5,33.6,-35.9,-3.3
"Current Prices","..Frigate Tuna",5.8,9.7,15.0,24.5,-8.4,6.8,11.2,-1.6,5.7,-2.7,-3.7,6.3,2.8,-1.5,5.9,-6.7,-4.4,3.4,2.5,-0.4,-6.8,14.2,-1.9
"Current Prices","..Big-eyed Scad",5.5,10.7,11.8,5.6,-9.3,5.2,9.1,14.9,12.2,11.6,5.9,0.9,3.4,-0.1,0.0,0.6,1.1,11.4,2.2,-0.7,14.0,26.0,13.1
"Current Prices","..Bali Sardinella",6.1,9.7,-17.8,14.9,9.3,11.6,-4.1,36.5,21.7,7.1,-7.4,-0.8,-8.4,10.1,8.7,-14.5,-2.5,11.6,-1.9,21.8,8.2,6.3,15.7
"Current Prices","..Squid",5.7,11.8,2.2,18.1,7.9,0.6,17.6,0.2,2.4,2.9,7.6,0.1,5.9,5.8,-4.7,0.8,5.5,6.2,2.5,-3.0,9.9,39.7,-4.1
"Current Prices","..Blue Crab",4.9,11.4,4.6,14.2,29.1,-5.2,12.2,10.2,-7.5,0.4,6.6,-4.5,-1.0,10.0,-8.4,6.0,42.3,28.8,-18.3,-2.4,28.0,-17.7,-17.0
"Current Prices","..Bigeye Tuna",6.6,10.2,32.6,34.6,14.0,53.9,26.2,1.7,-77.8,82.1,-5.1,47.8,4.0,-7.5,-6.2,52.5,112.7,29.2,-53.8,0.4,0.0,26.7,-25.2
"Current Prices","..Grouper",4.4,11.7,15.5,14.5,19.5,20.2,21.2,160.0,-33.6,-39.8,1.5,8.9,-3.6,3.4,3.9,-0.1,5.4,79.6,-25.6,27.7,-13.6,9.7,-5.7
"Current Prices","..Indian Mackerel",5.4,9.4,14.4,5.3,15.2,15.6,-6.4,9.4,-4.9,11.9,-1.3,0.8,10.4,-5.9,-1.8,-17.1,1.9,2.1,15.1,-6.0,1.3,0.2,26.0
"Current Prices","..Threadfin Bream",4.8,9.6,-9.5,10.9,20.0,17.6,6.9,-0.6,-6.4,-2.5,9.9,4.5,-5.9,-2.9,2.8,7.7,5.0,10.8,24.4,-3.4,-6.2,8.3,-13.7
"Current Prices","..Slipmouth",6.0,10.2,4.8,9.9,-0.6,-4.6,2.2,6.3,0.9,12.3,6.9,-4.4,-4.5,2.7,-4.9,-3.3,3.3,11.5,0.6,-12.7,5.5,6.0,-13.8
"Current Prices","..Cavalla",5.5,11.8,19.6,14.1,16.6,24.7,21.9,27.4,-5.9,21.1,12.5,1.9,-1.0,-4.3,8.6,-10.6,-0.3,12.0,8.2,9.3,23.6,-10.7,-7.8
"Current Prices","..Fimbriated Sardines",5.9,10.0,-1.3,17.7,11.0,14.5,14.9,42.1,16.7,-22.0,5.4,3.3,-1.1,10.7,-15.4,-11.3,0.6,1.8,-10.9,-24.0,-1.4,37.0,-19.9
"Current Prices","..Other Fisheries",6.5,10.2,3.9,12.0,7.4,20.7,6.2,6.5,4.3,7.6,1.2,0.1,-1.1,-2.9,-0.3,1.0,0.9,8.9,13.1,-5.6,16.2,21.5,3.6
"Current Prices","AGRICULTURE AND FISHERIES",4.3,6.7,5.5,18.7,5.9,8.4,9.9,19.4,1.9,5.3,10.9,1.3,3.7,10.6,-4.2,1.5,9.5,6.0,-5.0,4.8,5.1,7.4,7.4
