"Palay:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by Region, Area Harvested and Year by PHILIPPINES, FERTILIZER and Year"

"PHILIPPINES","FERTILIZER","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..REGION VIII (EASTERN VISAYAS)","Ammosul",0.06,0.07,0.23,0.15,0.10,0.04,0.06,0.13,0.08,0.10,0.09,0.10,0.12,0.11,0.10,0.08,0.09,0.08,0.08
"..REGION VIII (EASTERN VISAYAS)","Ammophos",0.24,0.26,0.62,0.22,0.15,0.09,0.10,0.32,0.16,0.25,0.25,0.24,0.25,0.25,0.24,0.22,0.21,0.18,0.18
"..REGION VIII (EASTERN VISAYAS)","Complete",1.06,1.13,0.98,0.99,1.13,0.89,0.84,0.90,0.97,1.23,1.05,0.85,0.98,1.09,1.12,1.32,1.21,1.33,1.49
"..REGION VIII (EASTERN VISAYAS)","Others",0.01,0.00,..,0.02,0.05,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION IX (ZAMBOANGA PENINSULA)","Area Applied",142313.00,140966.26,136280.79,120139.00,127215.00,132995.00,129760.00,137125.00,144375.38,156403.25,153645.40,161714.73,161702.72,152826.47,170212.92,171897.60,162491.71,153878.99,155337.25
"..REGION IX (ZAMBOANGA PENINSULA)","All Grades",4.06,3.84,3.25,3.87,3.72,3.04,3.54,3.15,3.26,3.51,3.45,3.61,3.64,4.33,4.86,5.91,5.47,6.19,4.99
"..REGION IX (ZAMBOANGA PENINSULA)","Urea",1.32,1.32,1.29,1.18,1.49,1.05,1.28,1.19,1.18,1.34,1.41,1.47,1.52,1.72,2.04,2.21,1.90,2.09,1.49
"..REGION IX (ZAMBOANGA PENINSULA)","Ammosul",0.52,0.36,0.44,0.48,0.56,0.55,0.42,0.55,0.59,0.70,0.50,0.54,0.55,0.54,0.55,0.94,1.03,0.94,0.77
"..REGION IX (ZAMBOANGA PENINSULA)","Ammophos",0.85,0.78,0.60,0.77,0.45,0.59,0.73,0.69,0.70,0.62,0.71,0.74,0.76,0.84,1.01,1.22,1.20,1.10,1.26
"..REGION IX (ZAMBOANGA PENINSULA)","Complete",1.21,1.27,0.80,1.21,1.10,0.85,1.10,0.73,0.79,0.85,0.83,0.86,0.80,1.24,1.27,1.54,1.34,2.05,1.47
"..REGION IX (ZAMBOANGA PENINSULA)","Others",0.15,0.11,0.11,0.23,0.13,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION X (NORTHERN MINDANAO)","Area Applied",133226.00,124368.14,119868.42,120198.00,127160.00,134341.00,132354.00,148590.00,146237.00,153257.50,156666.00,154603.09,164585.50,159228.50,162274.00,160558.54,160512.50,162856.00,164332.92
"..REGION X (NORTHERN MINDANAO)","All Grades",5.10,4.94,5.01,4.92,5.01,4.69,3.77,4.59,5.25,4.88,4.82,5.12,4.88,4.82,4.96,5.06,5.36,6.68,7.30
"..REGION X (NORTHERN MINDANAO)","Urea",1.77,1.58,1.64,1.32,1.49,1.18,1.25,1.39,2.03,1.69,1.73,1.91,1.76,1.75,1.74,1.79,1.87,2.13,2.36
"..REGION X (NORTHERN MINDANAO)","Ammosul",1.30,1.34,1.20,1.44,1.30,1.56,1.30,1.59,1.53,1.41,1.44,1.41,1.39,1.32,1.33,1.36,1.40,1.57,1.70
"..REGION X (NORTHERN MINDANAO)","Ammophos",0.66,0.70,0.89,0.86,0.96,0.95,0.50,0.52,0.61,0.75,0.70,0.73,0.69,0.71,0.75,0.77,0.82,1.39,1.27
"..REGION X (NORTHERN MINDANAO)","Complete",1.15,1.16,1.11,0.96,1.07,0.97,0.72,1.10,1.09,1.03,0.95,1.06,1.04,1.04,1.13,1.15,1.27,1.60,1.98
"..REGION X (NORTHERN MINDANAO)","Others",0.22,0.16,0.16,0.35,0.18,0.03,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
