Commodity,Item,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Milkfish,NET PROFIT-COST RATIO,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Milkfish,Cost per kilogram (pesos),27,30,33,24,25,31,31,36,38,38,38,40,39,40,40,37,37,42,41,41,40
Milkfish,Yield per hectare (kg),750,708,716,981,1045,888,836,853,868,869,883,907,957,968,988,1049,1087,1050,1110,1134,1250
Milkfish,Farmgate price (pesos/kg),55,54,54,60,61,59,62,74,79,76,81,86,88,90,90,85,88,101,101,100,108
Tilapia,CASH COSTS,,,,,,,,,,,191318,205728,213622,223473,229100,229484,237934,249200,256948,265495,275628
Tilapia,..Stocking materials paid in cash,,,,,,,,,,,21968,31882,34538,37194,40173,38294,41370,42087,43572,46833,46706
Tilapia,..Feeds paid in cash,,,,,,,,,,,136526,140853,145079,151027,153141,155145,159582,167883,172033,176470,184342
Tilapia,..Fertilizer paid in cash,,,,,,,,,,,2266,1805,1708,1586,1529,1449,1656,1756,1869,1793,2106
Tilapia,..Pesticides and other material inputs,,,,,,,,,,,1964,1971,2099,2099,2084,2093,2046,1966,2273,2118,2322
Tilapia,..Hired labor,,,,,,,,,,,6777,6423,6772,7235,7772,8008,8148,8901,9623,10156,10751
Tilapia,..Land tax,,,,,,,,,,,170,172,174,176,178,180,182,183,185,187,189
Tilapia,..Rentals,,,,,,,,,,,4529,4535,4541,4548,4556,4560,4561,4573,4583,4591,4600
Tilapia,..Salaries of permanent employees,,,,,,,,,,,854,911,961,1027,1103,1137,1154,1261,1363,1439,1523
Tilapia,..Wage of stay-in laborer paid in cash,,,,,,,,,,,4997,5328,5618,6002,6447,6643,6747,7371,7968,8410,8902
Tilapia,..Fuel and oil,,,,,,,,,,,6005,6389,6498,6693,6103,5847,6167,6596,6647,6455,6800
Tilapia,..Transportation cost of inputs,,,,,,,,,,,754,771,776,783,783,772,811,865,874,902,989
Tilapia,..Irrigation fee,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tilapia,..License/permits,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7
Tilapia,..Electricity,,,,,,,,,,,128,136,138,141,129,124,130,139,140,136,144
Tilapia,..Interest payment on loans,,,,,,,,,,,340,374,411,452,497,547,601,662,728,800,880
Tilapia,..Food expense for laborers,,,,,,,,,,,1312,1341,1379,1476,1515,1541,1590,1695,1725,1773,1870
Tilapia,..Repairs,,,,,,,,,,,2687,2795,2887,2990,3045,3101,3141,3214,3315,3380,3450
Tilapia,..Other expenses,,,,,,,,,,,34,35,36,37,38,38,40,42,43,44,46
Tilapia,NON-CASH COSTS,,,,,,,,,,,1662,2156,2221,2322,2326,2240,2441,2573,2700,2806,2997
Tilapia,..Stocking materials paid in kind,,,,,,,,,,,181,279,302,325,351,335,361,368,381,409,408
Tilapia,..Feeds paid in kind,,,,,,,,,,,82,85,88,92,93,94,97,102,104,107,112
Tilapia,..Fertilizer paid in kind,,,,,,,,,,,23,19,18,17,16,15,15,15,16,16,19
Tilapia,..Hired labor paid in kind,,,,,,,,,,,165,213,225,240,258,266,270,295,319,337,356
Tilapia,..Landowner's share,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tilapia,..Harvester's share,,,,,,,,,,,428,555,576,588,556,526,585,619,650,668,728
Tilapia,..Caretaker's share,,,,,,,,,,,27,35,35,37,37,35,39,41,44,45,49
