"Gross National Income and Gross Domestic Product by Expenditure"

"Type of Expenditure","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"….Exports of goods and services",340182,354091,426877,481527,437967,397172,415770,405352,406393,418057,456775,459246,468700,468734,527198,531238,516904,532205,576366,601346,554058,588845,635777,661017,641771,696436,684153,679390,690958,671799,694341,679257,622690,678281,739996,644325,595200,619529,677851,642966,773314,769221,816692,730827,792700,762280,727152,670515,789290,771207,756647,720876,763378,810700,809385,771071,903606,905643,945597,857816,967214,948829,969929,907961,1010940,1002884,1023974,998463,1192114,1202642,1284166,1213949,1337126,1361794,1455659,1363993,1389374,1406478,1402117,1341770,1321643,904783,1116142,1181738,1205533,1177329,1282623,1333144,1460189,1405651,1665177,1722239,1560801,1520476,1736375,1664156,407798,410902,495673,455642,469729,414599,447494,399816,436735,431676,485171,461956,470344,467114,552200,493514,485321,489185,567254,571137,548189,572619,646921,609240,632653,678899,682779,621694,668838,671560,708423,642079,608143,691344,706051,569643,618357,636372,659397,539809,748693,782873,784806,635900,775297,832496,706488,614938,773802,876851,724909,685690,750065,884281,775367,711956,865649,949252,895291,790356,967195,1025607,981216,875430,1051563,1128329,1060860,963094,1181384,1307500,1304852,1141653,1334774,1454286,1435136,1294376,1392610,1513731,1457178,1300524,1342200,1010843,1234793,1161834,1230985,1297945,1348936,1251806,1362603,1362409,1534252,1432587,1378226,1425816,1573237,1396501
"…...Exports of goods",291811,310596,380427,421363,368797,321408,347010,342910,330559,336925,381076,364445,384071,379672,429689,433264,403684,420726,473141,490637,422090,430572,469851,489010,461662,497037,512514,492104,496256,478188,492808,478011,438196,480364,540241,471135,347680,406652,480445,477581,479076,481571,573958,517717,488277,493196,521469,452317,522955,522057,540751,474619,459664,472666,573967,512047,530910,543324,642848,570860,520667,497383,625469,557466,509726,490092,643842,611486,651724,606088,764136,736738,675882,671251,889931,844833,680099,662729,796981,801768,632110,428077,719294,772407,639323,586538,834724,857367,767848,676870,1025596,1101185,684070,683397,1002698,948564,328847,339635,417864,364655,359492,303761,346082,299336,316577,312523,372410,308326,336979,337449,407871,339159,311847,330260,418639,400267,352683,352250,413456,363620,387251,407810,451598,366545,413863,417822,445714,374656,375916,452063,468650,350664,312792,382977,431880,353756,403114,470044,507600,388432,404688,495978,442907,354027,456725,568999,470680,405316,398620,491197,505961,421636,454931,554035,570103,479204,488021,540156,605401,498984,517670,577689,653242,558413,616616,672115,763858,672938,666030,753743,881908,780216,702843,775924,867687,770038,684561,538742,856742,769232,704093,732715,934629,810870,746298,719090,980843,897533,634882,713289,957905,795176
"…...Exports of services",48371,43496,46450,60164,69170,75764,68761,62442,75834,81133,75699,94801,84629,89062,97509,97974,113220,111478,103225,110710,131968,158273,165927,172008,180109,199398,171639,187287,194702,193611,201533,201246,184494,197916,199755,173190,247520,212877,197406,165385,294238,287649,242734,213109,304423,269084,205682,218199,266335,249150,215896,246257,303714,338035,235418,259024,372696,362320,302749,286956,446547,451446,344461,350496,501214,512791,380133,386976,540390,596554,520029,477210,661244,690543,565728,519160,709275,743749,605137,540002,689533,476706,396848,409331,566210,590791,447899,475777,692341,728781,639581,621054,876730,837079,733677,715592,78951,71266,77809,90987,110237,110838,101412,100480,120158,119154,112761,153630,133364,129665,144329,154354,173474,158925,148615,170870,195507,220369,233465,245620,245402,271089,231180,255149,254975,253738,262709,267423,232227,239281,237402,218979,305565,253395,227517,186053,345579,312829,277206,247468,370609,336518,263580,260911,317077,307852,254229,280374,351446,393083,269406,290321,410718,395217,325189,311152,479174,485452,375815,376446,533893,550639,407619,404682,564769,635385,540995,468715,668744,700543,553228,514160,689767,737806,589492,530486,657639,472100,378051,392601,526892,565231,414308,440936,616304,643319,553409,535054,743344,712527,615332,601324
"....Imports of goods and services",348764,347437,399891,449824,431754,451889,453330,423496,414347,467046,511228,514627,529836,512738,534294,558866,570312,591748,611297,638289,590756,630600,652366,647966,622145,669304,659692,643156,611209,632923,655084,665577,634051,700599,772337,656183,584303,649962,658943,679887,765091,781763,766730,809801,863217,771064,789806,790797,849564,830059,835873,844150,830140,852552,965979,924012,1017405,912041,1070764,976851,1099682,992806,1205212,1155163,1298718,1276450,1369085,1367676,1606364,1537248,1609629,1640288,1796116,1929120,2005601,1931373,2004060,1927311,2023448,1941898,1766673,1149515,1506042,1495815,1638318,1784038,1931192,1970576,2203811,2433416,2711875,2352654,2433020,2423870,2633492,2417733,498256,493191,541691,570163,582622,584701,567179,549933,594821,596400,616974,638279,647140,640701,631950,656557,629576,677594,650812,703256,637569,723316,686892,712658,709926,725596,658963,676793,691585,707409,668976,696486,691877,735892,724753,744119,641907,759579,680923,746241,792706,918587,819057,885162,883200,897317,781806,821214,854461,995448,845783,916393,884242,1004059,990485,986382,1030754,1058554,1076147,1082298,1170119,1199382,1232968,1282825,1397852,1491631,1412587,1502303,1592602,1685049,1638292,1767504,1750368,1997855,1933520,1980467,1907419,2001894,1933644,1998007,1769935,1257461,1536230,1587264,1636543,1762962,1729904,1809800,1902101,2017312,2052446,1939992,1981558,2006068,2019698,1979746
"…...Imports of goods",273370,283427,340648,354458,345841,368908,372052,328566,324399,377630,412353,404515,418776,427808,434840,428490,448108,475244,491277,502114,464998,521916,554074,526996,503240,561918,565008,511621,484629,528018,551381,527478,497246,565997,626629,476494,412817,510967,532035,527419,592465,626650,604221,636667,701608,631916,639887,620901,671574,675698,670664,656810,640137,679629,755666,697131,791269,709648,846663,718834,849818,754885,956015,850150,1009381,1007408,1094938,1054582,1292198,1244424,1297045,1268501,1455849,1604077,1663420,1510596,1628986,1584069,1660517,1471227,1397035,910116,1246217,1236653,1410543,1543443,1680074,1662749,1887165,2106405,2317216,1886314,2004045,1966285,2117697,1834576,383772,388912,456580,426493,463081,463595,455546,418229,468659,468791,481845,495515,507785,533251,508280,496696,492276,546810,515449,555039,508759,599786,580151,581737,578464,603490,555865,534263,552120,587564,550781,536459,520815,570785,559444,565213,465140,605731,541038,580727,597041,747635,638754,685040,707862,763083,627163,618687,655847,843626,670380,697612,679500,835614,779885,742080,792971,871242,859590,810487,901878,974782,983873,957670,1092620,1239230,1129569,1172916,1263058,1416411,1322709,1382759,1396100,1702812,1586340,1548690,1521249,1694970,1572328,1523159,1392481,1042683,1275643,1320054,1386474,1545020,1484325,1507232,1562400,1726150,1666920,1486814,1563916,1625592,1526610,1430942
"…...Imports of services",75394,64010,59243,95366,85913,82981,81278,94930,89948,89416,98874,110111,111061,84930,99454,130376,122205,116504,120019,136175,125758,108684,98291,120970,118905,107386,94685,131535,126580,104905,103702,138099,136805,134601,145708,179689,171486,138995,126908,152467,172627,155113,162510,173134,161609,139148,149920,169896,177991,154360,165209,187340,190002,172923,210312,226882,226136,202393,224101,258017,249864,237921,249197,305013,289337,269042,274147,313094,314166,292825,312584,371786,340267,325043,342180,420777,375074,343243,362930,470671,369638,239399,259825,259162,227774,240595,251119,307827,316646,327011,394659,466340,428975,457585,515795,583157,114484,104279,85111,143670,119541,121106,111633,131703,126162,127608,135129,142765,139355,107450,123671,159861,137300,130784,135363,148217,128809,123530,106741,130921,131463,122105,103098,142531,139466,119844,118194,160027,171062,165106,165309,178905,176767,153848,139884,165515,195666,170951,180303,200123,175339,134234,154643,202527,198614,151822,175404,218781,204742,168445,210600,244302,237783,187312,216556,271811,268241,224601,249094,325154,305233,252401,283019,329387,329544,268638,315583,384745,354267,295043,347180,431777,386170,306925,361316,474849,377454,214778,260587,267210,250069,217942,245579,302567,339701,291162,385526,453178,417642,380476,493088,548804
"….Statistical discrepancy",1968,8509,-3656,-6820,-92,7236,-3425,-3718,-2661,3807,-8323,7177,-1211,2780,-3891,2322,-9209,12726,4610,-8127,-6552,12861,-3405,-2904,967,13265,3853,-18084,368,9742,-977,-9132,12287,12269,-17634,-6922,-4245,19840,-17272,1677,-9499,9563,-3272,3208,7629,9360,-14491,-2498,5476,11073,-11032,-5516,-14563,-10232,12301,12493,223,-28129,3997,23910,28282,-27934,-25668,25320,27263,-35086,-21494,29317,24932,-38386,-24715,38169,-309,-1336,-31204,32849,39911,-28311,20530,-32130,-13632,-6655,35438,-15151,-40339,20591,-31687,51435,-3982,31111,30155,-57283,-15560,-1602,-16028,33190,13922,-4013,-16217,6308,15600,12909,-17163,-11346,14010,-2853,-17594,6437,10318,4341,-18759,4100,2468,6503,-19757,10786,20134,2545,-19345,-3334,20632,59,-21100,409,15674,-2680,-21555,8561,9511,491,-24404,14402,-12276,11341,-3473,4408,-12720,7737,-1906,6888,5422,20672,-26296,202,-2251,23351,-5557,-15543,-19928,-1874,6012,15790,-22270,16052,5775,442,-14192,28866,-12394,-2280,-13985,25548,-23094,11530,-13182,25209,-38797,26769,-20479,39385,-31100,12194,14891,34002,1090,-49983,-5066,-2198,40601,-33338,12623,14120,-40251,13508,246,-1034,7719,-6931,-31353,8289,-291,23355
"..Gross Domestic Product",850396,904732,913644,1028784,925936,990210,996766,1111487,1006579,1073992,1059697,1210291,1091333,1147383,1152553,1326540,1223639,1306195,1299857,1494213,1354481,1456794,1443454,1662553,1496799,1626437,1588797,1838384,1651799,1783015,1736724,2026706,1795699,2020177,1998449,2235875,1899600,2075281,2036219,2379322,2151614,2352847,2269768,2625222,2351209,2544840,2429057,2819554,2539542,2753027,2672921,3095098,2772721,2993985,2914503,3369383,3035915,3296724,3174416,3699773,3204277,3493900,3330583,3915398,3437650,3791145,3644979,4258608,3745533,4153954,4017922,4639242,4101138,4568792,4450213,5145048,4426077,4865973,4725892,5499920,4449141,4138373,4205108,5158953,4374072,4767989,4604095,5664458,4928798,5398104,5249946,6451429,5615765,5889500,5763234,7050113,1653296,1729789,1709413,1892885,1693209,1786322,1762583,1956269,1758847,1851705,1809767,2045575,1840079,1932976,1909701,2162922,1972128,2077812,2029119,2282020,2071140,2195369,2117985,2389831,2164381,2325314,2217593,2533516,2297797,2484417,2362773,2698252,2393607,2602999,2491196,2783075,2420350,2652251,2514311,2832721,2616891,2863767,2692052,3011152,2743209,2965726,2773776,3132649,2908899,3150174,2979022,3378370,3129776,3386829,3178884,3559155,3308136,3621756,3367553,3798601,3481796,3853504,3589388,4066219,3722688,4140186,3852483,4347319,3959977,4437331,4142636,4636033,4215576,4720384,4397241,4931988,4463186,4985924,4675544,5258096,4433805,4142943,4135499,4825596,4266797,4641825,4426630,5204832,4611219,4990934,4767549,5575902,4907643,5205820,5053783,5884513
"..Net primary income from the rest of the world",84769,80670,82513,100648,89282,105582,100655,89844,107927,96203,95441,115195,103857,113001,112991,114148,118541,129343,123474,125252,133224,138071,143853,162366,142377,161882,134542,163692,137937,174412,169004,165134,150498,194295,185843,223492,203153,257717,247449,260653,251674,276584,259585,266755,261528,272622,261826,298920,271344,314296,302399,332508,326674,335939,374729,379732,374474,377874,376321,393320,381946,388153,388056,435398,413901,412201,411496,442956,449005,455580,459839,462103,474989,467676,510534,493959,495253,483543,500751,474650,451626,369133,334382,205286,114448,169213,164629,242097,240265,296190,341439,416485,466835,594910,755246,853723,174916,160968,160239,192655,170559,196785,183466,163441,197544,172155,167609,203752,185394,195530,195962,195448,204211,210290,197835,199748,214617,208652,216065,241813,214315,231727,191723,234239,200790,243945,233940,230325,212068,251205,232710,285546,267535,329305,310166,336164,322867,337167,311149,331000,319449,315660,301642,351110,320199,356066,341897,379674,377096,373820,413762,421504,416274,409703,404814,431247,426859,415261,416012,473253,462028,437510,433445,467020,488044,468220,472445,479537,499419,463889,497939,485911,507267,468142,479376,461496,457317,351386,316430,195040,111532,155858,150048,221883,225070,258224,290882,355934,409378,493102,618334,705654
"Gross National Income",935164,985402,996157,1129433,1015217,1095793,1097421,1201331,1114506,1170195,1155138,1325486,1195189,1260384,1265545,1440687,1342180,1435538,1423331,1619465,1487705,1594865,1587307,1824919,1639177,1788318,1723339,2002076,1789736,1957427,1905728,2191840,1946197,2214473,2184292,2459368,2102753,2332997,2283668,2639975,2403288,2629431,2529353,2891978,2612737,2817463,2690883,3118474,2810886,3067323,2975321,3427606,3099395,3329924,3289232,3749115,3410389,3674598,3550737,4093093,3586223,3882053,3718638,4350796,3851551,4203346,4056474,4701563,4194538,4609535,4477761,5101345,4576127,5036468,4960747,5639007,4921330,5349516,5226643,5974571,4900767,4507506,4539489,5364239,4488520,4937202,4768724,5906556,5169062,5694293,5591385,6867914,6082600,6484410,6518479,7903835,1828212,1890757,1869652,2085540,1863768,1983108,1946049,2119711,1956391,2023860,1977376,2249327,2025473,2128506,2105663,2358370,2176339,2288102,2226954,2481767,2285757,2404021,2334050,2631645,2378696,2557042,2409316,2767756,2498587,2728362,2596714,2928578,2605676,2854205,2723906,3068621,2687885,2981556,2824477,3168885,2939758,3200933,3003200,3342152,3062658,3281386,3075418,3483760,3229098,3506241,3320920,3758044,3506872,3760649,3592646,3980659,3724410,4031459,3772367,4229848,3908656,4268765,4005400,4539472,4184716,4577696,4285928,4814339,4448021,4905551,4615081,5115571,4714996,5184273,4895181,5417900,4970453,5454067,5154920,5719592,4891123,4494330,4451928,5020635,4378329,4797683,4576678,5426715,4836290,5249158,5058431,5931836,5317021,5698923,5672117,6590167
