"PHILIPPINES","FERTILIZER","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..REGION III (CENTRAL LUZON)","Ammosul",0.36,0.40,0.34,0.49,0.27,0.46,0.27,0.21,0.36,0.25,0.78
"..REGION III (CENTRAL LUZON)","Ammophos",0.94,0.96,0.71,0.81,0.70,0.89,1.00,0.84,0.71,0.57,0.56
"..REGION III (CENTRAL LUZON)","Complete",2.48,2.57,2.30,2.96,2.78,2.72,2.66,2.98,2.86,3.37,3.18
"..REGION III (CENTRAL LUZON)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION IV-A (CALABARZON)","Area Applied",96940.00,108744.39,109607.00,108319.60,111741.00,116100.00,114232.11,101206.14,99468.19,102208.62,100097.08
"..REGION IV-A (CALABARZON)","All Grades",3.94,3.69,3.90,3.96,3.84,4.03,4.19,5.12,4.85,5.67,5.28
"..REGION IV-A (CALABARZON)","Urea",2.32,2.34,2.46,2.52,2.50,2.45,2.60,3.33,3.03,3.18,3.02
"..REGION IV-A (CALABARZON)","Ammosul",0.11,0.14,0.16,0.11,0.13,0.16,0.11,0.12,0.16,0.17,0.20
"..REGION IV-A (CALABARZON)","Ammophos",0.19,0.19,0.13,0.17,0.10,0.21,0.11,0.20,0.05,0.08,0.10
"..REGION IV-A (CALABARZON)","Complete",1.32,1.02,1.15,1.15,1.11,1.20,1.36,1.46,1.61,2.24,1.96
"..REGION IV-A (CALABARZON)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..MIMAROPA REGION","Area Applied",256581.00,277794.00,278890.00,268143.00,273859.26,284326.00,296272.00,312218.82,274010.30,283609.00,260722.51
"..MIMAROPA REGION","All Grades",4.88,5.08,5.00,5.22,5.10,5.76,5.64,5.68,6.44,6.72,6.46
"..MIMAROPA REGION","Urea",2.43,2.51,2.26,2.33,2.62,2.62,2.59,2.39,2.79,2.91,2.76
"..MIMAROPA REGION","Ammosul",0.35,0.38,0.40,0.38,0.37,0.36,0.40,0.43,0.47,0.49,0.45
"..MIMAROPA REGION","Ammophos",0.40,0.33,0.50,0.54,0.45,0.66,0.51,0.47,0.52,0.64,0.34
"..MIMAROPA REGION","Complete",1.70,1.86,1.84,1.97,1.66,2.11,2.14,2.39,2.66,2.69,2.91
"..MIMAROPA REGION","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION V (BICOL REGION)","Area Applied",309117.00,333550.00,303102.69,317899.38,332326.00,353326.44,356401.44,352529.00,321803.60,322873.93,332990.33
"..REGION V (BICOL REGION)","All Grades",2.99,3.45,3.44,3.55,3.51,3.84,4.05,4.26,4.54,4.74,4.19
"..REGION V (BICOL REGION)","Urea",1.58,1.69,1.67,1.70,1.70,1.81,1.90,2.09,2.14,2.29,2.08
"..REGION V (BICOL REGION)","Ammosul",0.05,0.10,0.01,0.01,0.05,0.10,0.06,0.10,0.02,0.00,0.13
"..REGION V (BICOL REGION)","Ammophos",0.27,0.27,0.29,0.32,0.31,0.44,0.49,0.38,0.51,0.37,0.20
"..REGION V (BICOL REGION)","Complete",1.08,1.39,1.47,1.53,1.45,1.49,1.59,1.69,1.87,2.07,1.78
"..REGION V (BICOL REGION)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION VI (WESTERN VISAYAS)","Area Applied",646254.00,632124.00,606930.05,616654.00,552345.06,571761.48,624585.95,652993.50,616480.90,647534.98,674143.91
"..REGION VI (WESTERN VISAYAS)","All Grades",4.31,4.30,4.69,4.73,4.51,4.52,4.87,4.93,5.05,4.94,4.97
"..REGION VI (WESTERN VISAYAS)","Urea",1.72,1.69,1.89,1.77,1.98,2.04,2.10,2.11,2.01,2.09,1.72
"..REGION VI (WESTERN VISAYAS)","Ammosul",0.70,0.52,0.80,1.00,0.48,0.49,0.52,0.52,0.74,0.48,1.02
"..REGION VI (WESTERN VISAYAS)","Ammophos",0.55,0.57,0.54,0.60,0.68,0.66,0.68,0.66,0.64,0.58,0.55
"..REGION VI (WESTERN VISAYAS)","Complete",1.34,1.52,1.47,1.36,1.37,1.33,1.57,1.63,1.66,1.79,1.68
"..REGION VI (WESTERN VISAYAS)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION VII (CENTRAL VISAYAS)","Area Applied",99580.00,104850.00,104293.00,102948.00,101456.00,81829.00,96880.00,94199.00,71286.00,86720.00,91766.00
"..REGION VII (CENTRAL VISAYAS)","All Grades",4.05,3.92,4.13,5.00,5.11,4.89,5.96,5.63,5.35,5.61,6.13
"..REGION VII (CENTRAL VISAYAS)","Urea",1.39,1.34,1.33,1.62,1.67,1.77,1.93,1.83,1.68,1.93,2.22
"..REGION VII (CENTRAL VISAYAS)","Ammosul",0.14,0.19,0.13,0.18,0.15,0.13,0.20,0.12,0.13,0.14,0.41
"..REGION VII (CENTRAL VISAYAS)","Ammophos",0.25,0.21,0.20,0.27,0.23,0.27,0.46,0.53,0.40,0.32,0.53
"..REGION VII (CENTRAL VISAYAS)","Complete",2.28,2.18,2.47,2.93,3.05,2.72,3.38,3.15,3.14,3.22,2.97
"..REGION VII (CENTRAL VISAYAS)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION VIII (EASTERN VISAYAS)","Area Applied",232780.00,229927.80,211862.94,187840.36,198375.20,196382.14,211776.00,221190.54,218433.15,229382.33,204425.60
"..REGION VIII (EASTERN VISAYAS)","All Grades",2.18,2.94,2.63,2.28,2.55,2.72,2.75,2.93,2.76,2.77,3.10
"..REGION VIII (EASTERN VISAYAS)","Urea",0.97,1.36,1.25,1.10,1.20,1.27,1.28,1.31,1.25,1.18,1.34
"..REGION VIII (EASTERN VISAYAS)","Ammosul",0.08,0.10,0.09,0.10,0.12,0.11,0.10,0.08,0.09,0.08,0.08
"..REGION VIII (EASTERN VISAYAS)","Ammophos",0.16,0.25,0.25,0.24,0.25,0.25,0.24,0.22,0.21,0.18,0.18
"..REGION VIII (EASTERN VISAYAS)","Complete",0.97,1.23,1.05,0.85,0.98,1.09,1.12,1.32,1.21,1.33,1.49
"..REGION VIII (EASTERN VISAYAS)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION IX (ZAMBOANGA PENINSULA)","Area Applied",144375.38,156403.25,153645.40,161714.73,161702.72,152826.47,170212.92,171897.60,162491.71,153878.99,155337.25
"..REGION IX (ZAMBOANGA PENINSULA)","All Grades",3.26,3.51,3.45,3.61,3.64,4.33,4.86,5.91,5.47,6.19,4.99
"..REGION IX (ZAMBOANGA PENINSULA)","Urea",1.18,1.34,1.41,1.47,1.52,1.72,2.04,2.21,1.90,2.09,1.49
"..REGION IX (ZAMBOANGA PENINSULA)","Ammosul",0.59,0.70,0.50,0.54,0.55,0.54,0.55,0.94,1.03,0.94,0.77
"..REGION IX (ZAMBOANGA PENINSULA)","Ammophos",0.70,0.62,0.71,0.74,0.76,0.84,1.01,1.22,1.20,1.10,1.26
"..REGION IX (ZAMBOANGA PENINSULA)","Complete",0.79,0.85,0.83,0.86,0.80,1.24,1.27,1.54,1.34,2.05,1.47
"..REGION IX (ZAMBOANGA PENINSULA)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION X (NORTHERN MINDANAO)","Area Applied",146237.00,153257.50,156666.00,154603.09,164585.50,159228.50,162274.00,160558.54,160512.50,162856.00,164332.92
"..REGION X (NORTHERN MINDANAO)","All Grades",5.25,4.88,4.82,5.12,4.88,4.82,4.96,5.06,5.36,6.68,7.30
"..REGION X (NORTHERN MINDANAO)","Urea",2.03,1.69,1.73,1.91,1.76,1.75,1.74,1.79,1.87,2.13,2.36
"..REGION X (NORTHERN MINDANAO)","Ammosul",1.53,1.41,1.44,1.41,1.39,1.32,1.33,1.36,1.40,1.57,1.70
"..REGION X (NORTHERN MINDANAO)","Ammophos",0.61,0.75,0.70,0.73,0.69,0.71,0.75,0.77,0.82,1.39,1.27
"..REGION X (NORTHERN MINDANAO)","Complete",1.09,1.03,0.95,1.06,1.04,1.04,1.13,1.15,1.27,1.60,1.98
"..REGION X (NORTHERN MINDANAO)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION XI (DAVAO REGION)","Area Applied",98431.00,102988.00,135537.17,101494.00,97526.00,96043.43,97169.00,102057.75,97520.80,98806.38,104926.02
"..REGION XI (DAVAO REGION)","All Grades",4.52,4.35,5.08,4.74,4.90,4.91,5.08,5.39,5.58,5.68,6.07
"..REGION XI (DAVAO REGION)","Urea",1.99,1.88,2.19,1.89,1.95,2.05,2.10,2.19,2.38,2.24,2.29
"..REGION XI (DAVAO REGION)","Ammosul",1.14,0.94,0.98,1.06,1.02,0.96,0.87,0.97,1.18,1.06,1.06
"..REGION XI (DAVAO REGION)","Ammophos",0.34,0.28,0.28,0.17,0.30,0.33,0.48,0.44,0.28,0.41,0.64
"..REGION XI (DAVAO REGION)","Complete",1.05,1.26,1.63,1.62,1.63,1.58,1.64,1.78,1.75,1.98,2.08
"..REGION XI (DAVAO REGION)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION XII (SOCCSKSARGEN)","Area Applied",341330.00,345422.00,329909.45,313033.19,333002.01,307037.99,349498.33,348289.84,318729.02,331670.98,345293.70
"..REGION XII (SOCCSKSARGEN)","All Grades",3.12,3.44,3.66,3.72,3.91,4.05,4.55,4.78,5.20,5.46,5.53
"..REGION XII (SOCCSKSARGEN)","Urea",1.61,1.69,1.83,1.89,2.04,2.17,2.34,2.20,2.40,2.55,2.95
"..REGION XII (SOCCSKSARGEN)","Ammosul",0.60,0.75,0.60,0.69,0.55,0.66,0.79,1.03,0.95,0.67,0.53
"..REGION XII (SOCCSKSARGEN)","Ammophos",0.28,0.26,0.33,0.25,0.29,0.29,0.37,0.42,0.40,0.64,0.68
"..REGION XII (SOCCSKSARGEN)","Complete",0.64,0.74,0.89,0.89,1.03,0.93,1.06,1.13,1.44,1.60,1.38
"..REGION XII (SOCCSKSARGEN)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION XII (CARAGA)","Area Applied",140634.00,153920.00,173208.30,130705.42,147968.00,148274.03,158768.36,159082.26,142863.51,147086.89,144165.23
"..REGION XII (CARAGA)","All Grades",2.95,2.98,3.07,3.32,3.30,3.71,3.82,4.28,3.74,4.42,4.09
"..REGION XII (CARAGA)","Urea",0.75,0.78,0.86,0.94,1.09,1.23,1.22,1.36,1.14,1.30,1.54
"..REGION XII (CARAGA)","Ammosul",1.17,1.21,1.15,1.15,1.05,1.03,0.94,0.98,0.99,1.15,0.84
"..REGION XII (CARAGA)","Ammophos",0.16,0.15,0.11,0.09,0.12,0.22,0.27,0.33,0.31,0.42,0.27
"..REGION XII (CARAGA)","Complete",0.87,0.84,0.94,1.14,1.04,1.23,1.39,1.61,1.29,1.56,1.45
"..REGION XII (CARAGA)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Applied",199176.00,187070.30,151324.04,85889.93,..,..,..,..,161651.62,223769.22,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","All Grades",1.79,1.84,1.68,2.39,..,..,..,..,4.46,3.19,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Urea",0.46,0.66,0.67,1.31,..,..,..,..,2.02,1.60,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammosul",0.40,0.32,0.14,0.05,..,..,..,..,0.54,0.30,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammophos",0.48,0.33,0.22,..,..,..,..,..,0.43,0.11,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Complete",0.44,0.53,0.65,1.03,..,..,..,..,1.47,1.18,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Others",..,..,..,..,..,..,..,..,0.00,0.00,..
