PHILIPPINES,FERTILIZER,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
..REGION IV-A (CALABARZON),Average Quantity Applied,4.11,3.85,4.61,4.28,4.47,4.27,4.2,4.21,9.86,5.07,6.93
..REGION IV-A (CALABARZON),Urea,1.7,1.8,2.18,2.55,2.41,2.6,2.4,2.97,5.1,2.99,2.56
..REGION IV-A (CALABARZON),Ammosul,0.07,0.2,0.65,0.15,0.32,0.35,0.09,0.05,2.8,0.13,0.59
..REGION IV-A (CALABARZON),Ammophos,0.04,0.03,0.02,0.08,0.1,0.01,0.03,0.08,0.05,,0.34
..REGION IV-A (CALABARZON),Complete,2.31,1.82,1.75,1.51,1.64,1.31,1.68,1.11,1.92,1.95,2.47
..REGION IV-A (CALABARZON),Others,,,,,,,,,,,0.97
..MIMAROPA REGION,Area Applied,26667.0,24498.1,28022.0,27356.59,29437.2,29783.67,27240.74,26244.88,25498.1,26864.09,24105.84
..MIMAROPA REGION,Average Quantity Applied,4.91,4.58,6.5,5.88,7.31,6.67,5.73,7.66,8.93,5.5,7.32
..MIMAROPA REGION,Urea,3.2,1.99,3.79,4.02,3.99,3.4,3.75,4.36,5.43,3.19,3.28
..MIMAROPA REGION,Ammosul,,0.01,0.03,0.07,0.06,0.4,0.05,0.04,,0.04,0.8
..MIMAROPA REGION,Ammophos,0.06,0.85,0.28,0.12,0.07,0.58,0.08,0.08,0.02,0.06,0.4
..MIMAROPA REGION,Complete,1.66,1.73,2.4,1.68,3.19,2.29,1.86,3.18,3.48,2.22,2.83
..MIMAROPA REGION,Others,,,,,,,,,,,
..REGION V (BICOL REGION),Area Applied,108243.0,112816.53,109582.0,91671.78,63847.52,71056.76,93402.28,53550.49,42668.14,84047.0,77249.67
..REGION V (BICOL REGION),Average Quantity Applied,3.08,2.74,3.82,3.98,4.45,6.08,6.76,5.53,7.07,5.32,5.27
..REGION V (BICOL REGION),Urea,1.54,1.29,1.6,1.89,2.2,2.66,2.58,2.76,2.91,2.4,2.59
..REGION V (BICOL REGION),Ammosul,0.11,0.11,0.13,0.1,0.07,0.18,0.37,0.14,0.16,0.27,0.34
..REGION V (BICOL REGION),Ammophos,0.53,0.31,0.42,0.13,0.09,0.48,0.57,0.3,1.19,0.52,0.34
..REGION V (BICOL REGION),Complete,0.88,1.02,1.42,1.85,2.09,2.75,2.56,2.33,2.81,2.14,2.0
..REGION V (BICOL REGION),Others,0.02,0.01,0.25,,,,0.68,,,,
..REGION VI (WESTERN VISAYAS),Area Applied,122216.0,120657.72,123946.0,97913.23,71918.12,69955.47,64137.74,88236.31,103340.64,100308.0,99580.87
..REGION VI (WESTERN VISAYAS),Average Quantity Applied,4.18,4.17,3.07,5.2,8.6,7.59,7.52,6.29,9.54,6.26,5.63
..REGION VI (WESTERN VISAYAS),Urea,1.57,1.53,0.72,1.54,2.7,2.49,2.5,2.2,3.03,2.84,2.13
..REGION VI (WESTERN VISAYAS),Ammosul,0.63,0.51,0.21,0.31,0.2,0.56,0.29,0.39,0.63,0.48,0.48
..REGION VI (WESTERN VISAYAS),Ammophos,0.57,0.9,1.22,1.25,1.87,1.44,1.56,1.24,1.75,1.13,1.25
..REGION VI (WESTERN VISAYAS),Complete,1.35,1.2,0.87,2.1,3.83,3.09,3.17,2.46,4.13,1.81,1.77
..REGION VI (WESTERN VISAYAS),Others,0.06,0.02,0.05,0.01,,,,,,,
..REGION VII (CENTRAL VISAYAS),Area Applied,212438.0,205543.1,197612.0,183078.44,100447.85,113347.56,113963.07,90701.28,85785.0,89738.0,100985.0
..REGION VII (CENTRAL VISAYAS),Average Quantity Applied,2.61,2.73,2.44,2.72,3.88,3.82,3.84,3.71,4.19,3.37,3.55
..REGION VII (CENTRAL VISAYAS),Urea,0.63,0.76,0.55,0.66,1.08,1.29,1.48,1.23,1.49,1.22,1.05
..REGION VII (CENTRAL VISAYAS),Ammosul,0.65,0.65,0.6,0.59,1.16,0.66,0.57,0.63,0.66,0.37,0.5
..REGION VII (CENTRAL VISAYAS),Ammophos,0.59,0.38,0.19,0.21,0.39,0.54,0.48,0.46,0.57,0.6,0.84
..REGION VII (CENTRAL VISAYAS),Complete,0.74,0.94,1.08,1.26,1.25,1.33,1.3,1.35,1.46,1.18,1.15
..REGION VII (CENTRAL VISAYAS),Others,,,0.01,,,0.01,0.01,0.03,0.01,0.01,
..REGION VIII (EASTERN VISAYAS),Area Applied,60950.0,61473.0,61722.0,36007.67,35017.11,34642.64,45799.0,39391.02,10531.0,9406.0,9497.42
..REGION VIII (EASTERN VISAYAS),Average Quantity Applied,1.71,2.43,2.28,2.29,2.35,2.41,1.68,1.9,3.6,1.94,2.36
..REGION VIII (EASTERN VISAYAS),Urea,0.99,1.09,1.1,1.09,1.1,1.12,0.94,1.04,1.97,0.98,1.13
..REGION VIII (EASTERN VISAYAS),Ammosul,0.18,0.23,0.28,0.34,0.35,0.35,0.23,0.23,,,
..REGION VIII (EASTERN VISAYAS),Ammophos,0.17,0.16,0.13,0.19,0.19,0.19,0.1,0.11,0.2,,0.04
..REGION VIII (EASTERN VISAYAS),Complete,0.37,0.95,0.74,0.67,0.72,0.75,0.41,0.51,1.43,0.96,1.17
..REGION VIII (EASTERN VISAYAS),Others,,,0.02,,,,,,,,0.03
..REGION IX (ZAMBOANGA PENINSULA),Area Applied,131525.0,132359.0,125949.0,223807.51,125241.17,143130.05,136391.21,138196.33,103525.14,93827.47,125524.65
..REGION IX (ZAMBOANGA PENINSULA),Average Quantity Applied,3.13,3.12,4.59,4.18,3.55,3.1,3.47,3.55,2.97,4.15,3.53
..REGION IX (ZAMBOANGA PENINSULA),Urea,0.74,0.79,1.28,1.68,1.38,1.19,1.24,0.91,0.9,1.46,1.07
..REGION IX (ZAMBOANGA PENINSULA),Ammosul,0.28,0.56,0.57,0.55,0.57,0.35,0.51,0.65,0.34,0.45,0.49
..REGION IX (ZAMBOANGA PENINSULA),Ammophos,1.28,1.02,1.32,1.44,0.89,1.01,1.13,0.98,0.68,1.28,0.96
..REGION IX (ZAMBOANGA PENINSULA),Complete,0.83,0.74,0.64,0.51,0.71,0.56,0.59,0.77,1.04,0.95,1.0
..REGION IX (ZAMBOANGA PENINSULA),Others,,,0.79,,,,,0.24,,,
..REGION X (NORTHERN MINDANAO),Area Applied,364059.0,375655.28,372565.0,245332.99,185475.84,199163.11,254307.87,239948.9,191680.8,352443.0,362192.5
..REGION X (NORTHERN MINDANAO),Average Quantity Applied,5.59,6.07,4.89,5.88,6.15,6.46,6.95,6.61,7.02,7.78,8.44
..REGION X (NORTHERN MINDANAO),Urea,2.47,2.61,1.88,2.65,1.97,2.7,2.36,2.55,2.71,3.17,2.89
..REGION X (NORTHERN MINDANAO),Ammosul,0.52,0.48,0.39,0.83,1.41,1.21,0.96,0.95,1.16,1.31,1.17
..REGION X (NORTHERN MINDANAO),Ammophos,1.06,1.0,0.77,1.09,1.02,0.99,0.84,1.07,1.63,1.48,1.72
..REGION X (NORTHERN MINDANAO),Complete,1.54,1.98,1.57,1.31,1.74,1.55,1.28,1.42,1.51,1.82,2.09
..REGION X (NORTHERN MINDANAO),Others,0.01,,0.27,,,,1.52,0.62,,0.04,0.57
..REGION XI (DAVAO REGION),Area Applied,149081.0,145154.94,159378.0,104408.79,75170.78,84518.14,130394.8,119747.35,59356.38,116945.7,128548.0
..REGION XI (DAVAO REGION),Average Quantity Applied,1.69,2.32,2.01,2.31,1.94,2.01,2.8,2.46,2.37,2.8,3.98
..REGION XI (DAVAO REGION),Urea,0.73,1.08,1.02,1.17,0.93,0.94,1.37,1.27,1.0,1.27,1.25
..REGION XI (DAVAO REGION),Ammosul,0.49,0.52,0.25,0.31,0.4,0.5,0.52,0.49,0.75,0.72,0.74
..REGION XI (DAVAO REGION),Ammophos,0.06,0.06,0.07,0.07,0.03,0.07,0.11,0.12,0.14,0.17,0.51
..REGION XI (DAVAO REGION),Complete,0.41,0.65,0.65,0.76,0.58,0.51,0.79,0.59,0.49,0.64,0.63
..REGION XI (DAVAO REGION),Others,,,0.02,,,,,,,,0.85
..REGION XII (SOCCSKSARGEN),Area Applied,427050.0,422173.29,430007.0,286618.68,209179.55,188178.4,293321.54,240223.58,203675.08,355732.35,366860.2
..REGION XII (SOCCSKSARGEN),Average Quantity Applied,4.26,5.02,3.41,4.6,5.49,5.16,5.37,6.06,5.29,5.22,6.18
..REGION XII (SOCCSKSARGEN),Urea,2.46,2.41,1.68,2.35,2.8,2.51,2.65,2.9,2.53,2.55,2.91
..REGION XII (SOCCSKSARGEN),Ammosul,0.4,0.59,0.31,0.38,0.38,0.54,0.5,0.49,1.06,0.7,0.57
..REGION XII (SOCCSKSARGEN),Ammophos,0.53,0.67,0.33,0.48,0.62,0.51,0.62,0.65,0.46,0.61,0.88
..REGION XII (SOCCSKSARGEN),Complete,0.84,1.17,1.08,1.38,1.68,1.6,1.61,1.82,1.24,1.36,1.79
..REGION XII (SOCCSKSARGEN),Others,0.04,0.18,0.01,,,,,0.21,,0.01,0.03
..REGION XIII (CARAGA),Area Applied,31554.0,33556.36,38017.0,50324.62,86343.96,84855.04,64926.91,63519.52,30260.89,38024.0,35610.0
..REGION XIII (CARAGA),Average Quantity Applied,3.25,3.37,3.3,4.45,5.35,5.08,10.48,5.96,4.07,3.91,5.19
..REGION XIII (CARAGA),Urea,1.79,1.8,1.38,2.29,2.63,2.55,3.67,3.14,2.29,2.4,2.73
..REGION XIII (CARAGA),Ammosul,0.84,0.67,0.8,1.24,1.03,1.07,1.42,1.3,0.29,0.34,0.54
..REGION XIII (CARAGA),Ammophos,0.03,0.06,0.13,0.1,0.08,0.11,0.06,0.07,0.19,0.06,0.24
..REGION XIII (CARAGA),Complete,0.59,0.84,0.83,0.82,1.6,1.36,1.18,1.0,1.29,1.12,1.63
..REGION XIII (CARAGA),Others,,,0.16,,,,4.15,0.44,,,0.05
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Area Applied,284134.0,298505.93,275964.0,145196.62,113296.97,157582.0,,192628.0,162089.87,137648.77,
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Average Quantity Applied,2.73,2.71,2.74,2.62,2.83,3.85,,2.88,3.65,3.37,
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Urea,1.19,1.19,1.2,1.0,1.44,1.75,,1.09,1.73,1.27,
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Ammosul,0.36,0.35,0.35,0.32,0.25,0.75,,0.07,0.32,0.46,
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Ammophos,0.25,0.24,0.23,0.01,0.04,0.35,,0.63,0.51,0.43,
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Complete,0.93,0.93,0.94,1.29,1.1,1.0,,1.09,1.09,1.21,
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Others,,,,,,,,,,,
