Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
region xiii (caraga),Rice,2015,2579.6515384615386,481311.5,155129.95,88.9,11.1,16010,11336,17.476666666666667,38.89666666666667,42.15,94.32684445833331,95.45870210583332,15406.0,0.69,107.54166666666667
bangsamoro autonomous region in muslim mindanao (barmm),Rice,2015,2579.6515384615386,488215.0,194349.0,88.9,11.1,16010,11336,19.73,35.525,36.28666666666667,86.75527364916667,86.39759097333332,13035.0,0.69,107.54166666666667
philippines,Corn,2015,408.52461538461534,7518755.72,2561934.25,91.3,8.7,8415,2086,12.168333333333335,25.069999999999997,25.363333333333333,92.53612136749997,93.51408024166669,13967.0,0.69,107.54166666666667
cordillera administrative region (car),Corn,2015,408.52461538461534,237823.0,64411.0,91.3,8.7,8415,2086,12.524444444444445,,22.0,76.9654533,85.62271285166668,0.0,0.69,107.54166666666667
region i (ilocos region),Corn,2015,408.52461538461534,490943.0,87608.0,91.3,8.7,8415,2086,13.045999999999998,,,87.24179111416669,79.81880279416666,0.0,0.69,107.54166666666667
region ii (cagayan valley),Corn,2015,408.52461538461534,1801194.1,425965.25,91.3,8.7,8415,2086,11.719999999999999,,19.645,73.93079150666667,82.6658800275,5738.0,0.69,107.54166666666667
region iii (central luzon),Corn,2015,408.52461538461534,271319.0,47368.0,91.3,8.7,8415,2086,10.699166666666665,,,82.05796264833333,83.68184768583332,0.0,0.69,107.54166666666667
region iv-a (calabarzon),Corn,2015,408.52461538461534,64823.0,29185.0,91.3,8.7,8415,2086,13.780000000000001,,34.1325,78.85560881083335,83.916714835,0.0,0.69,107.54166666666667
mimaropa region (mimaropa),Corn,2015,408.52461538461534,125492.0,31391.0,91.3,8.7,8415,2086,13.271666666666668,,43.31,96.36372504083334,91.6388669125,33145.0,0.69,107.54166666666667
region v (bicol region),Corn,2015,408.52461538461534,243908.0,103025.0,91.3,8.7,8415,2086,13.846249999999998,,,89.48188310083333,78.77780501833332,20631.0,0.69,107.54166666666667
region vi (western visayas),Corn,2015,408.52461538461534,350391.0,120157.0,91.3,8.7,8415,2086,12.525,,,87.21711987166667,93.69641232333333,13456.0,0.69,107.54166666666667
region vii (central visayas),Corn,2015,408.52461538461534,150051.0,187296.0,91.3,8.7,8415,2086,13.034999999999998,27.313333333333333,,99.85070858583333,93.66064905083334,0.0,0.69,107.54166666666667
region viii (eastern visayas),Corn,2015,408.52461538461534,91145.0,61409.0,91.3,8.7,8415,2086,,33.306666666666665,,92.37064588916667,88.14202352416667,0.0,0.69,107.54166666666667
region ix (zamboanga peninsula),Corn,2015,408.52461538461534,220180.0,131590.0,91.3,8.7,8415,2086,11.395833333333334,23.338333333333335,,95.26277897416666,102.50753210416667,8174.0,0.69,107.54166666666667
region x (northern mindanao),Corn,2015,408.52461538461534,1216301.62,377040.0,91.3,8.7,8415,2086,11.790833333333333,23.446666666666673,17.009166666666662,93.76400276583333,90.3225137525,21849.0,0.69,107.54166666666667
region xi (davao region),Corn,2015,408.52461538461534,224100.0,154398.0,91.3,8.7,8415,2086,12.250833333333333,23.739166666666662,16.080000000000002,89.03949733333333,84.24134794583334,0.0,0.69,107.54166666666667
region xii (soccsksargen),Corn,2015,408.52461538461534,1239275.0,416400.0,91.3,8.7,8415,2086,11.443333333333333,24.221666666666664,,94.19011683083333,103.22316860000001,14130.0,0.69,107.54166666666667
region xiii (caraga),Corn,2015,408.52461538461534,118774.0,42396.0,91.3,8.7,8415,2086,11.029166666666667,23.991666666666664,,92.60283931916666,94.89343956583333,11437.0,0.69,107.54166666666667
bangsamoro autonomous region in muslim mindanao (barmm),Corn,2015,408.52461538461534,673036.0,282295.0,91.3,8.7,8415,2086,11.341666666666667,,,85.23822404,88.48393697250002,11479.0,0.69,107.54166666666667
philippines,Rice,2016,2819.688461538462,17627244.82,4556042.79,95.0,5.0,15332,11133,17.760833333333334,37.98916666666666,39.0175,93.74209360666667,93.66087165916666,24719.0,1.23,110.51666666666667
cordillera administrative region (car),Rice,2016,2819.688461538462,382848.0,110640.0,95.0,5.0,15332,11133,17.529166666666665,,40.67583333333334,94.53177299,93.456240695,15796.0,1.23,110.51666666666667
region i (ilocos region),Rice,2016,2819.688461538462,1805126.0,412635.0,95.0,5.0,15332,11133,17.544166666666666,37.395,36.3025,89.3500349825,91.39801094666666,20749.0,1.23,110.51666666666667
region ii (cagayan valley),Rice,2016,2819.688461538462,2332654.04,556884.09,95.0,5.0,15332,11133,16.798333333333332,37.731666666666676,36.458333333333336,93.85454891416667,93.735939465,17100.0,1.23,110.51666666666667
region iii (central luzon),Rice,2016,2819.688461538462,3342883.12,704185.0,95.0,5.0,15332,11133,17.334166666666665,36.391666666666666,37.490833333333335,94.80755974583333,95.18518184916667,30932.0,1.23,110.51666666666667
