Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
region ii (cagayan valley),Corn,2013,331.1238461538462,1713891.3,416823.32,95.6,4.4,7880,1881,11.724545454545455,,20.1575,72.78922564833333,80.46644853833332,5040.0,2.59,101.66666666666669
region iii (central luzon),Corn,2013,331.1238461538462,227765.0,44151.0,95.6,4.4,7880,1881,12.304166666666665,,,76.11438482666667,75.73993326166668,0.0,2.59,101.66666666666669
region iv-a (calabarzon),Corn,2013,331.1238461538462,75165.0,33906.0,95.6,4.4,7880,1881,13.666666666666666,,35.365,78.41076539833333,80.92012754666668,0.0,2.59,101.66666666666669
mimaropa region (mimaropa),Corn,2013,331.1238461538462,104678.0,28022.0,95.6,4.4,7880,1881,12.169166666666664,,39.27916666666667,84.72011325333334,75.0528029375,30063.0,2.59,101.66666666666669
region v (bicol region),Corn,2013,331.1238461538462,258115.0,109582.0,95.6,4.4,7880,1881,13.278888888888892,26.836666666666673,,85.44580290333333,72.49249599416667,19938.0,2.59,101.66666666666669
region vi (western visayas),Corn,2013,331.1238461538462,345527.0,123946.0,95.6,4.4,7880,1881,12.777499999999998,18.020833333333332,,80.85342541166666,88.30489468916669,12294.0,2.59,101.66666666666669
region vii (central visayas),Corn,2013,331.1238461538462,173225.0,197941.0,95.6,4.4,7880,1881,13.019999999999996,27.21333333333334,,97.59824340333334,89.97301892833333,0.0,2.59,101.66666666666669
region viii (eastern visayas),Corn,2013,331.1238461538462,89327.0,61722.0,95.6,4.4,7880,1881,,32.23,,76.47186684916666,80.36038744583334,0.0,2.59,101.66666666666669
region ix (zamboanga peninsula),Corn,2013,331.1238461538462,207787.0,125949.0,95.6,4.4,7880,1881,11.961666666666668,26.275833333333335,,94.82864556166668,90.27871858833333,10785.0,2.59,101.66666666666669
region x (northern mindanao),Corn,2013,331.1238461538462,1185036.0,372565.0,95.6,4.4,7880,1881,11.318333333333335,25.83333333333334,13.923333333333332,91.21300280666667,94.5475447825,19943.0,2.59,101.66666666666669
region xi (davao region),Corn,2013,331.1238461538462,227013.0,159378.0,95.6,4.4,7880,1881,11.06,24.616666666666664,15.551666666666668,81.1099200675,66.1659464975,0.0,2.59,101.66666666666669
region xii (soccsksargen),Corn,2013,331.1238461538462,1305607.0,430007.0,95.6,4.4,7880,1881,11.159166666666666,21.159166666666664,,84.8833502625,88.90254794083334,15131.0,2.59,101.66666666666669
region xiii (caraga),Corn,2013,331.1238461538462,107476.0,38017.0,95.6,4.4,7880,1881,10.799090909090909,25.694999999999997,,92.25438757416669,95.27554914833335,13034.0,2.59,101.66666666666669
bangsamoro autonomous region in muslim mindanao (barmm),Corn,2013,331.1238461538462,667104.0,275964.0,95.6,4.4,7880,1881,10.766666666666666,30.65833333333333,,75.87629575583334,85.6225995425,13796.0,2.59,101.66666666666669
philippines,Rice,2014,2150.923076923077,18967826.17,4739672.16,92.0,8.1,15618,11420,19.458333333333336,39.663333333333334,39.7575,93.85502475,93.74787590749999,30956.0,3.59,104.68333333333334
cordillera administrative region (car),Rice,2014,2150.923076923077,452609.0,118476.4,92.0,8.1,15618,11420,20.938333333333333,40.51142857142857,38.71416666666667,91.31604061833336,90.50196886416667,31770.0,3.59,104.68333333333334
region i (ilocos region),Rice,2014,2150.923076923077,1796229.0,412419.0,92.0,8.1,15618,11420,21.607499999999998,37.870000000000005,37.23916666666667,92.16058779583334,92.03771371333333,33855.0,3.59,104.68333333333334
region ii (cagayan valley),Rice,2014,2150.923076923077,2514934.17,591659.76,92.0,8.1,15618,11420,21.127499999999998,39.5175,38.80416666666667,94.02416388749998,95.89469461416667,32667.0,3.59,104.68333333333334
region iii (central luzon),Rice,2014,2150.923076923077,3765150.0,717191.0,92.0,8.1,15618,11420,21.99416666666667,38.86333333333333,38.0525,94.49089556833333,94.91136373333332,57587.0,3.59,104.68333333333334
region iv-a (calabarzon),Rice,2014,2150.923076923077,405582.0,116568.0,92.0,8.1,15618,11420,18.889999999999997,38.995,38.80083333333334,93.77383929000001,93.89082922,17340.0,3.59,104.68333333333334
mimaropa region (mimaropa),Rice,2014,2150.923076923077,1081878.0,280920.0,92.0,8.1,15618,11420,18.525,39.22833333333333,38.99666666666666,91.7546362625,91.820791435,23959.0,3.59,104.68333333333334
region v (bicol region),Rice,2014,2150.923076923077,1258147.0,329573.0,92.0,8.1,15618,11420,17.838333333333335,39.24333333333334,41.45083333333333,94.98041938916668,97.57025116666667,31256.0,3.59,104.68333333333334
region vi (western visayas),Rice,2014,2150.923076923077,2052574.0,618727.0,92.0,8.1,15618,11420,18.7,38.358333333333334,38.589999999999996,92.01102840583333,91.75372998333334,23279.0,3.59,104.68333333333334
region vii (central visayas),Rice,2014,2150.923076923077,338822.0,104288.0,92.0,8.1,15618,11420,19.285,40.3275,42.982499999999995,96.130872485,96.04073903166666,17764.0,3.59,104.68333333333334
region viii (eastern visayas),Rice,2014,2150.923076923077,982596.0,283020.0,92.0,8.1,15618,11420,17.24416666666667,42.336666666666666,43.15416666666667,93.96841640500001,93.56900012083332,23776.0,3.59,104.68333333333334
region ix (zamboanga peninsula),Rice,2014,2150.923076923077,656777.0,163096.0,92.0,8.1,15618,11420,18.915000000000003,39.69,42.75,91.89127989833334,91.78884342833334,32544.0,3.59,104.68333333333334
region x (northern mindanao),Rice,2014,2150.923076923077,713764.0,161414.0,92.0,8.1,15618,11420,19.36916666666667,40.77583333333333,40.839999999999996,95.61757039333332,95.8877279075,38169.0,3.59,104.68333333333334
region xi (davao region),Rice,2014,2150.923076923077,452267.0,103822.0,92.0,8.1,15618,11420,19.38,41.87916666666666,39.03666666666667,91.60159213916667,100.82425785166667,28118.0,3.59,104.68333333333334
region xii (soccsksargen),Rice,2014,2150.923076923077,1364849.0,346906.0,92.0,8.1,15618,11420,19.254166666666666,37.708333333333336,39.6475,94.11867132916666,94.74356719000001,31920.0,3.59,104.68333333333334
region xiii (caraga),Rice,2014,2150.923076923077,574499.0,174170.0,92.0,8.1,15618,11420,19.109166666666667,41.527499999999996,42.708333333333336,92.56806656916666,93.44230204249999,23038.0,3.59,104.68333333333334
bangsamoro autonomous region in muslim mindanao (barmm),Rice,2014,2150.923076923077,557149.0,217422.0,92.0,8.1,15618,11420,19.143333333333334,36.946363636363635,34.80833333333334,84.0352666325,83.85792897916667,16922.0,3.59,104.68333333333334
philippines,Corn,2014,388.7415384615385,7770602.74,2611431.8,93.1,6.9,8515,2190,12.71,27.0325,24.8175,92.57685767333334,94.19350599666667,16884.0,3.59,104.68333333333334
cordillera administrative region (car),Corn,2014,388.7415384615385,244576.0,64832.0,93.1,6.9,8515,2190,12.456250000000002,,20.93,74.70742860083335,83.60527511416667,0.0,3.59,104.68333333333334
region i (ilocos region),Corn,2014,388.7415384615385,476740.79,87763.0,93.1,6.9,8515,2190,12.759090909090908,,,85.19312623416666,79.10826693583333,0.0,3.59,104.68333333333334
region ii (cagayan valley),Corn,2014,388.7415384615385,1856714.99,437728.8,93.1,6.9,8515,2190,12.212727272727271,,20.085,72.97039108916665,83.24907768,7798.0,3.59,104.68333333333334
region iii (central luzon),Corn,2014,388.7415384615385,240870.0,43535.0,93.1,6.9,8515,2190,12.491666666666667,,,78.50038340583332,79.77569274416665,0.0,3.59,104.68333333333334
region iv-a (calabarzon),Corn,2014,388.7415384615385,74328.96,34518.0,93.1,6.9,8515,2190,13.82909090909091,,34.67166666666667,76.16799769500001,83.77572298,0.0,3.59,104.68333333333334
mimaropa region (mimaropa),Corn,2014,388.7415384615385,107723.0,29135.0,93.1,6.9,8515,2190,12.745833333333332,,41.08166666666667,92.04033778333333,84.37414791583332,30303.0,3.59,104.68333333333334
region v (bicol region),Corn,2014,388.7415384615385,285647.0,113596.0,93.1,6.9,8515,2190,14.599999999999998,30.562857142857144,,91.13132713666666,73.18525141083333,24963.0,3.59,104.68333333333334
region vi (western visayas),Corn,2014,388.7415384615385,368404.0,124312.0,93.1,6.9,8515,2190,13.073333333333332,18.0,,84.78700583,90.24561324083334,15903.0,3.59,104.68333333333334
region vii (central visayas),Corn,2014,388.7415384615385,164197.0,193089.0,93.1,6.9,8515,2190,13.589999999999998,28.930833333333336,,101.77256985833334,94.2171163775,0.0,3.59,104.68333333333334
region viii (eastern visayas),Corn,2014,388.7415384615385,88162.0,60752.0,93.1,6.9,8515,2190,,34.88333333333333,,83.87927945083332,85.32114719750001,0.0,3.59,104.68333333333334
region ix (zamboanga peninsula),Corn,2014,388.7415384615385,223342.0,130116.0,93.1,6.9,8515,2190,12.114166666666668,26.265,,98.27862441583335,112.25478439999999,11387.0,3.59,104.68333333333334
region x (northern mindanao),Corn,2014,388.7415384615385,1196542.0,374646.0,93.1,6.9,8515,2190,12.165,25.74,16.286666666666665,96.87741074583334,96.80144912749999,22748.0,3.59,104.68333333333334
region xi (davao region),Corn,2014,388.7415384615385,280293.0,169306.0,93.1,6.9,8515,2190,12.8825,25.666666666666668,15.8575,83.52219839166668,71.48936020083333,0.0,3.59,104.68333333333334
region xii (soccsksargen),Corn,2014,388.7415384615385,1338065.0,428556.0,93.1,6.9,8515,2190,12.898333333333333,25.250833333333333,,93.53919793416667,100.14253022333332,19541.0,3.59,104.68333333333334
region xiii (caraga),Corn,2014,388.7415384615385,125406.0,41957.0,93.1,6.9,8515,2190,10.917499999999999,26.1725,,95.83166853916667,97.53345254333333,14698.0,3.59,104.68333333333334
bangsamoro autonomous region in muslim mindanao (barmm),Corn,2014,388.7415384615385,699591.0,277590.0,93.1,6.9,8515,2190,12.659166666666666,32.233333333333334,,79.24001528416666,87.39989241083333,15685.0,3.59,104.68333333333334
philippines,Rice,2015,2579.6515384615386,18149837.78,4656227.14,88.9,11.1,16010,11336,17.549999999999997,38.215833333333336,39.46666666666667,94.18638418249999,94.1885313775,20951.0,0.69,107.54166666666667
cordillera administrative region (car),Rice,2015,2579.6515384615386,400911.0,111482.0,88.9,11.1,16010,11336,17.986666666666668,,39.892500000000005,93.46156420083332,91.90103863833333,19186.0,0.69,107.54166666666667
region i (ilocos region),Rice,2015,2579.6515384615386,1777121.0,412936.0,88.9,11.1,16010,11336,17.7925,38.22166666666666,37.02,91.87147508166667,93.25697863666666,19527.0,0.69,107.54166666666667
region ii (cagayan valley),Rice,2015,2579.6515384615386,2489647.28,584119.19,88.9,11.1,16010,11336,16.4775,36.4975,37.15416666666667,94.38815730833333,94.79053957083335,17544.0,0.69,107.54166666666667
region iii (central luzon),Rice,2015,2579.6515384615386,3304310.0,699646.0,88.9,11.1,16010,11336,18.154999999999998,37.83083333333333,38.41166666666667,96.19538159916668,96.47836015749999,33722.0,0.69,107.54166666666667
region iv-a (calabarzon),Rice,2015,2579.6515384615386,392907.0,113066.0,88.9,11.1,16010,11336,15.581666666666665,38.95583333333333,38.384166666666665,94.77599575166666,94.69570093833335,9073.0,0.69,107.54166666666667
mimaropa region (mimaropa),Rice,2015,2579.6515384615386,1081833.0,283586.0,88.9,11.1,16010,11336,17.273333333333333,37.25666666666667,37.87,92.25977188416668,92.70822574416667,16241.0,0.69,107.54166666666667
region v (bicol region),Rice,2015,2579.6515384615386,1264448.0,342307.0,88.9,11.1,16010,11336,14.955833333333333,35.67166666666667,40.37499999999999,94.70005236749999,96.56768829750001,19921.0,0.69,107.54166666666667
region vi (western visayas),Rice,2015,2579.6515384615386,2056824.0,622315.0,88.9,11.1,16010,11336,16.841666666666665,36.3675,39.34916666666667,94.04978467333332,93.85899413583333,18214.0,0.69,107.54166666666667
region vii (central visayas),Rice,2015,2579.6515384615386,336194.0,102427.0,88.9,11.1,16010,11336,18.27,38.52,41.37500000000001,94.69108082999999,96.70024140083335,15439.0,0.69,107.54166666666667
region viii (eastern visayas),Rice,2015,2579.6515384615386,955709.0,268315.0,88.9,11.1,16010,11336,16.942500000000003,39.875,42.40583333333333,92.30441886916667,94.022304475,22686.0,0.69,107.54166666666667
region ix (zamboanga peninsula),Rice,2015,2579.6515384615386,661775.0,163636.0,88.9,11.1,16010,11336,17.585833333333337,39.04916666666666,43.3675,94.64783123333335,94.98511741166668,27672.0,0.69,107.54166666666667
region x (northern mindanao),Rice,2015,2579.6515384615386,725120.0,163755.0,88.9,11.1,16010,11336,19.09,40.01916666666667,40.380833333333335,95.6245585425,94.73906748583333,36307.0,0.69,107.54166666666667
region xi (davao region),Rice,2015,2579.6515384615386,441868.0,99220.0,88.9,11.1,16010,11336,18.420833333333334,41.40333333333333,40.6,93.91658206416668,99.3045196975,26619.0,0.69,107.54166666666667
region xii (soccsksargen),Rice,2015,2579.6515384615386,1291644.0,339938.0,88.9,11.1,16010,11336,18.199166666666667,36.059999999999995,37.75,90.90725857749999,91.63085330916665,26364.0,0.69,107.54166666666667
