"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,457,593,631,751,817,932,1131,1064,886,827,730,802,745,699,615,535,373,298,437,331,397
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,183,218,261,332,321,289,312,362,433,398,439,373,367,311,321,383,350,403,515,631,432
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,776,931,1005,1215,1024,1071,810,608,567,497,406,372,358,358,384,261,301,249,350,328,358
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,30,113,128,154,280,418,506,63,371,268,404,224,183,148,312,336,287,424,405,345,379
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,246,348,370,463,507,562,657,560,535,529,415,277,225,245,266,215,197,262,286,350,312
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,497,488,537,544,509,512,422,546,478,467,409,267,225,225,199,189,176,300,278,293,428
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,50,92,102,163,175,206,195,181,207,194,169,282,211,135,138,170,152,245,84,371,47
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,40,41,49,156,196,192,230,219,189,169,181,135,123,110,170,166,141,93,96,100,127
"Constant 2018 Prices","..Mussel (Tahong)",.,.,34,39,40,41,39,46,46,48,52,63,95,70,65,61,90,61,101,84,57,62,27
"Constant 2018 Prices","..Seaweed",.,.,52,60,62,77,83,88,98,107,115,149,159,130,83,86,86,144,81,88,83,54,6
"Constant 2018 Prices","..Tilapia",.,.,42,70,83,83,94,119,127,95,105,91,66,71,55,57,63,49,75,79,98,58,44
"Constant 2018 Prices","..Other Fisheries",.,.,3278,3510,3734,4557,4883,5411,5078,5804,5658,5151,4702,3965,3228,3406,4029,3473,3431,4332,3884,4538,4223
"Constant 2018 Prices","AGRICULTURE",58190,60816,64179,68848,71645,75336,78754,83131,86027,83716,83793,82978,80236,75374,65839,64448,64748,64426,63937,65299,65364,64892,59722
