"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Other Crops",832,851,982,680,850,933,1060,1248,1324,1429,1497,1635,1525,1652,1902,2229,2614,2324,2526,3061,3208,3761,4037
"Current Prices","LIVESTOCK",6058,5997,6180,6471,7965,8814,9295,9820,11215,12568,14947,16020,16881,17749,19596,20300,21540,24362,26717,27294,26824,38237,46085
"Current Prices","..Hog",4104,4099,4537,4799,5855,6520,6861,7306,8452,9384,11271,12123,12906,13666,15263,15806,16822,19584,21650,21855,21619,31373,38199
"Current Prices","..Cattle",1493,1427,1219,1231,1550,1638,1765,1821,1944,2237,2558,2694,2719,2771,2949,3057,3163,3149,3343,3565,3459,4427,4960
"Current Prices","..Carabao",276,289,248,250,353,422,406,419,438,466,527,552,539,547,561,570,669,732,759,768,703,1164,1568
"Current Prices","..Goat",185,183,176,191,207,235,262,274,381,481,591,651,717,765,822,867,885,897,965,1105,1043,1272,1358
"Current Prices","POULTRY",3169,3568,3786,4144,5673,6739,7739,10227,11462,12284,14247,14592,15103,15791,17572,17821,19058,19858,21236,21900,22360,26450,32892
"Current Prices","..Chicken",1960,2262,2372,2637,3767,4616,5122,7431,8222,8928,10587,10624,10911,11590,13039,12952,13864,14679,15899,15840,15305,19187,24251
"Current Prices","..Duck",186,170,159,180,209,209,207,165,175,159,193,177,170,137,141,157,155,172,190,223,242,413,261
"Current Prices","..Chicken Eggs",874,970,1079,1171,1513,1741,2211,2420,2838,2944,3170,3472,3687,3709,4048,4339,4630,4551,4723,5370,6322,6331,7830
"Current Prices","..Duck Eggs",150,166,175,157,184,173,198,211,227,254,296,319,335,354,343,372,409,455,423,468,491,520,550
"Current Prices","FISHERIES",3789,4333,4505,4991,6083,7097,7981,8420,9979,10759,11288,11956,12684,13740,14289,16060,17178,17317,17908,18640,15265,15322,13455
"Current Prices","..Tiger prawn (Sugpo)",.,.,1905,1846,1956,2432,2687,2535,2784,2908,2988,2961,3499,4705,4439,5815,6165,6152,6126,6514,4602,4789,1923
"Current Prices","..Mudcrab (Alimango)",.,.,21,32,439,476,626,969,1005,1502,1663,1985,2389,2208,2393,2737,3259,3427,3538,3536,2725,2833,1201
"Current Prices","..Milkfish (Bangus)",.,.,308,367,371,517,552,535,752,911,1023,1111,1175,1092,1393,1556,1521,1549,1647,1603,1553,1607,1316
"Current Prices","..Frigate tuna (Tulingan)",.,.,171,204,260,332,393,381,451,735,419,616,680,669,683,720,790,790,851,888,730,671,1124
"Current Prices","..Roundscad (Galunggong)",.,.,29,62,76,256,295,350,438,394,444,468,371,390,432,471,489,529,561,561,484,500,625
"Current Prices","..Squid (Pusit)",.,.,98,100,99,202,207,239,277,418,390,455,386,436,468,448,452,480,490,504,483,473,616
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,633,687,830,614,420,413,466,332,400,428,349,368,364,340,363,411,462,492,441,471,641
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,42,67,79,117,103,125,166,329,272,322,302,277,322,346,376,398,412,433,374,383,464
"Current Prices","..Seaweed",.,.,58,118,284,257,253,201,286,255,319,327,293,303,296,257,279,222,250,300,389,168,102
"Current Prices","..Tilapia",.,.,38,42,48,63,86,96,137,171,203,184,209,197,185,220,235,204,237,257,249,209,636
"Current Prices","..Anchovies (Dilis)",.,.,50,77,62,83,100,109,162,158,123,110,138,169,209,178,195,182,183,174,173,175,588
"Current Prices","..Bali sardinella (Tamban)",.,.,75,84,87,119,199,195,310,330,379,481,533,627,598,558,534,513,530,523,436,493,569
"Current Prices","..Spanish mackerel (Tanigue)",.,.,28,30,28,29,47,88,99,76,82,83,84,109,112,109,127,137,140,169,171,172,178
"Current Prices","..Cavalla (Talakitok)",.,.,3,6,9,22,35,35,53,65,91,86,100,120,124,133,130,128,129,142,139,133,167
"Current Prices","..Snapper (Maya-maya)",.,.,24,25,29,34,43,49,67,114,121,110,95,107,118,109,119,121,120,124,124,124,123
"Current Prices","..Flying fish (Bolador)",.,.,146,164,182,129,84,114,154,126,153,142,155,159,178,191,190,195,222,223,177,167,197
"Current Prices","..Skipjack (Gulyasan)",.,.,19,32,32,54,34,57,84,91,110,105,85,64,85,68,78,90,136,145,91,107,181
"Current Prices","..Eastern little tuna (Bonito)",.,.,317,358,443,258,384,223,229,176,142,162,147,108,115,114,127,129,123,134,140,147,223
"Current Prices","..Fimbriated sardines (Tunsoy)",.,.,1,5,6,8,16,33,31,43,66,109,97,106,106,116,123,118,110,127,107,98,87
"Current Prices","..Indian Mackerel (Alumahan)",.,.,2,20,39,48,30,23,46,43,101,56,66,78,133,87,104,102,107,145,127,131,210
"Current Prices","..Other Fisheries",.,.,538,665,723,1047,1388,1649,1982,1583,1799,1655,1530,1447,1535,1486,1520,1441,1533,1646,1551,1470,2284
"Current Prices","AGRICULTURE",35595,34576,37968,40444,51559,54309,59955,71122,92488,100043,113224,129385,126899,126891,138825,143665,157553,168501,175117,176402,182233,217892,240369
"Constant 2018 Prices","CROPS",53418,55153,56489,58436,62368,62053,64340,71333,87472,90239,90045,96924,98475,99029,101682,103963,104300,110681,109256,109517,110858,115994,117350
"Constant 2018 Prices","..Palay",10586,11268,11283,10380,9871,9726,9774,10635,11680,12360,12426,12946,13505,14301,15124,15365,15071,15801,16133,16128,16566,16817,17264
"Constant 2018 Prices","..Corn",11049,11346,9960,11608,13177,13327,13698,14891,16016,16628,16381,17219,17454,16833,16996,17277,17374,18285,18317,18649,19008,20668,20983
"Constant 2018 Prices","..Banana",7762,8242,8499,8192,9084,9377,10524,14829,25925,26344,27054,27426,27315,27588,28304,29117,29629,30673,31007,31214,31421,32043,32378
"Constant 2018 Prices","..Pineapple",8834,8985,9007,9440,9996,10019,10239,10389,11316,11539,11997,13031,14547,15075,15649,16500,17045,17469,17666,17796,17323,18741,19395
"Constant 2018 Prices","..Coconut",7121,7596,8219,8203,8259,8561,8242,9227,9470,9636,9713,9651,10041,10041,10162,10235,9963,9988,10169,10149,10274,10308,10348
"Constant 2018 Prices","..Sugarcane",3495,3193,4781,5727,6482,5201,5608,4630,6189,6319,4611,8810,7317,6324,6224,5545,5005,8302,5550,4966,5802,6964,6482
"Constant 2018 Prices","..Cassava",261,235,274,306,405,441,669,910,1022,1224,1381,1614,1637,1761,1944,2135,2066,2157,2100,2015,2012,1980,2000
"Constant 2018 Prices","..Mango",801,822,831,928,1143,1204,1206,1209,1194,1288,1350,1275,1370,1605,1624,1820,1822,1779,1821,1888,1919,1884,1881
"Constant 2018 Prices","..Tomato",369,374,373,362,612,664,704,729,882,910,883,894,876,856,838,804,808,829,839,848,825,843,881
"Constant 2018 Prices","..Sweet Potato",275,276,276,275,278,285,324,330,343,353,357,378,390,410,418,413,418,430,444,449,466,486,490
"Constant 2018 Prices","..Rubber",247,169,229,226,225,226,237,237,235,237,238,250,251,262,277,283,289,302,312,320,289,273,239
"Constant 2018 Prices","..Lanzones",12,40,35,88,71,157,113,210,72,257,277,62,312,319,265,427,324,152,220,377,298,169,118
"Constant 2018 Prices","..Abaca",109,112,63,61,68,95,83,84,86,93,95,98,109,120,167,171,178,183,186,188,203,253,257
"Constant 2018 Prices","..Eggplant",60,60,66,66,65,65,70,72,80,82,84,91,96,100,106,104,105,110,115,119,123,127,138
"Constant 2018 Prices","..Squash",16,17,17,42,61,76,81,91,110,123,125,133,135,136,138,137,136,139,141,143,146,149,148
"Constant 2018 Prices","..Coffee",372,350,354,349,344,340,355,354,350,339,336,330,294,301,305,306,316,321,323,329,316,351,352
"Constant 2018 Prices","..Potato",258,331,304,285,286,276,280,281,288,291,285,280,272,264,255,241,244,250,255,259,260,244,248
"Constant 2018 Prices","..Tobacco",220,181,180,176,133,125,94,80,112,119,102,66,116,199,214,386,473,629,675,559,451,467,497
"Constant 2018 Prices","..Ampalaya",45,41,41,67,67,64,65,74,78,79,83,90,92,96,99,97,98,102,105,108,107,104,110
"Constant 2018 Prices","..Papaya",142,139,135,144,153,189,211,232,254,237,190,137,172,196,249,242,239,242,247,249,247,257,226
"Constant 2018 Prices","..Durian",31,35,39,48,50,53,55,63,60,80,89,82,85,90,89,95,96,87,85,88,86,91,89
"Constant 2018 Prices","..Cacao",46,40,42,40,39,41,45,45,45,46,45,32,18,16,14,13,15,16,17,20,23,23,25
"Constant 2018 Prices","..Other Crops",1307,1302,1479,1421,1497,1541,1665,1732,1666,1653,1944,2028,2070,2137,2222,2249,2586,2434,2526,2655,2692,2751,2800
"Constant 2018 Prices","LIVESTOCK",13350,13553,14151,14769,14758,15399,15918,16621,17569,18533,19459,20496,21555,22386,22990,23812,24748,25764,26717,27192,27747,28873,29329
"Constant 2018 Prices","..Hog",9688,9974,10588,11232,11231,11845,12285,12918,13633,14253,15032,15908,16856,17590,18056,18720,19563,20750,21650,22128,23127,23945,24215
"Constant 2018 Prices","..Cattle",2615,2548,2491,2439,2456,2468,2569,2606,2680,2938,3009,3078,3158,3205,3307,3417,3444,3281,3343,3324,3033,3185,3290
"Constant 2018 Prices","..Carabao",443,471,535,554,577,572,527,536,550,574,610,647,663,676,694,698,746,758,759,750,666,764,841
"Constant 2018 Prices","..Goat",604,560,536,544,494,514,537,561,705,768,808,863,878,915,934,977,994,974,965,990,921,979,982
"Constant 2018 Prices","POULTRY",5825,6194,6745,7032,8484,9293,10375,13604,14282,14511,15382,16476,16815,17601,18150,18842,19622,20495,21236,21908,22282,21808,23668
"Constant 2018 Prices","..Chicken",3390,3841,4262,4404,5579,6310,6972,10127,10574,10692,11469,12352,12560,13127,13568,14099,14753,15360,15899,16416,16504,15752,17104
"Constant 2018 Prices","..Duck",351,367,371,354,332,280,287,224,201,168,163,159,155,162,167,190,191,190,190,190,194,244,213
"Constant 2018 Prices","..Chicken Eggs",1725,1614,1729,1928,2228,2411,2804,2929,3196,3325,3413,3620,3745,3936,4033,4135,4258,4518,4723,4863,5148,5335,5897
"Constant 2018 Prices","..Duck Eggs",359,371,383,346,344,292,313,323,312,327,337,345,355,375,383,418,420,427,423,439,435,478,455
"Constant 2018 Prices","FISHERIES",6773,8568,9130,9356,10234,11104,11009,13118,13969,15175,14944,15133,15462,16313,16511,17919,18582,18270,17908,17984,16314,15731,10636
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,2381,2174,2155,2584,2585,3107,3308,3665,3579,3641,4192,5486,5122,6171,6491,6368,6126,6315,5684,5601,2272
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,39,66,607,684,924,1395,1659,2381,2536,3006,3338,3054,3183,3434,3525,3558,3538,3476,3195,3318,1475
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,581,644,614,830,833,948,1089,1208,1320,1345,1382,1279,1579,1708,1700,1703,1647,1557,1517,1509,1063
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,438,554,605,919,836,1041,1015,1226,661,865,863,795,772,794,885,848,851,836,640,566,594
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,99,190,244,670,662,815,784,633,641,591,467,482,514,547,577,581,561,513,429,403,372
"Constant 2018 Prices","..Squid (Pusit)",.,.,199,185,161,341,348,370,358,816,739,706,561,614,608,550,553,511,490,490,456,405,374
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,1832,1816,1832,1192,709,692,651,493,508,520,419,434,415,384,410,445,462,472,405,405,424
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,171,188,205,243,191,224,255,511,377,419,379,330,349,371,401,417,412,432,366,357,359
"Constant 2018 Prices","..Seaweed",.,.,89,147,304,269,262,276,278,302,344,331,326,328,317,306,310,253,250,267,250,129,45
"Constant 2018 Prices","..Tilapia",.,.,80,80,94,134,144,172,205,241,295,244,258,258,230,245,239,225,237,245,217,147,359
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,125,195,129,176,195,232,224,195,162,137,155,179,210,189,204,191,183,175,170,167,450
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,108,139,158,177,310,313,387,381,464,463,550,608,592,665,652,582,530,480,501,419,353
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,46,42,39,37,55,101,112,93,108,94,94,124,125,119,136,143,140,145,151,148,124
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,7,12,16,34,50,60,74,96,113,95,107,126,128,137,134,134,129,131,119,111,108
"Constant 2018 Prices","..Snapper (Maya-maya)",.,.,61,53,55,50,59,86,101,147,143,123,103,115,123,119,127,128,120,119,115,111,86
"Constant 2018 Prices","..Flying fish (Bolador)",.,.,417,398,360,214,160,212,239,176,195,155,162,166,176,197,206,203,222,224,190,158,141
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,51,91,79,109,61,103,120,141,157,138,109,78,102,81,96,106,136,142,91,104,135
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,1001,758,839,634,555,410,345,264,210,174,158,119,125,123,136,134,123,126,123,122,126
"Constant 2018 Prices","..Fimbriated sardines (Tunsoy)",.,.,1,11,19,19,28,44,45,61,108,118,102,110,102,110,118,119,110,123,103,86,68
"Constant 2018 Prices","..Indian Mackerel (Alumahan)",.,.,4,57,69,80,42,38,61,51,144,69,77,88,152,93,109,109,107,129,110,107,150
"Constant 2018 Prices","..Other Fisheries",.,.,1399,1556,1651,1708,2001,2479,2661,2091,2139,1899,1662,1539,1587,1576,1572,1511,1533,1587,1483,1357,1559
"Constant 2018 Prices","AGRICULTURE",79366,83467,86515,89592,95844,97848,101643,114675,133293,138457,139830,149029,152306,155329,159334,164536,167252,175209,175117,176600,177200,182407,180982
