"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Watermelon",55,59,46,79,91,97,192,215,98,60,99,108,140,132,125,123,216,150,166,154,225,177,171
"Current Prices","..Cassava",27,31,31,34,38,41,36,40,52,53,56,62,119,140,177,160,161,133,131,157,201,280,281
"Current Prices","..Gabi",55,46,53,53,53,59,58,63,78,89,125,155,160,168,163,121,125,118,111,149,174,149,179
"Current Prices","..Peanut",43,32,34,26,14,28,33,39,42,42,40,41,41,41,68,70,52,94,67,80,75,88,90
"Current Prices","..Papaya",16,15,14,15,19,23,22,24,25,26,31,34,30,27,32,44,42,65,54,59,87,88,64
"Current Prices","..Cashew nut",27,27,27,27,29,29,30,28,28,28,28,26,23,24,24,27,32,27,39,37,39,17,33
"Current Prices","..Other Crops",954,1447,1131,800,923,1040,890,704,810,966,848,1040,991,1032,1200,1130,1157,1252,1447,1574,1764,1676,1947
"Current Prices","LIVESTOCK",17758,18825,19096,19722,23311,25234,25026,26681,29064,29402,32164,33036,35158,41487,50288,52573,53842,59144,64670,51022,52616,28311,30506
"Current Prices","..Hog",15091,16302,16502,17078,20689,22357,22028,23938,26131,26002,28508,29287,31361,37557,45956,47902,49095,54673,59754,45967,47355,22698,25282
"Current Prices","..Cattle",1782,1668,1721,1674,1644,1879,1979,1690,1762,2027,2126,2099,2103,2171,2326,2563,2627,2373,2682,2724,3018,3189,2616
"Current Prices","..Carabao",514,421,420,406,413,411,404,432,466,523,574,625,677,689,752,840,890,818,944,943,887,941,1026
"Current Prices","..Goat",370,433,453,564,565,586,616,620,705,850,956,1025,1016,1071,1255,1268,1230,1279,1291,1388,1355,1483,1582
"Current Prices","POULTRY",18303,20455,21955,24109,27233,28754,30756,31926,36412,40706,40994,44562,48886,53008,61061,58404,60880,61658,67344,68719,63875,72855,92426
"Current Prices","..Chicken",15096,16832,18095,19964,22636,23464,24898,25098,27918,31473,30757,33719,36773,39616,46087,43577,45030,49301,54804,52708,45257,55848,72132
"Current Prices","..Duck",657,747,709,800,686,751,719,773,849,865,1000,1034,1153,1301,1414,1409,1258,887,932,1059,1132,1217,931
"Current Prices","..Chicken Eggs",1985,2278,2429,2674,3139,3866,4400,5271,6873,7450,8333,8839,9927,10915,12265,11959,12888,9731,9933,12767,15133,13480,15838
"Current Prices","..Duck Eggs",565,598,722,671,772,673,739,784,772,918,904,969,1033,1176,1295,1459,1704,1739,1675,2186,2353,2309,3524
"Current Prices","FISHERIES",11899,15242,14017,13910,15656,17542,20370,22532,27464,29361,27081,27390,28686,30445,30906,31172,30779,34867,38178,41533,44991,50319,48410
"Current Prices","..Tiger prawn (Sugpo)",.,.,5445,5109,5459,5734,6389,8025,10596,10774,10221,10846,10652,10663,10386,10490,11022,11919,12190,13175,13643,14688,13837
"Current Prices","..Tilapia",.,.,2594,2872,3537,3887,5871,6351,7365,8494,7408,7173,7804,8720,9041,9019,8305,9328,9870,9854,11414,12473,11737
"Current Prices","..Milkfish (Bangus)",.,.,3796,3467,3814,3894,4024,3861,4617,5210,4533,4308,5172,5674,5752,5752,5172,6009,6893,6592,8600,10125,9318
"Current Prices","..Mudcrab (Alimango)",.,.,567,664,727,765,882,790,1116,1160,1233,1300,1234,1321,1376,1412,1539,1792,1839,2250,2780,3171,3212
"Current Prices","..Blue crab (Alimasag)",.,.,80,89,95,76,87,112,113,104,107,120,108,114,116,109,141,237,410,477,407,644,603
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,64,78,87,158,159,170,215,254,254,321,222,238,234,224,180,217,346,561,353,275,619
"Current Prices","..White shrimp (Hipon/Hipong puti)",.,.,38,53,125,135,123,201,240,229,200,199,214,207,223,219,268,316,316,350,396,1009,292
"Current Prices","..Catfish (Hito/Kanduli)",.,.,100,73,73,106,107,140,172,157,162,168,185,213,220,226,227,253,308,330,344,586,595
"Current Prices","..Squid (Pusit)",.,.,47,54,57,128,151,119,130,249,142,144,230,225,240,225,330,296,281,260,270,275,374
"Current Prices","..Mudfish (Dalag)",.,.,128,124,141,151,181,195,182,153,146,153,167,185,212,215,188,194,247,154,164,271,212
"Current Prices","..Roundscad (Galunggong)",.,.,26,29,33,68,94,106,106,109,74,102,95,105,107,109,153,192,210,283,165,198,658
"Current Prices","..P. vannamei",.,.,0,0,0,0,0,0,0,0,353,211,340,403,435,491,479,858,486,555,808,1160,1316
"Current Prices","..Acetes (Alamang)",.,.,15,29,32,21,34,26,37,30,46,32,36,42,41,41,32,84,190,187,86,78,55
"Current Prices","..Skipjack (Gulyasan)",.,.,143,113,141,149,156,174,209,242,212,272,248,240,243,228,186,148,184,296,147,154,564
"Current Prices","..Frigate tuna (Tulingan)",.,.,19,28,29,52,64,79,80,97,91,123,87,85,87,79,78,120,179,233,133,140,229
"Current Prices","..Bali sardinella (Tamban)",.,.,12,13,14,15,19,15,18,16,17,17,15,15,16,18,39,129,159,84,48,36,43
"Current Prices","..Eastern little tuna (Bonito)",.,.,1,2,2,13,11,17,22,8,24,16,11,18,17,14,25,97,156,259,172,144,223
"Current Prices","..Mullet (Kapak)",.,.,34,33,44,57,68,78,68,50,54,54,55,57,57,55,52,86,137,158,192,184,124
"Current Prices","..Anchovies (Dilis)",.,.,89,87,93,74,44,47,36,77,36,42,39,39,44,34,43,58,126,105,92,106,99
"Current Prices","..Oyster (Talaba)",.,.,26,35,59,43,47,43,21,35,28,35,42,47,46,46,58,94,121,476,870,675,800
"Current Prices","..Other Fisheries",.,.,792,957,1094,2015,1860,1983,2119,1914,1740,1753,1731,1836,2014,2167,2261,2437,3530,4895,3907,3927,3498
"Current Prices","AGRICULTURE",73136,81864,83761,88956,100518,110136,117814,127862,153669,158056,158485,166084,185831,203697,244341,221868,221507,242084,266761,237961,242932,242994,271437
"Constant 2018 Prices","CROPS",58570,64713,67371,71510,72262,73762,75508,82914,84449,79090,82258,75086,88570,92347,102362,91929,89601,97491,96568,99898,98285,100193,97858
"Constant 2018 Prices","..Palay",41132,45614,47010,50264,51754,53420,56185,61735,63251,58868,62077,54894,67579,71542,79005,69335,70144,76270,75857,78271,76277,78503,75890
"Constant 2018 Prices","..Corn",977,1442,1549,1815,1861,2305,2310,2510,2855,2746,2501,2382,2662,2879,3044,3429,3281,3270,3437,3599,3467,3916,3868
"Constant 2018 Prices","..Onion",1564,1485,1919,1849,1484,1289,1040,2698,2435,2519,2594,2548,2512,2561,4931,4015,2116,4003,3681,4808,5063,4210,4557
"Constant 2018 Prices","..Mango",4276,4495,4665,4791,4446,4611,4182,4094,3324,2844,3134,3117,2911,3431,3356,3349,3017,2382,2149,2039,2264,2339,2327
"Constant 2018 Prices","..Stringbeans",396,388,402,1748,1565,1561,1454,1616,1646,1643,1645,1642,1633,1609,1627,1642,1624,1558,1470,1426,1324,1303,1284
"Constant 2018 Prices","..Sugarcane",2817,2632,2771,2582,2476,2175,1927,1627,2390,1870,1521,1807,2521,1803,1670,1227,1303,1515,1393,730,751,994,647
"Constant 2018 Prices","..Coconut",1381,1473,1734,1607,1720,1659,1760,1748,1813,1914,2017,2038,2003,1719,1813,1608,966,1021,1036,1135,1072,967,973
"Constant 2018 Prices","..Sweet Potato",585,577,559,580,584,598,590,601,601,603,600,571,594,591,625,901,911,969,973,996,1054,954,1015
"Constant 2018 Prices","..Banana",841,882,885,843,859,885,969,985,1045,1044,1110,1095,1098,1124,1121,1115,947,950,969,1026,1042,988,1047
"Constant 2018 Prices","..Ampalaya",555,604,599,917,910,912,874,906,895,896,924,898,907,902,908,917,901,923,879,928,917,953,956
"Constant 2018 Prices","..Eggplant",524,551,557,547,541,553,533,567,565,572,569,558,562,572,619,703,693,780,798,856,853,873,894
"Constant 2018 Prices","..Tomato",361,363,396,400,442,457,421,493,481,487,496,496,503,514,551,555,584,641,645,727,735,742,801
"Constant 2018 Prices","..Mongo",131,125,118,117,122,123,127,133,136,137,131,153,174,197,208,232,240,328,422,394,438,463,517
"Constant 2018 Prices","..Okra",235,232,232,229,241,252,272,278,294,295,297,297,297,295,298,302,309,306,305,313,324,319,329
"Constant 2018 Prices","..Squash",149,158,198,475,449,469,416,433,426,416,418,406,407,417,385,381,371,292,283,306,341,333,347
"Constant 2018 Prices","..Calamansi",214,212,213,212,219,232,241,256,261,253,262,260,264,265,273,274,259,262,254,262,268,265,250
"Constant 2018 Prices","..Watermelon",162,153,160,178,224,241,241,276,163,143,165,148,149,172,154,162,156,166,166,180,199,200,191
"Constant 2018 Prices","..Cassava",54,56,58,59,59,58,57,57,57,57,58,62,114,116,127,127,130,132,131,137,145,147,145
"Constant 2018 Prices","..Gabi",88,82,85,84,86,88,89,90,93,93,93,93,94,96,100,101,103,109,111,109,122,127,131
"Constant 2018 Prices","..Peanut",82,74,73,74,73,73,73,73,72,68,67,68,67,67,70,66,66,72,67,66,66,91,82
"Constant 2018 Prices","..Papaya",23,24,25,24,24,28,32,33,39,38,39,39,39,39,41,56,53,54,54,57,53,50,49
"Constant 2018 Prices","..Cashew nut",49,50,54,53,55,55,53,50,49,48,48,45,41,40,37,38,38,38,39,38,37,29,30
"Constant 2018 Prices","..Other Crops",1975,3040,3109,2059,2068,1718,1661,1655,1558,1534,1491,1467,1439,1399,1398,1394,1389,1450,1447,1496,1472,1429,1528
"Constant 2018 Prices","LIVESTOCK",37431,37841,40793,41486,38346,39989,42184,43390,40816,40592,41443,44257,47915,50983,53370,58694,63775,61422,64670,57638,45247,17385,20456
"Constant 2018 Prices","..Hog",32246,32910,35724,36621,33774,35516,37836,38963,36414,35953,36549,39156,42803,45818,48136,53429,58474,56589,59754,52824,40769,13250,16679
"Constant 2018 Prices","..Cattle",3169,3041,3147,2974,2711,2664,2571,2616,2591,2668,2793,2842,2869,2921,2840,2825,2898,2498,2682,2636,2532,2278,1992
"Constant 2018 Prices","..Carabao",1072,900,891,871,830,782,749,785,780,854,891,978,1049,1040,1100,1095,1076,930,944,930,808,784,790
"Constant 2018 Prices","..Goat",944,990,1031,1019,1031,1027,1028,1025,1030,1117,1210,1281,1194,1204,1294,1344,1325,1405,1291,1248,1138,1073,995
"Constant 2018 Prices","POULTRY",29447,32662,35202,36585,38429,39529,41066,41822,44380,45407,47199,48834,51866,56302,58322,61951,60657,64248,67344,72217,67368,65159,70837
"Constant 2018 Prices","..Chicken",23526,26884,29334,30502,31945,32308,33606,33945,35950,36690,38121,39486,42017,45733,47420,50695,49155,51958,54804,58193,52848,49395,54053
"Constant 2018 Prices","..Duck",1010,1055,1051,1068,1106,1012,933,955,954,938,963,1016,1091,1188,1253,1181,1027,975,932,895,875,787,580
"Constant 2018 Prices","..Chicken Eggs",3732,3543,3664,3852,4150,5141,5479,5878,6490,6751,7128,7278,7634,8158,8334,8601,8831,9642,9933,11155,11540,12865,13377
"Constant 2018 Prices","..Duck Eggs",1179,1180,1152,1163,1229,1069,1049,1044,986,1028,987,1054,1124,1223,1314,1474,1644,1673,1675,1974,2106,2112,2827
"Constant 2018 Prices","FISHERIES",18209,24382,24013,23628,24294,27472,29774,32597,36229,36329,36162,35620,35580,36509,37148,36920,36596,37057,38178,39588,40563,45482,43723
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,8405,8208,8472,9228,9739,10533,12986,13434,13729,13864,13756,13766,13441,13251,13395,12363,12190,12670,12765,13593,12855
"Constant 2018 Prices","..Tilapia",.,.,4595,4773,4931,5380,7485,8498,9165,9246,8940,8705,8663,8973,9111,9159,9179,9658,9870,9722,10039,10796,10847
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,6557,5974,5834,5974,5949,5898,6196,6091,5876,5470,5758,6189,6491,6417,6318,6570,6893,6680,7785,9066,8462
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,1056,1127,1125,1209,1299,1424,1669,1740,1730,1741,1681,1714,1702,1748,1765,1843,1839,2102,2335,2767,2243
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,194,202,212,159,174,216,200,189,177,181,165,168,173,162,220,315,410,468,444,731,513
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,146,195,196,319,322,336,347,400,411,493,308,324,312,286,216,232,346,524,356,228,493
"Constant 2018 Prices","..White shrimp (Hipon/Hipong puti)",.,.,113,152,280,252,179,305,302,312,260,249,263,258,260,259,288,304,316,332,337,948,289
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,179,123,114,154,149,190,213,196,199,191,209,230,237,232,232,260,308,354,344,561,568
"Constant 2018 Prices","..Squid (Pusit)",.,.,72,82,85,204,203,184,182,410,210,236,381,350,356,378,444,233,281,233,249,177,352
"Constant 2018 Prices","..Mudfish (Dalag)",.,.,162,177,190,193,225,241,209,177,167,169,185,202,221,217,201,201,247,153,150,225,162
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,62,67,68,136,190,207,191,189,127,165,146,159,160,155,188,236,210,300,164,179,481
"Constant 2018 Prices","..P. vannamei",.,.,0,0,0,0,0,0,0,0,557,304,487,535,611,665,592,976,486,565,852,1086,1259
"Constant 2018 Prices","..Acetes (Alamang)",.,.,31,69,71,35,43,36,51,27,38,35,40,43,40,37,35,79,190,185,118,85,76
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,346,283,267,270,294,325,336,364,366,407,326,321,325,285,217,155,184,259,142,125,331
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,31,47,47,86,106,133,119,142,144,174,113,109,114,101,94,141,179,226,138,116,154
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,18,20,21,23,28,24,27,25,31,27,20,20,21,23,81,189,159,82,48,32,40
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,1,3,3,30,21,28,32,11,44,26,13,26,23,21,28,97,156,242,161,96,177
"Constant 2018 Prices","..Mullet (Kapak)",.,.,35,40,49,59,63,72,61,44,45,44,43,43,43,48,62,91,137,160,176,138,66
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,224,233,234,155,86,87,56,110,51,60,54,53,60,45,55,79,126,145,129,118,88
"Constant 2018 Prices","..Oyster (Talaba)",.,.,36,56,60,51,46,49,35,33,39,44,48,51,50,51,42,67,121,193,377,243,255
"Constant 2018 Prices","..Other Fisheries",.,.,1752,1799,2036,3555,3173,3811,3852,3190,3021,3035,2921,2975,3394,3381,2945,2968,3530,3991,3457,4171,4012
"Constant 2018 Prices","AGRICULTURE",143658,159598,167378,173209,173331,180752,188531,200722,205873,201419,207062,203796,223931,236140,251201,249494,250629,260218,266761,269341,251464,228219,232874
