"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Mangosteen",53,41,53,44,187,170,179,37,1,7,80,0,62,69,21,27,36,43,42,29,31,66,71
"Current Prices","..Ginger",7,9,12,17,19,16,14,11,21,23,23,30,21,27,51,63,34,35,37,40,57,32,44
"Current Prices","..Peanut",11,9,9,10,10,13,10,10,11,12,12,13,15,15,18,22,22,24,22,22,22,21,18
"Current Prices","..Other Crops",185,242,225,185,226,251,217,222,234,214,250,236,247,249,271,279,368,755,905,1105,1050,1016,1003
"Current Prices","LIVESTOCK",1028,1238,1326,1376,1815,1844,1981,2472,2828,3520,4195,4075,3495,3180,3170,3009,3100,3555,4076,4407,4356,4874,6604
"Current Prices","..Hog",270,313,319,275,400,442,490,629,725,1063,1127,1301,1050,961,997,880,822,919,1072,1146,1193,1348,2494
"Current Prices","..Cattle",509,575,561,625,763,758,793,935,1034,1253,1701,1510,1123,1145,1096,1083,1191,1295,1415,1529,1544,1479,1746
"Current Prices","..Carabao",135,188,304,277,414,325,373,457,624,658,749,653,827,567,581,566,571,674,772,828,741,989,1214
"Current Prices","..Goat",114,162,143,199,239,318,325,452,446,547,618,610,495,507,496,480,516,667,817,904,878,1057,1150
"Current Prices","POULTRY",738,867,919,1098,1232,1115,1095,1291,1293,1240,1267,1134,1154,1159,1074,1086,1008,1510,1657,1403,1703,2114,2114
"Current Prices","..Chicken",467,565,590,713,797,703,660,768,734,645,743,715,625,629,584,587,557,573,645,714,803,1004,1140
"Current Prices","..Duck",68,69,71,104,103,106,106,108,122,122,122,105,106,87,86,81,87,94,113,167,246,420,280
"Current Prices","..Chicken Eggs",108,125,142,147,194,184,246,285,293,324,284,218,270,291,296,321,270,754,812,429,563,608,585
"Current Prices","..Duck Eggs",95,108,117,134,137,122,83,130,143,150,117,97,153,152,108,98,93,89,87,93,91,82,109
"Current Prices","FISHERIES",4157,5154,5549,6876,8181,8898,9496,9906,12823,12645,14329,14579,14065,15142,16037,15680,13771,14964,16455,17580,19018,24931,31924
"Current Prices","..Seaweed",.,.,1313,1609,2307,2541,2540,2589,4415,3344,4458,4325,3545,3564,4057,3102,2753,3279,3804,4024,4654,4936,8766
"Current Prices","..Tilapia",.,.,258,199,332,365,425,481,590,759,812,766,819,1066,1113,1407,1211,1259,1640,1754,1842,3338,3457
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,120,286,315,514,500,559,600,716,669,733,829,1002,1002,1039,1027,1077,1084,1224,1194,1272,1091
"Current Prices","..Frigate tuna (Tulingan)",.,.,350,522,517,612,633,711,808,932,1014,1058,1058,1058,1112,1092,936,1005,997,1000,1012,1051,1102
"Current Prices","..Milkfish (Bangus)",.,.,151,138,151,158,247,290,348,453,497,533,560,594,605,698,729,871,955,947,1258,955,576
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,296,488,467,489,548,551,694,789,812,850,851,908,927,974,792,820,836,863,908,927,1168
"Current Prices","..Roundscad (Galunggong)",.,.,399,365,379,401,417,450,527,568,588,648,674,709,730,752,668,676,760,817,810,837,938
"Current Prices","..Eastern little tuna (Bonito)",.,.,226,271,299,393,409,404,463,466,492,497,510,520,517,548,531,530,553,573,624,625,633
"Current Prices","..Indian mackerel (Alumahan)",.,.,175,238,264,272,320,313,400,459,461,462,458,490,498,480,406,427,465,540,524,537,381
"Current Prices","..Skipjack (Gulyasan)",.,.,162,226,220,260,322,398,446,467,456,483,481,547,563,520,448,469,453,472,522,536,443
"Current Prices","..Bali sardinella (Tamban)",.,.,154,184,223,214,226,178,209,304,320,336,333,341,362,388,383,389,381,406,408,433,341
"Current Prices","..Carp (Carpa)",.,.,32,49,92,82,58,106,150,171,194,203,303,327,365,319,237,303,380,449,430,539,532
"Current Prices","..Mudfish (Dalag)",.,.,208,199,224,251,175,211,253,260,249,248,272,311,356,445,180,232,273,274,299,2395,2255
"Current Prices","..Grouper (Lapu-lapu)",.,.,92,90,101,117,105,116,143,143,151,162,165,243,252,261,245,268,265,299,317,345,362
"Current Prices","..Cavalla (Talakitok)",.,.,49,61,61,69,80,97,119,124,136,157,162,176,192,236,254,280,258,275,274,304,462
"Current Prices","..Snapper (Maya-maya)",.,.,33,41,38,34,44,48,68,48,51,52,59,61,60,162,198,203,229,232,152,163,113
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,33,78,87,141,225,246,219,51,102,106,108,117,120,141,148,165,200,312,433,458,442
"Current Prices","..Squid (Pusit)",.,.,40,72,69,82,99,110,128,127,131,131,141,132,137,158,169,183,184,210,214,242,535
"Current Prices","..Spanish mackerel (Tanigue)",.,.,26,29,29,50,65,66,79,68,74,79,86,121,132,130,128,131,173,155,175,186,229
"Current Prices","..Anchovies (Dilis)",.,.,47,84,108,70,81,117,144,147,156,171,154,200,187,171,148,157,168,168,133,139,312
"Current Prices","..Other Fisheries",.,.,1386,1646,1899,1784,1976,1862,2020,2250,2506,2581,2500,2655,2749,2659,2182,2242,2395,2584,2837,4714,7786
"Current Prices","AGRICULTURE",27225,22861,25966,28017,36935,41008,43093,45835,53484,53502,64972,65140,65922,71479,74201,67808,70307,81777,85294,88933,94120,103477,121111
"Constant 2018 Prices","CROPS",48966,50221,48488,48621,50460,51197,52351,56866,55391,56001,56922,54233,55168,56910,56408,55858,55281,60071,63106,66791,68462,70859,70727
"Constant 2018 Prices","..Palay",6175,7899,7508,7089,8722,9687,9848,10941,11223,10300,11075,10249,9643,10875,9899,8674,9674,10269,11343,11989,12883,15012,14674
"Constant 2018 Prices","..Corn",9414,9694,8587,9089,8879,8514,9376,12078,11561,12826,11547,10751,10321,9002,9441,9083,7970,11358,12180,15046,15369,15348,15415
"Constant 2018 Prices","..Banana",7411,7545,7925,7951,8040,7921,7858,7872,7889,8064,8376,8807,9299,9709,10427,11218,11273,12035,12532,12667,12574,12590,12674
"Constant 2018 Prices","..Coconut",9467,9291,9386,9467,9725,9859,9946,10469,10530,10538,10570,10692,11046,11181,11424,11736,11596,11154,11277,11219,11355,11477,11564
"Constant 2018 Prices","..Cassava",11301,10394,9897,9591,9597,9699,9849,9975,10237,10327,10291,10277,10394,10559,10662,10447,10281,10583,10847,10841,11094,11168,11137
"Constant 2018 Prices","..Rubber",440,577,591,582,603,613,634,677,714,735,759,808,926,1061,1225,1345,1345,1479,1599,1691,1759,1772,1776
"Constant 2018 Prices","..Coffee",550,524,503,510,490,510,512,505,509,500,503,507,495,489,482,490,482,475,488,498,492,489,488
"Constant 2018 Prices","..Mango",233,233,243,268,269,287,286,295,240,293,241,163,148,152,216,228,236,242,286,296,302,311,314
"Constant 2018 Prices","..Durian",799,773,778,825,809,810,787,822,475,296,721,14,472,620,364,407,362,304,329,345,348,342,341
"Constant 2018 Prices","..Abaca",314,393,254,251,311,285,292,295,304,304,303,311,311,316,311,312,309,300,305,307,309,311,311
"Constant 2018 Prices","..Sugarcane",0,24,57,111,135,61,48,107,105,81,88,101,168,167,138,205,65,199,207,165,229,275,256
"Constant 2018 Prices","..Mongo",224,226,221,208,188,175,174,163,164,153,151,149,143,144,144,145,144,144,149,154,156,157,158
"Constant 2018 Prices","..Sweet Potato",99,100,97,100,141,140,141,139,145,140,139,137,140,141,143,145,143,145,147,146,149,150,150
"Constant 2018 Prices","..Oil Palm (fresh fruit bunch)",..,..,4,2,2,2,0,0,1,1,2,67,216,380,175,81,82,84,89,92,95,96,97
"Constant 2018 Prices","..Jackfruit, ripe",148,129,132,133,123,108,104,104,106,99,95,87,89,87,86,84,82,80,80,80,80,80,80
"Constant 2018 Prices","..Lanzones",1220,1205,1141,1276,1242,1247,1219,1226,11,192,809,5,151,823,115,108,97,69,74,78,78,77,74
"Constant 2018 Prices","..Black Pepper",68,68,68,74,74,74,73,..,81,82,79,79,81,80,77,75,73,72,73,70,75,79,86
"Constant 2018 Prices","..Papaya",75,71,72,66,65,62,61,61,61,60,55,56,55,51,52,51,50,51,51,51,50,50,51
"Constant 2018 Prices","..Calamansi",20,19,20,25,25,25,25,25,25,25,26,27,30,31,33,38,38,44,45,46,47,48,49
"Constant 2018 Prices","..Mangosteen",195,195,193,187,181,183,180,159,1,27,122,1,95,98,50,48,41,39,42,44,43,42,41
"Constant 2018 Prices","..Ginger",37,40,35,37,37,37,37,37,35,36,36,36,40,42,37,36,36,37,37,38,38,38,38
"Constant 2018 Prices","..Peanut",26,25,24,26,26,25,24,24,24,23,23,23,22,22,22,21,21,21,22,22,22,23,23
"Constant 2018 Prices","..Other Crops",751,796,753,754,777,874,875,893,950,899,909,887,884,881,886,880,882,889,905,907,915,924,930
"Constant 2018 Prices","LIVESTOCK",3207,3490,3526,3502,3580,3249,3520,4043,4172,4488,4935,5003,4205,4041,3924,3871,3904,3922,4076,4221,3825,4066,4362
"Constant 2018 Prices","..Hog",563,620,679,689,699,746,788,975,1091,1256,1216,1378,1264,1160,1122,1105,1037,1010,1072,1094,1069,1119,1169
"Constant 2018 Prices","..Cattle",1385,1440,1374,1406,1451,1232,1300,1454,1355,1479,1835,1833,1438,1414,1314,1320,1420,1418,1415,1515,1282,1374,1561
"Constant 2018 Prices","..Carabao",645,666,672,583,578,460,530,647,803,808,878,910,766,739,737,690,696,739,772,794,672,756,763
"Constant 2018 Prices","..Goat",614,764,802,823,851,810,902,968,923,946,1006,881,737,728,750,756,751,754,817,819,802,817,869
"Constant 2018 Prices","POULTRY",1897,2078,2265,2380,2451,2290,2392,2508,2357,2179,2062,1906,1914,1941,1845,1829,1681,1634,1657,1698,1871,1801,1777
"Constant 2018 Prices","..Chicken",917,1023,1097,1113,1097,1031,1046,1091,932,780,816,818,736,740,687,678,625,613,645,653,713,688,750
"Constant 2018 Prices","..Duck",266,283,300,330,314,268,234,212,202,191,156,168,158,146,139,119,115,106,113,121,127,203,195
"Constant 2018 Prices","..Chicken Eggs",482,521,609,644,740,731,913,979,1022,1008,945,789,841,874,867,923,841,823,812,835,946,832,761
"Constant 2018 Prices","..Duck Eggs",232,251,260,293,300,260,200,226,200,199,145,132,180,182,153,109,101,92,87,90,85,78,71
"Constant 2018 Prices","FISHERIES",8497,10124,10365,10660,11309,11603,12840,13527,14343,14676,15406,15694,14930,15613,16037,16541,14876,15423,16455,17100,17585,21588,23881
"Constant 2018 Prices","..Seaweed",.,.,2181,2262,2687,2901,3188,3512,3737,3884,3903,3903,3579,3464,3542,3568,3487,3643,3804,3962,4044,4096,5804
"Constant 2018 Prices","..Tilapia",.,.,554,541,564,569,749,762,865,859,882,855,906,1133,1169,1400,1292,1318,1640,1674,1721,2731,2714
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,544,557,582,812,801,877,901,1010,1042,1056,969,1079,1080,1100,1086,1099,1084,1161,1079,1174,951
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,512,525,542,561,615,648,698,739,829,856,897,889,940,985,910,958,997,1011,994,1014,819
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,220,196,206,216,388,454,504,580,669,668,652,667,674,759,817,936,955,897,1126,834,499
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,490,552,570,579,632,635,705,794,850,873,859,906,938,978,753,748,836,857,842,853,973
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,611,657,657,633,590,597,636,691,736,752,760,759,792,804,705,693,760,781,757,751,797
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,338,355,363,387,383,384,437,440,477,480,498,508,504,541,522,515,553,587,608,620,494
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,311,346,354,344,409,403,438,505,517,506,501,520,534,528,437,437,465,488,460,468,289
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,228,219,223,232,306,373,395,417,413,431,424,465,491,477,442,454,453,480,503,511,350
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,313,350,366,356,284,252,273,323,371,374,354,351,362,388,387,380,381,394,393,401,403
"Constant 2018 Prices","..Carp (Carpa)",.,.,174,170,197,163,125,171,175,182,189,283,317,389,417,349,246,307,380,407,401,430,426
"Constant 2018 Prices","..Mudfish (Dalag)",.,.,411,397,409,385,298,295,326,332,347,385,353,374,425,538,218,278,273,265,276,2012,1943
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,141,124,132,159,159,172,176,147,177,179,175,230,242,253,230,254,265,279,292,314,317
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,99,103,104,117,133,154,163,181,197,203,191,202,220,245,253,273,258,267,264,281,394
"Constant 2018 Prices","..Snapper (Maya-maya)",.,.,96,89,103,85,100,108,155,91,96,95,101,101,98,178,203,205,229,218,160,178,143
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,207,212,221,309,559,559,389,52,141,141,139,141,141,161,164,184,200,303,404,425,426
"Constant 2018 Prices","..Squid (Pusit)",.,.,63,108,104,106,104,120,152,130,134,132,133,129,134,164,176,189,184,214,222,253,385
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,44,38,40,84,97,89,111,100,106,110,114,137,138,149,156,158,173,172,176,190,165
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,134,136,137,114,161,244,238,226,234,241,225,256,240,226,188,185,168,163,132,134,242
"Constant 2018 Prices","..Other Fisheries",.,.,2692,2722,2750,2493,2757,2719,2870,2992,3095,3169,2785,2912,2954,2749,2203,2213,2395,2521,2733,3920,5348
"Constant 2018 Prices","AGRICULTURE",62567,65913,64645,65162,67799,68339,71103,76944,76263,77344,79325,76836,76218,78506,78213,78100,75742,81050,85294,89811,91742,98314,100747
