"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,402,444,441,247,268,248,245,405,310,352,276,248,293,328,354,283,263,259,279,310,282
"Constant 2018 Prices","..Goatfish (Saramulyete)",.,.,255,384,413,309,257,196,204,341,247,280,204,173,153,162,242,214,236,246,261,252,255
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,235,302,300,238,278,193,231,243,283,239,172,206,268,206,212,160,216,212,210,210,297
"Constant 2018 Prices","..Fimbriated sardines (Tunsoy)",.,.,298,286,321,277,235,267,656,727,336,259,233,297,218,178,209,206,212,229,210,197,145
"Constant 2018 Prices","..Crevalle (Salay-salay)",.,.,59,95,145,279,244,158,197,377,330,252,222,210,176,337,392,186,209,226,297,277,174
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,1951,2658,2759,2484,2773,5483,3616,1992,2281,1682,1427,1407,1379,1163,1232,1536,1455,1894,1445,1358,1298
"Constant 2018 Prices","..Squid (Pusit)",.,.,517,501,512,378,387,302,250,261,338,259,333,336,264,288,375,336,310,343,357,344,288
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,2927,3013,2946,2935,2646,2339,2220,2757,3009,2753,2034,1687,1641,1604,978,624,477,381,365,319,345
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,66,67,58,59,49,47,50,95,105,105,119,116,99,99,253,200,280,314,314,307,345
"Constant 2018 Prices","..Other Fisheries",.,.,4414,4148,3285,3250,3036,3736,4155,3686,4114,3851,3089,3270,2827,2511,2677,2608,2224,2602,2742,2766,3080
"Constant 2018 Prices","AGRICULTURE",.,.,69453,73036,73397,77636,75196,80428,77922,80280,82796,77437,75516,76769,77504,78353,74937,75479,76800,76564,75702,76958,76997
