"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,199,412,381,497,432,557,535,298,499,490,450,711,454,406,477,727,609,709,317,337,1163
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,271,291,327,222,202,285,260,209,326,341,468,343,228,233,264,424,403,309,305,358,1115
"Current Prices","..Frigate tuna (Tulingan)",.,.,69,63,78,90,75,125,122,107,96,100,173,205,123,161,186,238,249,199,161,196,310
"Current Prices","..Skipjack (Gulyasan)",.,.,54,49,63,97,73,179,166,115,117,141,158,108,104,170,151,215,236,216,135,163,1012
"Current Prices","..Tilapia",.,.,21,22,26,37,41,51,57,57,98,137,233,240,223,237,175,191,181,226,277,365,129
"Current Prices","..Roundscad (Galunggong)",.,.,223,244,253,211,255,252,401,283,239,258,325,349,233,198,180,299,180,132,174,193,314
"Current Prices","..Squid (Pusit)",.,.,40,41,52,85,106,145,140,136,175,150,190,107,97,103,125,186,136,218,119,220,762
"Current Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,41,24,36,51,110,63,92,102,113,172,349,501,375
"Current Prices","..Catfish (Hito/Kanduli)",.,.,10,10,9,11,14,22,30,42,58,48,50,44,53,52,61,71,106,105,141,183,121
"Current Prices","..Eastern little tuna (Bonito)",.,.,16,2,4,17,19,33,49,30,37,26,27,27,35,49,74,122,77,88,76,60,51
"Current Prices","..Siganid (Samaral)",.,.,5,10,14,28,54,60,106,69,75,54,51,65,60,48,38,61,77,51,46,54,84
"Current Prices","..Anchovies (Dilis)",.,.,25,29,35,51,82,94,104,139,103,87,199,174,95,109,76,43,68,25,21,24,68
"Current Prices","..Parrot fish (Loro)",.,.,19,25,27,36,38,24,26,43,49,36,41,27,24,16,16,97,67,28,20,19,66
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,59,123,114,148,192,183,186,132,92,105,108,173,209,185,146,90,55,123,31,3,38
"Current Prices","..Goatfish (Saramulyete)",.,.,13,13,15,28,51,90,66,101,91,97,59,58,50,28,25,38,55,41,28,17,77
"Current Prices","..Cavalla (Talakitok)",.,.,22,12,14,33,37,46,38,32,89,86,66,43,45,57,51,49,52,63,93,104,135
"Current Prices","..Indian mackerel (Alumahan)",.,.,30,28,31,70,116,152,143,129,114,157,136,59,39,55,37,63,42,40,56,71,150
"Current Prices","..Seaweed",.,.,2,4,5,11,11,11,18,21,19,13,14,30,47,70,66,33,42,108,79,7,38
"Current Prices","..Bali sardinella (Tamban)",.,.,76,108,148,139,92,123,130,59,76,74,70,146,84,66,58,75,28,10,23,19,19
"Current Prices","..Other Fisheries",.,.,602,502,552,653,723,618,725,741,785,742,682,814,671,750,920,820,786,938,835,891,2421
"Current Prices","AGRICULTURE",.,.,40404,45204,56382,62222,65945,74602,86372,91592,100380,115096,107784,103790,116855,119511,125682,131998,133704,143082,166897,146513,156437
"Constant 2018 Prices","CROPS",.,.,70041,72203,76972,83992,90019,95171,100601,103106,102997,103741,104234,89693,95290,95383,92816,94362,97165,93353,92801,92772,92375
"Constant 2018 Prices","..Palay",.,.,9378,9789,10235,10015,10150,9101,8926,9030,8582,8875,9560,8984,9636,9414,8905,9239,10399,9595,9945,10327,10445
"Constant 2018 Prices","..Corn",.,.,2552,3007,3476,4116,4824,4969,4018,3157,2838,2682,2786,3184,3932,3143,3073,3601,3853,3434,3674,3744,3849
"Constant 2018 Prices","..Banana, Cavendish",.,.,29408,29985,32972,38913,43592,47666,53651,56216,57185,57864,56711,46735,49576,50884,51471,51881,52444,50710,48946,48200,47588
"Constant 2018 Prices","..Banana, Others*",.,.,5839,6231,6295,6911,7242,7505,8340,8841,8892,9051,8945,7829,8418,8620,8563,8689,8827,8446,8556,8770,8705
"Constant 2018 Prices","..Coconut",.,.,13527,13294,13511,13517,13539,13992,14480,14593,14289,14242,14746,12338,12642,12176,10271,10227,10476,10473,10640,10751,10909
"Constant 2018 Prices","..Durian",.,.,530,807,836,1086,1153,2088,1499,1745,2266,2072,2763,2856,2558,2759,2193,2112,2406,2456,2473,2335,2390
"Constant 2018 Prices","..Mango",.,.,1032,1112,1178,1235,1220,1386,1331,1348,1234,1082,1157,1171,1953,1977,1920,1904,1941,1644,1755,1692,1630
"Constant 2018 Prices","..Coffee",.,.,1742,1708,1575,1533,1485,1260,1240,1217,1168,1054,976,638,607,602,589,558,558,552,558,559,550
"Constant 2018 Prices","..Sugarcane",.,.,986,961,1075,649,906,1115,1039,949,465,968,820,793,607,378,489,728,710,462,497,546,451
"Constant 2018 Prices","..Cacao",.,.,319,306,304,314,291,282,281,284,284,293,305,311,354,399,411,466,523,543,588,635,651
"Constant 2018 Prices","..Abaca",.,.,444,509,674,570,493,529,567,565,567,511,489,402,450,459,448,467,475,498,491,513,522
"Constant 2018 Prices","..Potato",.,.,382,383,388,406,405,421,422,423,410,412,408,408,413,420,422,431,468,475,506,515,501
"Constant 2018 Prices","..Pomelo",.,.,449,483,494,510,509,468,470,475,484,469,480,470,471,472,452,445,441,441,445,450,453
"Constant 2018 Prices","..Pineapple",.,.,230,237,252,266,270,312,310,312,318,352,392,390,391,374,366,361,371,374,384,388,381
"Constant 2018 Prices","..Sweet Potato",.,.,281,296,299,298,290,290,293,296,297,284,275,278,287,286,276,282,281,274,279,273,271
"Constant 2018 Prices","..Rubber",.,.,327,370,375,382,385,394,389,381,380,387,386,198,261,274,265,269,276,283,291,301,299
"Constant 2018 Prices","..Stringbeans",.,.,56,253,254,258,254,244,249,247,246,233,230,239,239,241,233,233,230,230,241,242,237
"Constant 2018 Prices","..Eggplant",.,.,113,112,109,108,111,106,104,105,107,104,107,111,114,113,105,105,108,109,112,113,114
"Constant 2018 Prices","..Cassava",.,.,94,95,99,105,115,105,104,101,99,97,97,107,121,125,156,147,147,139,134,130,132
"Constant 2018 Prices","..Calamansi",.,.,142,148,151,155,156,159,157,155,155,143,136,126,128,130,130,128,127,126,126,127,125
"Constant 2018 Prices","..Papaya",.,.,142,146,142,142,135,184,213,172,146,121,113,103,104,104,103,104,104,104,106,108,111
"Constant 2018 Prices","..Mangosteen",.,.,21,22,19,27,15,23,21,23,40,27,21,17,25,26,20,12,21,21,21,16,16
"Constant 2018 Prices","..Other Crops",.,.,2047,1950,2259,2476,2479,2573,2495,2472,2543,2418,2331,2005,2005,2008,1956,1969,1976,1965,2032,2037,2046
"Constant 2018 Prices","LIVESTOCK",.,.,17027,17680,17380,17452,17056,17343,17420,17393,17346,17850,17973,17834,18209,19116,19807,20126,20413,20558,19493,18189,18509
"Constant 2018 Prices","..Hog",.,.,13580,14233,13957,14150,13862,14110,14132,14162,13913,14392,14665,14582,14843,15613,16250,16516,16863,16984,16363,14849,15104
"Constant 2018 Prices","..Cattle",.,.,1489,1461,1340,1351,1397,1265,1262,1232,1382,1416,1382,1432,1503,1540,1550,1607,1585,1625,1436,1448,1514
"Constant 2018 Prices","..Carabao",.,.,858,863,950,896,873,1024,1085,1094,1164,1169,1126,1083,1105,1194,1216,1215,1192,1202,939,1043,1041
"Constant 2018 Prices","..Goat",.,.,1100,1123,1133,1055,925,945,942,905,888,872,800,737,757,770,791,788,773,748,756,850,850
"Constant 2018 Prices","POULTRY",.,.,11581,11810,12000,12106,11953,7868,8495,9104,8912,9179,9378,9706,9877,10501,10432,10511,10961,12036,11185,10745,11569
"Constant 2018 Prices","..Chicken",.,.,8800,8954,9134,9076,8961,5168,5836,6331,6249,6448,6608,6932,7040,7570,7408,7383,7854,8343,7652,7227,7890
"Constant 2018 Prices","..Duck",.,.,463,461,442,422,374,268,258,209,193,173,162,143,134,141,145,146,142,134,135,149,155
"Constant 2018 Prices","..Chicken Eggs",.,.,1982,2068,2105,2264,2335,2211,2185,2405,2316,2401,2464,2515,2596,2678,2751,2849,2819,3415,3251,3215,3361
"Constant 2018 Prices","..Duck Eggs",.,.,336,327,320,344,283,221,216,159,154,157,144,115,107,112,128,134,146,145,146,154,164
"Constant 2018 Prices","FISHERIES",.,.,6034,6194,6039,6067,6456,7565,7502,6934,7540,7070,7234,7613,5589,5765,5739,5827,5166,5072,5026,5637,9199
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,1055,1049,1382,950,1019,1543,1997,2459,2488,2358,2868,3018,1970,2241,1972,1574,1604,1488,1836,2237,2795
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,736,1163,829,1157,990,1102,873,514,807,692,546,932,567,460,522,796,609,614,343,308,943
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,657,603,603,367,348,431,372,309,485,552,581,372,255,267,311,444,403,280,286,324,933
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,223,182,187,187,170,254,224,193,161,162,226,245,160,197,247,265,249,195,160,174,236
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,157,132,137,284,157,342,286,199,190,199,181,114,122,182,175,216,236,204,121,129,693
"Constant 2018 Prices","..Tilapia",.,.,71,72,73,84,91,104,97,97,143,183,282,279,265,267,219,205,181,216,250,301,105
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,565,629,627,417,600,697,795,427,428,382,397,379,260,226,242,335,180,126,160,167,240
"Constant 2018 Prices","..Squid (Pusit)",.,.,73,66,68,139,184,247,201,155,223,235,234,104,106,134,165,173,136,267,114,194,551
"Constant 2018 Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,46,27,40,53,109,67,100,108,113,188,317,421,311
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,23,23,18,18,22,35,43,58,70,54,56,52,61,65,77,79,106,106,141,178,128
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,41,6,6,35,34,65,81,50,62,43,35,32,42,56,90,128,77,84,81,49,38
"Constant 2018 Prices","..Siganid (Samaral)",.,.,11,19,22,53,110,127,162,114,138,89,70,106,82,53,40,68,77,46,38,36,63
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,28,28,28,36,61,60,59,98,62,51,93,70,58,58,35,26,68,9,9,6,25
"Constant 2018 Prices","..Parrot fish (Loro)",.,.,75,73,73,71,85,53,55,105,110,69,63,39,32,21,22,87,67,25,19,16,41
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,199,314,224,312,423,342,247,210,129,133,131,228,251,194,148,86,55,115,27,3,34
"Constant 2018 Prices","..Goatfish (Saramulyete)",.,.,32,32,31,55,122,183,136,190,165,159,85,95,71,37,29,55,55,33,25,12,54
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,58,33,28,70,74,97,73,55,136,125,96,57,61,72,64,56,52,62,90,84,131
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,90,62,62,134,261,285,237,213,189,252,172,76,44,67,45,65,42,36,47,60,114
"Constant 2018 Prices","..Seaweed",.,.,2,4,7,11,13,13,16,26,18,12,12,22,36,50,46,40,42,35,19,3,15
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,121,233,215,278,143,210,166,69,91,75,63,116,67,78,91,70,28,9,16,13,11
"Constant 2018 Prices","..Other Fisheries",.,.,1817,1469,1418,1410,1545,1375,1384,1393,1398,1217,1004,1224,971,972,1099,949,786,934,927,924,1737
"Constant 2018 Prices","AGRICULTURE",.,.,104684,107887,112391,119617,125483,127946,134018,136537,136794,137841,138820,124846,128964,130766,128794,130826,133704,131019,128506,127344,131652
