"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Siganid (Samaral)",.,.,57,68,76,97,94,163,214,205,258,262,288,265,223,214,204,177,152,158,144,170,195
"Current Prices","..Squid (Pusit)",.,.,313,287,314,401,318,455,551,431,211,317,171,182,195,189,178,145,151,204,219,210,558
"Current Prices","..Spanish mackerel (Tanigue)",.,.,21,23,24,32,30,31,45,27,45,52,60,89,89,110,114,123,135,158,152,188,92
"Current Prices","..Caesio (Dalagang-bukid)",.,.,10,9,11,10,10,31,50,51,35,49,54,60,69,82,90,90,115,163,220,182,105
"Current Prices","..Snapper (Maya-maya)",.,.,67,51,65,51,39,70,94,91,99,108,124,151,166,189,179,158,120,153,139,183,83
"Current Prices","..Mudcrab (Alimango)",.,.,13,16,19,24,24,45,49,53,64,70,78,67,66,51,63,93,143,175,165,252,170
"Current Prices","..Grouper (Lapu-lapu)",.,.,77,97,108,114,132,136,114,92,95,60,60,64,75,101,109,114,136,164,159,202,122
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,18,30,28,49,43,107,138,17,25,21,30,23,22,32,39,81,109,198,135,103,101
"Current Prices","..Tiger prawn (Sugpo)",.,.,607,630,622,447,398,422,399,246,200,172,158,152,154,87,164,193,107,69,35,32,39
"Current Prices","..Seaweed",.,.,125,63,76,72,92,125,170,132,122,120,138,140,118,104,38,61,72,91,108,58,46
"Current Prices","..Tilapia",.,.,31,45,42,40,44,63,71,76,77,85,81,76,78,72,67,82,79,84,82,114,152
"Current Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,36,32,27,103,93,123,109,112,145,101,118,153,241
"Current Prices","..Other Fisheries",.,.,1104,1115,1129,1200,1322,1764,2126,1756,2182,2309,2136,2084,2376,2570,2368,2301,2443,2549,2368,2421,2520
"Current Prices","AGRICULTURE",14710,15131,15530,16744,20568,21429,21677,26416,31042,27327,29711,30898,29735,30526,36470,33196,35320,37639,37710,34935,38487,40254,43567
