"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Tiger prawn (Sugpo)",.,.,156,174,147,147,159,185,279,350,390,436,516,571,581,564,775,734,994,1457,712,366,89
"Current Prices","..Fimbriated sardines (Tunsoy)",.,.,155,166,270,432,410,509,687,911,821,800,860,952,924,861,711,728,911,716,331,200,190
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,78,75,107,175,232,267,255,262,316,356,367,491,539,658,678,708,857,934,859,835,939
"Current Prices","..Indian mackerel (Alumahan)",.,.,682,836,922,1020,1009,979,951,748,691,786,791,798,780,812,754,757,815,859,726,763,918
"Current Prices","..Anchovies (Dilis)",.,.,231,234,295,350,325,343,495,561,709,754,896,982,1046,954,751,665,670,587,469,361,759
"Current Prices","..Slipmouth (Sapsap)",.,.,197,198,238,246,257,314,276,486,737,751,500,504,548,504,458,553,646,561,455,445,481
"Current Prices","..Mudcrab (Alimango)",.,.,323,253,312,309,355,348,393,392,446,414,393,376,453,412,376,514,630,236,138,244,141
"Current Prices","..Squid (Pusit)",.,.,150,183,225,216,214,341,350,320,355,350,362,402,437,402,386,476,531,627,582,636,900
"Current Prices","..Threadfin bream (Bisugo)",.,.,34,41,48,64,122,151,154,128,144,151,162,184,194,243,361,406,525,613,560,372,578
"Current Prices","..Seaweed",.,.,105,103,89,243,268,274,409,299,400,448,473,557,578,589,245,270,518,633,512,587,277
"Current Prices","..Crevalle (Salay-salay)",.,.,144,137,167,229,258,316,348,331,358,388,505,483,512,429,415,414,413,304,245,232,205
"Current Prices","..Milkfish (Bangus)",.,.,99,106,107,123,122,153,178,289,335,376,414,414,428,384,349,364,388,421,314,430,238
"Current Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,33,33,36,52,42,70,73,211,533,561,350,359,381,340,321,328,320,206,245,257,203
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,180,161,225,279,248,225,370,323,317,288,393,433,394,290,253,256,315,308,343,294,282
"Current Prices","..Bali sardinella (Tamban)",.,.,82,101,168,136,172,200,306,290,315,368,428,424,403,339,297,277,300,405,1188,1029,1222
"Current Prices","..Skipjack (Gulyasan)",.,.,208,180,228,202,210,227,227,206,222,209,278,316,262,215,210,229,247,212,118,92,222
"Current Prices","..Other Fisheries",.,.,1806,1962,1609,1765,2181,2563,2764,2718,3245,3396,3132,3209,3187,3238,3116,3546,3562,3733,4140,3098,5718
"Current Prices","AGRICULTURE",22592,24296,27907,30030,37042,40706,40746,45396,52753,54778,60964,65993,65375,70805,80322,74353,76518,83319,91632,79962,80535,89295,100368
"Constant 2018 Prices","CROPS",31054,31224,31988,34713,37628,38394,37195,37737,40107,41397,41957,42376,44906,46915,46496,45978,46450,47295,48660,45467,46878,46919,48155
"Constant 2018 Prices","..Palay",12372,12832,13927,14005,17358,18070,16356,18245,18358,19240,19895,19708,21592,22879,23153,23269,23473,24569,24852,21953,23831,24788,24457
"Constant 2018 Prices","..Corn",927,928,1092,980,1200,1744,2100,2891,2992,2910,2576,3175,3404,3811,4217,3601,3830,4238,4130,3665,4164,4322,4258
"Constant 2018 Prices","..Coconut",8455,8144,7565,9043,8688,8600,8847,6960,8414,9121,9210,8718,9000,9109,8158,8022,7843,7808,8611,9043,8349,8062,9154
"Constant 2018 Prices","..Abaca",1605,1504,1343,1516,1643,1492,1522,1284,1375,1410,1517,1695,1728,1803,2167,2213,2247,1961,2157,2167,2103,1261,1813
"Constant 2018 Prices","..Pineapple",592,774,864,961,991,1099,1175,1223,1168,1151,1175,1216,1275,1308,1292,1367,1445,1335,1583,1710,1719,1929,1874
"Constant 2018 Prices","..Sweet Potato",1908,1781,1776,1701,1449,1448,1445,1521,1587,1589,1569,1527,1524,1572,1457,1498,1479,1448,1419,1397,1516,1547,1541
"Constant 2018 Prices","..Banana",987,932,1022,1098,1019,1005,940,817,996,1083,1148,1163,1200,1228,1098,1127,1132,1081,1165,1152,948,865,947
"Constant 2018 Prices","..Cassava",1344,1232,1261,1290,1109,988,888,879,913,931,927,890,900,920,882,879,856,782,706,674,652,581,568
"Constant 2018 Prices","..Pechay",286,277,314,339,335,360,337,352,354,352,357,344,345,358,327,345,347,358,358,343,350,368,351
"Constant 2018 Prices","..Gabi leaves with stem",88,99,109,112,121,125,137,151,163,172,182,191,205,221,222,226,246,258,275,285,238,253,264
"Constant 2018 Prices","..Pili nut",159,129,175,194,204,226,211,216,238,252,278,300,342,358,313,317,318,326,338,315,274,250,243
"Constant 2018 Prices","..Stringbeans",66,67,70,322,267,272,262,299,319,314,324,323,336,351,318,322,328,330,326,300,268,277,267
"Constant 2018 Prices","..Eggplant",165,156,165,172,177,173,175,221,223,214,225,218,229,247,223,212,208,216,214,220,221,228,234
"Constant 2018 Prices","..Ampalaya",42,44,47,77,74,79,72,128,130,132,131,127,133,140,124,122,127,131,136,142,133,144,134
"Constant 2018 Prices","..Papaya",87,91,105,122,117,117,113,109,123,127,128,126,127,127,120,122,121,116,116,112,78,67,64
"Constant 2018 Prices","..Squash",194,208,216,511,437,455,451,466,468,459,462,437,456,478,473,460,462,441,443,371,352,364,372
"Constant 2018 Prices","..Gabi",210,206,211,220,216,225,215,217,224,218,213,205,198,185,167,171,161,154,159,157,148,153,150
"Constant 2018 Prices","..Watermelon",11,18,59,79,71,104,107,115,58,53,67,73,77,78,78,80,83,81,93,92,75,122,123
"Constant 2018 Prices","..Tomato",98,88,93,90,82,80,77,91,87,88,89,86,85,87,84,91,97,93,92,92,94,98,93
"Constant 2018 Prices","..Calamansi",84,84,90,89,91,90,89,88,98,90,89,87,85,82,72,71,75,74,77,80,93,107,131
"Constant 2018 Prices","..Mango",33,24,25,34,23,29,25,24,22,21,23,21,22,23,24,25,28,28,35,32,28,27,26
"Constant 2018 Prices","..Pepper, Finger",22,19,21,22,22,28,25,44,46,48,47,46,48,49,48,49,47,53,50,47,45,50,50
"Constant 2018 Prices","..Other Crops",1318,1590,1437,1738,1934,1584,1627,1395,1749,1421,1325,1699,1597,1499,1478,1389,1498,1415,1324,1119,1198,1058,1040
"Constant 2018 Prices","LIVESTOCK",13608,13582,14396,14750,14569,15331,16175,16139,14637,15975,17388,17386,16648,16853,17834,18253,18089,18773,19166,19591,17759,15351,15507
"Constant 2018 Prices","..Hog",10176,10317,11151,11594,11425,12157,13097,13102,11662,12921,14205,14285,13606,13722,14575,14845,14597,15204,15620,16002,14397,11915,12070
"Constant 2018 Prices","..Cattle",1979,1854,1819,1799,1738,1706,1643,1598,1536,1655,1748,1738,1768,1886,1984,2088,2153,2227,2191,2244,2118,2162,2165
"Constant 2018 Prices","..Carabao",1256,1227,1232,1156,1179,1219,1198,1172,1149,1112,1119,1063,968,934,945,970,974,989,1005,1006,917,957,947
"Constant 2018 Prices","..Goat",197,184,193,201,227,248,238,266,291,287,315,301,306,310,330,350,366,353,350,339,327,317,326
"Constant 2018 Prices","POULTRY",4328,4519,4688,5025,5594,5571,5219,4188,3839,4268,4448,4624,4776,5558,5537,5546,5706,5830,6223,7093,6292,6694,7278
"Constant 2018 Prices","..Chicken",2103,2428,2494,2595,2830,2750,2394,2178,2047,2220,2415,2555,2608,3265,3452,3793,4001,4165,4469,5199,4385,4800,5428
"Constant 2018 Prices","..Duck",202,216,221,213,230,211,190,175,158,168,163,160,161,150,148,141,132,143,147,135,138,97,94
"Constant 2018 Prices","..Chicken Eggs",1888,1746,1850,2097,2409,2488,2504,1696,1510,1746,1754,1804,1898,2041,1828,1499,1449,1385,1455,1607,1609,1635,1633
"Constant 2018 Prices","..Duck Eggs",135,130,122,120,125,123,130,140,124,134,116,106,110,102,108,114,124,137,152,152,160,162,124
"Constant 2018 Prices","FISHERIES",9431,12504,13115,14286,14069,15169,15731,17627,18304,18533,20035,19760,20043,20921,20758,18863,17925,18012,17583,16316,15652,13467,13008
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,1433,1638,1893,1961,1771,1995,2083,2110,2302,2314,2358,2618,2559,2362,2131,1883,1578,1100,841,803,624
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,724,820,860,873,899,1082,1067,1121,1117,1084,1190,1394,1437,1314,1342,1229,1220,1080,984,875,714
"Constant 2018 Prices","..Tilapia",.,.,523,580,600,807,904,1089,1200,1123,1098,1111,1161,1177,1186,1099,948,1112,1128,1107,1051,1384,411
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,550,594,656,623,573,903,802,699,883,810,687,812,844,921,953,996,1016,911,937,656,765
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,195,219,180,174,184,204,298,388,444,491,572,616,624,613,883,902,994,1435,742,292,122
"Constant 2018 Prices","..Fimbriated sardines (Tunsoy)",.,.,175,243,268,544,534,584,752,843,723,646,636,613,593,552,515,578,911,763,266,109,103
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,176,174,206,340,444,491,458,462,541,553,538,710,745,833,858,871,857,894,803,752,671
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,1743,1913,1911,2027,1982,1916,1687,1304,1188,1251,1154,1154,1102,1039,955,909,815,865,725,642,674
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,563,614,643,697,657,668,794,912,1089,1092,1194,1253,1272,1105,949,816,670,545,448,340,637
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,419,442,453,395,413,434,393,555,706,696,586,550,541,506,534,602,646,549,435,411,389
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,771,726,768,798,857,824,863,865,1016,854,761,756,847,706,577,582,630,295,191,350,180
"Constant 2018 Prices","..Squid (Pusit)",.,.,391,415,458,432,429,645,593,524,595,565,538,584,614,522,485,533,531,548,582,596,707
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,78,97,113,143,244,302,265,260,286,293,283,305,302,322,477,528,525,568,487,334,423
"Constant 2018 Prices","..Seaweed",.,.,208,220,167,407,497,506,499,519,560,579,606,602,590,545,337,364,518,509,383,432,152
"Constant 2018 Prices","..Crevalle (Salay-salay)",.,.,340,357,375,449,477,550,581,567,566,561,668,627,641,492,548,537,413,319,281,239,167
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,155,168,161,183,185,223,247,370,421,467,495,520,538,483,404,413,388,419,318,413,216
"Constant 2018 Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,66,63,67,92,73,113,108,230,471,492,408,391,402,352,400,415,320,210,179,199,119
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,382,348,420,482,417,381,631,515,472,401,540,572,516,331,288,288,315,279,315,253,218
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,111,158,205,244,287,387,438,473,531,567,607,515,454,386,318,311,300,406,2018,1642,1319
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,470,362,419,377,375,405,379,362,397,353,466,521,425,284,276,276,247,225,118,84,174
"Constant 2018 Prices","..Other Fisheries",.,.,3640,4136,3246,3120,3528,3926,4167,4333,4629,4580,4596,4632,4528,4096,3746,3866,3562,3291,3550,2659,4224
"Constant 2018 Prices","AGRICULTURE",58420,61830,64186,68774,71860,74464,74321,75690,76887,80173,83829,84146,86374,90247,90625,88641,88170,89910,91632,88468,86579,82431,83949
