"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Okra",6,7,6,7,9,15,18,20,25,22,18,22,22,22,25,35,35,49,56,69,71,80,91
"Current Prices","..Ginger",10,12,18,14,16,14,15,27,50,50,48,31,24,39,97,98,63,44,41,79,101,83,67
"Current Prices","..Other Crops",1248,1651,1729,1293,1596,1754,1602,1393,1617,1724,1867,2031,2151,2266,2700,2445,2518,2862,3067,3343,3801,3908,5133
"Current Prices","LIVESTOCK",7025,7425,7663,7766,10281,11236,11428,12285,14963,17249,17540,17474,17883,20464,21550,20228,20411,25236,27906,24576,24810,30215,34603
"Current Prices","..Hog",5449,5719,5734,5776,8028,8981,9071,9788,12325,14356,14519,14307,14637,16930,17737,16364,16184,20504,22862,19448,20301,25767,29626
"Current Prices","..Cattle",867,922,1056,1103,1213,1102,1039,1042,1062,1207,1190,1316,1399,1554,1675,1692,1821,2093,2241,2179,1765,1831,2084
"Current Prices","..Carabao",376,368,458,529,663,696,808,899,984,1071,1178,1160,1134,1183,1297,1339,1548,1785,1904,1926,1631,1593,1685
"Current Prices","..Goat",333,416,415,358,377,457,510,557,592,615,652,692,713,797,841,832,859,853,899,1023,1112,1024,1208
"Current Prices","POULTRY",6562,7067,6078,5522,6263,7141,7402,7890,8850,9725,10002,10837,11753,12982,12618,13265,14158,16319,17887,18279,18881,19702,25886
"Current Prices","..Chicken",4765,5295,4240,3711,4269,5010,5161,5456,6049,6660,7061,7658,8250,9142,8737,9344,10084,11779,12989,13538,13447,14350,19572
"Current Prices","..Duck",296,282,271,245,191,182,189,158,170,197,202,207,227,228,217,221,281,355,367,334,271,340,584
"Current Prices","..Chicken Eggs",1191,1179,1245,1239,1442,1595,1702,1985,2370,2583,2432,2639,2904,3246,3269,3290,3395,3761,4085,3938,4647,4476,5183
"Current Prices","..Duck Eggs",310,312,322,327,361,354,350,291,261,284,307,332,372,366,395,409,398,424,446,469,516,537,546
"Current Prices","FISHERIES",12796,12793,12887,13453,15525,16663,18690,19571,22748,25734,25714,27606,27965,28473,28469,27867,26941,27605,30576,31128,28973,33627,35881
"Current Prices","..Milkfish (Bangus)",.,.,2601,2649,3217,3564,3967,4281,5207,6141,5599,6753,6872,6975,6889,7014,6983,7209,9438,9878,9562,10566,7905
"Current Prices","..Blue crab (Alimasag)",.,.,892,858,938,1171,1142,1026,1191,1181,965,1055,1067,1037,1061,883,1029,1865,2185,1523,1491,2242,1383
"Current Prices","..Mudcrab (Alimango)",.,.,45,53,54,57,63,84,293,463,373,520,632,593,721,667,786,1011,1265,1235,985,1068,635
"Current Prices","..Threadfin bream (Bisugo)",.,.,686,689,760,778,766,703,850,859,771,870,1130,1010,1057,1097,1077,1051,1135,1244,1171,1144,1036
"Current Prices","..Squid (Pusit)",.,.,576,577,576,595,646,696,704,852,935,928,841,1017,1227,1147,959,958,981,921,824,1021,1546
"Current Prices","..Roundscad (Galunggong)",.,.,268,300,314,392,402,507,568,631,627,722,776,973,1010,1167,1034,1259,906,1087,931,1076,1222
"Current Prices","..Slipmouth (Sapsap)",.,.,699,648,748,694,737,729,822,803,756,849,967,933,912,934,685,745,798,761,607,681,799
"Current Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,354,382,417,462,414,381,361,483,517,573,555,524,542,542,494,743,716,417,397,412,507
"Current Prices","..Seaweed",.,.,105,170,213,194,164,205,307,255,447,434,315,319,546,426,337,423,688,733,728,625,567
"Current Prices","..Bali sardinella (Tamban)",.,.,176,162,194,223,210,230,277,240,262,267,338,274,230,295,441,528,597,679,590,652,841
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,140,135,158,176,227,334,403,389,402,454,486,538,573,536,416,368,512,602,676,668,1143
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,243,293,355,326,505,466,515,593,818,754,426,550,497,457,369,327,464,374,320,575,1313
"Current Prices","..Fimbriated sardines (Tunsoy)",.,.,278,325,301,313,377,484,577,775,648,675,641,542,855,526,569,617,456,349,260,298,539
"Current Prices","..Tilapia",.,.,34,39,61,62,72,77,134,145,110,137,171,196,190,270,301,348,398,503,504,644,323
"Current Prices","..Tiger prawn (Sugpo)",.,.,242,242,253,246,282,239,607,715,723,698,751,787,708,692,546,449,374,357,314,275,362
"Current Prices","..Frigate tuna (Tulingan)",.,.,152,175,173,171,185,170,218,408,410,426,305,382,323,405,248,411,297,310,363,329,531
"Current Prices","..Anchovies (Dilis)",.,.,99,120,126,203,234,394,434,620,554,596,477,490,493,446,350,331,293,229,197,235,307
"Current Prices","..Grouper (Lapu-lapu)",.,.,171,179,185,150,198,262,303,362,379,318,467,390,394,370,342,301,192,249,183,272,309
"Current Prices","..Oyster (Talaba)",.,.,14,16,23,27,32,33,36,51,53,72,77,94,104,94,106,124,149,188,176,163,178
"Current Prices","..P. vannamei",.,.,0,0,0,0,0,0,0,0,32,7,8,10,54,56,123,130,113,165,215,156,1412
"Current Prices","..Other Fisheries",.,.,5111,5440,6457,6859,8065,8271,8936,9769,10334,10499,10664,10839,10082,9844,9746,8407,8620,9322,8479,10527,13023
"Current Prices","AGRICULTURE",54416,56574,60537,62121,70587,76914,86422,89358,107314,112899,112265,131092,134984,136636,146798,143357,141742,155704,172055,157437,162647,179615,212944
"Constant 2018 Prices","CROPS",69369,70327,74290,78560,84277,82361,87586,85621,91667,89948,76756,96770,96885,91832,90599,89701,85331,99247,95686,89227,98373,101777,98231
"Constant 2018 Prices","..Palay",32267,31890,34760,35461,38838,36129,39868,39973,42484,44239,35905,45041,45987,41946,41179,41265,38043,44756,44785,41685,46055,47285,46576
"Constant 2018 Prices","..Corn",1203,1131,1304,1928,2070,2902,3858,4711,5246,4087,3714,4642,4954,5175,5518,5248,4249,4513,4656,4703,4799,5264,5159
"Constant 2018 Prices","..Sugarcane",20739,21235,20134,23072,24808,23646,24268,20792,24909,22556,17688,27890,26368,25118,26271,24276,24156,30680,26581,22869,27639,28552,25716
"Constant 2018 Prices","..Banana",3745,3769,3747,3739,3901,4218,4649,4880,4829,4922,4888,5070,5196,4896,3978,4202,4189,4284,4445,4483,4317,4534,4464
"Constant 2018 Prices","..Coconut",3064,3410,3841,3770,3783,3821,3732,3692,3689,3656,3613,3514,3653,3597,2750,3140,3325,3574,3731,3924,3986,4239,4405
"Constant 2018 Prices","..Mango",2606,2665,3902,3726,3379,3773,3411,3590,2870,2751,3119,2804,2836,2965,2752,3213,3095,3020,3033,3340,3179,3622,3698
"Constant 2018 Prices","..Watermelon",84,73,333,474,609,691,728,760,614,653,836,730,759,1131,1216,1427,1360,1384,1347,1234,1316,1010,995
"Constant 2018 Prices","..Sweet Potato",487,478,475,476,609,792,799,785,756,787,754,769,774,758,764,786,762,792,770,764,780,806,831
"Constant 2018 Prices","..Eggplant",404,393,416,417,437,465,489,539,505,535,552,565,587,601,638,637,664,642,667,621,641,657,602
"Constant 2018 Prices","..Cassava",476,490,492,482,549,550,546,588,571,583,575,592,597,598,585,570,555,540,509,494,491,501,505
"Constant 2018 Prices","..Coffee",337,334,344,341,346,333,328,318,313,322,307,323,311,270,237,240,238,242,230,235,228,212,195
"Constant 2018 Prices","..Stringbeans",52,52,55,246,284,295,297,297,303,321,324,319,321,312,309,304,297,297,307,307,299,305,298
"Constant 2018 Prices","..Pineapple",180,172,171,177,229,243,253,248,255,259,240,273,274,273,286,283,277,284,298,303,301,327,326
"Constant 2018 Prices","..Tomato",243,213,217,205,212,224,220,223,203,201,200,186,186,189,203,219,226,241,258,240,247,253,247
"Constant 2018 Prices","..Squash",128,127,136,293,256,246,243,245,233,230,237,224,217,216,212,209,210,216,219,206,207,219,211
"Constant 2018 Prices","..Abaca",27,31,26,50,47,67,93,79,99,92,88,109,132,103,94,115,175,197,193,176,155,207,208
"Constant 2018 Prices","..Mongo",102,100,93,88,112,153,181,263,219,196,165,150,147,148,159,169,161,163,172,174,194,176,164
"Constant 2018 Prices","..Ampalaya",36,35,38,55,74,82,93,100,99,103,112,115,114,111,115,118,120,128,130,126,137,137,131
"Constant 2018 Prices","..Calamansi",160,171,167,168,173,176,176,171,163,154,144,130,125,124,118,109,102,101,103,97,102,105,96
"Constant 2018 Prices","..Peanut",39,38,38,37,41,50,58,77,84,85,75,76,76,77,80,81,76,82,87,84,89,98,98
"Constant 2018 Prices","..Okra",13,12,13,14,18,30,32,36,38,39,39,42,44,44,45,46,48,52,56,58,61,63,62
"Constant 2018 Prices","..Ginger",30,24,24,25,34,39,44,42,38,39,36,38,39,39,38,37,38,40,41,39,41,44,47
"Constant 2018 Prices","..Other Crops",2947,3483,3565,3316,3470,3438,3222,3213,3148,3140,3144,3169,3188,3142,3050,3009,2966,3019,3067,3064,3108,3165,3195
"Constant 2018 Prices","LIVESTOCK",18699,19013,19709,19972,21635,22713,23129,23824,24874,25986,26631,26894,27123,27048,26761,26732,28151,27982,27906,28278,27863,28492,29013
"Constant 2018 Prices","..Hog",14790,15151,15490,15628,17027,18217,18811,19434,20498,21537,22121,22297,22544,22311,21813,21790,23064,22800,22862,23448,23863,24472,25053
"Constant 2018 Prices","..Cattle",1818,1837,2062,2211,2253,2017,1767,1685,1638,1775,1707,1842,1940,2075,2169,2176,2218,2294,2241,2098,1665,1676,1704
"Constant 2018 Prices","..Carabao",938,927,1133,1316,1493,1490,1564,1659,1717,1730,1833,1769,1717,1711,1827,1848,1945,1964,1904,1831,1456,1484,1424
"Constant 2018 Prices","..Goat",1152,1098,1023,818,862,990,987,1046,1020,944,970,986,921,951,953,918,924,924,899,901,878,859,831
"Constant 2018 Prices","POULTRY",13292,14473,12124,11093,11278,12086,11949,12024,12533,12930,13455,14471,15307,16026,14496,15283,15921,16762,17887,18933,19000,19346,20054
"Constant 2018 Prices","..Chicken",9347,10462,8206,7344,7522,8227,8268,8457,8807,9019,9400,10111,10723,11196,9958,10616,11315,12258,12989,13866,13817,14197,14870
"Constant 2018 Prices","..Duck",799,745,698,636,483,450,461,362,353,368,372,384,416,400,386,394,381,381,367,341,326,337,338
"Constant 2018 Prices","..Chicken Eggs",2465,2598,2554,2465,2582,2751,2623,2761,3016,3185,3311,3580,3732,3991,3709,3827,3779,3682,4085,4274,4403,4346,4411
"Constant 2018 Prices","..Duck Eggs",680,668,666,649,690,658,595,444,358,358,371,397,436,439,443,447,446,441,446,451,455,466,434
"Constant 2018 Prices","FISHERIES",31860,32218,31798,32532,33194,33618,33097,34245,34778,37624,37264,37818,36925,35575,33548,32560,31870,31286,30576,31081,30163,30671,28819
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,5669,6012,6762,7160,7257,7687,7351,8196,7912,8666,8555,8451,7844,8188,8168,8392,9438,10293,10417,10330,6839
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,3459,3157,3095,2860,2339,2058,2215,2200,2042,1931,1734,1652,1593,1548,1862,2195,2185,1483,1704,1823,1404
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,104,114,110,116,119,158,632,693,669,904,1020,893,1023,881,995,1183,1265,1267,1126,1102,877
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,1851,1856,1853,1695,1535,1399,1430,1580,1466,1600,1892,1589,1516,1507,1321,1310,1135,1266,1169,1144,907
"Constant 2018 Prices","..Squid (Pusit)",.,.,1466,1441,1447,1342,1268,1398,1287,1393,1553,1461,1181,1527,1479,1426,1258,1165,981,802,751,867,1234
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,693,783,730,861,735,910,864,947,1092,1064,1064,1228,1217,1210,1228,1396,906,1065,915,954,991
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,1655,1638,1634,1433,1366,1295,1252,1543,1335,1286,1287,1182,1095,1114,773,793,798,678,566,586,620
"Constant 2018 Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,1097,1210,1127,1173,1018,900,765,1050,1084,1126,980,867,820,815,751,927,716,438,451,420,460
"Constant 2018 Prices","..Seaweed",.,.,319,402,425,420,413,464,420,452,566,607,598,543,646,672,682,696,688,612,689,664,469
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,455,372,374,579,483,544,496,471,475,380,473,328,350,380,566,619,597,786,784,729,825
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,352,334,350,417,459,625,678,639,724,704,708,725,695,653,535,429,512,584,604,543,854
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,680,724,769,733,921,849,774,965,1045,908,540,639,578,549,454,376,464,364,317,488,933
"Constant 2018 Prices","..Fimbriated sardines (Tunsoy)",.,.,663,710,706,690,708,939,953,1158,1083,974,877,663,994,660,668,732,456,375,287,320,456
"Constant 2018 Prices","..Tilapia",.,.,90,98,154,151,163,166,233,227,169,201,240,266,250,308,322,385,398,518,699,809,384
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,310,299,296,302,333,326,805,891,832,799,869,862,778,700,528,426,374,337,336,295,456
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,306,329,297,275,282,246,257,525,594,530,313,393,357,449,308,444,297,286,366,265,354
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,261,276,276,387,386,653,623,773,759,737,547,530,514,464,360,328,293,206,166,200,253
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,522,461,358,295,331,394,445,484,486,415,647,493,454,400,382,293,192,232,171,260,297
"Constant 2018 Prices","..Oyster (Talaba)",.,.,52,54,76,86,91,106,108,114,106,127,136,144,152,134,141,146,149,160,146,133,133
"Constant 2018 Prices","..P. vannamei",.,.,0,0,0,0,0,0,0,0,42,8,7,11,55,61,143,148,113,189,287,346,1522
"Constant 2018 Prices","..Other Fisheries",.,.,11794,12261,12353,12646,12890,13130,13192,13323,13231,13389,13256,12588,11138,10442,10424,8902,8620,9137,8213,8394,8551
"Constant 2018 Prices","AGRICULTURE",133219,136031,137920,142157,150385,150778,155761,155714,163852,166487,154106,175953,176240,170481,165405,164276,161274,175277,172055,167519,175399,180286,176116
