"Geolocation","Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....La Union","Purchasing Power of Peso",0.93,0.93,0.92,0.91,0.91,0.91,0.90,0.91,0.90,0.90,0.89,0.89,0.91
"....Pangasinan","Purchasing Power of Peso",0.90,0.90,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.86
"..Region II (Cagayan Valley)","Purchasing Power of Peso",0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.85,0.84,0.84,0.83,0.82,0.85
"....Batanes","Purchasing Power of Peso",0.86,0.86,0.87,0.86,0.84,0.83,0.82,0.81,0.82,0.81,0.81,0.80,0.83
"....Cagayan","Purchasing Power of Peso",0.89,0.89,0.88,0.87,0.87,0.86,0.85,0.86,0.85,0.84,0.83,0.82,0.86
"....Isabela","Purchasing Power of Peso",0.88,0.89,0.88,0.86,0.86,0.85,0.85,0.85,0.85,0.84,0.83,0.83,0.86
"....Nueva Vizcaya","Purchasing Power of Peso",0.87,0.86,0.86,0.86,0.85,0.84,0.83,0.82,0.82,0.82,0.81,0.80,0.84
"....Quirino","Purchasing Power of Peso",0.87,0.87,0.85,0.84,0.84,0.84,0.84,0.82,0.82,0.82,0.81,0.81,0.84
"..Region III (Central Luzon)","Purchasing Power of Peso",0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.84,0.84,0.83,0.82,0.82,0.85
"....Bataan","Purchasing Power of Peso",0.86,0.85,0.85,0.84,0.83,0.82,0.81,0.80,0.80,0.79,0.78,0.78,0.82
"....Bulacan","Purchasing Power of Peso",0.91,0.91,0.91,0.90,0.90,0.89,0.88,0.89,0.89,0.88,0.87,0.86,0.89
"....Nueva Ecija","Purchasing Power of Peso",0.88,0.88,0.86,0.84,0.83,0.84,0.83,0.83,0.82,0.81,0.81,0.81,0.84
"....Pampanga","Purchasing Power of Peso",0.87,0.87,0.87,0.86,0.86,0.85,0.84,0.83,0.83,0.81,0.80,0.80,0.84
"....Tarlac","Purchasing Power of Peso",0.87,0.87,0.86,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.84
"....Zambales","Purchasing Power of Peso",0.85,0.85,0.84,0.83,0.83,0.81,0.81,0.80,0.79,0.80,0.79,0.79,0.82
"....Aurora","Purchasing Power of Peso",0.87,0.87,0.86,0.84,0.83,0.82,0.82,0.81,0.81,0.80,0.80,0.79,0.83
"....City of Angeles","Purchasing Power of Peso",0.89,0.89,0.89,0.88,0.87,0.86,0.85,0.85,0.85,0.84,0.82,0.82,0.86
"....City of Olongapo","Purchasing Power of Peso",0.87,0.87,0.87,0.86,0.86,0.85,0.84,0.84,0.83,0.83,0.82,0.82,0.85
"..Region IV-A (CALABARZON)","Purchasing Power of Peso",0.89,0.89,0.88,0.88,0.88,0.87,0.86,0.86,0.85,0.85,0.84,0.84,0.86
"....Batangas","Purchasing Power of Peso",0.89,0.89,0.88,0.87,0.87,0.87,0.85,0.84,0.84,0.83,0.83,0.83,0.86
"....Cavite","Purchasing Power of Peso",0.88,0.89,0.88,0.88,0.88,0.87,0.86,0.86,0.85,0.85,0.84,0.83,0.86
"....Laguna","Purchasing Power of Peso",0.90,0.90,0.90,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.88
"....Quezon","Purchasing Power of Peso",0.90,0.91,0.90,0.90,0.90,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.88
"....Rizal","Purchasing Power of Peso",0.87,0.87,0.87,0.86,0.86,0.85,0.84,0.85,0.84,0.83,0.81,0.81,0.85
"....City of Lucena (Capital)","Purchasing Power of Peso",0.90,0.90,0.90,0.89,0.89,0.89,0.88,0.87,0.87,0.86,0.85,0.86,0.88
"..MIMAROPA Region","Purchasing Power of Peso",0.86,0.86,0.86,0.85,0.85,0.84,0.83,0.83,0.82,0.82,0.81,0.80,0.84
"....Marinduque","Purchasing Power of Peso",0.85,0.86,0.85,0.84,0.84,0.83,0.82,0.82,0.81,0.81,0.79,0.79,0.83
"....Occidental Mindoro","Purchasing Power of Peso",0.85,0.85,0.85,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.80,0.79,0.82
"....Oriental Mindoro","Purchasing Power of Peso",0.85,0.84,0.85,0.84,0.83,0.83,0.81,0.81,0.80,0.79,0.78,0.77,0.82
"....Palawan","Purchasing Power of Peso",0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.84,0.84,0.84,0.83,0.82,0.85
"....Romblon","Purchasing Power of Peso",0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.83,0.83,0.83,0.84
"....City of Puerto Princesa (Capital)","Purchasing Power of Peso",0.89,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.86
"..Region V (Bicol Region)","Purchasing Power of Peso",0.86,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.84
"....Albay","Purchasing Power of Peso",0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.80,0.80,0.82
"....Camarines Norte","Purchasing Power of Peso",0.87,0.87,0.87,0.87,0.86,0.86,0.85,0.85,0.84,0.83,0.82,0.81,0.85
"....Camarines Sur","Purchasing Power of Peso",0.86,0.86,0.85,0.85,0.85,0.84,0.83,0.82,0.82,0.81,0.81,0.80,0.83
"....Catanduanes","Purchasing Power of Peso",0.86,0.86,0.85,0.85,0.85,0.84,0.83,0.83,0.83,0.82,0.82,0.81,0.84
"....Masbate","Purchasing Power of Peso",0.88,0.87,0.86,0.86,0.86,0.85,0.84,0.83,0.84,0.84,0.83,0.83,0.85
"....Sorsogon","Purchasing Power of Peso",0.85,0.85,0.84,0.85,0.84,0.85,0.85,0.84,0.83,0.84,0.83,0.83,0.84
"..Region VI (Western Visayas)","Purchasing Power of Peso",0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.83,0.82,0.86
"....Aklan","Purchasing Power of Peso",0.90,0.91,0.90,0.90,0.89,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.88
"....Antique","Purchasing Power of Peso",0.89,0.90,0.89,0.88,0.88,0.87,0.86,0.85,0.84,0.84,0.84,0.83,0.86
"....Capiz","Purchasing Power of Peso",0.88,0.87,0.86,0.86,0.85,0.85,0.84,0.84,0.84,0.83,0.83,0.81,0.85
"....Iloilo","Purchasing Power of Peso",0.93,0.94,0.93,0.93,0.92,0.92,0.90,0.90,0.90,0.89,0.88,0.87,0.91
"....Negros Occidental","Purchasing Power of Peso",0.85,0.85,0.83,0.83,0.83,0.83,0.82,0.82,0.81,0.81,0.78,0.77,0.82
"....Guimaras","Purchasing Power of Peso",0.86,0.87,0.86,0.85,0.85,0.83,0.82,0.82,0.83,0.82,0.82,0.81,0.84
"....City of Iloilo (Capital)","Purchasing Power of Peso",0.90,0.91,0.90,0.90,0.88,0.88,0.86,0.86,0.86,0.83,0.82,0.81,0.87
"....City of Bacolod (Capital)","Purchasing Power of Peso",0.89,0.88,0.87,0.87,0.87,0.86,0.86,0.84,0.84,0.84,0.81,0.81,0.85
"..Region VII (Central Visayas)","Purchasing Power of Peso",0.92,0.92,0.92,0.91,0.91,0.90,0.89,0.89,0.88,0.88,0.87,0.87,0.90
"....Bohol","Purchasing Power of Peso",0.93,0.93,0.91,0.91,0.92,0.90,0.89,0.88,0.87,0.87,0.86,0.86,0.89
"....Cebu","Purchasing Power of Peso",0.90,0.90,0.90,0.89,0.88,0.88,0.87,0.87,0.86,0.87,0.86,0.86,0.88
"....Negros Oriental","Purchasing Power of Peso",0.90,0.91,0.90,0.90,0.89,0.89,0.88,0.88,0.87,0.86,0.85,0.85,0.88
"....Siquijor","Purchasing Power of Peso",0.90,0.91,0.90,0.88,0.88,0.87,0.85,0.86,0.85,0.84,0.84,0.83,0.87
"....City of Cebu (Capital)","Purchasing Power of Peso",0.95,0.96,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.92,0.92,0.93
"....City of Lapu-Lapu","Purchasing Power of Peso",0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.94,0.92,0.92,0.91,0.91,0.94
"....City of Mandaue","Purchasing Power of Peso",0.93,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.92
"..Region VIII (Eastern Visayas)","Purchasing Power of Peso",0.89,0.88,0.88,0.87,0.87,0.87,0.86,0.86,0.86,0.85,0.84,0.84,0.86
"....Eastern Samar","Purchasing Power of Peso",0.90,0.90,0.90,0.89,0.89,0.88,0.87,0.86,0.86,0.85,0.85,0.84,0.87
"....Leyte","Purchasing Power of Peso",0.89,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.87,0.86,0.85,0.85,0.87
"....Northern Samar","Purchasing Power of Peso",0.90,0.89,0.88,0.88,0.87,0.86,0.85,0.85,0.85,0.85,0.84,0.83,0.86
"....Samar","Purchasing Power of Peso",0.87,0.87,0.87,0.85,0.84,0.84,0.84,0.84,0.83,0.82,0.82,0.82,0.84
"....Southern Leyte","Purchasing Power of Peso",0.91,0.89,0.87,0.88,0.87,0.87,0.86,0.86,0.86,0.85,0.85,0.85,0.87
"....Biliran","Purchasing Power of Peso",0.89,0.88,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.88
"....City of Tacloban (Capital)","Purchasing Power of Peso",0.89,0.89,0.89,0.88,0.88,0.87,0.87,0.88,0.88,0.87,0.87,0.87,0.88
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",0.90,0.91,0.91,0.90,0.89,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.88
"....Zamboanga del Norte","Purchasing Power of Peso",0.89,0.90,0.90,0.89,0.88,0.87,0.86,0.87,0.87,0.86,0.86,0.84,0.87
"....Zamboanga del Sur","Purchasing Power of Peso",0.90,0.91,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.87
"....Zamboanga Sibugay","Purchasing Power of Peso",0.91,0.92,0.91,0.90,0.89,0.89,0.87,0.86,0.85,0.85,0.85,0.85,0.88
"....City of Zamboanga","Purchasing Power of Peso",0.91,0.92,0.92,0.91,0.90,0.89,0.89,0.89,0.88,0.88,0.87,0.87,0.89
"....City of Isabela","Purchasing Power of Peso",0.93,0.93,0.92,0.93,0.93,0.93,0.92,0.89,0.89,0.91,0.91,0.91,0.92
"..Region X (Northern Mindanao)","Purchasing Power of Peso",0.89,0.88,0.88,0.87,0.87,0.87,0.86,0.85,0.85,0.85,0.84,0.84,0.86
"....Bukidnon","Purchasing Power of Peso",0.90,0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.85,0.85,0.87
"....Camiguin","Purchasing Power of Peso",0.87,0.88,0.87,0.87,0.86,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.85
"....Lanao del Norte","Purchasing Power of Peso",0.89,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.86,0.85,0.87
"....Misamis Occidental","Purchasing Power of Peso",0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.85
"....Misamis Oriental","Purchasing Power of Peso",0.88,0.88,0.87,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.82,0.85
"....City of Iligan","Purchasing Power of Peso",0.89,0.89,0.88,0.87,0.87,0.85,0.83,0.83,0.84,0.84,0.84,0.83,0.86
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",0.89,0.88,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.85,0.84,0.83,0.86
"..Region XI (Davao Region)","Purchasing Power of Peso",0.90,0.90,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.84,0.84,0.86
"....Davao del Norte","Purchasing Power of Peso",0.89,0.90,0.90,0.89,0.89,0.88,0.87,0.87,0.86,0.86,0.86,0.86,0.88
"....Davao del Sur","Purchasing Power of Peso",0.90,0.89,0.88,0.88,0.87,0.86,0.84,0.84,0.83,0.83,0.82,0.83,0.85
"....Davao Oriental","Purchasing Power of Peso",0.89,0.90,0.89,0.87,0.87,0.86,0.84,0.84,0.84,0.84,0.84,0.83,0.86
"....Davao de Oro","Purchasing Power of Peso",0.90,0.89,0.88,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.85
"....Davao Occidental","Purchasing Power of Peso",0.91,0.91,0.91,0.90,0.88,0.87,0.86,0.85,0.86,0.85,0.85,0.85,0.87
"....City of Davao","Purchasing Power of Peso",0.90,0.90,0.89,0.88,0.87,0.87,0.85,0.85,0.84,0.84,0.83,0.83,0.86
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",0.88,0.88,0.87,0.86,0.86,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.85
"....Cotabato","Purchasing Power of Peso",0.87,0.87,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.83,0.82,0.82,0.84
"....South Cotabato","Purchasing Power of Peso",0.88,0.88,0.88,0.87,0.87,0.86,0.85,0.84,0.84,0.85,0.84,0.84,0.86
"....Sultan Kudarat","Purchasing Power of Peso",0.90,0.90,0.89,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.86,0.86,0.88
"....Sarangani","Purchasing Power of Peso",0.86,0.86,0.86,0.85,0.84,0.83,0.82,0.82,0.82,0.82,0.81,0.80,0.83
"....City of General Santos","Purchasing Power of Peso",0.88,0.88,0.88,0.87,0.86,0.86,0.84,0.84,0.84,0.84,0.84,0.83,0.85
"....City of Cotabato","Purchasing Power of Peso",0.86,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.85,0.84,0.83,0.82,0.84
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",0.90,0.90,0.90,0.89,0.89,0.88,0.88,0.87,0.86,0.85,0.85,0.85,0.88
"....Basilan","Purchasing Power of Peso",0.86,0.86,0.87,0.87,0.87,0.86,0.84,0.83,0.82,0.81,0.82,0.82,0.84
"....Lanao del Sur","Purchasing Power of Peso",0.91,0.91,0.90,0.89,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.85,0.88
"....Maguindanao","Purchasing Power of Peso",0.92,0.92,0.92,0.91,0.91,0.91,0.90,0.89,0.89,0.89,0.89,0.89,0.90
"....Sulu","Purchasing Power of Peso",0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.87,0.84,0.82,0.84,0.83,0.86
"....Tawi-tawi","Purchasing Power of Peso",0.88,0.88,0.87,0.85,0.84,0.84,0.83,0.82,0.81,0.82,0.83,0.82,0.84
"..Region XIII (Caraga)","Purchasing Power of Peso",0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.83,0.86
"....Agusan del Norte","Purchasing Power of Peso",0.89,0.89,0.89,0.88,0.88,0.87,0.86,0.86,0.86,0.86,0.86,0.85,0.87
"....Agusan del Sur","Purchasing Power of Peso",0.89,0.89,0.89,0.88,0.87,0.87,0.86,0.86,0.85,0.85,0.84,0.84,0.86
"....Surigao del Norte","Purchasing Power of Peso",0.86,0.86,0.86,0.85,0.84,0.84,0.84,0.83,0.83,0.84,0.83,0.81,0.84
"....Surigao del Sur","Purchasing Power of Peso",0.89,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.85,0.85,0.85,0.84,0.86
"....Dinagat Islands","Purchasing Power of Peso",0.84,0.83,0.82,0.82,0.81,0.80,0.78,0.79,0.79,0.79,0.78,0.78,0.80
"....City of Butuan (Capital)","Purchasing Power of Peso",0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.86
