"Geolocation","Description","2020 Jan","2020 Feb","2020 Mar","2020 Apr","2020 May","2020 Jun","2020 Jul","2020 Aug","2020 Sep","2020 Oct","2020 Nov","2020 Dec","2020 Ave"
"....City of Puerto Princesa (Capital)","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.95
"..Region V (Bicol Region)","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.91,0.90,0.93
"....Albay","Purchasing Power of Peso",0.93,0.93,0.93,0.93,0.93,0.91,0.91,0.91,0.90,0.90,0.88,0.87,0.91
"....Camarines Norte","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.95,0.94,0.94,0.94,0.94,0.94,0.92,0.91,0.94
"....Camarines Sur","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.96,0.94,0.94,0.94,0.94,0.93,0.92,0.89,0.94
"....Catanduanes","Purchasing Power of Peso",0.94,0.93,0.94,0.94,0.94,0.92,0.93,0.93,0.92,0.91,0.90,0.88,0.92
"....Masbate","Purchasing Power of Peso",0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.97,0.96,0.96,0.95,0.93,0.97
"....Sorsogon","Purchasing Power of Peso",0.94,0.94,0.95,0.95,0.95,0.94,0.95,0.95,0.93,0.93,0.91,0.91,0.94
"..Region VI (Western Visayas)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.95
"....Aklan","Purchasing Power of Peso",0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.93,0.94
"....Antique","Purchasing Power of Peso",0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.97,0.96,0.96,0.95,0.94,0.97
"....Capiz","Purchasing Power of Peso",0.94,0.95,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.95
"....Iloilo","Purchasing Power of Peso",0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.96,0.97
"....Negros Occidental","Purchasing Power of Peso",0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.93,0.92,0.92,0.94
"....Guimaras","Purchasing Power of Peso",0.94,0.94,0.93,0.93,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.93
"....City of Iloilo (Capital)","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.96,0.96,0.95,0.96
"....City of Bacolod (Capital)","Purchasing Power of Peso",0.95,0.95,0.96,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.92,0.94
"..Region VII (Central Visayas)","Purchasing Power of Peso",0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.97
"....Bohol","Purchasing Power of Peso",0.98,0.99,0.99,0.99,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98
"....Cebu","Purchasing Power of Peso",0.97,0.98,0.98,0.98,0.98,0.96,0.96,0.97,0.97,0.98,0.97,0.96,0.97
"....Negros Oriental","Purchasing Power of Peso",0.97,0.98,0.97,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97
"....Siquijor","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.96
"....City of Cebu (Capital)","Purchasing Power of Peso",0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.98,0.98,0.98,0.98,0.97,0.97
"....City of Lapu-Lapu","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.97,0.97
"....City of Mandaue","Purchasing Power of Peso",0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.98,0.98,0.98,0.98,0.97,0.97
"..Region VIII (Eastern Visayas)","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.95,0.96
"....Eastern Samar","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.97,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.97
"....Leyte","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96
"....Northern Samar","Purchasing Power of Peso",0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.94,0.96
"....Samar","Purchasing Power of Peso",0.97,0.97,0.97,0.98,0.98,0.98,0.97,0.95,0.95,0.95,0.94,0.92,0.96
"....Southern Leyte","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98
"....Biliran","Purchasing Power of Peso",0.95,0.95,0.96,0.97,0.98,0.97,0.98,0.97,0.96,0.96,0.95,0.95,0.96
"....City of Tacloban (Capital)","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",0.96,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
"....Zamboanga del Norte","Purchasing Power of Peso",0.95,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97
"....Zamboanga del Sur","Purchasing Power of Peso",0.96,0.97,0.97,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.97
"....Zamboanga Sibugay","Purchasing Power of Peso",0.98,0.98,0.99,0.98,0.98,0.97,0.98,0.98,0.97,0.98,0.98,0.97,0.98
"....City of Zamboanga","Purchasing Power of Peso",0.96,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97
"....City of Isabela","Purchasing Power of Peso",0.94,0.95,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.95
"..Region X (Northern Mindanao)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.95
"....Bukidnon","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95
"....Camiguin","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.94,0.93,0.93,0.93,0.93,0.94
"....Lanao del Norte","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.94,0.95
"....Misamis Occidental","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.97,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.95
"....Misamis Oriental","Purchasing Power of Peso",0.96,0.95,0.95,0.96,0.96,0.95,0.93,0.93,0.93,0.93,0.93,0.93,0.94
"....City of Iligan","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",0.95,0.95,0.95,0.96,0.96,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.95
"..Region XI (Davao Region)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.96
"....Davao del Norte","Purchasing Power of Peso",0.97,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.96
"....Davao del Sur","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.96
"....Davao Oriental","Purchasing Power of Peso",0.98,0.98,1.00,0.99,0.99,0.98,0.98,1.00,0.99,1.00,0.98,0.99,0.99
"....Davao de Oro","Purchasing Power of Peso",0.95,0.95,0.96,0.94,0.94,0.95,0.96,0.97,0.96,0.96,0.96,0.96,0.96
"....Davao Occidental","Purchasing Power of Peso",0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.95
"....City of Davao","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.96,0.95,0.96,0.95,0.96
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.94,0.94,0.95
"....Cotabato","Purchasing Power of Peso",0.97,0.96,0.96,0.95,0.94,0.93,0.94,0.94,0.93,0.93,0.92,0.92,0.94
"....South Cotabato","Purchasing Power of Peso",0.95,0.96,0.96,0.95,0.95,0.95,0.95,0.96,0.96,0.97,0.96,0.96,0.96
"....Sultan Kudarat","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.95
"....Sarangani","Purchasing Power of Peso",0.95,0.94,0.95,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.94,0.92,0.93
"....City of General Santos","Purchasing Power of Peso",0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96
"....City of Cotabato","Purchasing Power of Peso",0.99,0.98,0.97,0.97,0.96,0.95,0.94,0.93,0.94,0.94,0.94,0.94,0.95
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93
"....Basilan","Purchasing Power of Peso",0.87,0.88,0.89,0.89,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.87,0.88
"....Lanao del Sur","Purchasing Power of Peso",0.97,0.97,0.97,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.97,0.95,0.97
"....Maguindanao","Purchasing Power of Peso",1.00,1.00,1.00,0.98,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97
"....Sulu","Purchasing Power of Peso",0.87,0.88,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.89,0.88
"....Tawi-tawi","Purchasing Power of Peso",0.91,0.91,0.91,0.91,0.91,0.90,0.89,0.87,0.86,0.86,0.86,0.87,0.89
"..Region XIII (Caraga)","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
"....Agusan del Norte","Purchasing Power of Peso",0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.96
"....Agusan del Sur","Purchasing Power of Peso",0.95,0.95,0.94,0.94,0.94,0.93,0.94,0.94,0.94,0.94,0.94,0.93,0.94
"....Surigao del Norte","Purchasing Power of Peso",0.94,0.94,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.93
"....Surigao del Sur","Purchasing Power of Peso",0.95,0.95,0.96,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95
"....Dinagat Islands","Purchasing Power of Peso",0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.94,0.93,0.92,0.92,0.91,0.94
"....City of Butuan (Capital)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.96
