"Geolocation","Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Eastern Samar","Purchasing Power of Peso",0.79,0.79,..,..,..,..,..,..,..,..,..,..,..
"....Leyte","Purchasing Power of Peso",0.81,0.81,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Samar","Purchasing Power of Peso",0.76,0.77,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","Purchasing Power of Peso",0.83,0.82,..,..,..,..,..,..,..,..,..,..,..
"....Biliran","Purchasing Power of Peso",0.82,0.82,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","Purchasing Power of Peso",0.84,0.83,..,..,..,..,..,..,..,..,..,..,..
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",0.82,0.81,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","Purchasing Power of Peso",0.82,0.81,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Sur","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","Purchasing Power of Peso",0.81,0.80,..,..,..,..,..,..,..,..,..,..,..
"....City of Zamboanga","Purchasing Power of Peso",0.84,0.83,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","Purchasing Power of Peso",0.84,0.84,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","Purchasing Power of Peso",0.80,0.79,..,..,..,..,..,..,..,..,..,..,..
"....Bukidnon","Purchasing Power of Peso",0.79,0.78,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","Purchasing Power of Peso",0.78,0.77,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Occidental","Purchasing Power of Peso",0.81,0.79,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","Purchasing Power of Peso",0.78,0.78,..,..,..,..,..,..,..,..,..,..,..
"....City of Iligan","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","Purchasing Power of Peso",0.79,0.78,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","Purchasing Power of Peso",0.83,0.82,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Sur","Purchasing Power of Peso",0.78,0.77,..,..,..,..,..,..,..,..,..,..,..
"....Davao Oriental","Purchasing Power of Peso",0.77,0.75,..,..,..,..,..,..,..,..,..,..,..
"....Davao de Oro","Purchasing Power of Peso",0.77,0.76,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","Purchasing Power of Peso",0.80,0.78,..,..,..,..,..,..,..,..,..,..,..
"....City of Davao","Purchasing Power of Peso",0.78,0.77,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",0.79,0.78,..,..,..,..,..,..,..,..,..,..,..
"....Cotabato","Purchasing Power of Peso",0.78,0.77,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","Purchasing Power of Peso",0.78,0.78,..,..,..,..,..,..,..,..,..,..,..
"....Sultan Kudarat","Purchasing Power of Peso",0.81,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","Purchasing Power of Peso",0.76,0.75,..,..,..,..,..,..,..,..,..,..,..
"....City of General Santos","Purchasing Power of Peso",0.80,0.79,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","Purchasing Power of Peso",0.79,0.78,..,..,..,..,..,..,..,..,..,..,..
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","Purchasing Power of Peso",0.77,0.76,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Sur","Purchasing Power of Peso",0.82,0.81,..,..,..,..,..,..,..,..,..,..,..
"....Maguindanao","Purchasing Power of Peso",0.80,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","Purchasing Power of Peso",0.82,0.80,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","Purchasing Power of Peso",0.75,0.75,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","Purchasing Power of Peso",0.79,0.79,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","Purchasing Power of Peso",0.82,0.81,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Sur","Purchasing Power of Peso",0.79,0.79,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Norte","Purchasing Power of Peso",0.79,0.79,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","Purchasing Power of Peso",0.79,0.78,..,..,..,..,..,..,..,..,..,..,..
"....Dinagat Islands","Purchasing Power of Peso",0.74,0.72,..,..,..,..,..,..,..,..,..,..,..
"....City of Butuan (Capital)","Purchasing Power of Peso",0.81,0.81,..,..,..,..,..,..,..,..,..,..,..
