"Geolocation","Description","2019 Jan","2019 Feb","2019 Mar","2019 Apr","2019 May","2019 Jun","2019 Jul","2019 Aug","2019 Sep","2019 Oct","2019 Nov","2019 Dec","2019 Ave"
"....City of Tacloban (Capital)","Purchasing Power of Peso",0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.96,0.96,0.97
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,0.99,0.99,0.98,0.99
"....Zamboanga del Norte","Purchasing Power of Peso",0.98,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.97,0.98
"....Zamboanga del Sur","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,1.00,1.00,0.99,1.00,1.00,0.99,0.98,0.99
"....Zamboanga Sibugay","Purchasing Power of Peso",0.99,1.00,1.00,1.00,1.00,1.00,1.01,1.00,1.00,1.00,0.99,0.99,1.00
"....City of Zamboanga","Purchasing Power of Peso",0.99,1.00,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,0.99,0.98,0.99
"....City of Isabela","Purchasing Power of Peso",0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.94,0.96
"..Region X (Northern Mindanao)","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97
"....Bukidnon","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.97
"....Camiguin","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97
"....Lanao del Norte","Purchasing Power of Peso",0.97,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"....Misamis Occidental","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.97,0.97,0.97
"....Misamis Oriental","Purchasing Power of Peso",0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96
"....City of Iligan","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.97
"..Region XI (Davao Region)","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.98,0.97,0.97,0.98
"....Davao del Norte","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.99
"....Davao del Sur","Purchasing Power of Peso",0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.96,0.97
"....Davao Oriental","Purchasing Power of Peso",1.00,0.99,1.00,1.00,0.99,1.00,1.00,1.01,1.01,1.00,1.00,0.99,1.00
"....Davao de Oro","Purchasing Power of Peso",0.98,0.97,0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.98,0.98,0.96,0.97
"....Davao Occidental","Purchasing Power of Peso",0.96,0.96,0.97,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.97
"....City of Davao","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.97,0.96,0.97
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.97,0.97,0.98
"....Cotabato","Purchasing Power of Peso",0.98,0.99,0.99,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
"....South Cotabato","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.96,0.97,0.97,0.97,0.96,0.97
"....Sultan Kudarat","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.96,0.96,0.97
"....Sarangani","Purchasing Power of Peso",0.99,0.99,0.98,0.97,0.97,0.97,0.97,0.96,0.96,0.97,0.97,0.96,0.97
"....City of General Santos","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.97,0.97,0.98
"....City of Cotabato","Purchasing Power of Peso",0.99,0.99,0.99,0.98,0.97,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.97
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",0.96,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96
"....Basilan","Purchasing Power of Peso",0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.90,0.90,0.90,0.90,0.89,0.91
"....Lanao del Sur","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.98,0.98,0.98
"....Maguindanao","Purchasing Power of Peso",1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,1.00,1.01,1.00,1.00,1.00
"....Sulu","Purchasing Power of Peso",0.89,0.95,0.95,0.94,0.93,0.92,0.92,0.90,0.90,0.89,0.89,0.88,0.91
"....Tawi-tawi","Purchasing Power of Peso",0.93,0.92,0.93,0.92,0.92,0.91,0.92,0.92,0.92,0.93,0.92,0.91,0.92
"..Region XIII (Caraga)","Purchasing Power of Peso",0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.98
"....Agusan del Norte","Purchasing Power of Peso",1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.99
"....Agusan del Sur","Purchasing Power of Peso",0.99,0.98,0.98,0.98,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.96,0.98
"....Surigao del Norte","Purchasing Power of Peso",0.97,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.96,0.95,0.97
"....Surigao del Sur","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.97,0.96,0.98
"....Dinagat Islands","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97
"....City of Butuan (Capital)","Purchasing Power of Peso",1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.99
