"Geolocation","Description","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave"
"....City of Zamboanga","Purchasing Power of Peso",0.96,0.95,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.95
"....City of Isabela","Purchasing Power of Peso",0.94,0.93,0.94,0.93,0.94,0.94,0.94,0.96,0.95,0.95,0.95,0.95,0.94
"..Region X (Northern Mindanao)","Purchasing Power of Peso",0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.91
"....Bukidnon","Purchasing Power of Peso",0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.91,0.92
"....Camiguin","Purchasing Power of Peso",0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.90,0.89,0.89,0.90
"....Lanao del Norte","Purchasing Power of Peso",0.94,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.90,0.91
"....Misamis Occidental","Purchasing Power of Peso",0.93,0.91,0.91,0.91,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91
"....Misamis Oriental","Purchasing Power of Peso",0.92,0.91,0.91,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.89,0.90
"....City of Iligan","Purchasing Power of Peso",0.93,0.93,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.91
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",0.93,0.92,0.92,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.90,0.90,0.91
"..Region XI (Davao Region)","Purchasing Power of Peso",0.95,0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.92,0.92,0.91,0.93
"....Davao del Norte","Purchasing Power of Peso",0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.93
"....Davao del Sur","Purchasing Power of Peso",0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.92
"....Davao Oriental","Purchasing Power of Peso",0.96,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.92,0.91,0.91,0.90,0.92
