"Geolocation","Description","2018 Jan","2018 Feb","2018 Mar","2018 Apr","2018 May","2018 Jun","2018 Jul","2018 Aug","2018 Sep","2018 Oct","2018 Nov","2018 Dec","2018 Ave"
"....Cagayan","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.01,0.98,0.97,0.97,0.97,0.98,1.00
"....Isabela","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.97,0.97,0.98,1.00
"....Nueva Vizcaya","Purchasing Power of Peso",1.05,1.04,1.03,1.02,1.01,1.00,1.00,0.98,0.97,0.96,0.97,0.98,1.00
"....Quirino","Purchasing Power of Peso",1.04,1.03,1.03,1.02,1.02,1.01,0.99,0.98,0.98,0.97,0.97,0.97,1.00
"..Region III (Central Luzon)","Purchasing Power of Peso",1.02,1.01,1.01,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"....Bataan","Purchasing Power of Peso",1.01,1.01,1.01,1.01,1.01,1.01,1.00,1.00,0.99,0.99,0.98,0.99,1.00
"....Bulacan","Purchasing Power of Peso",1.02,1.01,1.01,1.02,1.01,1.01,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"....Nueva Ecija","Purchasing Power of Peso",1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.00,0.98,0.98,0.98,0.98,1.00
"....Pampanga","Purchasing Power of Peso",1.01,1.01,1.01,1.01,1.01,1.00,1.00,1.00,0.99,0.99,0.99,0.99,1.00
"....Tarlac","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.98,0.97,0.97,1.00
"....Zambales","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.97,0.98,0.98,1.00
"....Aurora","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.97,0.98,0.98,1.00
"....City of Angeles","Purchasing Power of Peso",1.01,1.01,1.01,1.01,1.01,1.00,1.00,1.00,0.99,0.99,0.99,0.99,1.00
"....City of Olongapo","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.99,0.98,0.98,0.98,1.00
"..Region IV-A (CALABARZON)","Purchasing Power of Peso",1.03,1.02,1.01,1.01,1.01,1.01,0.99,0.99,0.98,0.98,0.98,0.99,1.00
"....Batangas","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.01,1.01,0.99,0.99,0.98,0.97,0.98,0.98,1.00
"....Cavite","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,0.99,0.99,0.98,0.98,0.98,0.99,1.00
"....Laguna","Purchasing Power of Peso",1.03,1.02,1.01,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"....Quezon","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,1.00,1.00
"....Rizal","Purchasing Power of Peso",1.02,1.02,1.01,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"....City of Lucena (Capital)","Purchasing Power of Peso",1.02,1.02,1.01,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,1.00,1.00
"..MIMAROPA Region","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.97,0.96,0.97,0.97,1.00
"....Marinduque","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.02,1.02,1.01,1.00,0.98,0.97,0.97,0.98,1.00
"....Occidental Mindoro","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.97,0.97,0.97,1.00
"....Oriental Mindoro","Purchasing Power of Peso",1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.00,0.97,0.95,0.97,0.98,1.00
"....Palawan","Purchasing Power of Peso",1.04,1.03,1.02,1.02,1.02,1.02,1.02,1.00,0.97,0.95,0.96,0.97,1.00
"....Romblon","Purchasing Power of Peso",1.02,1.01,1.02,1.02,1.01,1.01,1.01,1.00,0.98,0.97,0.97,0.98,1.00
"....City of Puerto Princesa (Capital)","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.02,1.01,1.00,0.98,0.96,0.97,0.97,1.00
"..Region V (Bicol Region)","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.97,0.97,0.98,0.99,1.00
"....Albay","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.97,0.98,0.99,1.00
"....Camarines Norte","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.01,1.01,0.99,0.98,0.97,0.97,0.98,0.99,1.00
"....Camarines Sur","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.01,1.01,1.01,0.99,0.97,0.97,0.97,0.98,1.00
"....Catanduanes","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,0.99,0.99,0.98,0.97,0.98,0.99,1.00
"....Masbate","Purchasing Power of Peso",1.03,1.03,1.02,1.01,1.01,1.00,1.00,0.98,0.97,0.97,0.98,0.99,1.00
"....Sorsogon","Purchasing Power of Peso",1.03,1.02,1.03,1.02,1.01,1.00,0.99,0.98,0.98,0.98,0.98,0.98,1.00
"..Region VI (Western Visayas)","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,1.00,0.98,0.98,0.98,0.98,0.99,1.00
"....Aklan","Purchasing Power of Peso",1.02,1.01,1.01,1.00,1.01,1.01,1.00,0.99,0.98,0.98,1.00,1.00,1.00
"....Antique","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,0.99,0.98,0.97,0.97,0.99,1.00,1.00
"....Capiz","Purchasing Power of Peso",1.04,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,0.98,1.00
"....Iloilo","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.01,1.00,0.98,0.97,0.98,0.99,0.99,1.00
"....Negros Occidental","Purchasing Power of Peso",1.04,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.97,0.97,0.98,1.00
"....Guimaras","Purchasing Power of Peso",1.03,1.03,1.02,1.01,1.00,1.01,1.00,0.98,0.97,0.98,0.98,0.98,1.00
"....City of Iloilo (Capital)","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.99,0.99,1.00
"....City of Bacolod (Capital)","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,0.98,1.00
"..Region VII (Central Visayas)","Purchasing Power of Peso",1.03,1.02,1.01,1.01,1.00,1.00,0.99,0.99,0.98,0.98,0.99,0.99,1.00
"....Bohol","Purchasing Power of Peso",1.03,1.03,1.02,1.01,1.01,1.00,0.99,0.99,0.98,0.97,0.98,0.99,1.00
"....Cebu","Purchasing Power of Peso",1.03,1.02,1.01,1.00,0.99,0.99,1.00,1.00,0.99,0.99,0.99,0.99,1.00
"....Negros Oriental","Purchasing Power of Peso",1.04,1.03,1.03,1.03,1.00,0.99,0.98,0.98,0.97,0.97,0.98,0.99,1.00
"....Siquijor","Purchasing Power of Peso",1.03,1.02,1.01,1.01,1.00,1.00,0.99,0.99,0.99,0.98,0.99,0.99,1.00
"....City of Cebu (Capital)","Purchasing Power of Peso",1.03,1.02,1.01,1.00,1.00,1.00,0.99,0.99,0.98,0.99,0.99,1.00,1.00
"....City of Lapu-Lapu","Purchasing Power of Peso",1.03,1.02,1.01,1.00,1.00,1.00,0.99,0.99,0.98,0.99,0.99,1.00,1.00
"....City of Mandaue","Purchasing Power of Peso",1.03,1.02,1.01,1.00,1.00,1.00,0.99,0.99,0.98,0.98,0.99,1.00,1.00
"..Region VIII (Eastern Visayas)","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.97,0.98,0.99,1.00
"....Eastern Samar","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.00,1.00,1.00,0.99,0.99,0.97,0.98,1.00
"....Leyte","Purchasing Power of Peso",1.04,1.03,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.97,0.98,0.99,1.00
"....Northern Samar","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.98,0.97,0.98,0.98,1.00
"....Samar","Purchasing Power of Peso",1.05,1.03,1.01,1.00,1.00,1.00,1.00,1.00,0.98,0.97,0.98,1.00,1.00
"....Southern Leyte","Purchasing Power of Peso",1.02,1.01,1.02,1.02,1.02,1.01,1.00,1.00,0.97,0.97,0.98,0.98,1.00
"....Biliran","Purchasing Power of Peso",1.01,1.02,1.01,1.01,1.00,0.99,0.99,0.99,0.99,0.99,1.00,1.01,1.00
"....City of Tacloban (Capital)","Purchasing Power of Peso",1.04,1.03,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.97,0.98,0.99,1.00
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.97,0.97,0.98,0.99,1.00
"....Zamboanga del Norte","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.02,1.01,1.01,0.99,0.97,0.97,0.97,0.97,1.00
"....Zamboanga del Sur","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.97,0.97,0.98,0.99,1.00
"....Zamboanga Sibugay","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.00,1.00,0.99,0.97,0.97,0.98,0.99,1.00
"....City of Zamboanga","Purchasing Power of Peso",1.03,1.01,1.01,1.01,1.01,1.01,1.00,0.99,0.98,0.97,0.98,0.99,1.00
"....City of Isabela","Purchasing Power of Peso",1.02,1.01,1.01,1.01,1.01,1.00,1.00,1.00,1.00,1.01,0.97,0.97,1.00
"..Region X (Northern Mindanao)","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.97,0.97,0.97,1.00
"....Bukidnon","Purchasing Power of Peso",1.04,1.03,1.03,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.97,0.97,1.00
"....Camiguin","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.97,0.97,0.97,1.00
"....Lanao del Norte","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.98,0.97,0.98,0.98,1.00
"....Misamis Occidental","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.97,0.97,0.98,1.00
"....Misamis Oriental","Purchasing Power of Peso",1.03,1.03,1.03,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.97,0.97,1.00
"....City of Iligan","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.97,0.97,0.97,1.00
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.98,0.97,0.97,0.97,1.00
"..Region XI (Davao Region)","Purchasing Power of Peso",1.03,1.03,1.03,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.98,0.99,1.00
"....Davao del Norte","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,1.00,1.00
"....Davao del Sur","Purchasing Power of Peso",1.03,1.03,1.03,1.02,1.02,1.01,0.99,0.99,0.96,0.96,0.98,0.98,1.00
"....Davao Oriental","Purchasing Power of Peso",1.02,1.01,1.02,1.01,1.00,1.00,1.00,0.99,0.98,0.98,0.99,1.00,1.00
"....Davao de Oro","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.98,0.96,0.97,0.99,1.00
"....Davao Occidental","Purchasing Power of Peso",1.05,1.05,1.04,1.04,1.04,1.02,1.00,0.99,0.94,0.95,0.95,0.96,1.00
"....City of Davao","Purchasing Power of Peso",1.02,1.03,1.03,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.98,0.98,1.00
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.00,1.00,0.98,0.97,0.97,0.99,0.99,1.00
"....Cotabato","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.98,0.98,0.98,0.99,1.00,1.00
"....South Cotabato","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,0.99,0.97,0.97,0.97,0.99,0.99,1.00
"....Sultan Kudarat","Purchasing Power of Peso",1.02,1.03,1.03,1.02,1.01,1.01,1.00,0.98,0.97,0.97,0.98,0.98,1.00
"....Sarangani","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.01,1.00,0.98,0.98,0.98,0.98,0.99,1.00
"....City of General Santos","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.97,0.99,0.99,1.00
"....City of Cotabato","Purchasing Power of Peso",1.04,1.04,1.02,1.02,1.02,1.00,0.99,0.98,0.98,0.98,0.97,0.98,1.00
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",1.04,1.03,1.02,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.97,0.97,1.00
"....Basilan","Purchasing Power of Peso",1.04,1.02,1.03,1.02,1.02,1.00,1.00,1.00,0.98,0.98,0.97,0.94,1.00
"....Lanao del Sur","Purchasing Power of Peso",1.02,1.02,1.01,1.01,1.01,0.99,0.99,0.99,0.98,0.99,0.99,1.00,1.00
"....Maguindanao","Purchasing Power of Peso",1.05,1.03,1.02,1.02,1.02,1.00,0.98,0.96,0.97,0.98,0.99,0.99,1.00
"....Sulu","Purchasing Power of Peso",1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.03,0.98,0.95,0.93,0.90,1.00
"....Tawi-tawi","Purchasing Power of Peso",1.06,1.05,1.05,1.04,1.03,1.02,1.02,0.99,0.96,0.95,0.93,0.94,1.00
"..Region XIII (Caraga)","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.97,0.98,0.99,1.00
"....Agusan del Norte","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.97,0.97,0.97,1.00,1.00
"....Agusan del Sur","Purchasing Power of Peso",1.02,1.01,1.02,1.01,1.01,1.01,1.01,0.99,0.98,0.97,0.98,0.99,1.00
"....Surigao del Norte","Purchasing Power of Peso",1.03,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.97,0.97,0.98,0.98,1.00
"....Surigao del Sur","Purchasing Power of Peso",1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.00,0.98,0.97,0.98,1.00,1.00
"....Dinagat Islands","Purchasing Power of Peso",1.04,1.02,1.02,1.01,1.01,1.00,0.99,0.99,0.98,0.98,0.99,0.98,1.00
"....City of Butuan (Capital)","Purchasing Power of Peso",1.02,1.01,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,1.00,1.00
