"Geolocation","Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Palawan","Purchasing Power of Peso",0.81,0.81,0.80,0.81,0.81,0.80,0.81,0.80,0.79,0.79,0.79,0.78,0.80
"....Romblon","Purchasing Power of Peso",0.81,0.80,0.80,0.79,0.79,0.79,0.79,0.78,0.77,0.77,0.77,0.77,0.79
"....City of Puerto Princesa (Capital)","Purchasing Power of Peso",0.83,0.82,0.83,0.84,0.83,0.83,0.83,0.82,0.82,0.81,0.81,0.80,0.82
"..Region V (Bicol Region)","Purchasing Power of Peso",0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.79,0.78,0.78,0.78,0.77,0.79
"....Albay","Purchasing Power of Peso",0.79,0.78,0.79,0.79,0.78,0.78,0.78,0.77,0.76,0.77,0.77,0.76,0.78
"....Camarines Norte","Purchasing Power of Peso",0.80,0.79,0.80,0.80,0.80,0.80,0.81,0.79,0.77,0.78,0.78,0.78,0.79
"....Camarines Sur","Purchasing Power of Peso",0.79,0.78,0.79,0.79,0.79,0.80,0.80,0.79,0.78,0.78,0.77,0.76,0.78
"....Catanduanes","Purchasing Power of Peso",0.80,0.80,0.80,0.81,0.80,0.80,0.80,0.79,0.78,0.79,0.78,0.78,0.79
"....Masbate","Purchasing Power of Peso",0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.81,0.80,0.80,0.79,0.79,0.81
"....Sorsogon","Purchasing Power of Peso",0.80,0.80,0.81,0.81,0.82,0.82,0.81,0.81,0.79,0.81,0.80,0.80,0.81
"..Region VI (Western Visayas)","Purchasing Power of Peso",0.81,0.80,0.81,0.81,0.81,0.81,0.81,0.80,0.80,0.80,0.79,0.79,0.80
"....Aklan","Purchasing Power of Peso",0.84,0.84,0.84,0.84,0.84,0.84,0.85,0.84,0.82,0.83,0.82,0.81,0.83
"....Antique","Purchasing Power of Peso",0.81,0.82,0.82,0.83,0.83,0.82,0.82,0.81,0.79,0.81,0.80,0.79,0.81
"....Capiz","Purchasing Power of Peso",0.80,0.81,0.80,0.81,0.81,0.81,0.80,0.80,0.79,0.79,0.78,0.78,0.80
"....Iloilo","Purchasing Power of Peso",0.86,0.86,0.86,0.87,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.85,0.86
"....Negros Occidental","Purchasing Power of Peso",0.76,0.75,0.75,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.76
"....Guimaras","Purchasing Power of Peso",0.80,0.80,0.81,0.81,0.81,0.80,0.80,0.79,0.79,0.79,0.77,0.77,0.79
"....City of Iloilo (Capital)","Purchasing Power of Peso",0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.81,0.81,0.81,0.81,0.82,0.81
"....City of Bacolod (Capital)","Purchasing Power of Peso",0.79,0.79,0.80,0.80,0.80,0.80,0.81,0.80,0.79,0.79,0.78,0.78,0.79
"..Region VII (Central Visayas)","Purchasing Power of Peso",0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.85
"....Bohol","Purchasing Power of Peso",0.84,0.85,0.84,0.85,0.85,0.85,0.85,0.83,0.82,0.83,0.82,0.82,0.84
"....Cebu","Purchasing Power of Peso",0.83,0.83,0.84,0.84,0.84,0.83,0.83,0.85,0.84,0.84,0.84,0.84,0.84
"....Negros Oriental","Purchasing Power of Peso",0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.80,0.83
"....Siquijor","Purchasing Power of Peso",0.81,0.81,0.82,0.82,0.82,0.81,0.82,0.81,0.80,0.79,0.79,0.79,0.81
"....City of Cebu (Capital)","Purchasing Power of Peso",0.91,0.90,0.91,0.90,0.91,0.91,0.91,0.90,0.89,0.89,0.88,0.88,0.90
"....City of Lapu-Lapu","Purchasing Power of Peso",0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.88,0.87,0.87,0.90
"....City of Mandaue","Purchasing Power of Peso",0.90,0.90,0.90,0.91,0.90,0.90,0.90,0.89,0.89,0.86,0.85,0.85,0.89
"..Region VIII (Eastern Visayas)","Purchasing Power of Peso",0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.83,0.82,0.82,0.82,0.81,0.83
"....Eastern Samar","Purchasing Power of Peso",0.82,0.82,0.82,0.83,0.83,0.82,0.83,0.82,0.80,0.79,0.79,0.79,0.81
"....Leyte","Purchasing Power of Peso",0.84,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.81,0.83
"....Northern Samar","Purchasing Power of Peso",0.83,0.83,0.82,0.82,0.83,0.83,0.84,0.82,0.81,0.82,0.81,0.81,0.82
"....Samar","Purchasing Power of Peso",0.81,0.81,0.80,0.81,0.81,0.81,0.81,0.80,0.78,0.79,0.78,0.77,0.80
"....Southern Leyte","Purchasing Power of Peso",0.85,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.83,0.83,0.83,0.83,0.84
"....Biliran","Purchasing Power of Peso",0.87,0.87,0.86,0.86,0.87,0.87,0.87,0.86,0.85,0.85,0.85,0.84,0.86
"....City of Tacloban (Capital)","Purchasing Power of Peso",0.86,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.84,0.84,0.85
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",0.83,0.83,0.84,0.85,0.84,0.85,0.85,0.83,0.82,0.83,0.82,0.82,0.83
"....Zamboanga del Norte","Purchasing Power of Peso",0.82,0.81,0.82,0.84,0.83,0.83,0.83,0.83,0.81,0.82,0.82,0.82,0.82
"....Zamboanga del Sur","Purchasing Power of Peso",0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.81,0.80,0.80,0.80,0.80,0.82
"....Zamboanga Sibugay","Purchasing Power of Peso",0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.82,0.82,0.82,0.81,0.83
"....City of Zamboanga","Purchasing Power of Peso",0.85,0.85,0.86,0.87,0.87,0.87,0.87,0.86,0.85,0.85,0.85,0.85,0.86
"....City of Isabela","Purchasing Power of Peso",0.89,0.88,0.87,0.86,0.86,0.87,0.87,0.85,0.84,0.84,0.84,0.84,0.86
"..Region X (Northern Mindanao)","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.79,0.80,0.80,0.80,0.81
"....Bukidnon","Purchasing Power of Peso",0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.79,0.80,0.80,0.80,0.81
"....Camiguin","Purchasing Power of Peso",0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.79,0.79,0.78,0.78,0.80
"....Lanao del Norte","Purchasing Power of Peso",0.82,0.82,0.84,0.84,0.84,0.84,0.84,0.82,0.79,0.80,0.80,0.80,0.82
"....Misamis Occidental","Purchasing Power of Peso",0.81,0.81,0.81,0.82,0.81,0.82,0.82,0.81,0.80,0.80,0.81,0.81,0.81
"....Misamis Oriental","Purchasing Power of Peso",0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.78,0.78,0.78,0.78,0.80
"....City of Iligan","Purchasing Power of Peso",0.82,0.82,0.83,0.83,0.83,0.83,0.84,0.82,0.80,0.81,0.81,0.81,0.82
"....City of Cagayan de Oro (Capital)","Purchasing Power of Peso",0.83,0.82,0.83,0.83,0.83,0.83,0.83,0.82,0.81,0.81,0.81,0.80,0.82
"..Region XI (Davao Region)","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.80,0.80,0.80,0.79,0.81
"....Davao del Norte","Purchasing Power of Peso",0.84,0.85,0.85,0.85,0.86,0.86,0.86,0.85,0.83,0.84,0.83,0.83,0.85
"....Davao del Sur","Purchasing Power of Peso",0.82,0.82,0.82,0.83,0.82,0.82,0.82,0.81,0.80,0.80,0.80,0.79,0.81
"....Davao Oriental","Purchasing Power of Peso",0.81,0.81,0.80,0.79,0.81,0.80,0.80,0.79,0.79,0.79,0.78,0.78,0.79
"....Davao de Oro","Purchasing Power of Peso",0.80,0.80,0.79,0.80,0.80,0.79,0.80,0.80,0.78,0.79,0.78,0.77,0.79
"....Davao Occidental","Purchasing Power of Peso",0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.81,0.81,0.82,0.81,0.83
"....City of Davao","Purchasing Power of Peso",0.82,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.79,0.79,0.78,0.78,0.80
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.80,0.80,0.80,0.79,0.79,0.81
"....Cotabato","Purchasing Power of Peso",0.81,0.81,0.81,0.81,0.81,0.80,0.80,0.79,0.78,0.79,0.79,0.78,0.80
"....South Cotabato","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.80,0.80,0.80,0.80,0.79,0.81
"....Sultan Kudarat","Purchasing Power of Peso",0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.82,0.82,0.81,0.81,0.83
"....Sarangani","Purchasing Power of Peso",0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.77,0.77,0.78,0.77,0.76,0.78
"....City of General Santos","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.80,0.82
"....City of Cotabato","Purchasing Power of Peso",0.81,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.79,0.80,0.80,0.80,0.80
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",0.84,0.84,0.83,0.84,0.84,0.83,0.84,0.83,0.81,0.81,0.81,0.80,0.82
"....Basilan","Purchasing Power of Peso",0.77,0.79,0.79,0.80,0.81,0.81,0.81,0.80,0.76,0.77,0.76,0.78,0.79
"....Lanao del Sur","Purchasing Power of Peso",0.84,0.84,0.84,0.85,0.85,0.85,0.84,0.83,0.82,0.82,0.82,0.82,0.83
"....Maguindanao","Purchasing Power of Peso",0.87,0.87,0.86,0.86,0.86,0.85,0.84,0.83,0.81,0.81,0.81,0.80,0.84
"....Sulu","Purchasing Power of Peso",0.84,0.84,0.81,0.82,0.83,0.83,0.84,0.83,0.83,0.83,0.83,0.82,0.83
"....Tawi-tawi","Purchasing Power of Peso",0.80,0.79,0.78,0.77,0.78,0.79,0.80,0.80,0.77,0.76,0.76,0.75,0.78
"..Region XIII (Caraga)","Purchasing Power of Peso",0.82,0.81,0.81,0.82,0.82,0.82,0.82,0.81,0.80,0.81,0.81,0.80,0.81
"....Agusan del Norte","Purchasing Power of Peso",0.84,0.83,0.83,0.84,0.84,0.85,0.85,0.84,0.82,0.84,0.83,0.83,0.84
"....Agusan del Sur","Purchasing Power of Peso",0.82,0.81,0.82,0.82,0.82,0.81,0.81,0.81,0.80,0.81,0.80,0.80,0.81
"....Surigao del Norte","Purchasing Power of Peso",0.80,0.79,0.79,0.80,0.81,0.81,0.81,0.80,0.80,0.80,0.80,0.80,0.80
"....Surigao del Sur","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.80,0.80,0.81,0.80,0.81
"....Dinagat Islands","Purchasing Power of Peso",0.76,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.76
"....City of Butuan (Capital)","Purchasing Power of Peso",0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.81,0.82
